,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
22267,20200515,anglicanlutheran.ca,https://anglicanlutheran.ca/pentecost/,text/html,text/html,en,"One Family in Mission. A Pentecost event One Family in Mission. A Pentecost event Upload your video An invitation to you, from Bishop Susan Johnson, Archbishop Linda Nicholls, and Archbishop Mark MacDonald: On Pentecost Sunday, May 31, join us online to worship, pray, and sing together with the Holy Spirit and Giver of Life. Please take a video of yourself alone, with your family or with your quarantine family, saying the Lord’s Prayer (in the language of your choosing), and send us the video by May 15. Add your video prayer In preparation for One Family In Mission, our May 31 video event, we are inviting YOU to record yourself, or you and those you are isolating with, saying the Lord’s Prayer in the language of your choice. We will be collecting videos nationwide and including them in the May 31 video event. Find out how to record and upload a video prayer. Submit your video prayer A website of the Anglican Church of Canada and Evangelical Lutheran Church in Canada"
22301,20200515,anglicanlutheran.ca,https://anglicanlutheran.ca/,text/html,text/html,en,"Home Page - In Full Communion In Full Communion Anglicans and Lutherans working together in Canada This site is a home to projects jointly managed by the Anglican Church of Canada and the Evangelical Lutheran Church in Canada. Featured project: One Family in Mission. A Pentecost event For more information about our Full Communion relationship, visit the Joint Anglican-Lutheran Commission on Facebook. A website of the Anglican Church of Canada and Evangelical Lutheran Church in Canada"
22303,20200515,anglicanlutheran.ca,https://anglicanlutheran.ca/?s={search_term_string},text/html,text/html,en,You searched for {search_term_string} - In Full Communion In Full Communion The Anglican Church of Canada and the ELCIC Home Search results for: {search_term_string} It seems we can't find what you're looking for.
22336,20200515,anglicanlutheran.ca,https://anglicanlutheran.ca/wp-content/plugins/elementor/assets/,text/html,text/html,en,Index of /wp-content/plugins/elementor/assets Index of /wp-content/plugins/elementor/assets Name Last modified Size Description Parent Directory - css/ 2020-04-22 08:51 - images/ 2020-04-22 08:51 - js/ 2020-04-22 08:51 - lib/ 2020-04-22 08:51 - shapes/ 2020-04-22 08:51 -
62839,20200522,anglicanlutheran.ca,https://anglicanlutheran.ca/pentecost/,text/html,text/html,en,"One Family in Mission. A Pentecost event One Family in Mission. A Pentecost event Play Video Thanks to everyone for the overwhelming response to the call for videos! Bishop Susan Johnson, Archbishop Linda Nicholls and Archbishop Mark MacDonald are working with staff in the national offices to prepare a special video celebration called One Family in Mission, premiering on Pentecost Sunday, May 31. On Pentecost Sunday, join us as we worship, pray and sing together with the Holy Spirit and Giver of Life. Tune in here to One Family in Mission on Sunday, May 31 at your local time below: 5:30pm—Newfoundland Daylight Time 5pm—Atlantic Daylight Time 4pm—Eastern Daylight Time 3pm—Central Daylight Time 2pm—Saskatchewan Time 2pm—Mountain Daylight Time 1pm—Pacific Daylight Time A website of the Anglican Church of Canada and Evangelical Lutheran Church in Canada"
62845,20200522,anglicanlutheran.ca,https://anglicanlutheran.ca/,text/html,text/html,en,"Home Page - In Full Communion In Full Communion Anglicans and Lutherans working together in Canada This site is a home to projects jointly managed by the Anglican Church of Canada and the Evangelical Lutheran Church in Canada. Featured project: One Family in Mission. A Pentecost event For more information about our Full Communion relationship, visit the Joint Anglican-Lutheran Commission on Facebook. A website of the Anglican Church of Canada and Evangelical Lutheran Church in Canada"
62849,20200522,anglicanlutheran.ca,https://anglicanlutheran.ca/?s={search_term_string},text/html,,,
62886,20200522,anglicanlutheran.ca,https://anglicanlutheran.ca/wp-content/plugins/elementor/assets/,text/html,,,
63382,20200529,anglicanlutheran.ca,https://anglicanlutheran.ca/pentecost/,text/html,text/html,en,"One Family in Mission. A Pentecost event One Family in Mission. A Pentecost event Resource for your Pentecost service Play Video Thanks to everyone for the overwhelming response to the call for videos! Bishop Susan Johnson, Archbishop Linda Nicholls and Archbishop Mark MacDonald are working with staff in the national offices to prepare a special video celebration called One Family in Mission, premiering on Pentecost Sunday, May 31. On Pentecost Sunday, join us as we worship, pray and sing together with the Holy Spirit and Giver of Life. Tune in here to One Family in Mission on Sunday, May 31 at your local time below: 5:30pm—Newfoundland Daylight Time 5pm—Atlantic Daylight Time 4pm—Eastern Daylight Time 3pm—Central Daylight Time 2pm—Saskatchewan Time 2pm—Mountain Daylight Time 1pm—Pacific Daylight Time Set a reminder to watch ELCIC Channels Set a reminder Set a reminder ACC Channels Set a reminder Set a reminder Frequently Asked Questions What is One Family in Mission? This video event is a celebration of Pentecost, drawing together our churches from across the country, in a demonstration of unity in diversity, as we celebrate the gift of the Holy Spirit in our midst. The video will include: prayer and song from Anglicans and Lutherans across the country; a Bible reading from the Book of Acts; and, a reflection from national church leadership in the Anglican Church of Canada and Evangelical Lutheran Church of Canada. We’re still compiling the video, but it should be approximately 30 minutes in length, and it is premiering online at a time intended to avoid overlap with local church services. How can I watch or share this event? You can watch this event in a number of ways, beginning at 4pm Eastern Time on Sunday, May 31: On the One Family in Mission website On the following Facebook pages— Anglican Church of Canada Evangelical Lutheran Church in Canada On YouTube For a reminder or notification of when the event goes live, click the Facebook or YouTube links above and press the “Get Reminder” button. Click on the links above and click “Share” to share this event on your Facebook page. If you miss the live event, you will be able to watch the video anytime on this site, on Facebook or on YouTube. If you do not have high-speed internet, you can listen in to the event by dealing one of the following numbers: Halifax: (902) 593-0693 Iqaluit: (867) 877-5427 Toronto: (289) 548-0178 Yellowknife: (867) 675-3198 Whitehorse: (867) 322-4046 Vancouver: (778) 819-2818 Winnipeg: (431) 478-0639 Toll-Free: 1-833-982-1276 I submitted a video, where can I watch it? Where can I find the other videos that were submitted? After Pentecost Sunday, all videos will be included on this site, via an interactive map of Canada showing where submissions are from. A website of the Anglican Church of Canada and Evangelical Lutheran Church in Canada"
63406,20200529,anglicanlutheran.ca,https://anglicanlutheran.ca/,text/html,text/html,en,"Home Page - In Full Communion In Full Communion Anglicans and Lutherans working together in Canada This site is a home to projects jointly managed by the Anglican Church of Canada and the Evangelical Lutheran Church in Canada. Featured project: One Family in Mission. A Pentecost event For more information about our Full Communion relationship, visit the Joint Anglican-Lutheran Commission on Facebook. A website of the Anglican Church of Canada and Evangelical Lutheran Church in Canada"
63447,20200529,anglicanlutheran.ca,https://anglicanlutheran.ca/?s={search_term_string},text/html,text/html,en,You searched for {search_term_string} - In Full Communion In Full Communion The Anglican Church of Canada and the ELCIC Home Search results for: {search_term_string} It seems we can't find what you're looking for.
63451,20200529,anglicanlutheran.ca,https://anglicanlutheran.ca/wp-content/plugins/elementor/assets/,text/html,text/html,en,Index of /wp-content/plugins/elementor/assets Index of /wp-content/plugins/elementor/assets Name Last modified Size Description Parent Directory - css/ 2020-05-26 10:26 - images/ 2020-05-26 10:26 - js/ 2020-05-26 10:26 - lib/ 2020-05-26 10:26 - shapes/ 2020-05-26 10:26 -
72386,20200529,anglicanlutheran.ca,https://anglicanlutheran.ca/pentecost/,text/html,,,
72410,20200529,anglicanlutheran.ca,https://anglicanlutheran.ca/,text/html,,,
72414,20200529,anglicanlutheran.ca,https://anglicanlutheran.ca/?s={search_term_string},text/html,,,
72484,20200529,anglicanlutheran.ca,https://anglicanlutheran.ca/wp-content/plugins/elementor/assets/,text/html,,,
