,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
8507,20200417,app.getresponse.com,https://app.getresponse.com/site2/nicole_464146?u=zcx4N&webforms_id=BTKx2&v=0,text/html,text/html,en,"Email Marketing, Autoresponder, Email Marketing Software - GetResponse Email Marketing, Autoresponder, Email Marketing Software - GetResponse"
14047,20200424,app.getresponse.com,https://app.getresponse.com/site2/nicole_464146?u=zcx4N&webforms_id=BTKx2&v=0,text/html,text/html,en,"Email Marketing, Autoresponder, Email Marketing Software - GetResponse Email Marketing, Autoresponder, Email Marketing Software - GetResponse"
18993,20200504,app.getresponse.com,https://app.getresponse.com/site2/nicole_464146?u=zcx4N&webforms_id=BTKx2&v=0,text/html,text/html,en,"Email Marketing, Autoresponder, Email Marketing Software - GetResponse Email Marketing, Autoresponder, Email Marketing Software - GetResponse"
22429,20200515,app.getresponse.com,https://app.getresponse.com/site2/nicole_464146?u=zcx4N&webforms_id=BTKx2&v=0,text/html,text/html,en,"Email Marketing, Autoresponder, Email Marketing Software - GetResponse Email Marketing, Autoresponder, Email Marketing Software - GetResponse"
63986,20200522,app.getresponse.com,https://app.getresponse.com/site2/nicole_464146?u=zcx4N&webforms_id=BTKx2&v=0,text/html,text/html,en,"Email Marketing, Autoresponder, Email Marketing Software - GetResponse Email Marketing, Autoresponder, Email Marketing Software - GetResponse"
63990,20200527,app.getresponse.com,https://app.getresponse.com/site2/nicole_464146?u=zcx4N&webforms_id=BTKx2&v=0,text/html,text/html,en,"Email Marketing, Autoresponder, Email Marketing Software - GetResponse Email Marketing, Autoresponder, Email Marketing Software - GetResponse"
63993,20200529,app.getresponse.com,https://app.getresponse.com/site2/nicole_464146?u=zcx4N&webforms_id=BTKx2&v=0,text/html,text/html,en,"Email Marketing, Autoresponder, Email Marketing Software - GetResponse Email Marketing, Autoresponder, Email Marketing Software - GetResponse"
72960,20200529,app.getresponse.com,https://app.getresponse.com/site2/nicole_464146?u=zcx4N&webforms_id=BTKx2&v=0,text/html,text/html,en,"Email Marketing, Autoresponder, Email Marketing Software - GetResponse Email Marketing, Autoresponder, Email Marketing Software - GetResponse"
82223,20200605,app.getresponse.com,https://app.getresponse.com/site2/nicole_464146?u=zcx4N&webforms_id=BTKx2&v=0,text/html,text/html,en,"Email Marketing, Autoresponder, Email Marketing Software - GetResponse Email Marketing, Autoresponder, Email Marketing Software - GetResponse"
92498,20200612,app.getresponse.com,https://app.getresponse.com/site2/nicole_464146?u=zcx4N&webforms_id=BTKx2&v=0,text/html,text/html,en,"Email Marketing, Autoresponder, Email Marketing Software - GetResponse Email Marketing, Autoresponder, Email Marketing Software - GetResponse"
103716,20200619,app.getresponse.com,https://app.getresponse.com/site2/nicole_464146?u=zcx4N&webforms_id=BTKx2&v=0,text/html,text/html,en,"Email Marketing, Autoresponder, Email Marketing Software - GetResponse Email Marketing, Autoresponder, Email Marketing Software - GetResponse"
113941,20200626,app.getresponse.com,https://app.getresponse.com/site2/nicole_464146?u=zcx4N&webforms_id=BTKx2&v=0,text/html,text/html,en,"Email Marketing, Autoresponder, Email Marketing Software - GetResponse Email Marketing, Autoresponder, Email Marketing Software - GetResponse"
124404,20200703,app.getresponse.com,https://app.getresponse.com/site2/nicole_464146?u=zcx4N&webforms_id=BTKx2&v=0,text/html,text/html,en,"Email Marketing, Autoresponder, Email Marketing Software - GetResponse Email Marketing, Autoresponder, Email Marketing Software - GetResponse"
134652,20200710,app.getresponse.com,https://app.getresponse.com/site2/nicole_464146?u=zcx4N&webforms_id=BTKx2&v=0,text/html,text/html,en,"Email Marketing, Autoresponder, Email Marketing Software - GetResponse Email Marketing, Autoresponder, Email Marketing Software - GetResponse"
145188,20200717,app.getresponse.com,https://app.getresponse.com/site2/nicole_464146?u=zcx4N&webforms_id=BTKx2&v=0,text/html,text/html,en,"Email Marketing, Autoresponder, Email Marketing Software - GetResponse Email Marketing, Autoresponder, Email Marketing Software - GetResponse"
155662,20200724,app.getresponse.com,https://app.getresponse.com/site2/nicole_464146?u=zcx4N&webforms_id=BTKx2&v=0,text/html,text/html,en,"Email Marketing, Autoresponder, Email Marketing Software - GetResponse Email Marketing, Autoresponder, Email Marketing Software - GetResponse"
166607,20200731,app.getresponse.com,https://app.getresponse.com/site2/nicole_464146?u=zcx4N&webforms_id=BTKx2&v=0,text/html,text/html,en,"Email Marketing, Autoresponder, Email Marketing Software - GetResponse Email Marketing, Autoresponder, Email Marketing Software - GetResponse"
177538,20200807,app.getresponse.com,https://app.getresponse.com/site2/nicole_464146?u=zcx4N&webforms_id=BTKx2&v=0,text/html,text/html,en,"Email Marketing, Autoresponder, Email Marketing Software - GetResponse Email Marketing, Autoresponder, Email Marketing Software - GetResponse"
