,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
9410,20200417,archipelago.phrasewise.com,http://archipelago.phrasewise.com/rsd/,text/html,text/html,en,"﻿ Daniel Berlinger's Archipelago Any sea or broad sheet of water interspersed with many islands, cool software, or sneux. The spec can be found in the following places (the repository should be considered definitive at this point): Linked to from this brief explanation here, a repository here. The 2002 look is here, the 2005 here and a copy of the early version here. Coming again soon for the first time..."
14969,20200424,archipelago.phrasewise.com,http://archipelago.phrasewise.com/rsd/,text/html,,,
19899,20200504,archipelago.phrasewise.com,http://archipelago.phrasewise.com/rsd/,text/html,,,
65952,20200522,archipelago.phrasewise.com,http://archipelago.phrasewise.com/rsd/,text/html,,,
65997,20200529,archipelago.phrasewise.com,http://archipelago.phrasewise.com/rsd/,text/html,,,
83332,20200605,archipelago.phrasewise.com,http://archipelago.phrasewise.com/rsd/,text/html,,,
93594,20200612,archipelago.phrasewise.com,http://archipelago.phrasewise.com/rsd/,text/html,,,
104829,20200619,archipelago.phrasewise.com,http://archipelago.phrasewise.com/rsd/,text/html,,,
125589,20200703,archipelago.phrasewise.com,http://archipelago.phrasewise.com/rsd/,text/html,,,
136003,20200710,archipelago.phrasewise.com,http://archipelago.phrasewise.com/rsd/,text/html,,,
167773,20200731,archipelago.phrasewise.com,http://archipelago.phrasewise.com/rsd/,text/html,,,
178719,20200807,archipelago.phrasewise.com,http://archipelago.phrasewise.com/rsd/,text/html,,,
202511,20200821,archipelago.phrasewise.com,http://archipelago.phrasewise.com/rsd/,text/html,,,
214386,20200828,archipelago.phrasewise.com,http://archipelago.phrasewise.com/rsd/,text/html,,,
226768,20200904,archipelago.phrasewise.com,http://archipelago.phrasewise.com/rsd/,text/html,,,
