,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
8519,20200417,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
14009,20200424,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
14062,20200424,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
17626,20200504,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
32208,20210205,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
32213,20210205,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
32222,20210205,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
32302,20210205,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
32445,20210205,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
32465,20210205,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
32472,20210205,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
32484,20210205,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
32658,20210206,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
32710,20210206,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
32756,20210206,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
32983,20210206,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
33371,20210206,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
33414,20210206,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
33417,20210206,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
33433,20210206,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
33525,20210206,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
33625,20210206,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
33856,20210206,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
33892,20210206,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
34070,20210206,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
34144,20210206,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
34150,20210206,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
34319,20210206,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
34491,20210206,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
67073,20200529,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
134611,20200710,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
134833,20200710,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
198701,20200821,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
201240,20200821,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
262035,20200925,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
285755,20201009,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
321667,20201030,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
323961,20201106,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
332573,20201106,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
366824,20201127,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
366825,20201127,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
433825,20210115,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
443043,20210122,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
506303,20210312,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
543950,20210402,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
562203,20210416,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
572290,20210423,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
595907,20210507,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
598330,20210514,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
606418,20210514,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
637969,20210604,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
648418,20210611,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
650898,20210618,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
656493,20210618,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
658184,20210618,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
678364,20210716,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
681822,20210716,bid.g.doubleclick.net,https://bid.g.doubleclick.net/xbbe/pixel?d=KAE,text/html,,,
