,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
286,20200408,blogger.com,https://www.blogger.com/about/?r=1-null_user,text/html,text/html,en,"Blogger.com - Create a unique and beautiful blog. It’s easy and free. Skip to content Sign in Create your blog Publish your passions, your way Create a unique and beautiful blog. It’s easy and free. Create your blog Choose the perfect design Create a beautiful blog that fits your style. Choose from a selection of easy-to-use templates – all with flexible layouts and hundreds of background images – or design something new. Get a free domain Give your blog the perfect home. Get a free blogspot.com domain or buy a custom domain with just a few clicks. Earn money Get paid for your hard work. Google AdSense can automatically display relevant targeted ads on your blog so that you can earn income by posting about your passion. Know your audience Find out which posts are a hit with Blogger’s built-in analytics. You’ll see where your audience is coming from and what they’re interested in. You can even connect your blog directly to Google Analytics for a more detailed look. Hang onto your memories Save the moments that matter. Blogger lets you safely store thousands of posts, photos, and more with Google for free. Join millions of others Whether sharing your expertise, breaking news, or whatever’s on your mind, you’re in good company on Blogger. Sign up to discover why millions of people have published their passions here. Create your blog Help Help Center Help Forum Video Tutorials Community Blogger Buzz Developers Blogger API Developer Forum Terms of Service Privacy Content Policy English Afrikaans‎ Amharic - አማርኛ‎ Arabic - العربية‎ Bulgarian - български‎ Bengali - বাংলা‎ Catalan - ‪Català‬‎ Czech - Čeština‎ Danish - Dansk‎ German - Deutsch‎ Greek - Ελληνικά‎ English (United Kingdom)‎ Spanish (Latin America) - Español (Latinoamérica)‎ Spanish (Spain) - Español (España)‎ Estonian - eesti‎ Basque - euskara‎ Persian - فارسی‎ Finnish - Suomi‎ Filipino‎ French (Canada) - Français (Canada)‎ French (France) - Français (France)‎ Galician - galego‎ Gujarati - ગુજરાતી‎ Hindi - हिन्दी‎ Croatian - Hrvatski‎ Hungarian - magyar‎ Indonesian - Indonesia‎ Icelandic - íslenska‎ Italian - Italiano‎ Hebrew - עברית‎ Japanese - 日本語‎ Kannada - ಕನ್ನಡ‎ Korean - 한국어‎ Lithuanian - lietuvių‎ Latvian - latviešu‎ Malayalam - മലയാളം‎ Marathi - मराठी‎ Malay - Bahasa Melayu‎ Dutch - Nederlands‎ Norwegian - norsk‎ Polish - polski‎ Portuguese (Brazil) - Português (Brasil)‎ Portuguese (Portugal) - português (Portugal)‎ Romanian - română‎ Russian - Русский‎ Slovak - Slovenčina‎ Slovenian - slovenščina‎ Serbian - српски‎ Swedish - Svenska‎ Swahili - Kiswahili‎ Tamil - தமிழ்‎ Telugu - తెలుగు‎ Thai - ไทย‎ Turkish - Türkçe‎ Ukrainian - Українська‎ Urdu - اردو‎ Vietnamese - Tiếng Việt‎ Chinese (Simplified) - ‪简体中文‬‎ Chinese (Hong Kong) - 中文（香港)‎ Chinese (Traditional) - 繁體中文‎ Zulu - isiZulu‎"
2529,20200417,blogger.com,https://www.blogger.com/about/?r=1-null_user,text/html,,,
9853,20200424,blogger.com,https://www.blogger.com/about/?r=1-null_user,text/html,,,
15505,20200504,blogger.com,https://www.blogger.com/about/?r=1-null_user,text/html,,,
20436,20200515,blogger.com,https://www.blogger.com/about/?r=1-null_user,text/html,,,
48957,20200522,blogger.com,https://www.blogger.com/about/?r=1-null_user,text/html,,,
52609,20200529,blogger.com,https://www.blogger.com/about/?r=1-null_user,text/html,,,
67154,20200529,blogger.com,https://www.blogger.com/about/?r=1-null_user,text/html,,,
74483,20200605,blogger.com,https://www.blogger.com/about/?bpli=1,text/html,,,
83918,20200612,blogger.com,https://www.blogger.com/about/?bpli=1,text/html,,,
94348,20200619,blogger.com,https://www.blogger.com/about/?bpli=1,text/html,,,
105583,20200626,blogger.com,https://www.blogger.com/about/?bpli=1,text/html,,,
116105,20200703,blogger.com,https://www.blogger.com/about/?bpli=1,text/html,,,
126344,20200710,blogger.com,https://www.blogger.com/about/?bpli=1,text/html,,,
136763,20200717,blogger.com,https://www.blogger.com/about/?bpli=1,text/html,,,
147220,20200724,blogger.com,https://www.blogger.com/about/?bpli=1,text/html,,,
158126,20200731,blogger.com,https://www.blogger.com/about/?bpli=1,text/html,,,
169168,20200807,blogger.com,https://www.blogger.com/about/?bpli=1,text/html,,,
180059,20200814,blogger.com,https://www.blogger.com/about/?bpli=1,text/html,,,
191146,20200821,blogger.com,https://www.blogger.com/about/?bpli=1,text/html,,,
203929,20200828,blogger.com,https://www.blogger.com/about/?bpli=1,text/html,,,
215800,20200904,blogger.com,https://www.blogger.com/about/?bpli=1,text/html,,,
