,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
8740,20200417,br.pinterest.com,https://br.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
9013,20200417,br.pinterest.com,https://br.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
14277,20200424,br.pinterest.com,https://br.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
14561,20200424,br.pinterest.com,https://br.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
19210,20200504,br.pinterest.com,https://br.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
19494,20200504,br.pinterest.com,https://br.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest Oh no! Pinterest doesn't work unless you turn on JavaScript.
22684,20200515,br.pinterest.com,https://br.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
22945,20200515,br.pinterest.com,https://br.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
64526,20200522,br.pinterest.com,https://br.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
64785,20200529,br.pinterest.com,https://br.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
65071,20200522,br.pinterest.com,https://br.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
65366,20200529,br.pinterest.com,https://br.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
73202,20200529,br.pinterest.com,https://br.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
73487,20200529,br.pinterest.com,https://br.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
82902,20200605,br.pinterest.com,https://br.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
93188,20200612,br.pinterest.com,https://br.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
157466,20200724,br.pinterest.com,https://br.pinterest.com/,text/html,text/html,pt,Pinterest - Brasil
168517,20200731,br.pinterest.com,https://br.pinterest.com/,text/html,text/html,pt,Pinterest - Brasil
190493,20200814,br.pinterest.com,https://br.pinterest.com/,text/html,text/html,pt,Pinterest - Brasil
203287,20200821,br.pinterest.com,https://br.pinterest.com/,text/html,text/html,pt,Pinterest - Brasil
240256,20200911,br.pinterest.com,https://br.pinterest.com/,text/html,text/html,pt,Pinterest - Brasil
275558,20201002,br.pinterest.com,https://br.pinterest.com/,text/html,text/html,pt,Pinterest - Brasil
287632,20201009,br.pinterest.com,https://br.pinterest.com/,text/html,text/html,pt,Pinterest - Brasil
334294,20201106,br.pinterest.com,https://br.pinterest.com/,text/html,text/html,pt,Pinterest - Brasil
356620,20201120,br.pinterest.com,https://br.pinterest.com/,text/html,text/html,pt,Pinterest - Brasil
389084,20201211,br.pinterest.com,https://br.pinterest.com/,text/html,text/html,pt,Pinterest - Brasil
454643,20210129,br.pinterest.com,https://br.pinterest.com/,text/html,text/html,pt,Pinterest - Brasil
464722,20210205,br.pinterest.com,https://br.pinterest.com/,text/html,text/html,pt,Pinterest - Brasil
485120,20210219,br.pinterest.com,https://br.pinterest.com/,text/html,text/html,pt,Pinterest - Brasil
495393,20210226,br.pinterest.com,https://br.pinterest.com/,text/html,text/html,pt,Pinterest - Brasil
505729,20210305,br.pinterest.com,https://br.pinterest.com/,text/html,text/html,pt,Pinterest - Brasil
525965,20210319,br.pinterest.com,https://br.pinterest.com/,text/html,text/html,pt,Pinterest - Brasil
534947,20210326,br.pinterest.com,https://br.pinterest.com/,text/html,text/html,pt,Pinterest - Brasil
556184,20210409,br.pinterest.com,https://br.pinterest.com/pin/create/button/,text/html,text/html,pt,Pinterest - Brasil
566470,20210416,br.pinterest.com,https://br.pinterest.com/pin/create/button/,text/html,text/html,en,Pinterest - Brasil Pinterest Today Explore Log in Sign up Privacy
576670,20210423,br.pinterest.com,https://br.pinterest.com/pin/create/button/,text/html,text/html,en,Pinterest - Brasil Pinterest Today Explore Log in Sign up Pin Builder Privacy
587256,20210430,br.pinterest.com,https://br.pinterest.com/pin/create/button/,text/html,text/html,en,Pinterest - Brasil Pinterest Today Explore Log in Sign up Pin Builder Privacy
597973,20210507,br.pinterest.com,https://br.pinterest.com/pin/create/button/,text/html,text/html,en,Pinterest - Brasil Pinterest Today Explore Log in Sign up Pin Builder Privacy
608363,20210514,br.pinterest.com,https://br.pinterest.com/pin/create/button/,text/html,text/html,en,Pinterest - Brasil Pinterest Today Explore Log in Sign up Pin Builder Privacy
618970,20210521,br.pinterest.com,https://br.pinterest.com/pin/create/button/,text/html,text/html,en,Pinterest - Brasil Pinterest Today Explore Log in Sign up Pin Builder Privacy
629173,20210528,br.pinterest.com,https://br.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Brasil Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
639880,20210604,br.pinterest.com,https://br.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Brasil Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
650320,20210611,br.pinterest.com,https://br.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Brasil Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
660034,20210618,br.pinterest.com,https://br.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Brasil Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
665986,20210625,br.pinterest.com,https://br.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Brasil Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
671821,20210702,br.pinterest.com,https://br.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Brasil Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
677784,20210709,br.pinterest.com,https://br.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Brasil Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
683690,20210716,br.pinterest.com,https://br.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Brasil Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
689838,20210723,br.pinterest.com,https://br.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Brasil Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
695318,20210730,br.pinterest.com,https://br.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Brasil Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
701230,20210806,br.pinterest.com,https://br.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Brasil Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
707894,20210813,br.pinterest.com,https://br.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Brasil Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
714512,20210820,br.pinterest.com,https://br.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Brasil Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
720841,20210827,br.pinterest.com,https://br.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Brasil Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
726624,20210903,br.pinterest.com,https://br.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Brasil Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
732263,20210910,br.pinterest.com,https://br.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Brasil Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
738101,20210917,br.pinterest.com,https://br.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Brasil Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
743776,20210924,br.pinterest.com,https://br.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Brasil Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Welcome to Pinterest! Get unlimited access to fresh ideas with an account Sign up Pin Builder Privacy"
749730,20211001,br.pinterest.com,https://br.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Brasil Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
755567,20211008,br.pinterest.com,https://br.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Brasil Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
