,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
169286,20200807,brock.ca1.qualtrics.com,https://brock.ca1.qualtrics.com/jfe/form/SV_aY8E7d1s1KWToxv,text/html,text/html,en,Online Survey Software | Qualtrics Survey Solutions Javascript is required to load this page.
169291,20200807,brock.ca1.qualtrics.com,https://brock.ca1.qualtrics.com/jfe/incompatibleBrowser,text/html,text/html,en,"Unsupported Browser You are using an unsupported browser We couldn't load this survey because you're using an unsupported web browser. Outdated web browsers do not work with some website features. More importantly, they can expose your computer to security risks. To ensure an optimal and secure experience, please update to one of the latest browser versions. Google Chrome Mozilla Firefox Apple Safari Microsoft Edge"
180169,20200814,brock.ca1.qualtrics.com,https://brock.ca1.qualtrics.com/jfe/form/SV_aY8E7d1s1KWToxv,text/html,text/html,en,Online Survey Software | Qualtrics Survey Solutions Javascript is required to load this page.
180175,20200814,brock.ca1.qualtrics.com,https://brock.ca1.qualtrics.com/jfe/incompatibleBrowser,text/html,,,
191328,20200822,brock.ca1.qualtrics.com,https://brock.ca1.qualtrics.com/jfe/form/SV_aY8E7d1s1KWToxv,text/html,text/html,en,Online Survey Software | Qualtrics Survey Solutions Javascript is required to load this page.
191334,20200822,brock.ca1.qualtrics.com,https://brock.ca1.qualtrics.com/jfe/incompatibleBrowser,text/html,,,
204092,20200828,brock.ca1.qualtrics.com,https://brock.ca1.qualtrics.com/jfe/form/SV_aY8E7d1s1KWToxv,text/html,text/html,en,Online Survey Software | Qualtrics Survey Solutions Javascript is required to load this page.
204098,20200828,brock.ca1.qualtrics.com,https://brock.ca1.qualtrics.com/jfe/incompatibleBrowser,text/html,,,
216034,20200904,brock.ca1.qualtrics.com,https://brock.ca1.qualtrics.com/jfe/form/SV_aY8E7d1s1KWToxv,text/html,text/html,en,Online Survey Software | Qualtrics Survey Solutions Javascript is required to load this page.
216039,20200904,brock.ca1.qualtrics.com,https://brock.ca1.qualtrics.com/jfe/incompatibleBrowser,text/html,,,
228379,20200912,brock.ca1.qualtrics.com,https://brock.ca1.qualtrics.com/jfe/form/SV_aY8E7d1s1KWToxv,text/html,text/html,en,Online Survey Software | Qualtrics Survey Solutions Javascript is required to load this page.
228387,20200912,brock.ca1.qualtrics.com,https://brock.ca1.qualtrics.com/jfe/incompatibleBrowser,text/html,text/html,en,"Unsupported Browser You are using an unsupported browser We couldn't load this survey because you're using an unsupported web browser. Outdated web browsers do not work with some website features. More importantly, they can expose your computer to security risks. To ensure an optimal and secure experience, please update to one of the latest browser versions. Google Chrome Mozilla Firefox Apple Safari Microsoft Edge"
241043,20200918,brock.ca1.qualtrics.com,https://brock.ca1.qualtrics.com/jfe/form/SV_aY8E7d1s1KWToxv,text/html,text/html,en,Online Survey Software | Qualtrics Survey Solutions Javascript is required to load this page.
241051,20200918,brock.ca1.qualtrics.com,https://brock.ca1.qualtrics.com/jfe/incompatibleBrowser,text/html,,,
