,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
97,20200408,ca.wordpress.org,https://ca.wordpress.org/,text/html,application/xhtml+xml,ca,"Blog Tool, Publishing Platform, and CMS | WordPress.org Català WordPress.org Català Toggle Menu Fòrum de suport Col·labora Equip Traduccions Meetups Blog Quant a nosaltres Conegueu el WordPress El WordPress és programari de codi obert que podeu usar per crear un lloc web maco, un bloc o una aplicació. Dissenys bonics, característiques potents, i la llibertat de construir el que vulguis. El WordPress és lliure i, al mateix temps, no té preu. Confiat pel millor 35% de la web fa servir el WordPress, des de blocs d'aficions, fins als llocs webs més grans de notícies en línia. Descobreix més llocs webs fets amb el WordPress Característiques potents Possibilitats sense límits. Què voleu crear? Dissenys personalitzables Amable optimització per a motors de cerca Llocs webs responsius Gran rendiment Gestiona sobre la marxa Gran seguretat Gestió potent dels mèdia Fàcil i accessible Esteneu el WordPress amb més de 55.000 extensions per ajustar la web a les vostres necessitats. Afegiu botigues en línia, galeries, llistes de correu, fòrums, anàlisis, i molt més. Comunitat Centenars de milers de desenvolupadors, creadors de contingut, i propietaris de llocs web es reuneixen en trobades mensuals en 817 ciutats arreu del món. Troba una comunitat local del WordPress Comenceu amb el WordPress Més de 60 milions de persones han triat el WordPress per a fer funcionar a sobre el lloc de la web que ells anomenen “casa” — uniu-vos a la família. Aconseguiu el WordPress Notícies del nostre bloc Versió 5.2.2 de manteniment El WordPress 5.2.2 ja està disponible! Aquesta versió de manteniment soluciona 13 errors i afegeix una mica de poliment a la funcionalitat de salut de lloc que va debutar a la versió 5.2. Per obtenir més informació, navegueu per la llista completa de canvis al Trac o consulteu la pàgina de documentació de la versió […] És tan fàcil com… Trobeu un amfitrió web de confiança i potser també suport per al WordPress al mateix temps. Descarregueu-vos i instal·leu-vos el WordPress amb la famosa instal·lació de 5 minuts. Publicar mai no ha estat tan fàcil. Passeu una estona llegint la documentació, coneixeu el WordPress millor cada dia i comenceu a ajudar a d'altres, també. Material de publicitat del WordPress Usuaris del WordPress … i centenars més Quant a Blog Hostatge Dona Suport Desenvolupadors Involucra't Aparador Extensions Temes WordCamp WordPress.TV El BuddyPress bbPress WordPress.com Matt Privacitat Public Code @WordPress WordPress El codi és poesia."
6066,20200417,ca.wordpress.org,https://ca.wordpress.org/,text/html,application/xhtml+xml,ca,"Blog Tool, Publishing Platform, and CMS | WordPress.org Català WordPress.org Català Toggle Menu Fòrum de suport Col·labora Equip Traduccions Meetups Blog Quant a nosaltres Conegueu el WordPress El WordPress és programari de codi obert que podeu usar per crear un lloc web maco, un bloc o una aplicació. Dissenys bonics, característiques potents, i la llibertat de construir el que vulguis. El WordPress és lliure i, al mateix temps, no té preu. Confiat pel millor 35% de la web fa servir el WordPress, des de blocs d'aficions, fins als llocs webs més grans de notícies en línia. Descobreix més llocs webs fets amb el WordPress Característiques potents Possibilitats sense límits. Què voleu crear? Dissenys personalitzables Amable optimització per a motors de cerca Llocs webs responsius Gran rendiment Gestiona sobre la marxa Gran seguretat Gestió potent dels mèdia Fàcil i accessible Esteneu el WordPress amb més de 55.000 extensions per ajustar la web a les vostres necessitats. Afegiu botigues en línia, galeries, llistes de correu, fòrums, anàlisis, i molt més. Comunitat Centenars de milers de desenvolupadors, creadors de contingut, i propietaris de llocs web es reuneixen en trobades mensuals en 817 ciutats arreu del món. Troba una comunitat local del WordPress Comenceu amb el WordPress Més de 60 milions de persones han triat el WordPress per a fer funcionar a sobre el lloc de la web que ells anomenen “casa” — uniu-vos a la família. Aconseguiu el WordPress Notícies del nostre bloc Versió 5.2.2 de manteniment El WordPress 5.2.2 ja està disponible! Aquesta versió de manteniment soluciona 13 errors i afegeix una mica de poliment a la funcionalitat de salut de lloc que va debutar a la versió 5.2. Per obtenir més informació, navegueu per la llista completa de canvis al Trac o consulteu la pàgina de documentació de la versió […] És tan fàcil com… Trobeu un amfitrió web de confiança i potser també suport per al WordPress al mateix temps. Descarregueu-vos i instal·leu-vos el WordPress amb la famosa instal·lació de 5 minuts. Publicar mai no ha estat tan fàcil. Passeu una estona llegint la documentació, coneixeu el WordPress millor cada dia i comenceu a ajudar a d'altres, també. Material de publicitat del WordPress Usuaris del WordPress … i centenars més Quant a Blog Hostatge Dona Suport Desenvolupadors Involucra't Aparador Extensions Temes WordCamp WordPress.TV El BuddyPress bbPress WordPress.com Matt Privacitat Public Code @WordPress WordPress El codi és poesia."
13483,20200424,ca.wordpress.org,https://ca.wordpress.org/,text/html,application/xhtml+xml,ca,"Blog Tool, Publishing Platform, and CMS | WordPress.org Català WordPress.org Català Toggle Menu Fòrum de suport Col·labora Equip Traduccions Meetups Blog Quant a nosaltres Conegueu el WordPress El WordPress és programari de codi obert que podeu usar per crear un lloc web maco, un bloc o una aplicació. Dissenys bonics, característiques potents, i la llibertat de construir el que vulguis. El WordPress és lliure i, al mateix temps, no té preu. Confiat pel millor 35% de la web fa servir el WordPress, des de blocs d'aficions, fins als llocs webs més grans de notícies en línia. Descobreix més llocs webs fets amb el WordPress Característiques potents Possibilitats sense límits. Què voleu crear? Dissenys personalitzables Amable optimització per a motors de cerca Llocs webs responsius Gran rendiment Gestiona sobre la marxa Gran seguretat Gestió potent dels mèdia Fàcil i accessible Esteneu el WordPress amb més de 55.000 extensions per ajustar la web a les vostres necessitats. Afegiu botigues en línia, galeries, llistes de correu, fòrums, anàlisis, i molt més. Comunitat Centenars de milers de desenvolupadors, creadors de contingut, i propietaris de llocs web es reuneixen en trobades mensuals en 817 ciutats arreu del món. Troba una comunitat local del WordPress Comenceu amb el WordPress Més de 60 milions de persones han triat el WordPress per a fer funcionar a sobre el lloc de la web que ells anomenen “casa” — uniu-vos a la família. Aconseguiu el WordPress Notícies del nostre bloc Versió 5.2.2 de manteniment El WordPress 5.2.2 ja està disponible! Aquesta versió de manteniment soluciona 13 errors i afegeix una mica de poliment a la funcionalitat de salut de lloc que va debutar a la versió 5.2. Per obtenir més informació, navegueu per la llista completa de canvis al Trac o consulteu la pàgina de documentació de la versió […] És tan fàcil com… Trobeu un amfitrió web de confiança i potser també suport per al WordPress al mateix temps. Descarregueu-vos i instal·leu-vos el WordPress amb la famosa instal·lació de 5 minuts. Publicar mai no ha estat tan fàcil. Passeu una estona llegint la documentació, coneixeu el WordPress millor cada dia i comenceu a ajudar a d'altres, també. Material de publicitat del WordPress Usuaris del WordPress … i centenars més Quant a Blog Hostatge Dona Suport Desenvolupadors Involucra't Aparador Extensions Temes WordCamp WordPress.TV El BuddyPress bbPress WordPress.com Matt Privacitat Public Code @WordPress WordPress El codi és poesia."
17700,20200504,ca.wordpress.org,https://ca.wordpress.org/,text/html,application/xhtml+xml,ca,"Blog Tool, Publishing Platform, and CMS | WordPress.org Català WordPress.org Català Toggle Menu Fòrum de suport Col·labora Equip Traduccions Meetups Blog Quant a nosaltres Conegueu el WordPress El WordPress és programari de codi obert que podeu usar per crear un lloc web maco, un bloc o una aplicació. Dissenys bonics, característiques potents, i la llibertat de construir el que vulguis. El WordPress és lliure i, al mateix temps, no té preu. Confiat pel millor 35% de la web fa servir el WordPress, des de blocs d'aficions, fins als llocs webs més grans de notícies en línia. Descobreix més llocs webs fets amb el WordPress Característiques potents Possibilitats sense límits. Què voleu crear? Dissenys personalitzables Amable optimització per a motors de cerca Llocs webs responsius Gran rendiment Gestiona sobre la marxa Gran seguretat Gestió potent dels mèdia Fàcil i accessible Esteneu el WordPress amb més de 55.000 extensions per ajustar la web a les vostres necessitats. Afegiu botigues en línia, galeries, llistes de correu, fòrums, anàlisis, i molt més. Comunitat Centenars de milers de desenvolupadors, creadors de contingut, i propietaris de llocs web es reuneixen en trobades mensuals en 817 ciutats arreu del món. Troba una comunitat local del WordPress Comenceu amb el WordPress Més de 60 milions de persones han triat el WordPress per a fer funcionar a sobre el lloc de la web que ells anomenen “casa” — uniu-vos a la família. Aconseguiu el WordPress Notícies del nostre bloc Versió 5.2.2 de manteniment El WordPress 5.2.2 ja està disponible! Aquesta versió de manteniment soluciona 13 errors i afegeix una mica de poliment a la funcionalitat de salut de lloc que va debutar a la versió 5.2. Per obtenir més informació, navegueu per la llista completa de canvis al Trac o consulteu la pàgina de documentació de la versió […] És tan fàcil com… Trobeu un amfitrió web de confiança i potser també suport per al WordPress al mateix temps. Descarregueu-vos i instal·leu-vos el WordPress amb la famosa instal·lació de 5 minuts. Publicar mai no ha estat tan fàcil. Passeu una estona llegint la documentació, coneixeu el WordPress millor cada dia i comenceu a ajudar a d'altres, també. Material de publicitat del WordPress Usuaris del WordPress … i centenars més Quant a Blog Hostatge Dona Suport Desenvolupadors Involucra't Aparador Extensions Temes WordCamp WordPress.TV El BuddyPress bbPress WordPress.com Matt Privacitat Public Code @WordPress WordPress El codi és poesia."
52417,20200529,ca.wordpress.org,https://ca.wordpress.org/,text/html,application/xhtml+xml,ca,"Blog Tool, Publishing Platform, and CMS | WordPress.org Català WordPress.org Català Toggle Menu Fòrum de suport Col·labora Equip Traduccions Meetups Blog Quant a nosaltres Conegueu el WordPress El WordPress és programari de codi obert que podeu usar per crear un lloc web maco, un bloc o una aplicació. Dissenys bonics, característiques potents, i la llibertat de construir el que vulguis. El WordPress és lliure i, al mateix temps, no té preu. Confiat pel millor 35% de la web fa servir el WordPress, des de blocs d'aficions, fins als llocs webs més grans de notícies en línia. Descobreix més llocs webs fets amb el WordPress Característiques potents Possibilitats sense límits. Què voleu crear? Dissenys personalitzables Amable optimització per a motors de cerca Llocs webs responsius Gran rendiment Gestiona sobre la marxa Gran seguretat Gestió potent dels mèdia Fàcil i accessible Esteneu el WordPress amb més de 55.000 extensions per ajustar la web a les vostres necessitats. Afegiu botigues en línia, galeries, llistes de correu, fòrums, anàlisis, i molt més. Comunitat Centenars de milers de desenvolupadors, creadors de contingut, i propietaris de llocs web es reuneixen en trobades mensuals en 817 ciutats arreu del món. Troba una comunitat local del WordPress Comenceu amb el WordPress Més de 60 milions de persones han triat el WordPress per a fer funcionar a sobre el lloc de la web que ells anomenen “casa” — uniu-vos a la família. Aconseguiu el WordPress Notícies del nostre bloc Versió 5.2.2 de manteniment El WordPress 5.2.2 ja està disponible! Aquesta versió de manteniment soluciona 13 errors i afegeix una mica de poliment a la funcionalitat de salut de lloc que va debutar a la versió 5.2. Per obtenir més informació, navegueu per la llista completa de canvis al Trac o consulteu la pàgina de documentació de la versió […] És tan fàcil com… Trobeu un amfitrió web de confiança i potser també suport per al WordPress al mateix temps. Descarregueu-vos i instal·leu-vos el WordPress amb la famosa instal·lació de 5 minuts. Publicar mai no ha estat tan fàcil. Passeu una estona llegint la documentació, coneixeu el WordPress millor cada dia i comenceu a ajudar a d'altres, també. Material de publicitat del WordPress Usuaris del WordPress … i centenars més Quant a Blog Hostatge Dona Suport Desenvolupadors Involucra't Aparador Extensions Temes WordCamp WordPress.TV El BuddyPress bbPress WordPress.com Matt Privacitat Public Code @WordPress WordPress El codi és poesia."
251685,20200925,ca.wordpress.org,https://ca.wordpress.org/,text/html,application/xhtml+xml,ca,"Blog Tool, Publishing Platform, and CMS | WordPress.org Català WordPress.org Català Toggle Menu Fòrum de suport Col·labora Equip Traduccions Meetups Blog Quant a nosaltres Conegueu el WordPress El WordPress és programari de codi obert que podeu usar per crear un lloc web maco, un bloc o una aplicació. Dissenys bonics, característiques potents, i la llibertat de construir el que vulguis. El WordPress és lliure i, al mateix temps, no té preu. Confiat pel millor 38% de la web fa servir el WordPress, des de blocs d'aficions, fins als llocs webs més grans de notícies en línia. Descobreix més llocs webs fets amb el WordPress Característiques potents Possibilitats sense límits. Què voleu crear? Dissenys personalitzables Amable optimització per a motors de cerca Llocs webs responsius Gran rendiment Gestiona sobre la marxa Gran seguretat Gestió potent dels mèdia Fàcil i accessible Esteneu el WordPress amb més de 55.000 extensions per ajustar la web a les vostres necessitats. Afegiu botigues en línia, galeries, llistes de correu, fòrums, anàlisis, i molt més. Comunitat Centenars de milers de desenvolupadors, creadors de contingut, i propietaris de llocs web es reuneixen en trobades mensuals en 817 ciutats arreu del món. Troba una comunitat local del WordPress Comenceu amb el WordPress Més de 60 milions de persones han triat el WordPress per a fer funcionar a sobre el lloc de la web que ells anomenen “casa” — uniu-vos a la família. Aconseguiu el WordPress Notícies del nostre bloc Versió 5.2.2 de manteniment El WordPress 5.2.2 ja està disponible! Aquesta versió de manteniment soluciona 13 errors i afegeix una mica de poliment a la funcionalitat de salut de lloc que va debutar a la versió 5.2. Per obtenir més informació, navegueu per la llista completa de canvis al Trac o consulteu la pàgina de documentació de la versió […] És tan fàcil com… Trobeu un amfitrió web de confiança i potser també suport per al WordPress al mateix temps. Descarregueu-vos i instal·leu-vos el WordPress amb la famosa instal·lació de 5 minuts. Publicar mai no ha estat tan fàcil. Passeu una estona llegint la documentació, coneixeu el WordPress millor cada dia i comenceu a ajudar a d'altres, també. Material de publicitat del WordPress Usuaris del WordPress … i centenars més Quant a Blog Hostatge Dona Suport Desenvolupadors Involucra't Aparador Extensions Temes WordCamp WordPress.TV El BuddyPress bbPress WordPress.com Matt Privacitat Public Code @WordPress WordPress El codi és poesia."
264245,20201002,ca.wordpress.org,https://ca.wordpress.org/,text/html,application/xhtml+xml,ca,"Blog Tool, Publishing Platform, and CMS | WordPress.org Català WordPress.org Català Toggle Menu Fòrum de suport Col·labora Equip Traduccions Meetups Blog Quant a nosaltres Conegueu el WordPress El WordPress és programari de codi obert que podeu usar per crear un lloc web maco, un bloc o una aplicació. Dissenys bonics, característiques potents, i la llibertat de construir el que vulguis. El WordPress és lliure i, al mateix temps, no té preu. Confiat pel millor 38% de la web fa servir el WordPress, des de blocs d'aficions, fins als llocs webs més grans de notícies en línia. Descobreix més llocs webs fets amb el WordPress Característiques potents Possibilitats sense límits. Què voleu crear? Dissenys personalitzables Amable optimització per a motors de cerca Llocs webs responsius Gran rendiment Gestiona sobre la marxa Gran seguretat Gestió potent dels mèdia Fàcil i accessible Esteneu el WordPress amb més de 55.000 extensions per ajustar la web a les vostres necessitats. Afegiu botigues en línia, galeries, llistes de correu, fòrums, anàlisis, i molt més. Comunitat Centenars de milers de desenvolupadors, creadors de contingut, i propietaris de llocs web es reuneixen en trobades mensuals en 817 ciutats arreu del món. Troba una comunitat local del WordPress Comenceu amb el WordPress Més de 60 milions de persones han triat el WordPress per a fer funcionar a sobre el lloc de la web que ells anomenen “casa” — uniu-vos a la família. Aconseguiu el WordPress Notícies del nostre bloc Versió 5.2.2 de manteniment El WordPress 5.2.2 ja està disponible! Aquesta versió de manteniment soluciona 13 errors i afegeix una mica de poliment a la funcionalitat de salut de lloc que va debutar a la versió 5.2. Per obtenir més informació, navegueu per la llista completa de canvis al Trac o consulteu la pàgina de documentació de la versió […] És tan fàcil com… Trobeu un amfitrió web de confiança i potser també suport per al WordPress al mateix temps. Descarregueu-vos i instal·leu-vos el WordPress amb la famosa instal·lació de 5 minuts. Publicar mai no ha estat tan fàcil. Passeu una estona llegint la documentació, coneixeu el WordPress millor cada dia i comenceu a ajudar a d'altres, també. Material de publicitat del WordPress Usuaris del WordPress … i centenars més Quant a Blog Hostatge Dona Suport Desenvolupadors Involucra't Aparador Extensions Temes WordCamp WordPress.TV El BuddyPress bbPress WordPress.com Matt Privacitat Public Code @WordPress WordPress El codi és poesia."
312127,20201030,ca.wordpress.org,https://ca.wordpress.org/,text/html,application/xhtml+xml,ca,"Blog Tool, Publishing Platform, and CMS | WordPress.org Català WordPress.org Català Toggle Menu Fòrum de suport Col·labora Equip Traduccions Meetups Blog Quant a nosaltres Conegueu el WordPress El WordPress és programari de codi obert que podeu usar per crear un lloc web maco, un bloc o una aplicació. Dissenys bonics, característiques potents, i la llibertat de construir el que vulguis. El WordPress és lliure i, al mateix temps, no té preu. Confiat pel millor 38% de la web fa servir el WordPress, des de blocs d'aficions, fins als llocs webs més grans de notícies en línia. Descobreix més llocs webs fets amb el WordPress Característiques potents Possibilitats sense límits. Què voleu crear? Dissenys personalitzables Amable optimització per a motors de cerca Llocs webs responsius Gran rendiment Gestiona sobre la marxa Gran seguretat Gestió potent dels mèdia Fàcil i accessible Esteneu el WordPress amb més de 55.000 extensions per ajustar la web a les vostres necessitats. Afegiu botigues en línia, galeries, llistes de correu, fòrums, anàlisis, i molt més. Comunitat Centenars de milers de desenvolupadors, creadors de contingut, i propietaris de llocs web es reuneixen en trobades mensuals en 817 ciutats arreu del món. Troba una comunitat local del WordPress Comenceu amb el WordPress Més de 60 milions de persones han triat el WordPress per a fer funcionar a sobre el lloc de la web que ells anomenen “casa” — uniu-vos a la família. Aconseguiu el WordPress Notícies del nostre bloc Versió 5.2.2 de manteniment El WordPress 5.2.2 ja està disponible! Aquesta versió de manteniment soluciona 13 errors i afegeix una mica de poliment a la funcionalitat de salut de lloc que va debutar a la versió 5.2. Per obtenir més informació, navegueu per la llista completa de canvis al Trac o consulteu la pàgina de documentació de la versió […] És tan fàcil com… Trobeu un amfitrió web de confiança i potser també suport per al WordPress al mateix temps. Descarregueu-vos i instal·leu-vos el WordPress amb la famosa instal·lació de 5 minuts. Publicar mai no ha estat tan fàcil. Passeu una estona llegint la documentació, coneixeu el WordPress millor cada dia i comenceu a ajudar a d'altres, també. Material de publicitat del WordPress Usuaris del WordPress … i centenars més Quant a Blog Hostatge Dona Suport Desenvolupadors Involucra't Aparador Extensions Temes WordCamp WordPress.TV El BuddyPress bbPress WordPress.com Matt Privacitat Public Code @WordPress WordPress El codi és poesia."
329941,20201106,ca.wordpress.org,https://ca.wordpress.org/,text/html,application/xhtml+xml,ca,"Blog Tool, Publishing Platform, and CMS | WordPress.org Català WordPress.org Català Toggle Menu Fòrum de suport Col·labora Equip Traduccions Meetups Blog Quant a nosaltres Conegueu el WordPress El WordPress és programari de codi obert que podeu usar per crear un lloc web maco, un bloc o una aplicació. Dissenys bonics, característiques potents, i la llibertat de construir el que vulguis. El WordPress és lliure i, al mateix temps, no té preu. Confiat pel millor 38% de la web fa servir el WordPress, des de blocs d'aficions, fins als llocs webs més grans de notícies en línia. Descobreix més llocs webs fets amb el WordPress Característiques potents Possibilitats sense límits. Què voleu crear? Dissenys personalitzables Amable optimització per a motors de cerca Llocs webs responsius Gran rendiment Gestiona sobre la marxa Gran seguretat Gestió potent dels mèdia Fàcil i accessible Esteneu el WordPress amb més de 55.000 extensions per ajustar la web a les vostres necessitats. Afegiu botigues en línia, galeries, llistes de correu, fòrums, anàlisis, i molt més. Comunitat Centenars de milers de desenvolupadors, creadors de contingut, i propietaris de llocs web es reuneixen en trobades mensuals en 817 ciutats arreu del món. Troba una comunitat local del WordPress Comenceu amb el WordPress Més de 60 milions de persones han triat el WordPress per a fer funcionar a sobre el lloc de la web que ells anomenen “casa” — uniu-vos a la família. Aconseguiu el WordPress Notícies del nostre bloc Versió 5.2.2 de manteniment El WordPress 5.2.2 ja està disponible! Aquesta versió de manteniment soluciona 13 errors i afegeix una mica de poliment a la funcionalitat de salut de lloc que va debutar a la versió 5.2. Per obtenir més informació, navegueu per la llista completa de canvis al Trac o consulteu la pàgina de documentació de la versió […] És tan fàcil com… Trobeu un amfitrió web de confiança i potser també suport per al WordPress al mateix temps. Descarregueu-vos i instal·leu-vos el WordPress amb la famosa instal·lació de 5 minuts. Publicar mai no ha estat tan fàcil. Passeu una estona llegint la documentació, coneixeu el WordPress millor cada dia i comenceu a ajudar a d'altres, també. Material de publicitat del WordPress Usuaris del WordPress … i centenars més Quant a Blog Hostatge Dona Suport Desenvolupadors Involucra't Aparador Extensions Temes WordCamp WordPress.TV El BuddyPress bbPress WordPress.com Matt Privacitat Public Code @WordPress WordPress El codi és poesia."
426750,20210115,ca.wordpress.org,https://ca.wordpress.org/,text/html,application/xhtml+xml,ca,"Blog Tool, Publishing Platform, and CMS | WordPress.org Català WordPress.org Català Toggle Menu Fòrum de suport Col·labora Equip Traduccions Meetups Blog Quant a nosaltres Conegueu el WordPress El WordPress és programari de codi obert que podeu usar per crear un lloc web maco, un bloc o una aplicació. Dissenys bonics, característiques potents, i la llibertat de construir el que vulguis. El WordPress és lliure i, al mateix temps, no té preu. Confiat pel millor 39% de la web fa servir el WordPress, des de blocs d'aficions, fins als llocs webs més grans de notícies en línia. Descobreix més llocs webs fets amb el WordPress Característiques potents Possibilitats sense límits. Què voleu crear? Dissenys personalitzables Amable optimització per a motors de cerca Llocs webs responsius Gran rendiment Gestiona sobre la marxa Gran seguretat Gestió potent dels mèdia Fàcil i accessible Esteneu el WordPress amb més de 55.000 extensions per ajustar la web a les vostres necessitats. Afegiu botigues en línia, galeries, llistes de correu, fòrums, anàlisis, i molt més. Comunitat Centenars de milers de desenvolupadors, creadors de contingut, i propietaris de llocs web es reuneixen en trobades mensuals en 817 ciutats arreu del món. Troba una comunitat local del WordPress Comenceu amb el WordPress Més de 60 milions de persones han triat el WordPress per a fer funcionar a sobre el lloc de la web que ells anomenen “casa” — uniu-vos a la família. Aconseguiu el WordPress Notícies del nostre bloc Versió 5.2.2 de manteniment El WordPress 5.2.2 ja està disponible! Aquesta versió de manteniment soluciona 13 errors i afegeix una mica de poliment a la funcionalitat de salut de lloc que va debutar a la versió 5.2. Per obtenir més informació, navegueu per la llista completa de canvis al Trac o consulteu la pàgina de documentació de la versió […] És tan fàcil com… Trobeu un amfitrió web de confiança i potser també suport per al WordPress al mateix temps. Descarregueu-vos i instal·leu-vos el WordPress amb la famosa instal·lació de 5 minuts. Publicar mai no ha estat tan fàcil. Passeu una estona llegint la documentació, coneixeu el WordPress millor cada dia i comenceu a ajudar a d'altres, també. Material de publicitat del WordPress Usuaris del WordPress … i centenars més Quant a Blog Hostatge Dona Suport Desenvolupadors Involucra't Aprèn Aparador Extensions Temes WordCamp WordPress.TV El BuddyPress bbPress WordPress.com Matt Privacitat Public Code @WordPress WordPress El codi és poesia."
