,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
8528,20200417,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
14079,20200424,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
19012,20200504,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
22454,20200515,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
64034,20200522,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
64176,20200529,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
72979,20200529,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
82240,20200605,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
92525,20200612,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
103744,20200619,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
113972,20200626,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
124417,20200703,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
134669,20200710,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
145211,20200717,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
155678,20200724,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
166639,20200731,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
177553,20200807,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
188438,20200814,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
201262,20200821,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
213167,20200828,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
225468,20200904,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
238567,20200911,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
249445,20200918,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
261870,20200925,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
273384,20201002,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
285813,20201009,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
297590,20201016,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
309316,20201023,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
321509,20201030,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
332584,20201106,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
344328,20201113,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
354986,20201120,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
366661,20201127,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
377431,20201204,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
387392,20201211,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
396707,20201218,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
405912,20201225,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
415054,20210101,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
424233,20210108,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
433660,20210115,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
442885,20210122,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
452954,20210129,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
463031,20210205,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
473228,20210212,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
483412,20210219,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
493690,20210226,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
503924,20210305,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
514176,20210312,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
524238,20210319,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
533160,20210326,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
543756,20210402,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
554428,20210409,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
564629,20210416,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
574895,20210423,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
585300,20210430,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
616781,20210521,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
627002,20210528,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
637848,20210604,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
648440,20210611,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
658189,20210618,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
664127,20210625,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
669948,20210702,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
675907,20210709,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
681882,20210716,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
687852,20210723,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
693488,20210730,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
699393,20210806,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
705345,20210813,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
711758,20210820,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
718530,20210827,calendar.boomte.ch,https://calendar.boomte.ch/widget/calendar,text/html,,,
