,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
394232,20201218,calendar.portcolborne.ca,https://calendar.portcolborne.ca/,text/html,text/html,en,"Calendar              - City of Port Colborne  Close Alert Banner Skip to Content Search Living Here Animals Services Bridges, Roads and Sidewalks Building and Construction Cemetery Emergency Preparedness Environment Fire Services Garbage and Recycling Library Health Services Municipal Drains Parking Property Taxes Retirement Living School Crossing Guards Transit Water and Wastewater COVID-19 Recreation and Leisure Beaches Boating Community Groups and Organizations Events and Festivals Farmers' Market Fishing Heritage, Arts and Culture Library Parks, Trails and Green Spaces Recreation Programs and Classes Sugarloaf Marina Vale Health and Wellness Centre Visiting Port Colborne Volunteers Ice Rentals Business and Development Real Estate Building and Construction Business Directory Business Permits and Licences Community Profile Invest in Port Colborne Planning and Development Applications Projects and Tenders City Hall A-Z Services Accessibility Applications, Licences and Permits Budget and Financial Reporting By-laws Commissioner of Oaths Committees and Boards Contact Us Council Freedom of Information Career Opportunities Municipal Elections News and Notices Plans, Reports and Studies Projects and Tenders Property Taxes Water and Wastewater Council Meeting Calendar Request a Service Customer Service Decrease text size Default text size Increase text size Print This Page Share This Page Facebook Twitter LinkedIn Email Menu Calendar Read our Community Calendar Disclaimer and Terms of Use Featured Events Select All Deselect All Arena Programming/ Public Skating City Events City Supported Events Community Events Library Museum Rec Program Apply Filter December 2020 Subscribe Submit Event Advanced Search Print View List View Calendar View List View Advanced Search Keyword(s): Start Date: End Date: Search Clear Save Search Clear Saved Search SUN MON TUE WED THU FRI SAT 29 30 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 1 2 No Results Found Contact Information Subscribe to page updates Follow Us: A-Z Services Accessibility Freedom of Information Privacy Sitemap Career Opportunities Request a Service Website Feedback Contact Us © 2020 City of Port Colborne, 66 Charlotte St, Port Colborne ON, L3K 3C8, Tel: 905-835-2900 Designed by eSolutionsGroup Close Old Browser Notification Browser Compatibility Notification It appears you are trying to access this site using an outdated browser. As a result, parts of the site may not function properly for you. We recommend updating your browser to its most recent version at your earliest convenience. Would you like to update the calendar? Apply Filters Cancel"
394246,20201218,calendar.portcolborne.ca,https://calendar.portcolborne.ca/meetings?_mid_=79262,text/html,text/html,en,"Council Calendar              - City of Port Colborne  Close Alert Banner Skip to Content Search Living Here Animals Services Bridges, Roads and Sidewalks Building and Construction Cemetery Emergency Preparedness Environment Fire Services Garbage and Recycling Library Health Services Municipal Drains Parking Property Taxes Retirement Living School Crossing Guards Transit Water and Wastewater COVID-19 Recreation and Leisure Beaches Boating Community Groups and Organizations Events and Festivals Farmers' Market Fishing Heritage, Arts and Culture Library Parks, Trails and Green Spaces Recreation Programs and Classes Sugarloaf Marina Vale Health and Wellness Centre Visiting Port Colborne Volunteers Ice Rentals Business and Development Real Estate Building and Construction Business Directory Business Permits and Licences Community Profile Invest in Port Colborne Planning and Development Applications Projects and Tenders City Hall A-Z Services Accessibility Applications, Licences and Permits Budget and Financial Reporting By-laws Commissioner of Oaths Committees and Boards Contact Us Council Freedom of Information Career Opportunities Municipal Elections News and Notices Plans, Reports and Studies Projects and Tenders Property Taxes Water and Wastewater Council Meeting Calendar Request a Service Customer Service Decrease text size Default text size Increase text size Print This Page Share This Page Facebook Twitter LinkedIn Email Menu Council Calendar Searching ... Council Calendar Subscribe Print View Search Criteria Start Date: End Date: Meeting Type Please Select ... Citizen Advisory Committees Committee of Adjustment Council Meetings Library Board Museum Board Keyword(s): Search Clear Save Search Clear Saved Search Search Results 0 Results Found Tuesday, November 17, 2020 to Wednesday, November 17, 2021 No Search Results Contact Information Subscribe to page updates Follow Us: A-Z Services Accessibility Freedom of Information Privacy Sitemap Career Opportunities Request a Service Website Feedback Contact Us © 2020 City of Port Colborne, 66 Charlotte St, Port Colborne ON, L3K 3C8, Tel: 905-835-2900 Designed by eSolutionsGroup Close Old Browser Notification Browser Compatibility Notification It appears you are trying to access this site using an outdated browser. As a result, parts of the site may not function properly for you. We recommend updating your browser to its most recent version at your earliest convenience. Would you like to update the calendar? Apply Filters Cancel"
394255,20201218,calendar.portcolborne.ca,https://calendar.portcolborne.ca/meetings/Index,text/html,text/html,en,"Council Calendar              - City of Port Colborne  Close Alert Banner Skip to Content Search Living Here Animals Services Bridges, Roads and Sidewalks Building and Construction Cemetery Emergency Preparedness Environment Fire Services Garbage and Recycling Library Health Services Municipal Drains Parking Property Taxes Retirement Living School Crossing Guards Transit Water and Wastewater COVID-19 Recreation and Leisure Beaches Boating Community Groups and Organizations Events and Festivals Farmers' Market Fishing Heritage, Arts and Culture Library Parks, Trails and Green Spaces Recreation Programs and Classes Sugarloaf Marina Vale Health and Wellness Centre Visiting Port Colborne Volunteers Ice Rentals Business and Development Real Estate Building and Construction Business Directory Business Permits and Licences Community Profile Invest in Port Colborne Planning and Development Applications Projects and Tenders City Hall A-Z Services Accessibility Applications, Licences and Permits Budget and Financial Reporting By-laws Commissioner of Oaths Committees and Boards Contact Us Council Freedom of Information Career Opportunities Municipal Elections News and Notices Plans, Reports and Studies Projects and Tenders Property Taxes Water and Wastewater Council Meeting Calendar Request a Service Customer Service Decrease text size Default text size Increase text size Print This Page Share This Page Facebook Twitter LinkedIn Email Menu Council Calendar Searching ... Council Calendar Subscribe Print View Search Criteria Start Date: End Date: Meeting Type Please Select ... Citizen Advisory Committees Committee of Adjustment Council Meetings Library Board Museum Board Keyword(s): Search Clear Save Search Clear Saved Search Search Results 0 Results Found Tuesday, November 17, 2020 to Wednesday, November 17, 2021 No Search Results Contact Information Subscribe to page updates Follow Us: A-Z Services Accessibility Freedom of Information Privacy Sitemap Career Opportunities Request a Service Website Feedback Contact Us © 2020 City of Port Colborne, 66 Charlotte St, Port Colborne ON, L3K 3C8, Tel: 905-835-2900 Designed by eSolutionsGroup Close Old Browser Notification Browser Compatibility Notification It appears you are trying to access this site using an outdated browser. As a result, parts of the site may not function properly for you. We recommend updating your browser to its most recent version at your earliest convenience. Would you like to update the calendar? Apply Filters Cancel"
394259,20201218,calendar.portcolborne.ca,https://calendar.portcolborne.ca/meetings,text/html,text/html,en,"Council Calendar              - City of Port Colborne  Close Alert Banner Skip to Content Search Living Here Animals Services Bridges, Roads and Sidewalks Building and Construction Cemetery Emergency Preparedness Environment Fire Services Garbage and Recycling Library Health Services Municipal Drains Parking Property Taxes Retirement Living School Crossing Guards Transit Water and Wastewater COVID-19 Recreation and Leisure Beaches Boating Community Groups and Organizations Events and Festivals Farmers' Market Fishing Heritage, Arts and Culture Library Parks, Trails and Green Spaces Recreation Programs and Classes Sugarloaf Marina Vale Health and Wellness Centre Visiting Port Colborne Volunteers Ice Rentals Business and Development Real Estate Building and Construction Business Directory Business Permits and Licences Community Profile Invest in Port Colborne Planning and Development Applications Projects and Tenders City Hall A-Z Services Accessibility Applications, Licences and Permits Budget and Financial Reporting By-laws Commissioner of Oaths Committees and Boards Contact Us Council Freedom of Information Career Opportunities Municipal Elections News and Notices Plans, Reports and Studies Projects and Tenders Property Taxes Water and Wastewater Council Meeting Calendar Request a Service Customer Service Decrease text size Default text size Increase text size Print This Page Share This Page Facebook Twitter LinkedIn Email Menu Council Calendar Searching ... Council Calendar Subscribe Print View Search Criteria Start Date: End Date: Meeting Type Please Select ... Citizen Advisory Committees Committee of Adjustment Council Meetings Library Board Museum Board Keyword(s): Search Clear Save Search Clear Saved Search Search Results 0 Results Found Tuesday, November 17, 2020 to Wednesday, November 17, 2021 No Search Results Contact Information Subscribe to page updates Follow Us: A-Z Services Accessibility Freedom of Information Privacy Sitemap Career Opportunities Request a Service Website Feedback Contact Us © 2020 City of Port Colborne, 66 Charlotte St, Port Colborne ON, L3K 3C8, Tel: 905-835-2900 Designed by eSolutionsGroup Close Old Browser Notification Browser Compatibility Notification It appears you are trying to access this site using an outdated browser. As a result, parts of the site may not function properly for you. We recommend updating your browser to its most recent version at your earliest convenience. Would you like to update the calendar? Apply Filters Cancel"
403513,20201225,calendar.portcolborne.ca,https://calendar.portcolborne.ca/,text/html,text/html,en,"Calendar              - City of Port Colborne  Close Alert Banner Skip to Content Search Living Here Animals Services Bridges, Roads and Sidewalks Building and Construction Cemetery Emergency Preparedness Environment Fire Services Garbage and Recycling Library Health Services Municipal Drains Parking Property Taxes Retirement Living School Crossing Guards Transit Water and Wastewater COVID-19 Recreation and Leisure Beaches Boating Community Groups and Organizations Events and Festivals Farmers' Market Fishing Heritage, Arts and Culture Library Parks, Trails and Green Spaces Recreation Programs and Classes Sugarloaf Marina Vale Health and Wellness Centre Visiting Port Colborne Volunteers Ice Rentals Business and Development Real Estate Building and Construction Business Directory Business Permits and Licences Community Profile Invest in Port Colborne Planning and Development Applications Projects and Tenders City Hall A-Z Services Accessibility Applications, Licences and Permits Budget and Financial Reporting By-laws Commissioner of Oaths Committees and Boards Contact Us Council Freedom of Information Career Opportunities Municipal Elections News and Notices Plans, Reports and Studies Projects and Tenders Property Taxes Water and Wastewater Council Meeting Calendar Request a Service Customer Service Decrease text size Default text size Increase text size Print This Page Share This Page Facebook Twitter LinkedIn Email Menu Calendar Read our Community Calendar Disclaimer and Terms of Use Featured Events Select All Deselect All Arena Programming/ Public Skating City Events City Supported Events Community Events Library Museum Rec Program Apply Filter December 2020 Subscribe Submit Event Advanced Search Print View List View Calendar View List View Advanced Search Keyword(s): Start Date: End Date: Search Clear Save Search Clear Saved Search SUN MON TUE WED THU FRI SAT 29 30 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 1 2 No Results Found Contact Information Subscribe to page updates Follow Us: A-Z Services Accessibility Freedom of Information Privacy Sitemap Career Opportunities Request a Service Website Feedback Contact Us © 2020 City of Port Colborne, 66 Charlotte St, Port Colborne ON, L3K 3C8, Tel: 905-835-2900 Designed by eSolutionsGroup Close Old Browser Notification Browser Compatibility Notification It appears you are trying to access this site using an outdated browser. As a result, parts of the site may not function properly for you. We recommend updating your browser to its most recent version at your earliest convenience. Would you like to update the calendar? Apply Filters Cancel"
403526,20201225,calendar.portcolborne.ca,https://calendar.portcolborne.ca/meetings?_mid_=79262,text/html,text/html,en,"Council Calendar              - City of Port Colborne  Close Alert Banner Skip to Content Search Living Here Animals Services Bridges, Roads and Sidewalks Building and Construction Cemetery Emergency Preparedness Environment Fire Services Garbage and Recycling Library Health Services Municipal Drains Parking Property Taxes Retirement Living School Crossing Guards Transit Water and Wastewater COVID-19 Recreation and Leisure Beaches Boating Community Groups and Organizations Events and Festivals Farmers' Market Fishing Heritage, Arts and Culture Library Parks, Trails and Green Spaces Recreation Programs and Classes Sugarloaf Marina Vale Health and Wellness Centre Visiting Port Colborne Volunteers Ice Rentals Business and Development Real Estate Building and Construction Business Directory Business Permits and Licences Community Profile Invest in Port Colborne Planning and Development Applications Projects and Tenders City Hall A-Z Services Accessibility Applications, Licences and Permits Budget and Financial Reporting By-laws Commissioner of Oaths Committees and Boards Contact Us Council Freedom of Information Career Opportunities Municipal Elections News and Notices Plans, Reports and Studies Projects and Tenders Property Taxes Water and Wastewater Council Meeting Calendar Request a Service Customer Service Decrease text size Default text size Increase text size Print This Page Share This Page Facebook Twitter LinkedIn Email Menu Council Calendar Searching ... Council Calendar Subscribe Print View Search Criteria Start Date: End Date: Meeting Type Please Select ... Citizen Advisory Committees Committee of Adjustment Council Meetings Library Board Museum Board Keyword(s): Search Clear Save Search Clear Saved Search Search Results 0 Results Found Tuesday, November 24, 2020 to Wednesday, November 24, 2021 No Search Results Contact Information Subscribe to page updates Follow Us: A-Z Services Accessibility Freedom of Information Privacy Sitemap Career Opportunities Request a Service Website Feedback Contact Us © 2020 City of Port Colborne, 66 Charlotte St, Port Colborne ON, L3K 3C8, Tel: 905-835-2900 Designed by eSolutionsGroup Close Old Browser Notification Browser Compatibility Notification It appears you are trying to access this site using an outdated browser. As a result, parts of the site may not function properly for you. We recommend updating your browser to its most recent version at your earliest convenience. Would you like to update the calendar? Apply Filters Cancel"
403537,20201225,calendar.portcolborne.ca,https://calendar.portcolborne.ca/meetings/Index,text/html,text/html,en,"Council Calendar              - City of Port Colborne  Close Alert Banner Skip to Content Search Living Here Animals Services Bridges, Roads and Sidewalks Building and Construction Cemetery Emergency Preparedness Environment Fire Services Garbage and Recycling Library Health Services Municipal Drains Parking Property Taxes Retirement Living School Crossing Guards Transit Water and Wastewater COVID-19 Recreation and Leisure Beaches Boating Community Groups and Organizations Events and Festivals Farmers' Market Fishing Heritage, Arts and Culture Library Parks, Trails and Green Spaces Recreation Programs and Classes Sugarloaf Marina Vale Health and Wellness Centre Visiting Port Colborne Volunteers Ice Rentals Business and Development Real Estate Building and Construction Business Directory Business Permits and Licences Community Profile Invest in Port Colborne Planning and Development Applications Projects and Tenders City Hall A-Z Services Accessibility Applications, Licences and Permits Budget and Financial Reporting By-laws Commissioner of Oaths Committees and Boards Contact Us Council Freedom of Information Career Opportunities Municipal Elections News and Notices Plans, Reports and Studies Projects and Tenders Property Taxes Water and Wastewater Council Meeting Calendar Request a Service Customer Service Decrease text size Default text size Increase text size Print This Page Share This Page Facebook Twitter LinkedIn Email Menu Council Calendar Searching ... Council Calendar Subscribe Print View Search Criteria Start Date: End Date: Meeting Type Please Select ... Citizen Advisory Committees Committee of Adjustment Council Meetings Library Board Museum Board Keyword(s): Search Clear Save Search Clear Saved Search Search Results 0 Results Found Tuesday, November 24, 2020 to Wednesday, November 24, 2021 No Search Results Contact Information Subscribe to page updates Follow Us: A-Z Services Accessibility Freedom of Information Privacy Sitemap Career Opportunities Request a Service Website Feedback Contact Us © 2020 City of Port Colborne, 66 Charlotte St, Port Colborne ON, L3K 3C8, Tel: 905-835-2900 Designed by eSolutionsGroup Close Old Browser Notification Browser Compatibility Notification It appears you are trying to access this site using an outdated browser. As a result, parts of the site may not function properly for you. We recommend updating your browser to its most recent version at your earliest convenience. Would you like to update the calendar? Apply Filters Cancel"
403538,20201225,calendar.portcolborne.ca,https://calendar.portcolborne.ca/meetings,text/html,text/html,en,"Council Calendar              - City of Port Colborne  Close Alert Banner Skip to Content Search Living Here Animals Services Bridges, Roads and Sidewalks Building and Construction Cemetery Emergency Preparedness Environment Fire Services Garbage and Recycling Library Health Services Municipal Drains Parking Property Taxes Retirement Living School Crossing Guards Transit Water and Wastewater COVID-19 Recreation and Leisure Beaches Boating Community Groups and Organizations Events and Festivals Farmers' Market Fishing Heritage, Arts and Culture Library Parks, Trails and Green Spaces Recreation Programs and Classes Sugarloaf Marina Vale Health and Wellness Centre Visiting Port Colborne Volunteers Ice Rentals Business and Development Real Estate Building and Construction Business Directory Business Permits and Licences Community Profile Invest in Port Colborne Planning and Development Applications Projects and Tenders City Hall A-Z Services Accessibility Applications, Licences and Permits Budget and Financial Reporting By-laws Commissioner of Oaths Committees and Boards Contact Us Council Freedom of Information Career Opportunities Municipal Elections News and Notices Plans, Reports and Studies Projects and Tenders Property Taxes Water and Wastewater Council Meeting Calendar Request a Service Customer Service Decrease text size Default text size Increase text size Print This Page Share This Page Facebook Twitter LinkedIn Email Menu Council Calendar Searching ... Council Calendar Subscribe Print View Search Criteria Start Date: End Date: Meeting Type Please Select ... Citizen Advisory Committees Committee of Adjustment Council Meetings Library Board Museum Board Keyword(s): Search Clear Save Search Clear Saved Search Search Results 0 Results Found Tuesday, November 24, 2020 to Wednesday, November 24, 2021 No Search Results Contact Information Subscribe to page updates Follow Us: A-Z Services Accessibility Freedom of Information Privacy Sitemap Career Opportunities Request a Service Website Feedback Contact Us © 2020 City of Port Colborne, 66 Charlotte St, Port Colborne ON, L3K 3C8, Tel: 905-835-2900 Designed by eSolutionsGroup Close Old Browser Notification Browser Compatibility Notification It appears you are trying to access this site using an outdated browser. As a result, parts of the site may not function properly for you. We recommend updating your browser to its most recent version at your earliest convenience. Would you like to update the calendar? Apply Filters Cancel"
412635,20210101,calendar.portcolborne.ca,https://calendar.portcolborne.ca/,text/html,text/html,en,"Calendar              - City of Port Colborne  Close Alert Banner Skip to Content Search Living Here Animals Services Bridges, Roads and Sidewalks Building and Construction Cemetery Emergency Preparedness Environment Fire Services Garbage and Recycling Library Health Services Municipal Drains Parking Property Taxes Retirement Living School Crossing Guards Transit Water and Wastewater COVID-19 Recreation and Leisure Beaches Boating Community Groups and Organizations Events and Festivals Farmers' Market Fishing Heritage, Arts and Culture Library Parks, Trails and Green Spaces Recreation Programs and Classes Sugarloaf Marina Vale Health and Wellness Centre Visiting Port Colborne Volunteers Ice Rentals Business and Development Real Estate Building and Construction Business Directory Business Permits and Licences Community Profile Invest in Port Colborne Planning and Development Applications Projects and Tenders City Hall A-Z Services Accessibility Applications, Licences and Permits Budget and Financial Reporting By-laws Commissioner of Oaths Committees and Boards Contact Us Council Freedom of Information Career Opportunities Municipal Elections News and Notices Plans, Reports and Studies Projects and Tenders Property Taxes Water and Wastewater Council Meeting Calendar Request a Service Customer Service Decrease text size Default text size Increase text size Print This Page Share This Page Facebook Twitter LinkedIn Email Menu Calendar Read our Community Calendar Disclaimer and Terms of Use Featured Events Select All Deselect All Arena Programming/ Public Skating City Events City Supported Events Community Events Library Museum Rec Program Apply Filter January 2021 Subscribe Submit Event Advanced Search Print View List View Calendar View List View Advanced Search Keyword(s): Start Date: End Date: Search Clear Save Search Clear Saved Search SUN MON TUE WED THU FRI SAT 27 28 29 30 31 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 1 2 3 4 5 6 No Results Found Contact Information Subscribe to page updates Follow Us: A-Z Services Accessibility Freedom of Information Privacy Sitemap Career Opportunities Request a Service Website Feedback Contact Us © 2020 City of Port Colborne, 66 Charlotte St, Port Colborne ON, L3K 3C8, Tel: 905-835-2900 Designed by eSolutionsGroup Close Old Browser Notification Browser Compatibility Notification It appears you are trying to access this site using an outdated browser. As a result, parts of the site may not function properly for you. We recommend updating your browser to its most recent version at your earliest convenience. Would you like to update the calendar? Apply Filters Cancel"
412643,20210101,calendar.portcolborne.ca,https://calendar.portcolborne.ca/meetings?_mid_=79262,text/html,text/html,en,"Council Calendar              - City of Port Colborne  Close Alert Banner Skip to Content Search Living Here Animals Services Bridges, Roads and Sidewalks Building and Construction Cemetery Emergency Preparedness Environment Fire Services Garbage and Recycling Library Health Services Municipal Drains Parking Property Taxes Retirement Living School Crossing Guards Transit Water and Wastewater COVID-19 Recreation and Leisure Beaches Boating Community Groups and Organizations Events and Festivals Farmers' Market Fishing Heritage, Arts and Culture Library Parks, Trails and Green Spaces Recreation Programs and Classes Sugarloaf Marina Vale Health and Wellness Centre Visiting Port Colborne Volunteers Ice Rentals Business and Development Real Estate Building and Construction Business Directory Business Permits and Licences Community Profile Invest in Port Colborne Planning and Development Applications Projects and Tenders City Hall A-Z Services Accessibility Applications, Licences and Permits Budget and Financial Reporting By-laws Commissioner of Oaths Committees and Boards Contact Us Council Freedom of Information Career Opportunities Municipal Elections News and Notices Plans, Reports and Studies Projects and Tenders Property Taxes Water and Wastewater Council Meeting Calendar Request a Service Customer Service Decrease text size Default text size Increase text size Print This Page Share This Page Facebook Twitter LinkedIn Email Menu Council Calendar Searching ... Council Calendar Subscribe Print View Search Criteria Start Date: End Date: Meeting Type Please Select ... Citizen Advisory Committees Committee of Adjustment Council Meetings Library Board Museum Board Keyword(s): Search Clear Save Search Clear Saved Search Search Results 0 Results Found Tuesday, December 1, 2020 to Wednesday, December 1, 2021 No Search Results Contact Information Subscribe to page updates Follow Us: A-Z Services Accessibility Freedom of Information Privacy Sitemap Career Opportunities Request a Service Website Feedback Contact Us © 2020 City of Port Colborne, 66 Charlotte St, Port Colborne ON, L3K 3C8, Tel: 905-835-2900 Designed by eSolutionsGroup Close Old Browser Notification Browser Compatibility Notification It appears you are trying to access this site using an outdated browser. As a result, parts of the site may not function properly for you. We recommend updating your browser to its most recent version at your earliest convenience. Would you like to update the calendar? Apply Filters Cancel"
