,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
7991,20200417,canterburyhills.ca,https://www.canterburyhills.ca/,text/html,text/html,en,"Summer Camp and Conference Centre in Ancaster, Ontario | Canterbury Hills Canterbury Hills Camp is an Ancaster based summer camp that has been operating for over 50 years. Our unique camping experience provides opportunities for children and youth to build community, engage in experiential learning and increase environmental awareness. Visit the Canterbury Hills Camp website During the Fall, Winter, and Spring, Canterbury Hills is managed by Adventureworks! Assoc. Inc. For information on retreat services and school trips from September to June, contact Adventureworks! 1-877-311-5683905-648-2343 Copyright © 2020 Canterbury Hills Web design by The Dunham Group"
13757,20200424,canterburyhills.ca,https://www.canterburyhills.ca/,text/html,,,
18688,20200504,canterburyhills.ca,https://www.canterburyhills.ca/,text/html,,,
22261,20200515,canterburyhills.ca,https://www.canterburyhills.ca/,text/html,,,
62865,20200522,canterburyhills.ca,https://www.canterburyhills.ca/,text/html,,,
63386,20200529,canterburyhills.ca,https://www.canterburyhills.ca/,text/html,,,
72383,20200529,canterburyhills.ca,https://www.canterburyhills.ca/,text/html,,,
81633,20200605,canterburyhills.ca,https://www.canterburyhills.ca/,text/html,,,
91971,20200612,canterburyhills.ca,https://www.canterburyhills.ca/,text/html,,,
103189,20200619,canterburyhills.ca,https://www.canterburyhills.ca/,text/html,,,
113176,20200626,canterburyhills.ca,https://www.canterburyhills.ca/,text/html,,,
123643,20200703,canterburyhills.ca,https://www.canterburyhills.ca/,text/html,,,
133880,20200710,canterburyhills.ca,https://www.canterburyhills.ca/,text/html,,,
144412,20200717,canterburyhills.ca,https://www.canterburyhills.ca/,text/html,,,
154859,20200724,canterburyhills.ca,https://www.canterburyhills.ca/,text/html,,,
165780,20200731,canterburyhills.ca,https://www.canterburyhills.ca/,text/html,,,
176695,20200807,canterburyhills.ca,https://www.canterburyhills.ca/,text/html,,,
187673,20200814,canterburyhills.ca,https://www.canterburyhills.ca/,text/html,,,
200459,20200821,canterburyhills.ca,https://www.canterburyhills.ca/,text/html,,,
212368,20200828,canterburyhills.ca,https://www.canterburyhills.ca/,text/html,,,
224640,20200904,canterburyhills.ca,https://www.canterburyhills.ca/,text/html,,,
238009,20200911,canterburyhills.ca,https://www.canterburyhills.ca/,text/html,,,
249374,20200918,canterburyhills.ca,https://www.canterburyhills.ca/,text/html,text/html,en,"Summer Camp and Conference Centre in Ancaster, Ontario | Canterbury Hills Canterbury Hills Camp is an Ancaster based summer camp that has been operating for over 50 years. Our unique camping experience provides opportunities for children and youth to build community, engage in experiential learning and increase environmental awareness. Visit the Canterbury Hills Camp website During the Fall, Winter, and Spring, Canterbury Hills is managed by Adventureworks! Assoc. Inc. For information on retreat services and school trips from September to June, contact Adventureworks! 1-877-311-5683905-648-2343 Copyright © 2020 Canterbury Hills Web design by The Dunham Group"
261700,20200925,canterburyhills.ca,https://www.canterburyhills.ca/,text/html,,,
272663,20201002,canterburyhills.ca,https://www.canterburyhills.ca/,text/html,,,
285014,20201009,canterburyhills.ca,https://www.canterburyhills.ca/,text/html,,,
296836,20201016,canterburyhills.ca,https://www.canterburyhills.ca/,text/html,,,
308539,20201023,canterburyhills.ca,https://www.canterburyhills.ca/,text/html,,,
320694,20201030,canterburyhills.ca,https://www.canterburyhills.ca/,text/html,,,
331806,20201106,canterburyhills.ca,https://www.canterburyhills.ca/,text/html,,,
343549,20201113,canterburyhills.ca,https://www.canterburyhills.ca/,text/html,,,
354196,20201120,canterburyhills.ca,https://www.canterburyhills.ca/,text/html,,,
365874,20201127,canterburyhills.ca,https://www.canterburyhills.ca/,text/html,,,
377178,20201204,canterburyhills.ca,https://www.canterburyhills.ca/,text/html,,,
387133,20201211,canterburyhills.ca,https://www.canterburyhills.ca/,text/html,,,
396203,20201218,canterburyhills.ca,https://www.canterburyhills.ca/,text/html,,,
405408,20201225,canterburyhills.ca,https://www.canterburyhills.ca/,text/html,,,
