,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
8050,20200417,canterburyhillscamp.ca,https://canterburyhillscamp.ca/,text/html,text/html,en,"Summer Camp in Ancaster, Ontario | Canterbury Hills Camp Menu Home Register Summer Camps Adventure Camp Family Camp Day Camp Overnight Camp Pics Summer March Break Staff About Our Staff Adventure Camp Leaders Day/Overnight Positions Kitchen Positions Returning Staff Leader in Training Program Resource Team About Camp Director Contact Facilities General information Environment Mission Statement FAQ Cabins Food High/Low Ropes Swimming Spirituality Ticks Wellness Online Registration COVID-19 Updates Click here to see updates on our response to COVID-19. Forever memories are made here! Register Now Summer 2020 Registration Registration for returning campers is officially open! For returning campers, the link to the online registration portal was sent to the email address that you used to register your camper last summer. Please check your email and contact the Camp Registrar Registration for new campers will begin on January 20th at 10am. At this time campers will be able to register using the website link. All payments will be due by June 1, 2020. For more information about our Registration system, please visit the FAQs page Session dates for Summer 2020 are as follows: March Breakaway Camp: March 19th-20th Family Camp: June 26th-28th Session 1: July 5th-10th Session 2: July 12th-17th Session 3: July 19th-24th Session 4: July 26th-31st Session 5: August 3rd-7th Session 6: August 9th-14th Session 7: August 16th-21st Adventure Camp will be taking place Session 2 and Session 7. Summer 2020 Staff Positions Application for summer 2020 camp staff are now open! We are currently accepting applications for the 2020 summer staff at Canterbury Hills Camp. If you are interested, please submit your application before February 24. Interviews will be held on either February 29th or March 7th. ""This was our son's first experience at Cantebury Hills. He absolutely LOVED every minute!"" ""At the end of the week, my camper wanted to stay for the whole summer!"" ""Thank you for embracing our boys and creating an inclusive, trusting and safe camp experience."" ""The confidence my camper gained will help him grow and make good positive choices."" CANTERBURY HILLS SLIDESHOW CANTERBURY HILLS FACEBOOK Canterbury Hills Camp SUMMER STAFF POSITIONS Tweets by CanterburyHills Canterbury Hills Camp Mailing Address: c/o 252 James Street North Hamilton, ON L8R 2L3 Physical Address: 509 Lions Club Road Dundas, ON L9H 5E3 Get directions Tel: 905-648-2712 Facebook Twitter Google+ Copyright © 2020 Canterbury Hills Camp Web design by The Dunham Group"
13806,20200424,canterburyhillscamp.ca,https://canterburyhillscamp.ca/,text/html,,,
18738,20200504,canterburyhillscamp.ca,https://canterburyhillscamp.ca/,text/html,,,
22272,20200515,canterburyhillscamp.ca,https://canterburyhillscamp.ca/,text/html,,,
62890,20200522,canterburyhillscamp.ca,https://canterburyhillscamp.ca/,text/html,,,
63402,20200529,canterburyhillscamp.ca,https://canterburyhillscamp.ca/,text/html,text/html,en,"Summer Camp in Ancaster, Ontario | Canterbury Hills Camp Menu Home Summer Camps Adventure Camp Family Camp Day Camp Overnight Camp Pics Summer March Break Staff About Our Staff Adventure Camp Leaders Day/Overnight Positions Kitchen Positions Returning Staff Leader in Training Program Resource Team About Camp Director Contact Facilities General information Environment Mission Statement FAQ Cabins Food High/Low Ropes Swimming Spirituality Ticks Wellness Online Registration COVID-19 Updates There have been changes to the Summer 2020 camping program. Click here to see updates on our response to COVID-19. Forever memories are made here! Summer 2020 Update It is with great sadness that we announce the cancellation of our Summer 2020 camping season. We have made the decision to cancel ALL of our camps including Day Camp, Overnight Camp, and Adventure Camp. We feel that this is the best decision as we want to ensure the health and safety of all of our campers and staff members. Moving forward, all families will receive refunds for their 2020 camp fees. You will have three options as to how you would like to receive your camp fees back. More information can be found on our Covid-19 Updates page. ""This was our son's first experience at Cantebury Hills. He absolutely LOVED every minute!"" ""At the end of the week, my camper wanted to stay for the whole summer!"" ""Thank you for embracing our boys and creating an inclusive, trusting and safe camp experience."" ""The confidence my camper gained will help him grow and make good positive choices."" CANTERBURY HILLS SLIDESHOW CANTERBURY HILLS FACEBOOK Canterbury Hills Camp SUMMER STAFF POSITIONS Tweets by CanterburyHills Canterbury Hills Camp Mailing Address: c/o 252 James Street North Hamilton, ON L8R 2L3 Physical Address: 509 Lions Club Road Dundas, ON L9H 5E3 Get directions Tel: 905-648-2712 Facebook Twitter Google+ Copyright © 2020 Canterbury Hills Camp Web design by The Dunham Group"
72403,20200529,canterburyhillscamp.ca,https://canterburyhillscamp.ca/,text/html,,,
81662,20200605,canterburyhillscamp.ca,https://canterburyhillscamp.ca/,text/html,,,
92010,20200612,canterburyhillscamp.ca,https://canterburyhillscamp.ca/,text/html,,,
103232,20200619,canterburyhillscamp.ca,https://canterburyhillscamp.ca/,text/html,,,
113220,20200626,canterburyhillscamp.ca,https://canterburyhillscamp.ca/,text/html,,,
