,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
6243,20200417,careerfair.niagaracollege.ca,https://careerfair.niagaracollege.ca/,text/html,text/html,en,"Career Fair at Niagara College Skip to content Career Fair at Niagara College Menu Home The Career Fair is now over. See you next year! Career Fairs at Niagara College are our largest career events of the year! They give attendees the chance to meet a wide variety of exhibitors, find job opportunities and co-ops, and network with employers. Students, alumni and community members are all welcome to attend. About Niagara College Since opening our doors in 1967 in Welland and expanding into other parts of the Niagara Region, we have grown to become a leader in education and training. Learn more Career Fair 2020 The Career Fair is now over. Thank-you to everyone that attended! Different employers will be attending each day! Welland Campus February 4, 2020 10 a.m. to 2 p.m. Niagara-on-the-Lake Campus February 5, 6 & 7, 2020 10 a.m. to 2 p.m. Get Directions Career Fair Proudly powered by WordPress"
13229,20200424,careerfair.niagaracollege.ca,https://careerfair.niagaracollege.ca/,text/html,,,
17871,20200504,careerfair.niagaracollege.ca,https://careerfair.niagaracollege.ca/,text/html,,,
21610,20200515,careerfair.niagaracollege.ca,https://careerfair.niagaracollege.ca/,text/html,text/html,en,"Career Fair at Niagara College Skip to content Career Fair at Niagara College Menu Home The Career Fair is now over. See you next year! Career Fairs at Niagara College are our largest career events of the year! They give attendees the chance to meet a wide variety of exhibitors, find job opportunities and co-ops, and network with employers. Students, alumni and community members are all welcome to attend. About Niagara College Since opening our doors in 1967 in Welland and expanding into other parts of the Niagara Region, we have grown to become a leader in education and training. Learn more Career Fair 2020 The Career Fair is now over. Thank-you to everyone that attended! Different employers will be attending each day! Welland Campus February 4, 2020 10 a.m. to 2 p.m. Niagara-on-the-Lake Campus February 5, 6 & 7, 2020 10 a.m. to 2 p.m. Get Directions Career Fair Proudly powered by WordPress"
59271,20200522,careerfair.niagaracollege.ca,https://careerfair.niagaracollege.ca/,text/html,,,
59900,20200529,careerfair.niagaracollege.ca,https://careerfair.niagaracollege.ca/,text/html,,,
70761,20200529,careerfair.niagaracollege.ca,https://careerfair.niagaracollege.ca/,text/html,text/html,en,"Career Fair at Niagara College Skip to content Career Fair at Niagara College Menu Home The Career Fair is now over. See you next year! Career Fairs at Niagara College are our largest career events of the year! They give attendees the chance to meet a wide variety of exhibitors, find job opportunities and co-ops, and network with employers. Students, alumni and community members are all welcome to attend. About Niagara College Since opening our doors in 1967 in Welland and expanding into other parts of the Niagara Region, we have grown to become a leader in education and training. Learn more Career Fair 2020 The Career Fair is now over. Thank-you to everyone that attended! Different employers will be attending each day! Welland Campus February 4, 2020 10 a.m. to 2 p.m. Niagara-on-the-Lake Campus February 5, 6 & 7, 2020 10 a.m. to 2 p.m. Get Directions Career Fair Proudly powered by WordPress"
79379,20200605,careerfair.niagaracollege.ca,https://careerfair.niagaracollege.ca/,text/html,,,
90203,20200612,careerfair.niagaracollege.ca,https://careerfair.niagaracollege.ca/,text/html,,,
101421,20200619,careerfair.niagaracollege.ca,https://careerfair.niagaracollege.ca/,text/html,text/html,en,"Career Fair at Niagara College Skip to content Career Fair at Niagara College Menu Home The Career Fair is now over. See you next year! Career Fairs at Niagara College are our largest career events of the year! They give attendees the chance to meet a wide variety of exhibitors, find job opportunities and co-ops, and network with employers. Students, alumni and community members are all welcome to attend. About Niagara College Since opening our doors in 1967 in Welland and expanding into other parts of the Niagara Region, we have grown to become a leader in education and training. Learn more Career Fair 2020 The Career Fair is now over. Thank-you to everyone that attended! Different employers will be attending each day! Welland Campus February 4, 2020 10 a.m. to 2 p.m. Niagara-on-the-Lake Campus February 5, 6 & 7, 2020 10 a.m. to 2 p.m. Get Directions Career Fair Proudly powered by WordPress"
111234,20200626,careerfair.niagaracollege.ca,https://careerfair.niagaracollege.ca/,text/html,,,
121610,20200703,careerfair.niagaracollege.ca,https://careerfair.niagaracollege.ca/,text/html,,,
131838,20200710,careerfair.niagaracollege.ca,https://careerfair.niagaracollege.ca/,text/html,,,
142327,20200717,careerfair.niagaracollege.ca,https://careerfair.niagaracollege.ca/,text/html,,,
152782,20200724,careerfair.niagaracollege.ca,https://careerfair.niagaracollege.ca/,text/html,,,
163663,20200731,careerfair.niagaracollege.ca,https://careerfair.niagaracollege.ca/,text/html,,,
174736,20200807,careerfair.niagaracollege.ca,https://careerfair.niagaracollege.ca/,text/html,,,
185648,20200814,careerfair.niagaracollege.ca,https://careerfair.niagaracollege.ca/,text/html,,,
198486,20200821,careerfair.niagaracollege.ca,https://careerfair.niagaracollege.ca/,text/html,,,
209508,20200828,careerfair.niagaracollege.ca,https://careerfair.niagaracollege.ca/,text/html,,,
221460,20200904,careerfair.niagaracollege.ca,https://careerfair.niagaracollege.ca/,text/html,,,
234015,20200911,careerfair.niagaracollege.ca,https://careerfair.niagaracollege.ca/,text/html,,,
246613,20200918,careerfair.niagaracollege.ca,https://careerfair.niagaracollege.ca/,text/html,,,
257562,20200925,careerfair.niagaracollege.ca,https://careerfair.niagaracollege.ca/,text/html,,,
270217,20201002,careerfair.niagaracollege.ca,https://careerfair.niagaracollege.ca/,text/html,,,
281968,20201009,careerfair.niagaracollege.ca,https://careerfair.niagaracollege.ca/,text/html,,,
294176,20201016,careerfair.niagaracollege.ca,https://careerfair.niagaracollege.ca/,text/html,,,
306145,20201023,careerfair.niagaracollege.ca,https://careerfair.niagaracollege.ca/,text/html,,,
318214,20201030,careerfair.niagaracollege.ca,https://careerfair.niagaracollege.ca/,text/html,,,
330095,20201106,careerfair.niagaracollege.ca,https://careerfair.niagaracollege.ca/,text/html,text/html,en,"Career Fair at Niagara College Skip to content Career Fair at Niagara College Menu Home The Career Fair is now over. See you next year! Career Fairs at Niagara College are our largest career events of the year! They give attendees the chance to meet a wide variety of exhibitors, find job opportunities and co-ops, and network with employers. Students, alumni and community members are all welcome to attend. About Niagara College Since opening our doors in 1967 in Welland and expanding into other parts of the Niagara Region, we have grown to become a leader in education and training. Learn more Career Fair 2020 The Career Fair is now over. Thank-you to everyone that attended! Different employers will be attending each day! Welland Campus February 4, 2020 10 a.m. to 2 p.m. Niagara-on-the-Lake Campus February 5, 6 & 7, 2020 10 a.m. to 2 p.m. Get Directions Career Fair Proudly powered by WordPress"
340982,20201113,careerfair.niagaracollege.ca,https://careerfair.niagaracollege.ca/,text/html,,,
351832,20201120,careerfair.niagaracollege.ca,https://careerfair.niagaracollege.ca/,text/html,,,
363279,20201127,careerfair.niagaracollege.ca,https://careerfair.niagaracollege.ca/,text/html,text/html,en,"Niagara College Virtual Career Fair Niagara College Virtual Career Fair Virtual Career Fair is coming soon! SAVE THE DATE! The NC Virtual Career Fair will be taking place on Wednesday, February 17, 2021 from 9 a.m. – 4 p.m. EST. We're working on a great new site – please check back soon! © Niagara College Canada 2020"
374791,20201204,careerfair.niagaracollege.ca,https://careerfair.niagaracollege.ca/,text/html,,,
