,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
24473,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
24580,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
24600,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
24620,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
24635,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
24657,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
24672,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
24689,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
24710,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
24727,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
24746,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
24763,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
24778,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
24797,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
24816,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
24834,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
24851,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
24867,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
24882,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
24901,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
24914,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
24929,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
24944,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
24964,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
24983,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
25002,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
25015,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
25032,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
25049,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
25071,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
25086,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
25103,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
25118,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,,,
25132,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
25149,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
25165,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
25178,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
25195,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
25214,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
25230,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
25250,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
25266,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
25288,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
25302,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
25318,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
25336,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
25353,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
25368,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,,,
25386,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
25404,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
25420,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
25433,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,,,
25448,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
25465,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
25482,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
25495,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
25515,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
25534,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
25554,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
25571,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
25586,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
25601,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
25618,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
25636,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
25651,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
25670,20200706,cdn.districtm.io,https://cdn.districtm.io/ids/index.html,text/html,text/html,,
