,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
9007,20200417,chrome.google.com,https://chrome.google.com/webstore/detail/pinterest-save-button/gpdjojdkbbmdfjfahjcgigfpmkopogic,text/html,text/html,en,"Pinterest Save Button - Chrome Web Store Pinterest Save Button offered by pinterest.com (9242) 10,000,000+ usersavailable for AndroidGet it » Overview Save the things you find on the Web. The Pinterest Save button lets you save any idea you find around the web so you can easily get back to it later.  Just click to save dinner recipes, style inspiration, home projects and other ideas you want to try.  The Pinterest Save button also has built-in visual discovery technology—hover over any image and click the visual search tool to instantly discover visually similar ideas on Pinterest. 4.0.100 fixes a permissions bug. Report Abuse Additional Information Version: 4.0.100 Updated: March 11, 2020 Size: 250KiB Languages: See all 30 Developer Privacy Policy"
14273,20200424,chrome.google.com,https://chrome.google.com/webstore/detail/pinterest-save-button/gpdjojdkbbmdfjfahjcgigfpmkopogic,text/html,text/html,en,"Pinterest Save Button - Chrome Web Store Pinterest Save Button offered by pinterest.com (9240) 10,000,000+ usersavailable for AndroidGet it » Overview Save the things you find on the Web. The Pinterest Save button lets you save any idea you find around the web so you can easily get back to it later.  Just click to save dinner recipes, style inspiration, home projects and other ideas you want to try.  The Pinterest Save button also has built-in visual discovery technology—hover over any image and click the visual search tool to instantly discover visually similar ideas on Pinterest. 4.0.100 fixes a permissions bug. Report Abuse Additional Information Version: 4.0.100 Updated: March 11, 2020 Size: 250KiB Languages: See all 30 Developer Privacy Policy"
19492,20200504,chrome.google.com,https://chrome.google.com/webstore/detail/pinterest-save-button/gpdjojdkbbmdfjfahjcgigfpmkopogic,text/html,text/html,en,"Pinterest Save Button - Chrome Web Store Pinterest Save Button offered by pinterest.com (9239) 10,000,000+ usersavailable for AndroidGet it » Overview Save the things you find on the Web. The Pinterest Save button lets you save any idea you find around the web so you can easily get back to it later.  Just click to save dinner recipes, style inspiration, home projects and other ideas you want to try.  The Pinterest Save button also has built-in visual discovery technology—hover over any image and click the visual search tool to instantly discover visually similar ideas on Pinterest. 4.0.101 contains speed and stability improvements, and minor changes to Visual Search. Report Abuse Additional Information Version: 4.0.101 Updated: April 27, 2020 Size: 250KiB Languages: See all 32 Developer Privacy Policy"
22906,20200515,chrome.google.com,https://chrome.google.com/webstore/detail/pinterest-save-button/gpdjojdkbbmdfjfahjcgigfpmkopogic,text/html,text/html,en,"Pinterest Save Button - Chrome Web Store Pinterest Save Button offered by pinterest.com (9239) 10,000,000+ usersavailable for AndroidGet it » Overview Save the things you find on the Web. The Pinterest Save button lets you save any idea you find around the web so you can easily get back to it later.  Just click to save dinner recipes, style inspiration, home projects and other ideas you want to try.  The Pinterest Save button also has built-in visual discovery technology—hover over any image and click the visual search tool to instantly discover visually similar ideas on Pinterest. 4.0.102 contains speed and stability improvements. Report Abuse Additional Information Version: 4.0.102 Updated: May 11, 2020 Size: 250KiB Languages: See all 32 Developer Privacy Policy"
64826,20200529,chrome.google.com,https://chrome.google.com/webstore/detail/pinterest-save-button/gpdjojdkbbmdfjfahjcgigfpmkopogic,text/html,text/html,en,"Pinterest Save Button - Chrome Web Store Pinterest Save Button offered by pinterest.com (9238) 10,000,000+ usersavailable for AndroidGet it » Overview Save the things you find on the Web. The Pinterest Save button lets you save any idea you find around the web so you can easily get back to it later.  Just click to save dinner recipes, style inspiration, home projects and other ideas you want to try.  The Pinterest Save button also has built-in visual discovery technology—hover over any image and click the visual search tool to instantly discover visually similar ideas on Pinterest. 4.0.102 contains speed and stability improvements. Report Abuse Additional Information Version: 4.0.102 Updated: May 11, 2020 Size: 250KiB Languages: See all 32 Developer Privacy Policy"
65068,20200522,chrome.google.com,https://chrome.google.com/webstore/detail/pinterest-save-button/gpdjojdkbbmdfjfahjcgigfpmkopogic,text/html,text/html,en,"Pinterest Save Button - Chrome Web Store Pinterest Save Button offered by pinterest.com (9238) 10,000,000+ usersavailable for AndroidGet it » Overview Save the things you find on the Web. The Pinterest Save button lets you save any idea you find around the web so you can easily get back to it later.  Just click to save dinner recipes, style inspiration, home projects and other ideas you want to try.  The Pinterest Save button also has built-in visual discovery technology—hover over any image and click the visual search tool to instantly discover visually similar ideas on Pinterest. 4.0.102 contains speed and stability improvements. Report Abuse Additional Information Version: 4.0.102 Updated: May 11, 2020 Size: 250KiB Languages: See all 32 Developer Privacy Policy"
73194,20200529,chrome.google.com,https://chrome.google.com/webstore/detail/pinterest-save-button/gpdjojdkbbmdfjfahjcgigfpmkopogic,text/html,text/html,en,"Pinterest Save Button - Chrome Web Store Pinterest Save Button offered by pinterest.com (9238) 10,000,000+ usersavailable for AndroidGet it » Overview Save the things you find on the Web. The Pinterest Save button lets you save any idea you find around the web so you can easily get back to it later.  Just click to save dinner recipes, style inspiration, home projects and other ideas you want to try.  The Pinterest Save button also has built-in visual discovery technology—hover over any image and click the visual search tool to instantly discover visually similar ideas on Pinterest. 4.0.102 contains speed and stability improvements. Report Abuse Additional Information Version: 4.0.102 Updated: May 11, 2020 Size: 250KiB Languages: See all 32 Developer Privacy Policy"
82461,20200605,chrome.google.com,https://chrome.google.com/webstore/detail/pinterest-save-button/gpdjojdkbbmdfjfahjcgigfpmkopogic,text/html,text/html,en,"Pinterest Save Button - Chrome Web Store Pinterest Save Button offered by pinterest.com (9238) 10,000,000+ usersavailable for AndroidGet it » Overview Save the things you find on the Web. The Pinterest Save button lets you save any idea you find around the web so you can easily get back to it later.  Just click to save dinner recipes, style inspiration, home projects and other ideas you want to try.  The Pinterest Save button also has built-in visual discovery technology—hover over any image and click the visual search tool to instantly discover visually similar ideas on Pinterest. 4.0.103 contains speed and stability improvements, and new UI for a small percentage of users. Report Abuse Additional Information Version: 4.0.103 Updated: June 3, 2020 Size: 261KiB Languages: See all 32 Developer Privacy Policy"
92721,20200612,chrome.google.com,https://chrome.google.com/webstore/detail/pinterest-save-button/gpdjojdkbbmdfjfahjcgigfpmkopogic,text/html,text/html,en,"Pinterest Save Button - Chrome Web Store Pinterest Save Button offered by pinterest.com (9235) 10,000,000+ usersavailable for AndroidGet it » Overview Save the things you find on the Web. The Pinterest Save button lets you save any idea you find around the web so you can easily get back to it later.  Just click to save dinner recipes, style inspiration, home projects and other ideas you want to try.  The Pinterest Save button also has built-in visual discovery technology—hover over any image and click the visual search tool to instantly discover visually similar ideas on Pinterest. 4.0.103 contains speed and stability improvements, and new UI for a small percentage of users. Report Abuse Additional Information Version: 4.0.103 Updated: June 3, 2020 Size: 261KiB Languages: See all 32 Developer Privacy Policy"
103945,20200619,chrome.google.com,https://chrome.google.com/webstore/detail/pinterest-save-button/gpdjojdkbbmdfjfahjcgigfpmkopogic,text/html,text/html,en,"Pinterest Save Button - Chrome Web Store Pinterest Save Button offered by pinterest.com (9233) 10,000,000+ usersavailable for AndroidGet it » Overview Save the things you find on the Web. The Pinterest Save button lets you save any idea you find around the web so you can easily get back to it later.  Just click to save dinner recipes, style inspiration, home projects and other ideas you want to try.  The Pinterest Save button also has built-in visual discovery technology—hover over any image and click the visual search tool to instantly discover visually similar ideas on Pinterest. 4.0.104 contains bug fixes and an experiment to filter duplicate images from the image picker. Report Abuse Additional Information Version: 4.0.104 Updated: June 16, 2020 Size: 263KiB Languages: See all 32 Developer Email: hostmaster+android@pinterest.com Privacy Policy"
