,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
663136,20210625,composer.nprstations.org,https://composer.nprstations.org/widgets/iframe/now.html?station=5187ee74e1c8443f998a43cf,text/html,text/html,,
668928,20210702,composer.nprstations.org,https://composer.nprstations.org/widgets/iframe/now.html?station=5187ee74e1c8443f998a43cf,text/html,text/html,,
674875,20210709,composer.nprstations.org,https://composer.nprstations.org/widgets/iframe/now.html?station=5187ee74e1c8443f998a43cf,text/html,text/html,,
680916,20210716,composer.nprstations.org,https://composer.nprstations.org/widgets/iframe/now.html?station=5187ee74e1c8443f998a43cf,text/html,text/html,,
686835,20210723,composer.nprstations.org,https://composer.nprstations.org/widgets/iframe/now.html?station=5187ee74e1c8443f998a43cf,text/html,text/html,,
692729,20210730,composer.nprstations.org,https://composer.nprstations.org/widgets/iframe/now.html?station=5187ee74e1c8443f998a43cf,text/html,text/html,,
698469,20210806,composer.nprstations.org,https://composer.nprstations.org/widgets/iframe/now.html?station=5187ee74e1c8443f998a43cf,text/html,text/html,,
704292,20210813,composer.nprstations.org,https://composer.nprstations.org/widgets/iframe/now.html?station=5187ee74e1c8443f998a43cf,text/html,text/html,,
710815,20210820,composer.nprstations.org,https://composer.nprstations.org/widgets/iframe/now.html?station=5187ee74e1c8443f998a43cf,text/html,text/html,,
717546,20210827,composer.nprstations.org,https://composer.nprstations.org/widgets/iframe/now.html?station=5187ee74e1c8443f998a43cf,text/html,text/html,,
723936,20210903,composer.nprstations.org,https://composer.nprstations.org/widgets/iframe/now.html?station=5187ee74e1c8443f998a43cf,text/html,text/html,,
729623,20210910,composer.nprstations.org,https://composer.nprstations.org/widgets/iframe/now.html?station=5187ee74e1c8443f998a43cf,text/html,text/html,,
735345,20210917,composer.nprstations.org,https://composer.nprstations.org/widgets/iframe/now.html?station=5187ee74e1c8443f998a43cf,text/html,text/html,,
741065,20210924,composer.nprstations.org,https://composer.nprstations.org/widgets/iframe/now.html?station=5187ee74e1c8443f998a43cf,text/html,text/html,,
746954,20211001,composer.nprstations.org,https://composer.nprstations.org/widgets/iframe/now.html?station=5187ee74e1c8443f998a43cf,text/html,text/html,,
752927,20211008,composer.nprstations.org,https://composer.nprstations.org/widgets/iframe/now.html?station=5187ee74e1c8443f998a43cf,text/html,text/html,,
