,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
59288,20200522,covid-benefits.alpha.canada.ca,https://covid-benefits.alpha.canada.ca/en/start?utm_source=Structureddata&utm_medium=FAQPage&utm_campaign=COVID-19,text/html,text/html,en,"Find financial help during COVID-19 Skip to main content ALPHA: This site will change as we test ideas. Language Selection Français Find financial help during COVID-19 Answer some questions to find financial help. We cannot guarantee your eligibility, but we can point you to the program details. More benefits being added You may want to keep checking back for updates. Find help Own a business? Find support for your business. Report a problem or mistake on this page Check all the issues that apply Incorrect information Confusing or unclear information You didn't find what you were looking for Page does not work with your adaptive technologies You're worried about your privacy Other Can you tell us more? Do not include your personal or financial details. Submit Thank you for your feedback. Internal server error Date modified: 2020-05-22 Contact information Privacy policy Terms and conditions"
59924,20200529,covid-benefits.alpha.canada.ca,https://covid-benefits.alpha.canada.ca/en/start?utm_source=Structureddata&utm_medium=FAQPage&utm_campaign=COVID-19,text/html,text/html,en,"Find financial help during COVID-19 Skip to main content ALPHA: This site will change as we test ideas. Language Selection Français Find financial help during COVID-19 Enable cookies to use this service It looks like you have cookies disabled. This service uses cookies to show your results. You will not see results without enabling cookies. Answer some questions to find financial help. We cannot guarantee your eligibility, but we can point you to the program details. More benefits being added You may want to keep checking back for updates. Find help Own a business? Find support for your business. Report a problem or mistake on this page Check all the issues that apply Incorrect information Confusing or unclear information You didn't find what you were looking for Page does not work with your adaptive technologies You're worried about your privacy You don’t know where else to go for help. Other Can you tell us more? Do not include your personal or financial details. We use this information to improve this service, but we do not reply. Submit Need help with your application? Thank you for your feedback. Internal server error Date modified: 2020-05-22 Contact information Privacy policy Terms and conditions"
60370,20200522,covid-benefits.alpha.canada.ca,https://covid-benefits.alpha.canada.ca/en/start,text/html,text/html,en,"Find financial help during COVID-19 Skip to main content ALPHA: This site will change as we test ideas. Language Selection Français Find financial help during COVID-19 Answer some questions to find financial help. We cannot guarantee your eligibility, but we can point you to the program details. More benefits being added You may want to keep checking back for updates. Find help Own a business? Find support for your business. Report a problem or mistake on this page Check all the issues that apply Incorrect information Confusing or unclear information You didn't find what you were looking for Page does not work with your adaptive technologies You're worried about your privacy Other Can you tell us more? Do not include your personal or financial details. Submit Thank you for your feedback. Internal server error Date modified: 2020-05-22 Contact information Privacy policy Terms and conditions"
70771,20200529,covid-benefits.alpha.canada.ca,https://covid-benefits.alpha.canada.ca/en/start?utm_source=Structureddata&utm_medium=FAQPage&utm_campaign=COVID-19,text/html,text/html,en,"Find financial help during COVID-19 Skip to main content ALPHA: This site will change as we test ideas. Language Selection Français Find financial help during COVID-19 Enable cookies to use this service It looks like you have cookies disabled. This service uses cookies to show your results. You will not see results without enabling cookies. Answer some questions to find financial help. We cannot guarantee your eligibility, but we can point you to the program details. More benefits being added You may want to keep checking back for updates. Find help Own a business? Find support for your business. Report a problem or mistake on this page Check all the issues that apply Incorrect information Confusing or unclear information You didn't find what you were looking for Page does not work with your adaptive technologies You're worried about your privacy You don’t know where else to go for help. Other Can you tell us more? Do not include your personal or financial details. We use this information to improve this service, but we do not reply. Submit Need help with your application? Thank you for your feedback. Internal server error Date modified: 2020-05-22 Contact information Privacy policy Terms and conditions"
79400,20200605,covid-benefits.alpha.canada.ca,https://covid-benefits.alpha.canada.ca/en/start?utm_source=Structureddata&utm_medium=FAQPage&utm_campaign=COVID-19,text/html,text/html,en,"Find financial help during COVID-19 Skip to main content ALPHA: This site will change as we test ideas. Language Selection Français Find financial help during COVID-19 Enable cookies to use this service It looks like you have cookies disabled. This service uses cookies to show your results. You will not see results without enabling cookies. Here, you’ll be asked 7 to 10 questions, one at a time. Then we’ll show you a list of benefits that may help in your situation. It will also have links for more information. Start now Own a business? Find support for your business. Report a problem or mistake on this page You need to tell us something about the problem before you can submit. Check all the issues that apply Incorrect information Confusing or unclear information You didn't find what you were looking for Page does not work with your adaptive technologies You're worried about your privacy You don’t know where else to go for help. Other Can you tell us more? Do not include your personal or financial details. We use this information to improve this service, but we do not reply. Submit Need help with your application? Thank you for your feedback. Internal server error Date modified: 2020-05-22 Contact information Privacy policy Terms and conditions"
90221,20200612,covid-benefits.alpha.canada.ca,https://covid-benefits.alpha.canada.ca/en/start?utm_source=Structureddata&utm_medium=FAQPage&utm_campaign=COVID-19,text/html,text/html,en,"Find financial help during COVID-19 Skip to main content ALPHA: This site will change as we test ideas. Language Selection Français Find financial help during COVID-19 Enable cookies to use this service It looks like you have cookies disabled. This service uses cookies to show your results. You will not see results without enabling cookies. Here, you’ll be asked 7 to 10 questions, one at a time. Then we’ll show you a list of benefits that may help in your situation. It will also have links for more information. Start now Own a business? Find support for your business. Report a problem or mistake on this page You need to tell us something about the problem before you can submit. Check all the issues that apply Incorrect information Confusing or unclear information You didn't find what you were looking for Page does not work with your adaptive technologies You're worried about your privacy You don’t know where else to go for help. Other Submit Need help with your application? Thank you for your feedback. Internal server error Date modified: 2020-05-22 Contact information Privacy policy Terms and conditions"
101451,20200619,covid-benefits.alpha.canada.ca,https://covid-benefits.alpha.canada.ca/en/start?utm_source=Structureddata&utm_medium=FAQPage&utm_campaign=COVID-19,text/html,text/html,en,"Find financial help during COVID-19 Skip to main content ALPHA: This site will change as we test ideas. Language Selection Français Find financial help during COVID-19 Enable cookies to use this service It looks like you have cookies disabled. This service uses cookies to show your results. You will not see results without enabling cookies. Here, you’ll be asked 7 to 10 questions, one at a time. Then we’ll show you a list of benefits that may help in your situation. It will also have links for more information. Start now Own a business? Find support for your business. Report a problem or mistake on this page You need to tell us something about the problem before you can submit. Check all the issues that apply Incorrect information Confusing or unclear information You didn't find what you were looking for Page does not work with your adaptive technologies You're worried about your privacy You don’t know where else to go for help. Other Submit Need help with your application? Thank you for your feedback. Internal server error Date modified: 2020-05-22 Contact information Privacy policy Terms and conditions"
111304,20200626,covid-benefits.alpha.canada.ca,https://covid-benefits.alpha.canada.ca/en/start?utm_source=Structureddata&utm_medium=FAQPage&utm_campaign=COVID-19,text/html,text/html,en,"Find financial help during COVID-19 Skip to main content ALPHA: This site will change as we test ideas. Language Selection Français Find financial help during COVID-19 Enable cookies to use this service It looks like you have cookies disabled. This service uses cookies to show your results. You will not see results without enabling cookies. Here, you’ll be asked 7 to 10 questions, one at a time. Then we’ll show you a list of benefits that may help in your situation. It will also have links for more information. Start now Own a business? Find support for your business. Report a problem or mistake on this page You need to tell us something about the problem before you can submit. Check all the issues that apply Incorrect information Confusing or unclear information You didn't find what you were looking for Page does not work with your adaptive technologies You're worried about your privacy You don’t know where else to go for help. Other Submit Need help with your application? Thank you for your feedback. Internal server error Date modified: 2020-05-22 Contact information Privacy policy Terms and conditions"
121586,20200703,covid-benefits.alpha.canada.ca,https://covid-benefits.alpha.canada.ca/en/start?utm_source=Structureddata&utm_medium=FAQPage&utm_campaign=COVID-19,text/html,text/html,en,"Find financial help during COVID-19 Skip to main content ALPHA: This site will change as we test ideas. Language Selection Français Find financial help during COVID-19 Enable cookies to use this service It looks like you have cookies disabled. This service uses cookies to show your results. You will not see results without enabling cookies. Here, you’ll be asked 7 to 10 questions, one at a time. Then we’ll show you a list of benefits that may help in your situation. It will also have links for more information. Start now Own a business? Find support for your business. Report a problem or mistake on this page You need to tell us something about the problem before you can submit. Check all the issues that apply Incorrect information Confusing or unclear information You didn't find what you were looking for Page does not work with your adaptive technologies You're worried about your privacy You don’t know where else to go for help. Other Submit Need help with your application? Thank you for your feedback. Internal server error Date modified: 2020-06-30 Contact information Privacy policy Terms and conditions"
131858,20200710,covid-benefits.alpha.canada.ca,https://covid-benefits.alpha.canada.ca/en/start?utm_source=Structureddata&utm_medium=FAQPage&utm_campaign=COVID-19,text/html,text/html,en,"Find financial help during COVID-19 Skip to main content ALPHA: This site will change as we test ideas. Language Selection Français Find financial help during COVID-19 Enable cookies to use this service It looks like you have cookies disabled. This service uses cookies to show your results. You will not see results without enabling cookies. Here, you’ll be asked 7 to 10 questions, one at a time. Then we’ll show you a list of benefits that may help in your situation. It will also have links for more information. Start now Own a business? Find support for your business. Report a problem or mistake on this page You need to tell us something about the problem before you can submit. Check all the issues that apply Incorrect information Confusing or unclear information You didn't find what you were looking for Page does not work with your adaptive technologies You're worried about your privacy You don’t know where else to go for help. Other Submit Need help with your application? Thank you for your feedback. Internal server error Date modified: 2020-06-30 Contact information Privacy policy Terms and conditions"
