,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
109492,20200626,d.agkn.com,https://d.agkn.com/iframe/8613/?che=927343498&c=%7B%22bpid%22%3A%22Pelmorex%22%7D,text/html,text/html,,
119786,20200703,d.agkn.com,https://d.agkn.com/iframe/8613/?che=798091107&c=%7B%22bpid%22%3A%22Pelmorex%22%7D,text/html,,,
183903,20200814,d.agkn.com,https://d.agkn.com/iframe/8613/?che=1388144919&c=%7B%22bpid%22%3A%22Pelmorex%22%7D,text/html,,,
350086,20201120,d.agkn.com,https://d.agkn.com/iframe/8613/?che=1363023446&c=%7B%22bpid%22%3A%22Pelmorex%22%7D,text/html,,,
403205,20201225,d.agkn.com,https://d.agkn.com/iframe/8613/?che=1627953751&c=%7B%22bpid%22%3A%22Pelmorex%22%7D,text/html,,,
412322,20210101,d.agkn.com,https://d.agkn.com/iframe/8613/?che=853634886&c=%7B%22bpid%22%3A%22Pelmorex%22%7D,text/html,,,
449382,20210129,d.agkn.com,https://d.agkn.com/iframe/8613/?che=416244303&c=%7B%22bpid%22%3A%22Pelmorex%22%7D,text/html,,,
469651,20210212,d.agkn.com,https://d.agkn.com/iframe/8613/?che=1255206983&c=%7B%22bpid%22%3A%22Pelmorex%22%7D,text/html,,,
490288,20210226,d.agkn.com,https://d.agkn.com/iframe/8613/?che=400673615&c=%7B%22bpid%22%3A%22Pelmorex%22%7D,text/html,,,
500216,20210305,d.agkn.com,https://d.agkn.com/iframe/8613/?che=1226755330&c=%7B%22bpid%22%3A%22Pelmorex%22%7D,text/html,,,
510720,20210312,d.agkn.com,https://d.agkn.com/iframe/8613/?che=1791501881&c=%7B%22bpid%22%3A%22Pelmorex%22%7D,text/html,,,
520772,20210319,d.agkn.com,https://d.agkn.com/iframe/8613/?che=382168544&c=%7B%22bpid%22%3A%22Pelmorex%22%7D,text/html,,,
530953,20210326,d.agkn.com,https://d.agkn.com/iframe/8613/?che=150081372&c=%7B%22bpid%22%3A%22Pelmorex%22%7D,text/html,,,
540139,20210402,d.agkn.com,https://d.agkn.com/iframe/8613/?che=2101554325&c=%7B%22bpid%22%3A%22Pelmorex%22%7D,text/html,,,
550749,20210409,d.agkn.com,https://d.agkn.com/iframe/8613/?che=1089521963&c=%7B%22bpid%22%3A%22Pelmorex%22%7D,text/html,,,
561254,20210416,d.agkn.com,https://d.agkn.com/iframe/8613/?che=428805863&c=%7B%22bpid%22%3A%22Pelmorex%22%7D,text/html,,,
571358,20210423,d.agkn.com,https://d.agkn.com/iframe/8613/?che=1706989719&c=%7B%22bpid%22%3A%22Pelmorex%22%7D,text/html,,,
581748,20210430,d.agkn.com,https://d.agkn.com/iframe/8613/?che=269401630&c=%7B%22bpid%22%3A%22Pelmorex%22%7D,text/html,,,
592175,20210507,d.agkn.com,https://d.agkn.com/iframe/8613/?che=798608507&c=%7B%22bpid%22%3A%22Pelmorex%22%7D,text/html,,,
602868,20210514,d.agkn.com,https://d.agkn.com/iframe/8613/?che=153104741&c=%7B%22bpid%22%3A%22Pelmorex%22%7D,text/html,,,
613306,20210521,d.agkn.com,https://d.agkn.com/iframe/8613/?che=65445359&c=%7B%22bpid%22%3A%22Pelmorex%22%7D,text/html,,,
623815,20210528,d.agkn.com,https://d.agkn.com/iframe/8613/?che=819615703&c=%7B%22bpid%22%3A%22Pelmorex%22%7D,text/html,,,
634233,20210604,d.agkn.com,https://d.agkn.com/iframe/8613/?che=2073671743&c=%7B%22bpid%22%3A%22Pelmorex%22%7D,text/html,,,
644861,20210611,d.agkn.com,https://d.agkn.com/iframe/8613/?che=1917639358&c=%7B%22bpid%22%3A%22Pelmorex%22%7D,text/html,,,
655630,20210618,d.agkn.com,https://d.agkn.com/iframe/8613/?che=614665086&c=%7B%22bpid%22%3A%22Pelmorex%22%7D,text/html,,,
