,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
8526,20200417,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,text/html,,
14066,20200424,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,,,
19009,20200504,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,,,
22459,20200515,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,,,
64027,20200522,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,,,
64192,20200529,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,,,
72989,20200529,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,,,
82248,20200605,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,,,
92512,20200612,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,,,
103734,20200619,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,,,
113957,20200626,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,,,
124423,20200703,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,,,
134667,20200710,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,,,
145219,20200717,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,,,
155692,20200724,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,,,
166622,20200731,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,,,
177560,20200807,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,,,
188440,20200814,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,,,
201251,20200821,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,,,
213171,20200828,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,,,
225446,20200904,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,,,
238560,20200911,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,,,
249439,20200918,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,,,
261866,20200925,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,,,
273378,20201002,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,,,
285809,20201009,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,,,
297585,20201016,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,,,
309311,20201023,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,,,
321499,20201030,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,,,
332589,20201106,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,,,
344323,20201113,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,,,
354985,20201120,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,,,
366656,20201127,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,,,
377428,20201204,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,,,
387390,20201211,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,,,
396711,20201218,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,,,
405911,20201225,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,,,
415047,20210101,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,,,
424234,20210108,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,,,
433659,20210115,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,,,
442883,20210122,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,,,
452960,20210129,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,,,
463026,20210205,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,,,
473226,20210212,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,,,
483409,20210219,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,,,
493684,20210226,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,,,
503932,20210305,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,,,
514158,20210312,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,,,
524218,20210319,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,,,
533155,20210326,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,,,
543750,20210402,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,,,
554422,20210409,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,,,
564626,20210416,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,,,
574887,20210423,dgs.wixapps.net,https://dgs.wixapps.net/,text/html,,,
