,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
9062,20200417,doordash.com,https://www.doordash.com/,text/html,text/html,en,"DoorDash Food Delivery - Delivering Now, From Restaurants Near You"
14334,20200424,doordash.com,https://www.doordash.com/,text/html,text/html,en,"DoorDash Food Delivery - Delivering Now, From Restaurants Near You"
19510,20200504,doordash.com,https://www.doordash.com/,text/html,text/html,en,"DoorDash Food Delivery - Delivering Now, From Restaurants Near You"
22959,20200515,doordash.com,https://www.doordash.com/,text/html,text/html,en,"DoorDash Food Delivery - Delivering Now, From Restaurants Near You"
64844,20200529,doordash.com,https://www.doordash.com/,text/html,text/html,en,"DoorDash Food Delivery - Delivering Now, From Restaurants Near You"
65114,20200522,doordash.com,https://www.doordash.com/,text/html,text/html,en,"DoorDash Food Delivery - Delivering Now, From Restaurants Near You"
73258,20200529,doordash.com,https://www.doordash.com/,text/html,text/html,en,"DoorDash Food Delivery - Delivering Now, From Restaurants Near You"
82470,20200605,doordash.com,https://www.doordash.com/,text/html,text/html,en,"DoorDash Food Delivery - Delivering Now, From Restaurants Near You"
92739,20200612,doordash.com,https://www.doordash.com/,text/html,text/html,en,"DoorDash Food Delivery - Delivering Now, From Restaurants Near You"
103959,20200619,doordash.com,https://www.doordash.com/,text/html,text/html,en,"DoorDash Food Delivery - Delivering Now, From Restaurants Near You"
114997,20200626,doordash.com,https://www.doordash.com/,text/html,text/html,en,"DoorDash Food Delivery - Delivering Now, From Restaurants Near You"
125219,20200703,doordash.com,https://www.doordash.com/,text/html,text/html,en,"DoorDash Food Delivery - Delivering Now, From Restaurants Near You"
135609,20200710,doordash.com,https://www.doordash.com/,text/html,text/html,en,"DoorDash Food Delivery - Delivering Now, From Restaurants Near You"
146072,20200717,doordash.com,https://www.doordash.com/,text/html,text/html,en,"DoorDash Food Delivery - Delivering Now, From Restaurants Near You"
157538,20200724,doordash.com,https://www.doordash.com/,text/html,text/html,en,"DoorDash Food Delivery - Delivering Now, From Restaurants Near You"
168578,20200731,doordash.com,https://www.doordash.com/,text/html,text/html,en,"DoorDash Food Delivery - Delivering Now, From Restaurants Near You"
178321,20200807,doordash.com,https://www.doordash.com/,text/html,text/html,en,"DoorDash Food Delivery - Delivering Now, From Restaurants Near You"
190581,20200814,doordash.com,https://www.doordash.com/,text/html,text/html,en,"DoorDash Food Delivery - Delivering Now, From Restaurants Near You"
