,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
200469,20200821,dropbox.com,https://www.dropbox.com/s/7vzhsebatg5psa6/A%20Homily%20by%20The%20Right%20Reverend%20Susan%20Bell%20-%20August%2016%2C%202020%20Virgin%20Mary.pdf?dl=0,text/html,application/xhtml+xml,en,"Dropbox - A Homily by The Right Reverend Susan Bell - August 16, 2020 Virgin Mary.pdf - Simplify your life"
200488,20200821,dropbox.com,https://www.dropbox.com/s/7vzhsebatg5psa6/A%20Homily%20by%20The%20Right%20Reverend%20Susan%20Bell%20-%20August%2016%2C%202020%20Virgin%20Mary.pdf,text/html,application/xhtml+xml,en,"Dropbox - A Homily by The Right Reverend Susan Bell - August 16, 2020 Virgin Mary.pdf - Simplify your life"
212371,20200828,dropbox.com,https://www.dropbox.com/s/7vzhsebatg5psa6/A%20Homily%20by%20The%20Right%20Reverend%20Susan%20Bell%20-%20August%2016%2C%202020%20Virgin%20Mary.pdf?dl=0,text/html,application/xhtml+xml,en,"Dropbox - A Homily by The Right Reverend Susan Bell - August 16, 2020 Virgin Mary.pdf - Simplify your life"
212396,20200828,dropbox.com,https://www.dropbox.com/s/7vzhsebatg5psa6/A%20Homily%20by%20The%20Right%20Reverend%20Susan%20Bell%20-%20August%2016%2C%202020%20Virgin%20Mary.pdf,text/html,application/xhtml+xml,en,"Dropbox - A Homily by The Right Reverend Susan Bell - August 16, 2020 Virgin Mary.pdf - Simplify your life"
224635,20200904,dropbox.com,https://www.dropbox.com/s/7vzhsebatg5psa6/A%20Homily%20by%20The%20Right%20Reverend%20Susan%20Bell%20-%20August%2016%2C%202020%20Virgin%20Mary.pdf?dl=0,text/html,application/xhtml+xml,en,"Dropbox - A Homily by The Right Reverend Susan Bell - August 16, 2020 Virgin Mary.pdf - Simplify your life"
224678,20200904,dropbox.com,https://www.dropbox.com/s/7vzhsebatg5psa6/A%20Homily%20by%20The%20Right%20Reverend%20Susan%20Bell%20-%20August%2016%2C%202020%20Virgin%20Mary.pdf,text/html,application/xhtml+xml,en,"Dropbox - A Homily by The Right Reverend Susan Bell - August 16, 2020 Virgin Mary.pdf - Simplify your life"
238040,20200911,dropbox.com,https://www.dropbox.com/s/7vzhsebatg5psa6/A%20Homily%20by%20The%20Right%20Reverend%20Susan%20Bell%20-%20August%2016%2C%202020%20Virgin%20Mary.pdf?dl=0,text/html,application/xhtml+xml,en,"Dropbox - A Homily by The Right Reverend Susan Bell - August 16, 2020 Virgin Mary.pdf - Simplify your life"
238062,20200911,dropbox.com,https://www.dropbox.com/s/7vzhsebatg5psa6/A%20Homily%20by%20The%20Right%20Reverend%20Susan%20Bell%20-%20August%2016%2C%202020%20Virgin%20Mary.pdf,text/html,application/xhtml+xml,en,"Dropbox - A Homily by The Right Reverend Susan Bell - August 16, 2020 Virgin Mary.pdf - Simplify your life"
249371,20200918,dropbox.com,https://www.dropbox.com/s/7vzhsebatg5psa6/A%20Homily%20by%20The%20Right%20Reverend%20Susan%20Bell%20-%20August%2016%2C%202020%20Virgin%20Mary.pdf?dl=0,text/html,application/xhtml+xml,en,"Dropbox - A Homily by The Right Reverend Susan Bell - August 16, 2020 Virgin Mary.pdf - Simplify your life"
261701,20200925,dropbox.com,https://www.dropbox.com/s/7vzhsebatg5psa6/A%20Homily%20by%20The%20Right%20Reverend%20Susan%20Bell%20-%20August%2016%2C%202020%20Virgin%20Mary.pdf?dl=0,text/html,application/xhtml+xml,en,"Dropbox - A Homily by The Right Reverend Susan Bell - August 16, 2020 Virgin Mary.pdf - Simplify your life"
261721,20200925,dropbox.com,https://www.dropbox.com/s/7vzhsebatg5psa6/A%20Homily%20by%20The%20Right%20Reverend%20Susan%20Bell%20-%20August%2016%2C%202020%20Virgin%20Mary.pdf,text/html,application/xhtml+xml,en,"Dropbox - A Homily by The Right Reverend Susan Bell - August 16, 2020 Virgin Mary.pdf - Simplify your life"
272661,20201002,dropbox.com,https://www.dropbox.com/s/7vzhsebatg5psa6/A%20Homily%20by%20The%20Right%20Reverend%20Susan%20Bell%20-%20August%2016%2C%202020%20Virgin%20Mary.pdf?dl=0,text/html,application/xhtml+xml,en,"Dropbox - A Homily by The Right Reverend Susan Bell - August 16, 2020 Virgin Mary.pdf - Simplify your life"
272707,20201002,dropbox.com,https://www.dropbox.com/s/7vzhsebatg5psa6/A%20Homily%20by%20The%20Right%20Reverend%20Susan%20Bell%20-%20August%2016%2C%202020%20Virgin%20Mary.pdf,text/html,application/xhtml+xml,en,"Dropbox - A Homily by The Right Reverend Susan Bell - August 16, 2020 Virgin Mary.pdf - Simplify your life"
285015,20201009,dropbox.com,https://www.dropbox.com/s/7vzhsebatg5psa6/A%20Homily%20by%20The%20Right%20Reverend%20Susan%20Bell%20-%20August%2016%2C%202020%20Virgin%20Mary.pdf?dl=0,text/html,application/xhtml+xml,en,"Dropbox - A Homily by The Right Reverend Susan Bell - August 16, 2020 Virgin Mary.pdf - Simplify your life"
285046,20201009,dropbox.com,https://www.dropbox.com/s/7vzhsebatg5psa6/A%20Homily%20by%20The%20Right%20Reverend%20Susan%20Bell%20-%20August%2016%2C%202020%20Virgin%20Mary.pdf,text/html,application/xhtml+xml,en,"Dropbox - A Homily by The Right Reverend Susan Bell - August 16, 2020 Virgin Mary.pdf - Simplify your life"
296853,20201016,dropbox.com,https://www.dropbox.com/s/7vzhsebatg5psa6/A%20Homily%20by%20The%20Right%20Reverend%20Susan%20Bell%20-%20August%2016%2C%202020%20Virgin%20Mary.pdf?dl=0,text/html,application/xhtml+xml,en,"Dropbox - A Homily by The Right Reverend Susan Bell - August 16, 2020 Virgin Mary.pdf - Simplify your life"
296858,20201016,dropbox.com,https://www.dropbox.com/s/7vzhsebatg5psa6/A%20Homily%20by%20The%20Right%20Reverend%20Susan%20Bell%20-%20August%2016%2C%202020%20Virgin%20Mary.pdf,text/html,application/xhtml+xml,en,"Dropbox - A Homily by The Right Reverend Susan Bell - August 16, 2020 Virgin Mary.pdf - Simplify your life"
