,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
5793,20200417,esolutionsgroup.ca,https://www.esolutionsgroup.ca/en/index.aspx,text/html,application/xhtml+xml,en,"eSolutionsGroup  <iframe src=""https://www.googletagmanager.com/ns.html?id=GTM-MFCDNR9"" height=""0"" width=""0"" style=""display:none;visibility:hidden""> Support Careers News toggle grid COVID-19 Solutions Speaker Series Work Services Products About Contact No menu assigned! Digital ideas. Delivered. Collaborative partnerships through creative, digital solutions. We're building digital communities and helping them grow. Online Webinars Hear from industry experts Learn more about topics such as web accessibility, communications, SEO, writing-for-the-web and more. Reduce your time to hire No more spreadsheets Spend less admin time on recruiting and get new hires on the job quicker with RecruitRight ATS. Awards Everyone's a winner We have the awards to prove it. TRAINING Accessibility training Complete online accessible documents training at your own pace, according to your schedule. SHOWCASE Communicating with the public during a crisis Let's Talk Services Creative Products Solutions Name * Email * Phone Message * Contact Careers Policies Feedback © eSolutionsGroup 2020 COVID-19 Solutions Speaker Series Work Services Products About Contact Pin It on Pinterest Share This Facebook Twitter LinkedIn Pinterest Reduce your time to hire with RecruitRight! Kick your old recruiting process to the curb! RecruitRight gets new hires on the job faster."
5803,20200417,esolutionsgroup.ca,https://www.esolutionsgroup.ca/Common/icreate-json/default.htm,text/html,text/plain,en,"{""name"":""eSolutions Group"",""description"":""Digital Ideas. Delivered."",""url"":""default.htm"",""home"":""default.htm"",""namespaces"":[""oembed\/1.0""],""authentication"":[],""routes"":{""\/"":{""namespace"":"""",""methods"":[""GET""],""endpoints"":[{""methods"":[""GET""],""args"":{""context"":{""required"":false,""default"":""view""}}}],""_links"":{""self"":""wp-json/default.htm""}},""\/oembed\/1.0"":{""namespace"":""oembed\/1.0"",""methods"":[""GET""],""endpoints"":[{""methods"":[""GET""],""args"":{""namespace"":{""required"":false,""default"":""oembed\/1.0""},""context"":{""required"":false,""default"":""view""}}}],""_links"":{""self"":""wp-json/oembed/1.0""}},""\/oembed\/1.0\/embed"":{""namespace"":""oembed\/1.0"",""methods"":[""GET""],""endpoints"":[{""methods"":[""GET""],""args"":{""url"":{""required"":true},""format"":{""required"":false,""default"":""json""},""maxwidth"":{""required"":false,""default"":600}}}],""_links"":{""self"":""wp-json/oembed/1.0/embed""}}},""_links"":{""help"":[{""href"":""http://v2.wp-api.org/""}]}}"
5808,20200417,esolutionsgroup.ca,https://www.esolutionsgroup.ca/Modules/email/services/ProcessEmail.ashx,text/html,text/plain,en,"{""status"":false,""errorMessages"":[""Captcha validation failed."",""Name is empty"",""Email is empty"",""Message is empty""]}"
5810,20200417,esolutionsgroup.ca,https://www.esolutionsgroup.ca/Common/icreate-admin/admin-ajax.aspx,text/html,text/plain,,0
12925,20200424,esolutionsgroup.ca,https://www.esolutionsgroup.ca/en/index.aspx,text/html,,,
12940,20200424,esolutionsgroup.ca,https://www.esolutionsgroup.ca/Common/icreate-json/default.htm,text/html,,,
12942,20200424,esolutionsgroup.ca,https://www.esolutionsgroup.ca/Modules/email/services/ProcessEmail.ashx,text/html,,,
12950,20200424,esolutionsgroup.ca,https://www.esolutionsgroup.ca/Common/icreate-admin/admin-ajax.aspx,text/html,,,
17349,20200504,esolutionsgroup.ca,https://www.esolutionsgroup.ca/en/index.aspx,text/html,,,
17353,20200504,esolutionsgroup.ca,https://www.esolutionsgroup.ca/Common/icreate-json/default.htm,text/html,,,
17355,20200504,esolutionsgroup.ca,https://www.esolutionsgroup.ca/Modules/email/services/ProcessEmail.ashx,text/html,,,
17361,20200504,esolutionsgroup.ca,https://www.esolutionsgroup.ca/Common/icreate-admin/admin-ajax.aspx,text/html,,,
21386,20200515,esolutionsgroup.ca,https://www.esolutionsgroup.ca/en/index.aspx,text/html,,,
21394,20200515,esolutionsgroup.ca,https://www.esolutionsgroup.ca/Common/icreate-json/default.htm,text/html,,,
21397,20200515,esolutionsgroup.ca,https://www.esolutionsgroup.ca/Modules/email/services/ProcessEmail.ashx,text/html,,,
21398,20200515,esolutionsgroup.ca,https://www.esolutionsgroup.ca/Common/icreate-admin/admin-ajax.aspx,text/html,,,
58644,20200522,esolutionsgroup.ca,https://www.esolutionsgroup.ca/en/index.aspx,text/html,application/xhtml+xml,en,"eSolutionsGroup  <iframe src=""https://www.googletagmanager.com/ns.html?id=GTM-MFCDNR9"" height=""0"" width=""0"" style=""display:none;visibility:hidden""> Support Careers News toggle grid COVID-19 Solutions Speaker Series Work Services Products About Contact No menu assigned! Digital ideas. Delivered. Collaborative partnerships through creative, digital solutions. We're building digital communities and helping them grow. Online Webinars Hear from industry experts Learn more about topics such as web accessibility, communications, SEO, writing-for-the-web and more. Reduce your time to hire No more spreadsheets Spend less admin time on recruiting and get new hires on the job quicker with RecruitRight ATS. Awards Everyone's a winner We have the awards to prove it. TRAINING Accessibility training Complete online accessible documents training at your own pace, according to your schedule. SHOWCASE Keep your staff and visitors safe as facilities reopen with contact tracing Let's Talk Services Creative Products Solutions Name * Email * Phone Message * Contact Careers Policies Feedback © eSolutionsGroup 2020 COVID-19 Solutions Speaker Series Work Services Products About Contact Pin It on Pinterest Share This Facebook Twitter LinkedIn Pinterest Reduce your time to hire with RecruitRight! Kick your old recruiting process to the curb! RecruitRight gets new hires on the job faster."
58658,20200522,esolutionsgroup.ca,https://www.esolutionsgroup.ca/Common/icreate-json/default.htm,text/html,,,
58665,20200522,esolutionsgroup.ca,https://www.esolutionsgroup.ca/Modules/email/services/ProcessEmail.ashx,text/html,,,
58669,20200522,esolutionsgroup.ca,https://www.esolutionsgroup.ca/Common/icreate-admin/admin-ajax.aspx,text/html,,,
