,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
289,20200408,families.google.com,https://families.google.com/webcreation?usegapi=1,text/html,text/html,,
2557,20200417,families.google.com,https://families.google.com/webcreation?usegapi=1,text/html,text/html,,
13686,20200424,families.google.com,https://families.google.com/webcreation?usegapi=1,text/html,text/html,,
15504,20200504,families.google.com,https://families.google.com/webcreation?usegapi=1,text/html,text/html,,
22356,20200515,families.google.com,https://families.google.com/webcreation?usegapi=1,text/html,text/html,,
62948,20200522,families.google.com,https://families.google.com/webcreation?usegapi=1,text/html,text/html,,
272753,20201002,families.google.com,https://families.google.com/webcreation?usegapi=1,text/html,text/html,,
285010,20201009,families.google.com,https://families.google.com/webcreation?usegapi=1,text/html,text/html,,
296877,20201016,families.google.com,https://families.google.com/webcreation?usegapi=1,text/html,text/html,,
308601,20201023,families.google.com,https://families.google.com/webcreation?usegapi=1,text/html,text/html,,
320757,20201030,families.google.com,https://families.google.com/webcreation?usegapi=1,text/html,text/html,,
331843,20201106,families.google.com,https://families.google.com/webcreation?usegapi=1,text/html,text/html,,
