,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
8769,20200417,fi.pinterest.com,https://fi.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
9042,20200417,fi.pinterest.com,https://fi.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
14286,20200424,fi.pinterest.com,https://fi.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
14572,20200424,fi.pinterest.com,https://fi.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
19218,20200504,fi.pinterest.com,https://fi.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest Oh no! Pinterest doesn't work unless you turn on JavaScript.
19495,20200504,fi.pinterest.com,https://fi.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest Getting more ideas ready for you Oh no! Pinterest doesn't work unless you turn on JavaScript.
22697,20200515,fi.pinterest.com,https://fi.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
22972,20200515,fi.pinterest.com,https://fi.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
64532,20200522,fi.pinterest.com,https://fi.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
64795,20200529,fi.pinterest.com,https://fi.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
65077,20200522,fi.pinterest.com,https://fi.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
65374,20200529,fi.pinterest.com,https://fi.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
73214,20200529,fi.pinterest.com,https://fi.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
73492,20200529,fi.pinterest.com,https://fi.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
82939,20200605,fi.pinterest.com,https://fi.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
93195,20200612,fi.pinterest.com,https://fi.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
157465,20200724,fi.pinterest.com,https://fi.pinterest.com/,text/html,text/html,fi,Pinterest - Suomi
168569,20200731,fi.pinterest.com,https://fi.pinterest.com/,text/html,text/html,fi,Pinterest - Suomi
190500,20200814,fi.pinterest.com,https://fi.pinterest.com/,text/html,text/html,fi,Pinterest - Suomi
203295,20200821,fi.pinterest.com,https://fi.pinterest.com/,text/html,text/html,fi,Pinterest - Suomi
240269,20200911,fi.pinterest.com,https://fi.pinterest.com/,text/html,text/html,fi,Pinterest - Suomi
275534,20201002,fi.pinterest.com,https://fi.pinterest.com/,text/html,text/html,fi,Pinterest - Suomi
287606,20201009,fi.pinterest.com,https://fi.pinterest.com/,text/html,text/html,fi,Pinterest - Suomi
334321,20201106,fi.pinterest.com,https://fi.pinterest.com/,text/html,text/html,fi,Pinterest - Suomi
356626,20201120,fi.pinterest.com,https://fi.pinterest.com/,text/html,text/html,fi,Pinterest - Suomi
389092,20201211,fi.pinterest.com,https://fi.pinterest.com/,text/html,text/html,fi,Pinterest - Suomi
454602,20210129,fi.pinterest.com,https://fi.pinterest.com/,text/html,text/html,fi,Pinterest - Suomi
464734,20210205,fi.pinterest.com,https://fi.pinterest.com/,text/html,text/html,fi,Pinterest - Suomi
485143,20210219,fi.pinterest.com,https://fi.pinterest.com/,text/html,text/html,fi,Pinterest - Suomi
495399,20210226,fi.pinterest.com,https://fi.pinterest.com/,text/html,text/html,fi,Pinterest - Suomi
505732,20210305,fi.pinterest.com,https://fi.pinterest.com/,text/html,text/html,fi,Pinterest - Suomi
525918,20210319,fi.pinterest.com,https://fi.pinterest.com/,text/html,text/html,fi,Pinterest - Suomi
534957,20210326,fi.pinterest.com,https://fi.pinterest.com/,text/html,text/html,fi,Pinterest - Suomi
556239,20210409,fi.pinterest.com,https://fi.pinterest.com/pin/create/button/,text/html,text/html,fi,Pinterest - Suomi
566477,20210416,fi.pinterest.com,https://fi.pinterest.com/pin/create/button/,text/html,text/html,en,Pinterest - Suomi Pinterest Today Explore Log in Sign up Privacy
576674,20210423,fi.pinterest.com,https://fi.pinterest.com/pin/create/button/,text/html,text/html,en,Pinterest - Suomi Pinterest Today Explore Log in Sign up Pin Builder Privacy
587257,20210430,fi.pinterest.com,https://fi.pinterest.com/pin/create/button/,text/html,text/html,en,Pinterest - Suomi Pinterest Today Explore Log in Sign up Pin Builder Privacy
597979,20210507,fi.pinterest.com,https://fi.pinterest.com/pin/create/button/,text/html,text/html,en,Pinterest - Suomi Pinterest Today Explore Log in Sign up Pin Builder Privacy
608365,20210514,fi.pinterest.com,https://fi.pinterest.com/pin/create/button/,text/html,text/html,en,Pinterest - Suomi Pinterest Today Explore Log in Sign up Pin Builder Privacy
618965,20210521,fi.pinterest.com,https://fi.pinterest.com/pin/create/button/,text/html,text/html,en,Pinterest - Suomi Pinterest Today Explore Log in Sign up Pin Builder Privacy
629180,20210528,fi.pinterest.com,https://fi.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Suomi Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
639883,20210604,fi.pinterest.com,https://fi.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Suomi Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
650324,20210611,fi.pinterest.com,https://fi.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Suomi Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
660070,20210618,fi.pinterest.com,https://fi.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Suomi Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
665994,20210625,fi.pinterest.com,https://fi.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Suomi Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
671830,20210702,fi.pinterest.com,https://fi.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Suomi Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
677791,20210709,fi.pinterest.com,https://fi.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Suomi Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
683698,20210716,fi.pinterest.com,https://fi.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Suomi Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
689860,20210723,fi.pinterest.com,https://fi.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Suomi Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
695352,20210730,fi.pinterest.com,https://fi.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Suomi Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
701242,20210806,fi.pinterest.com,https://fi.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Suomi Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
707865,20210813,fi.pinterest.com,https://fi.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Suomi Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
714532,20210820,fi.pinterest.com,https://fi.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Suomi Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
720856,20210827,fi.pinterest.com,https://fi.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Suomi Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
726632,20210903,fi.pinterest.com,https://fi.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Suomi Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
732272,20210910,fi.pinterest.com,https://fi.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Suomi Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
738105,20210917,fi.pinterest.com,https://fi.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Suomi Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
743772,20210924,fi.pinterest.com,https://fi.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Suomi Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Do more with an account Free access to ideas Save what you love Shop on Pinterest Pin Builder Privacy"
749705,20211001,fi.pinterest.com,https://fi.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Suomi Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
755572,20211008,fi.pinterest.com,https://fi.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - Suomi Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
