,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
24698,20200706,flo.uri.sh,https://flo.uri.sh/visualisation/1857629/embed,text/html,text/html,en,COVID-19 in Niagara-Curve
25553,20200706,flo.uri.sh,https://flo.uri.sh/visualisation/2160012/embed,text/html,text/html,en,COVID-19 Niagara: New cases per day
25555,20200706,flo.uri.sh,https://flo.uri.sh/visualisation/1857629/embed,text/html,text/html,en,COVID-19 in Niagara-Curve
25560,20200706,flo.uri.sh,https://flo.uri.sh/visualisation/2160012/embed,text/html,,,
25857,20200707,flo.uri.sh,https://flo.uri.sh/visualisation/1857629/embed?auto=1,text/html,text/html,en,COVID-19 in Niagara-Curve
26721,20200804,flo.uri.sh,https://flo.uri.sh/visualisation/2160012/embed,text/html,text/html,en,COVID-19 Niagara: New cases per day
26722,20200804,flo.uri.sh,https://flo.uri.sh/visualisation/2160012/embed?auto=1,text/html,,,
26723,20200804,flo.uri.sh,https://flo.uri.sh/visualisation/1857629/embed?auto=1,text/html,text/html,en,COVID-19 in Niagara-Curve
26836,20200804,flo.uri.sh,https://flo.uri.sh/visualisation/1857629/embed?auto=1,text/html,text/html,en,COVID-19 in Niagara-Curve
26837,20200804,flo.uri.sh,https://flo.uri.sh/visualisation/2160012/embed?auto=1,text/html,text/html,en,COVID-19 Niagara: New cases per day
26838,20200804,flo.uri.sh,https://flo.uri.sh/visualisation/1857629/embed,text/html,,,
27017,20200804,flo.uri.sh,https://flo.uri.sh/visualisation/1856956/embed?auto=1,text/html,text/html,en,COVID-19 cases by age
27019,20200804,flo.uri.sh,https://flo.uri.sh/visualisation/1857629/embed?auto=1,text/html,text/html,en,COVID-19 in Niagara-Curve
27022,20200804,flo.uri.sh,https://flo.uri.sh/visualisation/1920229/embed?auto=1,text/html,text/html,en,COVID19 distribution
27025,20200804,flo.uri.sh,https://flo.uri.sh/visualisation/1856956/embed,text/html,,,
27298,20200804,flo.uri.sh,https://flo.uri.sh/visualisation/2160012/embed?auto=1,text/html,text/html,en,COVID-19 Niagara: New cases per day
27300,20200804,flo.uri.sh,https://flo.uri.sh/visualisation/1857629/embed?auto=1,text/html,text/html,en,COVID-19 in Niagara-Curve
27383,20200804,flo.uri.sh,https://flo.uri.sh/visualisation/2160012/embed?auto=1,text/html,text/html,en,COVID-19 Niagara: New cases per day
27385,20200804,flo.uri.sh,https://flo.uri.sh/visualisation/2520729/embed?auto=1,text/html,text/html,en,COVID-19 in Niagara by Municipality
27388,20200804,flo.uri.sh,https://flo.uri.sh/visualisation/1920229/embed?auto=1,text/html,text/html,en,COVID19 distribution
27390,20200804,flo.uri.sh,https://flo.uri.sh/visualisation/2615169/embed?auto=1,text/html,text/html,en,Evolution of COVID-19 in Niagara
27392,20200804,flo.uri.sh,https://flo.uri.sh/visualisation/1857629/embed?auto=1,text/html,text/html,en,COVID-19 in Niagara-Curve
27393,20200804,flo.uri.sh,https://flo.uri.sh/visualisation/2520729/embed,text/html,,,
27503,20200804,flo.uri.sh,https://flo.uri.sh/visualisation/1857629/embed?auto=1,text/html,text/html,en,COVID-19 in Niagara-Curve
27505,20200804,flo.uri.sh,https://flo.uri.sh/visualisation/2160012/embed?auto=1,text/html,text/html,en,COVID-19 Niagara: New cases per day
27600,20200804,flo.uri.sh,https://flo.uri.sh/visualisation/1856956/embed?auto=1,text/html,text/html,en,COVID-19 cases by age
27602,20200804,flo.uri.sh,https://flo.uri.sh/visualisation/1857629/embed?auto=1,text/html,text/html,en,COVID-19 in Niagara-Curve
27660,20200804,flo.uri.sh,https://flo.uri.sh/visualisation/2160012/embed?auto=1,text/html,text/html,en,COVID-19 Niagara: New cases per day
27662,20200804,flo.uri.sh,https://flo.uri.sh/visualisation/1857629/embed?auto=1,text/html,text/html,en,COVID-19 in Niagara-Curve
30083,20201005,flo.uri.sh,https://flo.uri.sh/visualisation/1857629/embed,text/html,text/html,en,COVID-19 in Niagara-Curve
30085,20201005,flo.uri.sh,https://flo.uri.sh/visualisation/1857629/embed?auto=1,text/html,,,
30086,20201005,flo.uri.sh,https://flo.uri.sh/visualisation/3736652/embed?auto=1,text/html,text/html,en,Niagara COVID-19 case by age -
30203,20201005,flo.uri.sh,https://flo.uri.sh/visualisation/2160012/embed?auto=1,text/html,text/html,en,COVID-19 Niagara: New cases per day
30209,20201005,flo.uri.sh,https://flo.uri.sh/visualisation/1857629/embed?auto=1,text/html,text/html,en,COVID-19 in Niagara-Curve
30213,20201005,flo.uri.sh,https://flo.uri.sh/visualisation/2160012/embed,text/html,,,
30361,20201005,flo.uri.sh,https://flo.uri.sh/visualisation/3797951/embed,text/html,text/html,en,COVID-19 in Niagara Schools
30362,20201005,flo.uri.sh,https://flo.uri.sh/visualisation/3797951/embed?auto=1,text/html,,,
30374,20201005,flo.uri.sh,https://flo.uri.sh/visualisation/1857629/embed?auto=1,text/html,text/html,en,COVID-19 in Niagara-Curve
30375,20201005,flo.uri.sh,https://flo.uri.sh/visualisation/2160012/embed?auto=1,text/html,text/html,en,COVID-19 Niagara: New cases per day
30377,20201005,flo.uri.sh,https://flo.uri.sh/visualisation/1725034/embed?auto=1,text/html,text/html,en,COVID-19 in Niagara: Origin of cases
30459,20201005,flo.uri.sh,https://flo.uri.sh/visualisation/3797951/embed?auto=1,text/html,text/html,en,COVID-19 in Niagara Schools
30561,20201005,flo.uri.sh,https://flo.uri.sh/visualisation/2160012/embed?auto=1,text/html,text/html,en,COVID-19 Niagara: New cases per day
30563,20201005,flo.uri.sh,https://flo.uri.sh/visualisation/1857629/embed?auto=1,text/html,text/html,en,COVID-19 in Niagara-Curve
30565,20201005,flo.uri.sh,https://flo.uri.sh/visualisation/3736652/embed?auto=1,text/html,text/html,en,Niagara COVID-19 case by age -
30597,20201005,flo.uri.sh,https://flo.uri.sh/visualisation/3797951/embed?auto=1,text/html,text/html,en,COVID-19 in Niagara Schools
30625,20201005,flo.uri.sh,https://flo.uri.sh/visualisation/2160012/embed?auto=1,text/html,text/html,en,COVID-19 Niagara: New cases per day
30626,20201005,flo.uri.sh,https://flo.uri.sh/visualisation/1857629/embed?auto=1,text/html,text/html,en,COVID-19 in Niagara-Curve
30637,20201103,flo.uri.sh,https://flo.uri.sh/visualisation/1857629/embed?auto=1,text/html,text/html,en,COVID-19 in Niagara-Curve
30639,20201103,flo.uri.sh,https://flo.uri.sh/visualisation/2160012/embed?auto=1,text/html,text/html,en,COVID-19 Niagara: New cases per day
30640,20201103,flo.uri.sh,https://flo.uri.sh/visualisation/3797951/embed?auto=1,text/html,text/html,en,COVID-19 in Niagara Schools
30656,20201103,flo.uri.sh,https://flo.uri.sh/visualisation/1857629/embed,text/html,,,
30826,20201103,flo.uri.sh,https://flo.uri.sh/visualisation/3736652/embed,text/html,text/html,en,Niagara COVID-19 case by age -
30827,20201103,flo.uri.sh,https://flo.uri.sh/visualisation/3736652/embed?auto=1,text/html,,,
30828,20201103,flo.uri.sh,https://flo.uri.sh/visualisation/2160012/embed?auto=1,text/html,text/html,en,COVID-19 Niagara: New cases per day
30954,20201103,flo.uri.sh,https://flo.uri.sh/visualisation/3797951/embed,text/html,text/html,en,COVID-19 in Niagara Schools
30962,20201103,flo.uri.sh,https://flo.uri.sh/visualisation/3797951/embed?auto=1,text/html,,,
30963,20201103,flo.uri.sh,https://flo.uri.sh/visualisation/2160012/embed?auto=1,text/html,text/html,en,COVID-19 Niagara: New cases per day
30964,20201103,flo.uri.sh,https://flo.uri.sh/visualisation/3736652/embed?auto=1,text/html,text/html,en,Niagara COVID-19 case by age -
30965,20201103,flo.uri.sh,https://flo.uri.sh/visualisation/1857629/embed?auto=1,text/html,text/html,en,COVID-19 in Niagara-Curve
30988,20201103,flo.uri.sh,https://flo.uri.sh/visualisation/2160012/embed?auto=1,text/html,text/html,en,COVID-19 Niagara: New cases per day
30991,20201103,flo.uri.sh,https://flo.uri.sh/visualisation/3736652/embed?auto=1,text/html,text/html,en,Niagara COVID-19 case by age -
30995,20201103,flo.uri.sh,https://flo.uri.sh/visualisation/2160012/embed,text/html,,,
31177,20201103,flo.uri.sh,https://flo.uri.sh/visualisation/1857629/embed?auto=1,text/html,text/html,en,COVID-19 in Niagara-Curve
31256,20201103,flo.uri.sh,https://flo.uri.sh/visualisation/1857629/embed?auto=1,text/html,text/html,en,COVID-19 in Niagara-Curve
31257,20201103,flo.uri.sh,https://flo.uri.sh/visualisation/2520729/embed?auto=1,text/html,text/html,en,COVID-19 in Niagara by Municipality
31258,20201103,flo.uri.sh,https://flo.uri.sh/visualisation/2160012/embed?auto=1,text/html,text/html,en,COVID-19 Niagara: New cases per day
31264,20201103,flo.uri.sh,https://flo.uri.sh/visualisation/1857629/embed?auto=1,text/html,,,
31265,20201103,flo.uri.sh,https://flo.uri.sh/visualisation/2520729/embed?auto=1,text/html,,,
31267,20201103,flo.uri.sh,https://flo.uri.sh/visualisation/2160012/embed?auto=1,text/html,,,
31300,20201103,flo.uri.sh,https://flo.uri.sh/visualisation/2160012/embed?auto=1,text/html,text/html,en,COVID-19 Niagara: New cases per day
31301,20201103,flo.uri.sh,https://flo.uri.sh/visualisation/1857629/embed?auto=1,text/html,text/html,en,COVID-19 in Niagara-Curve
31323,20201103,flo.uri.sh,https://flo.uri.sh/visualisation/1857629/embed?auto=1,text/html,text/html,en,COVID-19 in Niagara-Curve
31326,20201103,flo.uri.sh,https://flo.uri.sh/visualisation/2160012/embed?auto=1,text/html,text/html,en,COVID-19 Niagara: New cases per day
31428,20201103,flo.uri.sh,https://flo.uri.sh/visualisation/2160012/embed?auto=1,text/html,text/html,en,COVID-19 Niagara: New cases per day
31429,20201103,flo.uri.sh,https://flo.uri.sh/visualisation/1857629/embed?auto=1,text/html,text/html,en,COVID-19 in Niagara-Curve
31451,20201103,flo.uri.sh,https://flo.uri.sh/visualisation/4054343/embed,text/html,text/html,ga,Niagara COVID-19 Deaths by age -
31458,20201103,flo.uri.sh,https://flo.uri.sh/visualisation/4054343/embed?auto=1,text/html,,,
