,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
8772,20200417,gr.pinterest.com,https://gr.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
9043,20200417,gr.pinterest.com,https://gr.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
14292,20200424,gr.pinterest.com,https://gr.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
14571,20200424,gr.pinterest.com,https://gr.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
19216,20200504,gr.pinterest.com,https://gr.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest Pulling up ideas just for you Oh no! Pinterest doesn't work unless you turn on JavaScript.
19473,20200504,gr.pinterest.com,https://gr.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
22692,20200515,gr.pinterest.com,https://gr.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
22912,20200515,gr.pinterest.com,https://gr.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
64539,20200522,gr.pinterest.com,https://gr.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
64798,20200529,gr.pinterest.com,https://gr.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
65086,20200522,gr.pinterest.com,https://gr.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
65376,20200529,gr.pinterest.com,https://gr.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
73252,20200529,gr.pinterest.com,https://gr.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
73471,20200529,gr.pinterest.com,https://gr.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
82909,20200605,gr.pinterest.com,https://gr.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
93198,20200612,gr.pinterest.com,https://gr.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
157474,20200724,gr.pinterest.com,https://gr.pinterest.com/,text/html,text/html,el,Pinterest – Πιντερεστ
168524,20200731,gr.pinterest.com,https://gr.pinterest.com/,text/html,text/html,el,Pinterest – Πιντερεστ
190501,20200814,gr.pinterest.com,https://gr.pinterest.com/,text/html,text/html,el,Pinterest – Πιντερεστ
203294,20200821,gr.pinterest.com,https://gr.pinterest.com/,text/html,text/html,el,Pinterest – Πιντερεστ
240267,20200911,gr.pinterest.com,https://gr.pinterest.com/,text/html,text/html,el,Pinterest – Πιντερεστ
275559,20201002,gr.pinterest.com,https://gr.pinterest.com/,text/html,text/html,el,Pinterest – Πιντερεστ
287608,20201009,gr.pinterest.com,https://gr.pinterest.com/,text/html,text/html,el,Pinterest – Πιντερεστ
334298,20201106,gr.pinterest.com,https://gr.pinterest.com/,text/html,text/html,el,Pinterest – Πιντερεστ
356629,20201120,gr.pinterest.com,https://gr.pinterest.com/,text/html,text/html,el,Pinterest – Πιντερεστ
389095,20201211,gr.pinterest.com,https://gr.pinterest.com/,text/html,text/html,el,Pinterest – Πιντερεστ
454608,20210129,gr.pinterest.com,https://gr.pinterest.com/,text/html,text/html,el,Pinterest – Πιντερεστ
464730,20210205,gr.pinterest.com,https://gr.pinterest.com/,text/html,text/html,el,Pinterest – Πιντερεστ
485126,20210219,gr.pinterest.com,https://gr.pinterest.com/,text/html,text/html,el,Pinterest – Πιντερεστ
495404,20210226,gr.pinterest.com,https://gr.pinterest.com/,text/html,text/html,el,Pinterest – Πιντερεστ
505740,20210305,gr.pinterest.com,https://gr.pinterest.com/,text/html,text/html,el,Pinterest – Πιντερεστ
525919,20210319,gr.pinterest.com,https://gr.pinterest.com/,text/html,text/html,el,Pinterest – Πιντερεστ
534961,20210326,gr.pinterest.com,https://gr.pinterest.com/,text/html,text/html,el,Pinterest – Πιντερεστ
556182,20210409,gr.pinterest.com,https://gr.pinterest.com/pin/create/button/,text/html,text/html,el,Pinterest – Πιντερεστ
566480,20210416,gr.pinterest.com,https://gr.pinterest.com/pin/create/button/,text/html,text/html,en,Pinterest – Πιντερεστ Pinterest Today Explore Log in Sign up Privacy
576677,20210423,gr.pinterest.com,https://gr.pinterest.com/pin/create/button/,text/html,text/html,en,Pinterest – Πιντερεστ Pinterest Today Explore Log in Sign up Pin Builder Privacy
