,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
157439,20200724,hnhbhealthline.ca,https://www.hnhbhealthline.ca/displayservice.aspx?id=182257,text/html,application/xhtml+xml,en,"Salvation Army (The) - Dunnville - Community and Family Services - hnhbhealthline.ca  Let us know about changes to your services. Submit Content Find Your CCAC YOUR LHIN Français Help Clipboard 0 Hamilton Niagara Haldimand Brant Hamilton Niagara Niagara North West Haldimand Norfolk Brant Burlington HEALTH SERVICES HEALTH CAREERS HEALTH NEWS HEALTH EVENTS HEALTH RESOURCES Add to clipboard | Share | Email | Print Due to COVID-19, many organizations have changed how they are providing services or may be temporarily closed. Call, or check the service website, for additional information. Organization: Salvation Army (The) - Dunnville - Community and Family Services Toll-Free: 1-866-882-9910 ext 21 Address: 217 Broad St E Dunnville, ON N1A 1G1 Map Intersection: Maple St and Broad St E Accessibility: Wheelchair Accessible Hours: Mon-Fri 9:30am-4:30pm Executives: Breanne Hunter - Program Manager 905-774-4251 ext 26 * breanne_hunter@can.salvationarmy.org Service Description: Provision of emergency and ongoing community programs for people in need Services and Programs: Food Bank Application: Call or visit Eligibility / Target Population: People in need Languages: English Area Served: Haldimand Map See Also: Community Resource Centres This information was last completely updated on February 20, 2020 Suggest an Update © 2020, Hamilton Niagara Haldimand Brant Local Health Integration Network Updated February 20, 2020 Suggest an Update Find Similar Services Community Resource Centres © 2020, thehealthline.ca All rights reserved. Home About Us Contact Us Legal Notice Privacy"
157457,20200724,hnhbhealthline.ca,https://www.hnhbhealthline.ca/Images/closeBtnBG.gif,text/html,application/xhtml+xml,en,"hnhbhealthline.ca - Health Services in London, Middlesex and Oxford, Ontario  404 Page Not Found Sorry, we are having trouble finding what you're looking for. Do you want to try one of the following instead? 1. Visit the homepage 2. 3. Visit one of our most-viewed pages Walk-in Medical Clinics In-Home Personal Support Long-Term Care Homes Diagnostic Imaging Clinics Seniors’ Apartments Adult Day Programs Retirement Homes Community Care Access Centre Jobs in Healthcare Health clinics, classes and events If you followed a link from somewhere, please email us at: access@lhins.on.ca to let us know where you were coming from and what you were looking for and we'll try to fix it."
157458,20200724,hnhbhealthline.ca,https://www.hnhbhealthline.ca/index.aspx?ReturnUrl=https%3a%2f%2fwww.hnhbhealthline.ca%2fdisplayservice.aspx%3fid%3d182257&logout=true,text/html,application/xhtml+xml,en,"Health Services for Hamilton Niagara Haldimand Brant - hnhbhealthline.ca  Let us know about changes to your services. Submit Content Find Your CCAC YOUR LHIN Français Help Clipboard 0 Hamilton Niagara Haldimand Brant Hamilton Niagara Niagara North West Haldimand Norfolk Brant Burlington HEALTH SERVICES HEALTH CAREERS HEALTH NEWS HEALTH EVENTS HEALTH RESOURCES July 24, 2020 Health Services for Hamilton Niagara Haldimand Brant Health Care Options Health Care Facilities Health Care Professions Home Health and Community Supports Public Health Find Services Near Me Health Topics Abuse and Sexual Assault Addictions Diseases and Conditions End-of-Life Care Environmental and Workplace Health Mental Health People with Disabilities Rehabilitative Care Residential Care Sexual and Reproductive Health Your Health Children and Parenting Indigenous Communities Men Seniors Women Youth Making Choices Basic Needs and Social Supports Blood, Organ and Tissue Donations Health Coverage and Care Planning Healthy Living Information Services Legal Services News Saturday July 15, 2017 Minister's Medal 2017 More News... Events Friday July 24, 2020 Osteoarthritis of the Hand - Ontario wide Monday July 27, 2020 A Daughter's Grief - Hamilton Tuesday July 28, 2020 English Conversation Circle Online - Hamilton More Events... Careers Wednesday July 15, 2020 Health Care Worker - Niagara Falls Thursday July 9, 2020 Community Nurse Thursday July 9, 2020 Community Nurse More Careers... Services Listed Alphabetically ABCDEFGHIJKLMNOPQRSTUVWXYZ Find Services Near Me Find Services Across Ontario Coronavirus (COVID-19) For the most current information visit the Ministry of Health's Coronavirus (COVID-19) website. Contact your primary care provider or Telehealth Ontario at 1-866-797-0000 if you’re experiencing symptoms of the 2019 novel coronavirus. Local Health Care Service Changes Do not call 911 unless it is an emergency. COVID-19 Health Navigator COVID-19 Self-Assessment tool linked to doctors and nurse practitioners in the West Region of Ontario Health. Need help connecting to health services? Call 310-2222 1-800-810-0000 or Email: access@lhins.on.ca © 2020, thehealthline.ca All rights reserved. Home About Us Contact Us Legal Notice Privacy"
157526,20200724,hnhbhealthline.ca,https://www.hnhbhealthline.ca/emailAFriend.aspx?pageid=1&id=182257,text/html,application/xhtml+xml,en,Send to a Friend - hnhbhealthline.ca  Enter a friend’s email address below to send them information about: Email Address:
168552,20200731,hnhbhealthline.ca,https://www.hnhbhealthline.ca/displayservice.aspx?id=182257,text/html,,,
168602,20200731,hnhbhealthline.ca,https://www.hnhbhealthline.ca/Images/closeBtnBG.gif,text/html,,,
168604,20200731,hnhbhealthline.ca,https://www.hnhbhealthline.ca/index.aspx?ReturnUrl=https%3a%2f%2fwww.hnhbhealthline.ca%2fdisplayservice.aspx%3fid%3d182257&logout=true,text/html,application/xhtml+xml,en,"Health Services for Hamilton Niagara Haldimand Brant - hnhbhealthline.ca  Let us know about changes to your services. Submit Content Find Your CCAC YOUR LHIN Français Help Clipboard 0 Hamilton Niagara Haldimand Brant Hamilton Niagara Niagara North West Haldimand Norfolk Brant Burlington HEALTH SERVICES HEALTH CAREERS HEALTH NEWS HEALTH EVENTS HEALTH RESOURCES July 31, 2020 Health Services for Hamilton Niagara Haldimand Brant Health Care Options Health Care Facilities Health Care Professions Home Health and Community Supports Public Health Find Services Near Me Health Topics Abuse and Sexual Assault Addictions Diseases and Conditions End-of-Life Care Environmental and Workplace Health Mental Health People with Disabilities Rehabilitative Care Residential Care Sexual and Reproductive Health Your Health Children and Parenting Indigenous Communities Men Seniors Women Youth Making Choices Basic Needs and Social Supports Blood, Organ and Tissue Donations Health Coverage and Care Planning Healthy Living Information Services Legal Services News Saturday July 15, 2017 Minister's Medal 2017 More News... Events Monday August 3, 2020 Hamilton- Summer Fun Kits - Ancaster Tuesday August 4, 2020 Spousal Loss Support Group - Hamilton Wednesday August 5, 2020 Dementia Fireside Chats - Caledonia More Events... Careers Thursday July 9, 2020 Community Nurse Thursday July 9, 2020 Community Nurse Thursday July 9, 2020 Shift Nurse More Careers... Services Listed Alphabetically ABCDEFGHIJKLMNOPQRSTUVWXYZ Find Services Near Me Find Services Across Ontario Coronavirus (COVID-19) For the most current information visit the Ministry of Health's Coronavirus (COVID-19) website. Contact your primary care provider or Telehealth Ontario at 1-866-797-0000 if you’re experiencing symptoms of the 2019 novel coronavirus. Local Health Care Service Changes Do not call 911 unless it is an emergency. COVID-19 Health Navigator COVID-19 Self-Assessment tool linked to doctors and nurse practitioners in the West Region of Ontario Health. Need help connecting to health services? Call 310-2222 1-800-810-0000 or Email: access@lhins.on.ca © 2020, thehealthline.ca All rights reserved. Home About Us Contact Us Legal Notice Privacy"
168608,20200731,hnhbhealthline.ca,https://www.hnhbhealthline.ca/emailAFriend.aspx?pageid=1&id=182257,text/html,,,
179459,20200807,hnhbhealthline.ca,https://www.hnhbhealthline.ca/displayservice.aspx?id=182257,text/html,application/xhtml+xml,en,"Salvation Army (The) - Dunnville - Community and Family Services - hnhbhealthline.ca  Let us know about changes to your services. Submit Content Find Your CCAC YOUR LHIN Français Help Clipboard 0 Hamilton Niagara Haldimand Brant Hamilton Niagara Niagara North West Haldimand Norfolk Brant Burlington HEALTH SERVICES HEALTH CAREERS HEALTH NEWS HEALTH EVENTS HEALTH RESOURCES Add to clipboard | Share | Email | Print Due to COVID-19, many organizations have changed how they are providing services or may be temporarily closed. Call, or check the service website, for additional information. Organization: Salvation Army (The) - Dunnville - Community and Family Services Toll-Free: 1-866-882-9910 ext 21 Address: 217 Broad St E Dunnville, ON N1A 1G1 Map Intersection: Maple St and Broad St E Accessibility: Wheelchair Accessible Hours: Mon-Fri 9:30am-4:30pm Executives: Breanne Hunter - Program Manager 905-774-4251 ext 26 * breanne_hunter@can.salvationarmy.org Service Description: Provision of emergency and ongoing community programs for people in need Services and Programs: Food Bank Application: Call or visit Eligibility / Target Population: People in need Languages: English Area Served: Haldimand Map See Also: Community Resource Centres This information was last completely updated on February 20, 2020 Suggest an Update © 2020, Hamilton Niagara Haldimand Brant Local Health Integration Network Updated February 20, 2020 Suggest an Update Find Similar Services Community Resource Centres © 2020, thehealthline.ca All rights reserved. Home About Us Contact Us Legal Notice Privacy"
179479,20200807,hnhbhealthline.ca,https://www.hnhbhealthline.ca/Images/closeBtnBG.gif,text/html,application/xhtml+xml,en,"hnhbhealthline.ca - Health Services in London, Middlesex and Oxford, Ontario  404 Page Not Found Sorry, we are having trouble finding what you're looking for. Do you want to try one of the following instead? 1. Visit the homepage 2. 3. Visit one of our most-viewed pages Walk-in Medical Clinics In-Home Personal Support Long-Term Care Homes Diagnostic Imaging Clinics Seniors’ Apartments Adult Day Programs Retirement Homes Community Care Access Centre Jobs in Healthcare Health clinics, classes and events If you followed a link from somewhere, please email us at: access@lhins.on.ca to let us know where you were coming from and what you were looking for and we'll try to fix it."
179482,20200807,hnhbhealthline.ca,https://www.hnhbhealthline.ca/index.aspx?ReturnUrl=https%3a%2f%2fwww.hnhbhealthline.ca%2fdisplayservice.aspx%3fid%3d182257&logout=true,text/html,application/xhtml+xml,en,"Health Services for Hamilton Niagara Haldimand Brant - hnhbhealthline.ca  Let us know about changes to your services. Submit Content Find Your CCAC YOUR LHIN Français Help Clipboard 0 Hamilton Niagara Haldimand Brant Hamilton Niagara Niagara North West Haldimand Norfolk Brant Burlington HEALTH SERVICES HEALTH CAREERS HEALTH NEWS HEALTH EVENTS HEALTH RESOURCES August 7, 2020 Health Services for Hamilton Niagara Haldimand Brant Health Care Options Health Care Facilities Health Care Professions Home Health and Community Supports Public Health Find Services Near Me Health Topics Abuse and Sexual Assault Addictions Diseases and Conditions End-of-Life Care Environmental and Workplace Health Mental Health People with Disabilities Rehabilitative Care Residential Care Sexual and Reproductive Health Your Health Children and Parenting Indigenous Communities Men Seniors Women Youth Making Choices Basic Needs and Social Supports Blood, Organ and Tissue Donations Health Coverage and Care Planning Healthy Living Information Services Legal Services News Saturday July 15, 2017 Minister's Medal 2017 More News... Events Friday August 7, 2020 Taking Charge of Fibromyalgia - Ontario wide Monday August 10, 2020 Caregiver Support Group - Hamilton Monday August 10, 2020 A Daughter's Grief - Hamilton More Events... Careers Thursday July 9, 2020 Community Nurse Thursday July 9, 2020 Community Nurse Thursday July 9, 2020 Shift Nurse More Careers... Services Listed Alphabetically ABCDEFGHIJKLMNOPQRSTUVWXYZ Find Services Near Me Find Services Across Ontario Coronavirus (COVID-19) For the most current information visit the Ministry of Health's Coronavirus (COVID-19) website. Contact your primary care provider or Telehealth Ontario at 1-866-797-0000 if you’re experiencing symptoms of the 2019 novel coronavirus. Local Health Care Service Changes Do not call 911 unless it is an emergency. COVID-19 Health Navigator COVID-19 Self-Assessment tool linked to doctors and nurse practitioners in the West Region of Ontario Health. Need help connecting to health services? Call 310-2222 1-800-810-0000 or Email: access@lhins.on.ca © 2020, thehealthline.ca All rights reserved. Home About Us Contact Us Legal Notice Privacy"
179486,20200807,hnhbhealthline.ca,https://www.hnhbhealthline.ca/emailAFriend.aspx?pageid=1&id=182257,text/html,application/xhtml+xml,en,Send to a Friend - hnhbhealthline.ca  Enter a friend’s email address below to send them information about: Email Address:
190475,20200814,hnhbhealthline.ca,https://www.hnhbhealthline.ca/displayservice.aspx?id=182257,text/html,,,
190524,20200814,hnhbhealthline.ca,https://www.hnhbhealthline.ca/Images/closeBtnBG.gif,text/html,,,
190528,20200814,hnhbhealthline.ca,https://www.hnhbhealthline.ca/index.aspx?ReturnUrl=https%3a%2f%2fwww.hnhbhealthline.ca%2fdisplayservice.aspx%3fid%3d182257&logout=true,text/html,application/xhtml+xml,en,"Health Services for Hamilton Niagara Haldimand Brant - hnhbhealthline.ca  Let us know about changes to your services. Submit Content Find Your CCAC YOUR LHIN Français Help Clipboard 0 Hamilton Niagara Haldimand Brant Hamilton Niagara Niagara North West Haldimand Norfolk Brant Burlington HEALTH SERVICES HEALTH CAREERS HEALTH NEWS HEALTH EVENTS HEALTH RESOURCES August 14, 2020 Health Services for Hamilton Niagara Haldimand Brant Health Care Options Health Care Facilities Health Care Professions Home Health and Community Supports Public Health Find Services Near Me Health Topics Abuse and Sexual Assault Addictions Diseases and Conditions End-of-Life Care Environmental and Workplace Health Mental Health People with Disabilities Rehabilitative Care Residential Care Sexual and Reproductive Health Your Health Children and Parenting Indigenous Communities Men Seniors Women Youth Making Choices Basic Needs and Social Supports Blood, Organ and Tissue Donations Health Coverage and Care Planning Healthy Living Information Services Legal Services News Saturday July 15, 2017 Minister's Medal 2017 More News... Events Monday August 17, 2020 A Daughter's Grief - Hamilton Tuesday August 18, 2020 English Conversation Circle Online - Hamilton Tuesday August 18, 2020 CNIB: The Family Zoom Room - Ontario wide More Events... Careers Thursday July 9, 2020 Community Nurse Thursday July 9, 2020 Community Nurse Thursday July 9, 2020 Shift Nurse More Careers... Services Listed Alphabetically ABCDEFGHIJKLMNOPQRSTUVWXYZ Find Services Near Me Find Services Across Ontario Coronavirus (COVID-19) For the most current information visit the Ministry of Health's Coronavirus (COVID-19) website. Contact your primary care provider or Telehealth Ontario at 1-866-797-0000 if you’re experiencing symptoms of the 2019 novel coronavirus. Local Health Care Service Changes Do not call 911 unless it is an emergency. COVID-19 Health Navigator COVID-19 Self-Assessment tool linked to doctors and nurse practitioners in the West Region of Ontario Health. Need help connecting to health services? Call 310-2222 1-800-810-0000 or Email: access@lhins.on.ca © 2020, thehealthline.ca All rights reserved. Home About Us Contact Us Legal Notice Privacy"
190531,20200814,hnhbhealthline.ca,https://www.hnhbhealthline.ca/emailAFriend.aspx?pageid=1&id=182257,text/html,,,
203260,20200821,hnhbhealthline.ca,https://www.hnhbhealthline.ca/displayservice.aspx?id=182257,text/html,,,
203308,20200821,hnhbhealthline.ca,https://www.hnhbhealthline.ca/Images/closeBtnBG.gif,text/html,,,
203309,20200821,hnhbhealthline.ca,https://www.hnhbhealthline.ca/index.aspx?ReturnUrl=https%3a%2f%2fwww.hnhbhealthline.ca%2fdisplayservice.aspx%3fid%3d182257&logout=true,text/html,application/xhtml+xml,en,"Health Services for Hamilton Niagara Haldimand Brant - hnhbhealthline.ca  Let us know about changes to your services. Submit Content Find Your CCAC YOUR LHIN Français Help Clipboard 0 Hamilton Niagara Haldimand Brant Hamilton Niagara Niagara North West Haldimand Norfolk Brant Burlington HEALTH SERVICES HEALTH CAREERS HEALTH NEWS HEALTH EVENTS HEALTH RESOURCES August 21, 2020 Health Services for Hamilton Niagara Haldimand Brant Health Care Options Health Care Facilities Health Care Professions Home Health and Community Supports Public Health Find Services Near Me Health Topics Abuse and Sexual Assault Addictions Diseases and Conditions End-of-Life Care Environmental and Workplace Health Mental Health People with Disabilities Rehabilitative Care Residential Care Sexual and Reproductive Health Your Health Children and Parenting Indigenous Communities Men Seniors Women Youth Making Choices Basic Needs and Social Supports Blood, Organ and Tissue Donations Health Coverage and Care Planning Healthy Living Information Services Legal Services News Saturday July 15, 2017 Minister's Medal 2017 More News... Events Friday August 21, 2020 Advocating for My Child/Teen - Hamilton Sunday August 23, 2020 Crohn's and Colitis Canada Gutsy Walk - Hamilton Sunday August 23, 2020 Crohn's and Colitis Canada Virtual Gutsy Walk - Niagara Region More Events... Careers Thursday July 9, 2020 Community Nurse Thursday July 9, 2020 Community Nurse Thursday July 9, 2020 Shift Nurse More Careers... Services Listed Alphabetically ABCDEFGHIJKLMNOPQRSTUVWXYZ Find Services Near Me Find Services Across Ontario Coronavirus (COVID-19) For the most current information visit the Ministry of Health's Coronavirus (COVID-19) website. Contact your primary care provider or Telehealth Ontario at 1-866-797-0000 if you’re experiencing symptoms of the 2019 novel coronavirus. Local Health Care Service Changes Do not call 911 unless it is an emergency. COVID-19 Health Navigator COVID-19 Self-Assessment tool linked to doctors and nurse practitioners in the West Region of Ontario Health. Need help connecting to health services? Call 310-2222 1-800-810-0000 or Email: access@lhins.on.ca © 2020, thehealthline.ca All rights reserved. Home About Us Contact Us Legal Notice Privacy"
203372,20200821,hnhbhealthline.ca,https://www.hnhbhealthline.ca/emailAFriend.aspx?pageid=1&id=182257,text/html,,,
215128,20200828,hnhbhealthline.ca,https://www.hnhbhealthline.ca/displayservice.aspx?id=182257,text/html,,,
215131,20200828,hnhbhealthline.ca,https://www.hnhbhealthline.ca/Images/closeBtnBG.gif,text/html,,,
215132,20200828,hnhbhealthline.ca,https://www.hnhbhealthline.ca/index.aspx?ReturnUrl=https%3a%2f%2fwww.hnhbhealthline.ca%2fdisplayservice.aspx%3fid%3d182257&logout=true,text/html,application/xhtml+xml,en,"Health Services for Hamilton Niagara Haldimand Brant - hnhbhealthline.ca  Let us know about changes to your services. Submit Content Find Your CCAC YOUR LHIN Français Help Clipboard 0 Hamilton Niagara Haldimand Brant Hamilton Niagara Niagara North West Haldimand Norfolk Brant Burlington HEALTH SERVICES HEALTH CAREERS HEALTH NEWS HEALTH EVENTS HEALTH RESOURCES August 28, 2020 Health Services for Hamilton Niagara Haldimand Brant Health Care Options Health Care Facilities Health Care Professions Home Health and Community Supports Public Health Find Services Near Me Health Topics Abuse and Sexual Assault Addictions Diseases and Conditions End-of-Life Care Environmental and Workplace Health Mental Health People with Disabilities Rehabilitative Care Residential Care Sexual and Reproductive Health Your Health Children and Parenting Indigenous Communities Men Seniors Women Youth Making Choices Basic Needs and Social Supports Blood, Organ and Tissue Donations Health Coverage and Care Planning Healthy Living Information Services Legal Services News Saturday July 15, 2017 Minister's Medal 2017 More News... Events Friday August 28, 2020 Autism Ontario- Hamilton Dance Party - Hamilton Monday August 31, 2020 HOPE International Overdose Awareness Day Virtual Training - Hamilton and Halton Tuesday September 1, 2020 Osteoarthritis of the Hand - Ontario wide More Events... Careers Thursday July 9, 2020 Community Nurse Thursday July 9, 2020 Community Nurse Thursday July 9, 2020 Shift Nurse More Careers... Services Listed Alphabetically ABCDEFGHIJKLMNOPQRSTUVWXYZ Find Services Near Me Find Services Across Ontario Coronavirus (COVID-19) For the most current information visit the Ministry of Health's Coronavirus (COVID-19) website. Contact your primary care provider or Telehealth Ontario at 1-866-797-0000 if you’re experiencing symptoms of the 2019 novel coronavirus. Local Health Care Service Changes Do not call 911 unless it is an emergency. COVID-19 Health Navigator COVID-19 Self-Assessment tool linked to doctors and nurse practitioners in the West Region of Ontario Health. Need help connecting to health services? Call 310-2222 1-800-810-0000 or Email: access@lhins.on.ca © 2020, thehealthline.ca All rights reserved. Home About Us Contact Us Legal Notice Privacy"
215143,20200828,hnhbhealthline.ca,https://www.hnhbhealthline.ca/emailAFriend.aspx?pageid=1&id=182257,text/html,,,
227490,20200904,hnhbhealthline.ca,https://www.hnhbhealthline.ca/displayservice.aspx?id=182257,text/html,,,
227507,20200904,hnhbhealthline.ca,https://www.hnhbhealthline.ca/Images/closeBtnBG.gif,text/html,,,
227509,20200904,hnhbhealthline.ca,https://www.hnhbhealthline.ca/index.aspx?ReturnUrl=https%3a%2f%2fwww.hnhbhealthline.ca%2fdisplayservice.aspx%3fid%3d182257&logout=true,text/html,application/xhtml+xml,en,"Health Services for Hamilton Niagara Haldimand Brant - hnhbhealthline.ca  Let us know about changes to your services. Submit Content Find Your CCAC YOUR LHIN Français Help Clipboard 0 Hamilton Niagara Haldimand Brant Hamilton Niagara Niagara North West Haldimand Norfolk Brant Burlington HEALTH SERVICES HEALTH CAREERS HEALTH NEWS HEALTH EVENTS HEALTH RESOURCES September 4, 2020 Health Services for Hamilton Niagara Haldimand Brant Health Care Options Health Care Facilities Health Care Professions Home Health and Community Supports Public Health Find Services Near Me Health Topics Abuse and Sexual Assault Addictions Diseases and Conditions End-of-Life Care Environmental and Workplace Health Mental Health People with Disabilities Rehabilitative Care Residential Care Sexual and Reproductive Health Your Health Children and Parenting Indigenous Communities Men Seniors Women Youth Making Choices Basic Needs and Social Supports Blood, Organ and Tissue Donations Health Coverage and Care Planning Healthy Living Information Services Legal Services News Saturday July 15, 2017 Minister's Medal 2017 More News... Events Tuesday September 8, 2020 Osteoarthritis of the Hand - Ontario wide Tuesday September 8, 2020 Caregiver Support Group - Hamilton Tuesday September 8, 2020 Women 2 Women Social - Ontario wide More Events... Careers There are no new career listings Services Listed Alphabetically ABCDEFGHIJKLMNOPQRSTUVWXYZ Find Services Near Me Find Services Across Ontario Coronavirus (COVID-19) For the most current information visit the Ministry of Health's Coronavirus (COVID-19) website. Contact your primary care provider or Telehealth Ontario at 1-866-797-0000 if you’re experiencing symptoms of the 2019 novel coronavirus. Local Health Care Service Changes Do not call 911 unless it is an emergency. COVID-19 Health Navigator COVID-19 Self-Assessment tool linked to doctors and nurse practitioners in the West Region of Ontario Health. Need help connecting to health services? Call 310-2222 1-800-810-0000 or Email: access@lhins.on.ca © 2020, thehealthline.ca All rights reserved. Home About Us Contact Us Legal Notice Privacy"
227511,20200904,hnhbhealthline.ca,https://www.hnhbhealthline.ca/emailAFriend.aspx?pageid=1&id=182257,text/html,,,
