,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
8744,20200417,hu.pinterest.com,https://hu.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
9017,20200417,hu.pinterest.com,https://hu.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
14290,20200424,hu.pinterest.com,https://hu.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
14573,20200424,hu.pinterest.com,https://hu.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
19219,20200504,hu.pinterest.com,https://hu.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest Here come more ideas! Oh no! Pinterest doesn't work unless you turn on JavaScript.
19471,20200504,hu.pinterest.com,https://hu.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
22694,20200515,hu.pinterest.com,https://hu.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
22915,20200515,hu.pinterest.com,https://hu.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
64537,20200522,hu.pinterest.com,https://hu.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
64800,20200529,hu.pinterest.com,https://hu.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
65089,20200522,hu.pinterest.com,https://hu.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
65377,20200529,hu.pinterest.com,https://hu.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
73253,20200529,hu.pinterest.com,https://hu.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
73472,20200529,hu.pinterest.com,https://hu.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
82911,20200605,hu.pinterest.com,https://hu.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
93200,20200612,hu.pinterest.com,https://hu.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
157470,20200724,hu.pinterest.com,https://hu.pinterest.com/,text/html,text/html,hu,Pinterest - Magyarország
