,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
6583,20200417,icloud.com,https://www.icloud.com/,text/html,text/html,br,iCloud
13658,20200424,icloud.com,https://www.icloud.com/,text/html,text/html,br,iCloud
18140,20200504,icloud.com,https://www.icloud.com/,text/html,text/html,br,iCloud
21904,20200515,icloud.com,https://www.icloud.com/,text/html,text/html,br,iCloud
60321,20200522,icloud.com,https://www.icloud.com/,text/html,,,
61437,20200529,icloud.com,https://www.icloud.com/,text/html,text/html,br,iCloud
71121,20200529,icloud.com,https://www.icloud.com/,text/html,,,
80207,20200605,icloud.com,https://www.icloud.com/,text/html,,,
90556,20200612,icloud.com,https://www.icloud.com/,text/html,text/html,br,iCloud
101683,20200619,icloud.com,https://www.icloud.com/,text/html,,,
111480,20200626,icloud.com,https://www.icloud.com/,text/html,,,
121944,20200703,icloud.com,https://www.icloud.com/,text/html,,,
132169,20200710,icloud.com,https://www.icloud.com/,text/html,text/html,br,iCloud
142762,20200717,icloud.com,https://www.icloud.com/,text/html,,,
164068,20200731,icloud.com,https://www.icloud.com/,text/html,text/html,br,iCloud
175095,20200807,icloud.com,https://www.icloud.com/,text/html,text/html,br,iCloud
186051,20200814,icloud.com,https://www.icloud.com/,text/html,text/html,br,iCloud
198822,20200821,icloud.com,https://www.icloud.com/,text/html,text/html,br,iCloud
210602,20200828,icloud.com,https://www.icloud.com/,text/html,,,
223121,20200904,icloud.com,https://www.icloud.com/,text/html,,,
248584,20200918,icloud.com,https://www.icloud.com/,text/html,text/html,br,iCloud
260048,20200925,icloud.com,https://www.icloud.com/,text/html,text/html,br,iCloud
270941,20201002,icloud.com,https://www.icloud.com/,text/html,text/html,br,iCloud
283271,20201009,icloud.com,https://www.icloud.com/,text/html,text/html,br,iCloud
295098,20201016,icloud.com,https://www.icloud.com/,text/html,text/html,br,iCloud
308330,20201023,icloud.com,https://www.icloud.com/,text/html,text/html,br,iCloud
318933,20201030,icloud.com,https://www.icloud.com/,text/html,text/html,br,iCloud
331743,20201106,icloud.com,https://www.icloud.com/,text/html,text/html,br,iCloud
341785,20201113,icloud.com,https://www.icloud.com/,text/html,text/html,br,iCloud
352472,20201120,icloud.com,https://www.icloud.com/,text/html,text/html,br,iCloud
364061,20201127,icloud.com,https://www.icloud.com/,text/html,text/html,br,iCloud
375421,20201204,icloud.com,https://www.icloud.com/,text/html,text/html,br,iCloud
386149,20201211,icloud.com,https://www.icloud.com/,text/html,text/html,br,iCloud
395150,20201218,icloud.com,https://www.icloud.com/,text/html,text/html,br,iCloud
404477,20201225,icloud.com,https://www.icloud.com/,text/html,text/html,br,iCloud
413578,20210101,icloud.com,https://www.icloud.com/,text/html,text/html,br,iCloud
