,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
24471,20200706,image2.pubmatic.com,https://image2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZqcz0xJmNvZGU9MzA2OSZ0bD0xMjk2MDA&piggybackCookie=97979599-2dbb-4c60-aa71-ab21eef20db5,text/html,text/plain,,
24585,20200706,image2.pubmatic.com,https://image2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZqcz0xJmNvZGU9MzA2OSZ0bD0xMjk2MDA&piggybackCookie=e94406a7-1e8b-45f9-bcf3-77280eca72af,text/html,text/plain,,
24604,20200706,image2.pubmatic.com,https://image2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZqcz0xJmNvZGU9MzA2OSZ0bD0xMjk2MDA&piggybackCookie=680d1617-5381-4cbe-9ab1-114f8a6bb6de,text/html,text/plain,,
24624,20200706,image2.pubmatic.com,https://image2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZqcz0xJmNvZGU9MzA2OSZ0bD0xMjk2MDA&piggybackCookie=358cb949-da6f-4c0a-b6b2-2e33ef03bc4c,text/html,text/plain,,
24638,20200706,image2.pubmatic.com,https://image2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZqcz0xJmNvZGU9MzA2OSZ0bD0xMjk2MDA&piggybackCookie=1fff8e9a-9759-4a79-bca1-4a764b737cc3,text/html,text/plain,,
24658,20200706,image2.pubmatic.com,https://image2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZqcz0xJmNvZGU9MzA2OSZ0bD0xMjk2MDA&piggybackCookie=80908b21-d5b9-4470-b772-985b42d4a200,text/html,text/plain,,
24677,20200706,image2.pubmatic.com,https://image2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZqcz0xJmNvZGU9MzA2OSZ0bD0xMjk2MDA&piggybackCookie=59b14770-b8d2-4b3b-aeed-befc471c95b8,text/html,text/plain,,
24692,20200706,image2.pubmatic.com,https://image2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZqcz0xJmNvZGU9MzA2OSZ0bD0xMjk2MDA&piggybackCookie=11d8de00-74af-4ac6-916b-20016ea43f02,text/html,text/plain,,
24712,20200706,image2.pubmatic.com,https://image2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZqcz0xJmNvZGU9MzA2OSZ0bD0xMjk2MDA&piggybackCookie=7b73e8f3-d0c6-4a2c-8e3f-230b14a375e6,text/html,text/plain,,
24730,20200706,image2.pubmatic.com,https://image2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZqcz0xJmNvZGU9MzA2OSZ0bD0xMjk2MDA&piggybackCookie=68681141-3b52-4c47-8a55-fb2678c50852,text/html,text/plain,,
24747,20200706,image2.pubmatic.com,https://image2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZqcz0xJmNvZGU9MzA2OSZ0bD0xMjk2MDA&piggybackCookie=cf6ac243-e800-4e7f-bde2-86ba2bb5bad4,text/html,text/plain,,
24764,20200706,image2.pubmatic.com,https://image2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZqcz0xJmNvZGU9MzA2OSZ0bD0xMjk2MDA&piggybackCookie=9f6abbda-99de-4440-8b63-b3ab763c90e4,text/html,text/plain,,
24779,20200706,image2.pubmatic.com,https://image2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZqcz0xJmNvZGU9MzA2OSZ0bD0xMjk2MDA&piggybackCookie=ff2024e7-2ec1-42ca-af3f-eebcd980dd63,text/html,text/plain,,
24799,20200706,image2.pubmatic.com,https://image2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZqcz0xJmNvZGU9MzA2OSZ0bD0xMjk2MDA&piggybackCookie=2c28c754-637c-49ef-8755-d3adb306e0f6,text/html,text/plain,,
24821,20200706,image2.pubmatic.com,https://image2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZqcz0xJmNvZGU9MzA2OSZ0bD0xMjk2MDA&piggybackCookie=73a9d876-0798-46cf-8816-621b597b5ec7,text/html,text/plain,,
24838,20200706,image2.pubmatic.com,https://image2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZqcz0xJmNvZGU9MzA2OSZ0bD0xMjk2MDA&piggybackCookie=fa497760-4059-4646-96c3-a49c60360d66,text/html,text/plain,,
24854,20200706,image2.pubmatic.com,https://image2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZqcz0xJmNvZGU9MzA2OSZ0bD0xMjk2MDA&piggybackCookie=63f91b79-bbaa-4e2b-891f-5637c792aa58,text/html,text/plain,,
24869,20200706,image2.pubmatic.com,https://image2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZqcz0xJmNvZGU9MzA2OSZ0bD0xMjk2MDA&piggybackCookie=c92a10c9-240f-4940-aa7b-7577e62dd520,text/html,text/plain,,
24887,20200706,image2.pubmatic.com,https://image2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZqcz0xJmNvZGU9MzA2OSZ0bD0xMjk2MDA&piggybackCookie=d9556664-efe6-4140-9c3a-7c8d1ea23281,text/html,text/plain,,
24905,20200706,image2.pubmatic.com,https://image2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZqcz0xJmNvZGU9MzA2OSZ0bD0xMjk2MDA&piggybackCookie=d50b931f-6ad4-4474-83e7-b6186460f9a4,text/html,text/plain,,
24915,20200706,image2.pubmatic.com,https://image2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZqcz0xJmNvZGU9MzA2OSZ0bD0xMjk2MDA&piggybackCookie=adf9aca8-0bbb-4c6f-a851-8cceffecf38e,text/html,text/plain,,
24934,20200706,image2.pubmatic.com,https://image2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZqcz0xJmNvZGU9MzA2OSZ0bD0xMjk2MDA&piggybackCookie=4ae94d72-3c6c-42e4-a7ad-e5d293c3b8db,text/html,text/plain,,
24949,20200706,image2.pubmatic.com,https://image2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZqcz0xJmNvZGU9MzA2OSZ0bD0xMjk2MDA&piggybackCookie=66ef9200-521b-4bc4-b5fc-3832f5f5967f,text/html,text/plain,,
24970,20200706,image2.pubmatic.com,https://image2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZqcz0xJmNvZGU9MzA2OSZ0bD0xMjk2MDA&piggybackCookie=a9432868-51cd-48fb-a63c-3e657995f7a4,text/html,text/plain,,
24984,20200706,image2.pubmatic.com,https://image2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZqcz0xJmNvZGU9MzA2OSZ0bD0xMjk2MDA&piggybackCookie=3825e291-54e7-4e42-a85d-be3b5292494f,text/html,text/plain,,
25007,20200706,image2.pubmatic.com,https://image2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZqcz0xJmNvZGU9MzA2OSZ0bD0xMjk2MDA&piggybackCookie=dd27d86a-a589-45ad-b3ae-0c03da2ee354,text/html,text/plain,,
25021,20200706,image2.pubmatic.com,https://image2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZqcz0xJmNvZGU9MzA2OSZ0bD0xMjk2MDA&piggybackCookie=6ec2ca53-9ac0-4c52-a9b2-b19179a75e3e,text/html,text/plain,,
25034,20200706,image2.pubmatic.com,https://image2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZqcz0xJmNvZGU9MzA2OSZ0bD0xMjk2MDA&piggybackCookie=b07a2d70-0882-48d8-8797-919ad2294774,text/html,text/plain,,
25051,20200706,image2.pubmatic.com,https://image2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZqcz0xJmNvZGU9MzA2OSZ0bD0xMjk2MDA&piggybackCookie=0742879d-9b07-46e8-8c20-d300754678f4,text/html,text/plain,,
25075,20200706,image2.pubmatic.com,https://image2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZqcz0xJmNvZGU9MzA2OSZ0bD0xMjk2MDA&piggybackCookie=7f2de0c6-f907-47dc-90cd-215d7075d166,text/html,text/plain,,
25088,20200706,image2.pubmatic.com,https://image2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZqcz0xJmNvZGU9MzA2OSZ0bD0xMjk2MDA&piggybackCookie=493adadc-fb35-443f-81df-27a2335aea69,text/html,text/plain,,
25109,20200706,image2.pubmatic.com,https://image2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZqcz0xJmNvZGU9MzA2OSZ0bD0xMjk2MDA&piggybackCookie=d4d48af2-6afb-4611-807c-1c808fa27aa6,text/html,text/plain,,
25122,20200706,image2.pubmatic.com,https://image2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZqcz0xJmNvZGU9MzA2OSZ0bD0xMjk2MDA&piggybackCookie=0ddf78d4-9070-4442-840a-9b8a4ad6d186,text/html,,,
25138,20200706,image2.pubmatic.com,https://image2.pubmatic.com/AdServer/Pug?vcode=bz0yJnR5cGU9MSZqcz0xJmNvZGU9MzA2OSZ0bD0xMjk2MDA&piggybackCookie=e38501eb-fea0-4cff-b019-504c9e0a5f74,text/html,text/plain,,
