,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
24479,20200706,imasdk.googleapis.com,https://imasdk.googleapis.com/js/core/bridge3.392.0_en.html,text/html,text/html,,
24587,20200706,imasdk.googleapis.com,https://imasdk.googleapis.com/js/core/bridge3.392.0_en.html,text/html,text/html,,
24610,20200706,imasdk.googleapis.com,https://imasdk.googleapis.com/js/core/bridge3.392.0_en.html,text/html,text/html,,
24627,20200706,imasdk.googleapis.com,https://imasdk.googleapis.com/js/core/bridge3.392.0_en.html,text/html,text/html,,
24646,20200706,imasdk.googleapis.com,https://imasdk.googleapis.com/js/core/bridge3.392.0_en.html,text/html,text/html,,
24682,20200706,imasdk.googleapis.com,https://imasdk.googleapis.com/js/core/bridge3.392.0_en.html,text/html,text/html,,
24700,20200706,imasdk.googleapis.com,https://imasdk.googleapis.com/js/core/bridge3.392.0_en.html,text/html,text/html,,
24721,20200706,imasdk.googleapis.com,https://imasdk.googleapis.com/js/core/bridge3.392.0_en.html,text/html,text/html,,
24738,20200706,imasdk.googleapis.com,https://imasdk.googleapis.com/js/core/bridge3.392.0_en.html,text/html,text/html,,
24773,20200706,imasdk.googleapis.com,https://imasdk.googleapis.com/js/core/bridge3.392.0_en.html,text/html,text/html,,
24787,20200706,imasdk.googleapis.com,https://imasdk.googleapis.com/js/core/bridge3.392.0_en.html,text/html,text/html,,
24807,20200706,imasdk.googleapis.com,https://imasdk.googleapis.com/js/core/bridge3.392.0_en.html,text/html,text/html,,
24827,20200706,imasdk.googleapis.com,https://imasdk.googleapis.com/js/core/bridge3.392.0_en.html,text/html,text/html,,
24844,20200706,imasdk.googleapis.com,https://imasdk.googleapis.com/js/core/bridge3.392.0_en.html,text/html,text/html,,
24861,20200706,imasdk.googleapis.com,https://imasdk.googleapis.com/js/core/bridge3.392.0_en.html,text/html,text/html,,
24877,20200706,imasdk.googleapis.com,https://imasdk.googleapis.com/js/core/bridge3.392.0_en.html,text/html,text/html,,
24892,20200706,imasdk.googleapis.com,https://imasdk.googleapis.com/js/core/bridge3.392.0_en.html,text/html,text/html,,
24924,20200706,imasdk.googleapis.com,https://imasdk.googleapis.com/js/core/bridge3.392.0_en.html,text/html,text/html,,
24939,20200706,imasdk.googleapis.com,https://imasdk.googleapis.com/js/core/bridge3.392.0_en.html,text/html,text/html,,
