,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
8773,20200417,in.pinterest.com,https://in.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
9044,20200417,in.pinterest.com,https://in.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
14289,20200424,in.pinterest.com,https://in.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
14576,20200424,in.pinterest.com,https://in.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
19221,20200504,in.pinterest.com,https://in.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest Pulling up ideas just for you Oh no! Pinterest doesn't work unless you turn on JavaScript.
19472,20200504,in.pinterest.com,https://in.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest Getting more ideas ready for you Oh no! Pinterest doesn't work unless you turn on JavaScript.
22698,20200515,in.pinterest.com,https://in.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
22956,20200515,in.pinterest.com,https://in.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
64540,20200522,in.pinterest.com,https://in.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
64802,20200529,in.pinterest.com,https://in.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
65080,20200522,in.pinterest.com,https://in.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
65379,20200529,in.pinterest.com,https://in.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
73220,20200529,in.pinterest.com,https://in.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
73496,20200529,in.pinterest.com,https://in.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
82914,20200605,in.pinterest.com,https://in.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
93201,20200612,in.pinterest.com,https://in.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
157508,20200724,in.pinterest.com,https://in.pinterest.com/,text/html,text/html,en,Pinterest - India
168530,20200731,in.pinterest.com,https://in.pinterest.com/,text/html,text/html,en,Pinterest - India
190503,20200814,in.pinterest.com,https://in.pinterest.com/,text/html,text/html,en,Pinterest - India
203300,20200821,in.pinterest.com,https://in.pinterest.com/,text/html,text/html,en,Pinterest - India
240263,20200911,in.pinterest.com,https://in.pinterest.com/,text/html,text/html,en,Pinterest - India
275538,20201002,in.pinterest.com,https://in.pinterest.com/,text/html,text/html,en,Pinterest - India
287638,20201009,in.pinterest.com,https://in.pinterest.com/,text/html,text/html,en,Pinterest - India
334289,20201106,in.pinterest.com,https://in.pinterest.com/,text/html,text/html,en,Pinterest - India
356632,20201120,in.pinterest.com,https://in.pinterest.com/,text/html,text/html,en,Pinterest - India
389100,20201211,in.pinterest.com,https://in.pinterest.com/,text/html,text/html,en,Pinterest - India
454607,20210129,in.pinterest.com,https://in.pinterest.com/,text/html,text/html,en,Pinterest - India
464728,20210205,in.pinterest.com,https://in.pinterest.com/,text/html,text/html,en,Pinterest - India
485123,20210219,in.pinterest.com,https://in.pinterest.com/,text/html,text/html,en,Pinterest - India
495405,20210226,in.pinterest.com,https://in.pinterest.com/,text/html,text/html,en,Pinterest - India
505744,20210305,in.pinterest.com,https://in.pinterest.com/,text/html,text/html,en,Pinterest - India
525920,20210319,in.pinterest.com,https://in.pinterest.com/,text/html,text/html,en,Pinterest - India
534955,20210326,in.pinterest.com,https://in.pinterest.com/,text/html,text/html,en,Pinterest - India
556180,20210409,in.pinterest.com,https://in.pinterest.com/pin/create/button/,text/html,text/html,en,Pinterest - India
566483,20210416,in.pinterest.com,https://in.pinterest.com/pin/create/button/,text/html,text/html,en,Pinterest - India Pinterest Today Explore Log in Sign up Privacy
576707,20210423,in.pinterest.com,https://in.pinterest.com/pin/create/button/,text/html,text/html,en,Pinterest - India Pinterest Today Explore Log in Sign up Pin Builder Privacy
587269,20210430,in.pinterest.com,https://in.pinterest.com/pin/create/button/,text/html,text/html,en,Pinterest - India Pinterest Today Explore Log in Sign up Pin Builder Privacy
597986,20210507,in.pinterest.com,https://in.pinterest.com/pin/create/button/,text/html,text/html,en,Pinterest - India Pinterest Today Explore Log in Sign up Pin Builder Privacy
608376,20210514,in.pinterest.com,https://in.pinterest.com/pin/create/button/,text/html,text/html,en,Pinterest - India Pinterest Today Explore Log in Sign up Pin Builder Privacy
618968,20210521,in.pinterest.com,https://in.pinterest.com/pin/create/button/,text/html,text/html,en,Pinterest - India Pinterest Today Explore Log in Sign up Pin Builder Privacy
629188,20210528,in.pinterest.com,https://in.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - India Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
639890,20210604,in.pinterest.com,https://in.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - India Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
650328,20210611,in.pinterest.com,https://in.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - India Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
660079,20210618,in.pinterest.com,https://in.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - India Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
666001,20210625,in.pinterest.com,https://in.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - India Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
671838,20210702,in.pinterest.com,https://in.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - India Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
677792,20210709,in.pinterest.com,https://in.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - India Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
683704,20210716,in.pinterest.com,https://in.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - India Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
689847,20210723,in.pinterest.com,https://in.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - India Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
695325,20210730,in.pinterest.com,https://in.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - India Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
701238,20210806,in.pinterest.com,https://in.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - India Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
707876,20210813,in.pinterest.com,https://in.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - India Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
714508,20210820,in.pinterest.com,https://in.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - India Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
720845,20210827,in.pinterest.com,https://in.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - India Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
726636,20210903,in.pinterest.com,https://in.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - India Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
732277,20210910,in.pinterest.com,https://in.pinterest.com/pin/create/button/,text/html,text/html,en,"Pinterest - India Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
