,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
60306,20200522,janiceandrobin.com,https://janiceandrobin.com/,text/html,text/html,en,"Janice and Robin | Janice and Robin <img height=""1"" width=""1"" style=""display:none"" alt=""fbpx"" src=""https://www.facebook.com/tr?id=1660523330888829&amp;ev=PageView&amp;noscript=1""> Home About Our Clients Featured Client Work Blog Book a Free Consultation CUT THROUGH THE NOISE WITH A SUPERCHARGED ONLINE MARKETING STRATEGY We use the power of storytelling to design winning websites, social media and digital communications Connect with Janice and Robin Today! BRAND STORYTELLING IS THE KEY TO DRIVING SALES It’s a busy world and most businesses struggle to grab customers’ attention. Janice and Robin help businesses like yours create a clear, simple brand story that cuts through the noise, connects you with your customers and increases your business. We use our Storytelling Framework to help you clarify your branding and marketing message so it’s easy for customers to understand what you offer and how you will solve their problem. Customers will want to engage with you and your business will grow. We design and build websites, write content and develop strategies for social media, video and print marketing. Book a Free Consultation Today! What We Do A lot of organizations spend too much money on beautifully designed websites and digital communications and get little engagement because there’s no story. People usually buy based on emotion and that’s why we begin by working with your organization to develop the “story” using our proven Brand Storytelling Framework. We create a clear brand message that is used across all digital and print marketing materials. The story is particularly powerful on websites and social media. You’ll find examples in our Featured Clients section of businesses and organizations who have built new awareness, attracted new customers and are reaching their goals by focusing on their brand’s story. Brand Storytelling We take you through our Brand Storytelling Framework to clarify your brand message. Your customer is always the hero of the story who has a problem. You show how your brand solves their problem and what their life looks like when they succeed. Social Media An engaging social media marketing and advertising strategy is essential to driving sales. Social media has never been more fluid so your strategy must be flexible and ready to pivot as technology and people’s preferences change. Websites Websites are based on the results of your brand storeytelling. The site will have a clean and creative design with a compelling story, powerful images and clear calls to action that engage your customers and invite them into your story. Content Creation We believe that simplicity trumps cleverness. All your content will be written with clarity so that you will rise above the noise in the digital world. Your customer’s will identify their need, see your solution and imagine their success. Digital Marketing Success in 3 Easy Steps 1. Find Your Story We help you discover your brand story by listening and talking to you about the challenges you face in your business marketing, especially in the digital world. 2. Create an Action Plan Our approach is customer focused. We create a unique plan for each client to ensure that business objectives are met and success is achieved. 3. Implement the Plan & Watch Your Business Grow. We work together to implement a strong, focused strategy so that your business grows and thrives. Book a Free Consultation Today! From the Desks of Janice and Robin Clarity Beats Cute and Clever Every Time June 5, 2019 Customer language March 11, 2019 We can give our customers lots of facts about our business and products. But when it comes to getting a customer to take action, it's going to be how they feel and what they believe about your business or product that will drive them. What do your customers believe? Facts vs Feelings March 7, 2019 We create a unique process for each client to ensure that business objectives are met and success is achieved. I have worked with Janice and Robin since 2007 in my capacity as Chief Executive Officer of the Ontario Soccer Association and more recently as Managing Partner of The OCP Group. During the period of engagement I have found Janice and Robin to be attentive, creative, innovative, and aware of the most recent trends in social media. Most importantly as a client, Janice and Robin have been committed to my needs. Guy Bradbury, Managing Partner at The OCP Group I was looking to refresh my brand, story and image but was having trouble getting myself out of the way and trying to be everything to everyone. I was feeling the need to explain 'everything' we do, instead of creating a polished and powerful statement. Working with Janice using the Story Branding process and help with design and communications to my market resulted in a creative and fresh approach to linking all my digital platforms and having a marketing and content strategy developed. We now have a powerful website, branding and clear communications strategy moving forward. Neil Thornton The Thornton Group I have been a client of Janice and Robin's for over 7 years and they are amazing at developing a business brand that you can be proud of and helps to grow your business. They work with and through your team to help you build a brand that you can be proud of and your customers cannot resist. Dino Miele Chief Information Officer at District School Board of Niagara Janice took us through the StoryBrand process and it clarified and simplified the message for Seaway Mall. Staff in different departments realized that one consistent message worked for all parts of mall management. It made it easier to coordinate marketing for events, social media and customer service. Mike Belcastro Mike Belcastro - President at Doral Holdings Limited I wanted to use social media in my campaign because I knew it was one of the best ways to reach voters. Janice and Robin were part of my core campaign team. They ran a creative and innovative social media campaign that made the difference in me being elected Mayor. Walter Sendzik Mayor City of St.Catharines Janice and Robin have been critical in the execution of the complete social media marketing plan for the Shannon Passero retail division, and with their help we have been able to directly increase sales because of their efforts. I feel this is critical in the business climate of today (especially Niagara) to see immediate results and quantifiable sales and this has been achieved with great success. Shannon Passero The Post Office Book a Free Consultation Today! RobinJanice and Robin09.21.2017 Contact Janice and Robin Phone: 905.684.9393 Email: janice@janiceandrobin.com Janice and Robin on IG Thanks so much Third Age Learning Niagara for havi We're very excited about the launch of the AgriTec This error message is only visible to WordPress admins Warning: The account for needs to be reconnected. Due to Instagram platform changes on March 31, 2020, this Instagram account needs to be reconnected to allow the feed to continue updating. Reconnect on plugin Settings page Quick Links About Blog Our Clients Contact © Janice AND Robin"
60311,20200522,janiceandrobin.com,https://janiceandrobin.com/?s={search_term_string},text/html,text/html,en,"You searched for {search_term_string} | Janice and Robin <img height=""1"" width=""1"" style=""display:none"" alt=""fbpx"" src=""https://www.facebook.com/tr?id=1660523330888829&amp;ev=PageView&amp;noscript=1""> Home About Our Clients Featured Client Work Blog Book a Free Consultation Nothing Found Sorry, no search results were found for ""{search_term_string}"" Contact Janice and Robin Phone: 905.684.9393 Email: janice@janiceandrobin.com Janice and Robin on IG Thanks so much Third Age Learning Niagara for havi We're very excited about the launch of the AgriTec This error message is only visible to WordPress admins Warning: The account for needs to be reconnected. Due to Instagram platform changes on March 31, 2020, this Instagram account needs to be reconnected to allow the feed to continue updating. Reconnect on plugin Settings page Quick Links About Blog Our Clients Contact © Janice AND Robin"
61406,20200529,janiceandrobin.com,https://janiceandrobin.com/,text/html,text/html,en,"Janice and Robin | Janice and Robin <img height=""1"" width=""1"" style=""display:none"" alt=""fbpx"" src=""https://www.facebook.com/tr?id=1660523330888829&amp;ev=PageView&amp;noscript=1""> Home About Our Clients Featured Client Work Blog Book a Free Consultation CUT THROUGH THE NOISE WITH A SUPERCHARGED ONLINE MARKETING STRATEGY We use the power of storytelling to design winning websites, social media and digital communications Connect with Janice and Robin Today! BRAND STORYTELLING IS THE KEY TO DRIVING SALES It’s a busy world and most businesses struggle to grab customers’ attention. Janice and Robin help businesses like yours create a clear, simple brand story that cuts through the noise, connects you with your customers and increases your business. We use our Storytelling Framework to help you clarify your branding and marketing message so it’s easy for customers to understand what you offer and how you will solve their problem. Customers will want to engage with you and your business will grow. We design and build websites, write content and develop strategies for social media, video and print marketing. Book a Free Consultation Today! What We Do A lot of organizations spend too much money on beautifully designed websites and digital communications and get little engagement because there’s no story. People usually buy based on emotion and that’s why we begin by working with your organization to develop the “story” using our proven Brand Storytelling Framework. We create a clear brand message that is used across all digital and print marketing materials. The story is particularly powerful on websites and social media. You’ll find examples in our Featured Clients section of businesses and organizations who have built new awareness, attracted new customers and are reaching their goals by focusing on their brand’s story. Brand Storytelling We take you through our Brand Storytelling Framework to clarify your brand message. Your customer is always the hero of the story who has a problem. You show how your brand solves their problem and what their life looks like when they succeed. Social Media An engaging social media marketing and advertising strategy is essential to driving sales. Social media has never been more fluid so your strategy must be flexible and ready to pivot as technology and people’s preferences change. Websites Websites are based on the results of your brand storeytelling. The site will have a clean and creative design with a compelling story, powerful images and clear calls to action that engage your customers and invite them into your story. Content Creation We believe that simplicity trumps cleverness. All your content will be written with clarity so that you will rise above the noise in the digital world. Your customer’s will identify their need, see your solution and imagine their success. Digital Marketing Success in 3 Easy Steps 1. Find Your Story We help you discover your brand story by listening and talking to you about the challenges you face in your business marketing, especially in the digital world. 2. Create an Action Plan Our approach is customer focused. We create a unique plan for each client to ensure that business objectives are met and success is achieved. 3. Implement the Plan & Watch Your Business Grow. We work together to implement a strong, focused strategy so that your business grows and thrives. Book a Free Consultation Today! From the Desks of Janice and Robin Clarity Beats Cute and Clever Every Time June 5, 2019 Customer language March 11, 2019 We can give our customers lots of facts about our business and products. But when it comes to getting a customer to take action, it's going to be how they feel and what they believe about your business or product that will drive them. What do your customers believe? Facts vs Feelings March 7, 2019 We create a unique process for each client to ensure that business objectives are met and success is achieved. I have worked with Janice and Robin since 2007 in my capacity as Chief Executive Officer of the Ontario Soccer Association and more recently as Managing Partner of The OCP Group. During the period of engagement I have found Janice and Robin to be attentive, creative, innovative, and aware of the most recent trends in social media. Most importantly as a client, Janice and Robin have been committed to my needs. Guy Bradbury, Managing Partner at The OCP Group I was looking to refresh my brand, story and image but was having trouble getting myself out of the way and trying to be everything to everyone. I was feeling the need to explain 'everything' we do, instead of creating a polished and powerful statement. Working with Janice using the Story Branding process and help with design and communications to my market resulted in a creative and fresh approach to linking all my digital platforms and having a marketing and content strategy developed. We now have a powerful website, branding and clear communications strategy moving forward. Neil Thornton The Thornton Group I have been a client of Janice and Robin's for over 7 years and they are amazing at developing a business brand that you can be proud of and helps to grow your business. They work with and through your team to help you build a brand that you can be proud of and your customers cannot resist. Dino Miele Chief Information Officer at District School Board of Niagara Janice took us through the StoryBrand process and it clarified and simplified the message for Seaway Mall. Staff in different departments realized that one consistent message worked for all parts of mall management. It made it easier to coordinate marketing for events, social media and customer service. Mike Belcastro Mike Belcastro - President at Doral Holdings Limited I wanted to use social media in my campaign because I knew it was one of the best ways to reach voters. Janice and Robin were part of my core campaign team. They ran a creative and innovative social media campaign that made the difference in me being elected Mayor. Walter Sendzik Mayor City of St.Catharines Janice and Robin have been critical in the execution of the complete social media marketing plan for the Shannon Passero retail division, and with their help we have been able to directly increase sales because of their efforts. I feel this is critical in the business climate of today (especially Niagara) to see immediate results and quantifiable sales and this has been achieved with great success. Shannon Passero The Post Office Book a Free Consultation Today! RobinJanice and Robin09.21.2017 Contact Janice and Robin Phone: 905.684.9393 Email: janice@janiceandrobin.com Janice and Robin on IG Thanks so much Third Age Learning Niagara for havi We're very excited about the launch of the AgriTec This error message is only visible to WordPress admins Warning: The account for needs to be reconnected. Due to Instagram platform changes on March 31, 2020, this Instagram account needs to be reconnected to allow the feed to continue updating. Reconnect on plugin Settings page Quick Links About Blog Our Clients Contact © Janice AND Robin"
61423,20200529,janiceandrobin.com,https://janiceandrobin.com/?s={search_term_string},text/html,text/html,en,"You searched for {search_term_string} | Janice and Robin <img height=""1"" width=""1"" style=""display:none"" alt=""fbpx"" src=""https://www.facebook.com/tr?id=1660523330888829&amp;ev=PageView&amp;noscript=1""> Home About Our Clients Featured Client Work Blog Book a Free Consultation Nothing Found Sorry, no search results were found for ""{search_term_string}"" Contact Janice and Robin Phone: 905.684.9393 Email: janice@janiceandrobin.com Janice and Robin on IG Thanks so much Third Age Learning Niagara for havi We're very excited about the launch of the AgriTec This error message is only visible to WordPress admins Warning: The account for needs to be reconnected. Due to Instagram platform changes on March 31, 2020, this Instagram account needs to be reconnected to allow the feed to continue updating. Reconnect on plugin Settings page Quick Links About Blog Our Clients Contact © Janice AND Robin"
111454,20200626,janiceandrobin.com,https://janiceandrobin.com/,text/html,text/html,en,"Janice and Robin | Janice and Robin <img height=""1"" width=""1"" style=""display:none"" alt=""fbpx"" src=""https://www.facebook.com/tr?id=1660523330888829&amp;ev=PageView&amp;noscript=1""> Home About Our Clients Featured Client Work Blog Book a Free Consultation CUT THROUGH THE NOISE WITH A SUPERCHARGED ONLINE MARKETING STRATEGY We use the power of storytelling to design winning websites, social media and digital communications Connect with Janice and Robin Today! BRAND STORYTELLING IS THE KEY TO DRIVING SALES It’s a busy world and most businesses struggle to grab customers’ attention. Janice and Robin help businesses like yours create a clear, simple brand story that cuts through the noise, connects you with your customers and increases your business. We use our Storytelling Framework to help you clarify your branding and marketing message so it’s easy for customers to understand what you offer and how you will solve their problem. Customers will want to engage with you and your business will grow. We design and build websites, write content and develop strategies for social media, video and print marketing. Book a Free Consultation Today! What We Do A lot of organizations spend too much money on beautifully designed websites and digital communications and get little engagement because there’s no story. People usually buy based on emotion and that’s why we begin by working with your organization to develop the “story” using our proven Brand Storytelling Framework. We create a clear brand message that is used across all digital and print marketing materials. The story is particularly powerful on websites and social media. You’ll find examples in our Featured Clients section of businesses and organizations who have built new awareness, attracted new customers and are reaching their goals by focusing on their brand’s story. Brand Storytelling We take you through our Brand Storytelling Framework to clarify your brand message. Your customer is always the hero of the story who has a problem. You show how your brand solves their problem and what their life looks like when they succeed. Social Media An engaging social media marketing and advertising strategy is essential to driving sales. Social media has never been more fluid so your strategy must be flexible and ready to pivot as technology and people’s preferences change. Websites Websites are based on the results of your brand storeytelling. The site will have a clean and creative design with a compelling story, powerful images and clear calls to action that engage your customers and invite them into your story. Content Creation We believe that simplicity trumps cleverness. All your content will be written with clarity so that you will rise above the noise in the digital world. Your customer’s will identify their need, see your solution and imagine their success. Digital Marketing Success in 3 Easy Steps 1. Find Your Story We help you discover your brand story by listening and talking to you about the challenges you face in your business marketing, especially in the digital world. 2. Create an Action Plan Our approach is customer focused. We create a unique plan for each client to ensure that business objectives are met and success is achieved. 3. Implement the Plan & Watch Your Business Grow. We work together to implement a strong, focused strategy so that your business grows and thrives. Book a Free Consultation Today! From the Desks of Janice and Robin Clarity Beats Cute and Clever Every Time June 5, 2019 Customer language March 11, 2019 We can give our customers lots of facts about our business and products. But when it comes to getting a customer to take action, it's going to be how they feel and what they believe about your business or product that will drive them. What do your customers believe? Facts vs Feelings March 7, 2019 We create a unique process for each client to ensure that business objectives are met and success is achieved. I have worked with Janice and Robin since 2007 in my capacity as Chief Executive Officer of the Ontario Soccer Association and more recently as Managing Partner of The OCP Group. During the period of engagement I have found Janice and Robin to be attentive, creative, innovative, and aware of the most recent trends in social media. Most importantly as a client, Janice and Robin have been committed to my needs. Guy Bradbury, Managing Partner at The OCP Group I was looking to refresh my brand, story and image but was having trouble getting myself out of the way and trying to be everything to everyone. I was feeling the need to explain 'everything' we do, instead of creating a polished and powerful statement. Working with Janice using the Story Branding process and help with design and communications to my market resulted in a creative and fresh approach to linking all my digital platforms and having a marketing and content strategy developed. We now have a powerful website, branding and clear communications strategy moving forward. Neil Thornton The Thornton Group I have been a client of Janice and Robin's for over 7 years and they are amazing at developing a business brand that you can be proud of and helps to grow your business. They work with and through your team to help you build a brand that you can be proud of and your customers cannot resist. Dino Miele Chief Information Officer at District School Board of Niagara Janice took us through the StoryBrand process and it clarified and simplified the message for Seaway Mall. Staff in different departments realized that one consistent message worked for all parts of mall management. It made it easier to coordinate marketing for events, social media and customer service. Mike Belcastro Mike Belcastro - President at Doral Holdings Limited I wanted to use social media in my campaign because I knew it was one of the best ways to reach voters. Janice and Robin were part of my core campaign team. They ran a creative and innovative social media campaign that made the difference in me being elected Mayor. Walter Sendzik Mayor City of St.Catharines Janice and Robin have been critical in the execution of the complete social media marketing plan for the Shannon Passero retail division, and with their help we have been able to directly increase sales because of their efforts. I feel this is critical in the business climate of today (especially Niagara) to see immediate results and quantifiable sales and this has been achieved with great success. Shannon Passero The Post Office Book a Free Consultation Today! RobinJanice and Robin09.21.2017 Contact Janice and Robin Phone: 905.684.9393 Email: janice@janiceandrobin.com Janice and Robin on IG Thanks so much Third Age Learning Niagara for havi We're very excited about the launch of the AgriTec This error message is only visible to WordPress admins Warning: The account for needs to be reconnected. Due to Instagram platform changes on June 1, 2020, this Instagram account needs to be reconnected to allow the feed to continue updating. Reconnect on plugin Settings page Quick Links About Blog Our Clients Contact © Janice AND Robin"
111458,20200626,janiceandrobin.com,https://janiceandrobin.com/?s={search_term_string},text/html,text/html,en,"You searched for {search_term_string} | Janice and Robin <img height=""1"" width=""1"" style=""display:none"" alt=""fbpx"" src=""https://www.facebook.com/tr?id=1660523330888829&amp;ev=PageView&amp;noscript=1""> Home About Our Clients Featured Client Work Blog Book a Free Consultation Nothing Found Sorry, no search results were found for ""{search_term_string}"" Contact Janice and Robin Phone: 905.684.9393 Email: janice@janiceandrobin.com Janice and Robin on IG Thanks so much Third Age Learning Niagara for havi We're very excited about the launch of the AgriTec This error message is only visible to WordPress admins Warning: The account for needs to be reconnected. Due to Instagram platform changes on June 1, 2020, this Instagram account needs to be reconnected to allow the feed to continue updating. Reconnect on plugin Settings page Quick Links About Blog Our Clients Contact © Janice AND Robin"
153092,20200724,janiceandrobin.com,https://janiceandrobin.com/,text/html,text/html,en,"Janice and Robin | Janice and Robin <img height=""1"" width=""1"" style=""display:none"" alt=""fbpx"" src=""https://www.facebook.com/tr?id=1660523330888829&amp;ev=PageView&amp;noscript=1""> Home About Our Clients Featured Client Work Blog Book a Free Consultation CUT THROUGH THE NOISE WITH A SUPERCHARGED ONLINE MARKETING STRATEGY We use the power of storytelling to design winning websites, social media and digital communications Connect with Janice and Robin Today! BRAND STORYTELLING IS THE KEY TO DRIVING SALES It’s a busy world and most businesses struggle to grab customers’ attention. Janice and Robin help businesses like yours create a clear, simple brand story that cuts through the noise, connects you with your customers and increases your business. We use our Storytelling Framework to help you clarify your branding and marketing message so it’s easy for customers to understand what you offer and how you will solve their problem. Customers will want to engage with you and your business will grow. We design and build websites, write content and develop strategies for social media, video and print marketing. Book a Free Consultation Today! What We Do A lot of organizations spend too much money on beautifully designed websites and digital communications and get little engagement because there’s no story. People usually buy based on emotion and that’s why we begin by working with your organization to develop the “story” using our proven Brand Storytelling Framework. We create a clear brand message that is used across all digital and print marketing materials. The story is particularly powerful on websites and social media. You’ll find examples in our Featured Clients section of businesses and organizations who have built new awareness, attracted new customers and are reaching their goals by focusing on their brand’s story. Brand Storytelling We take you through our Brand Storytelling Framework to clarify your brand message. Your customer is always the hero of the story who has a problem. You show how your brand solves their problem and what their life looks like when they succeed. Social Media An engaging social media marketing and advertising strategy is essential to driving sales. Social media has never been more fluid so your strategy must be flexible and ready to pivot as technology and people’s preferences change. Websites Websites are based on the results of your brand storeytelling. The site will have a clean and creative design with a compelling story, powerful images and clear calls to action that engage your customers and invite them into your story. Content Creation We believe that simplicity trumps cleverness. All your content will be written with clarity so that you will rise above the noise in the digital world. Your customer’s will identify their need, see your solution and imagine their success. Digital Marketing Success in 3 Easy Steps 1. Find Your Story We help you discover your brand story by listening and talking to you about the challenges you face in your business marketing, especially in the digital world. 2. Create an Action Plan Our approach is customer focused. We create a unique plan for each client to ensure that business objectives are met and success is achieved. 3. Implement the Plan & Watch Your Business Grow. We work together to implement a strong, focused strategy so that your business grows and thrives. Book a Free Consultation Today! From the Desks of Janice and Robin Clarity Beats Cute and Clever Every Time June 5, 2019 Customer language March 11, 2019 We can give our customers lots of facts about our business and products. But when it comes to getting a customer to take action, it's going to be how they feel and what they believe about your business or product that will drive them. What do your customers believe? Facts vs Feelings March 7, 2019 We create a unique process for each client to ensure that business objectives are met and success is achieved. I have worked with Janice and Robin since 2007 in my capacity as Chief Executive Officer of the Ontario Soccer Association and more recently as Managing Partner of The OCP Group. During the period of engagement I have found Janice and Robin to be attentive, creative, innovative, and aware of the most recent trends in social media. Most importantly as a client, Janice and Robin have been committed to my needs. Guy Bradbury, Managing Partner at The OCP Group I was looking to refresh my brand, story and image but was having trouble getting myself out of the way and trying to be everything to everyone. I was feeling the need to explain 'everything' we do, instead of creating a polished and powerful statement. Working with Janice using the Story Branding process and help with design and communications to my market resulted in a creative and fresh approach to linking all my digital platforms and having a marketing and content strategy developed. We now have a powerful website, branding and clear communications strategy moving forward. Neil Thornton The Thornton Group I have been a client of Janice and Robin's for over 7 years and they are amazing at developing a business brand that you can be proud of and helps to grow your business. They work with and through your team to help you build a brand that you can be proud of and your customers cannot resist. Dino Miele Chief Information Officer at District School Board of Niagara Janice took us through the StoryBrand process and it clarified and simplified the message for Seaway Mall. Staff in different departments realized that one consistent message worked for all parts of mall management. It made it easier to coordinate marketing for events, social media and customer service. Mike Belcastro Mike Belcastro - President at Doral Holdings Limited I wanted to use social media in my campaign because I knew it was one of the best ways to reach voters. Janice and Robin were part of my core campaign team. They ran a creative and innovative social media campaign that made the difference in me being elected Mayor. Walter Sendzik Mayor City of St.Catharines Janice and Robin have been critical in the execution of the complete social media marketing plan for the Shannon Passero retail division, and with their help we have been able to directly increase sales because of their efforts. I feel this is critical in the business climate of today (especially Niagara) to see immediate results and quantifiable sales and this has been achieved with great success. Shannon Passero The Post Office Book a Free Consultation Today! RobinJanice and Robin09.21.2017 Contact Janice and Robin Phone: 905.684.9393 Email: janice@janiceandrobin.com Janice and Robin on IG Thanks so much Third Age Learning Niagara for havi We're very excited about the launch of the AgriTec This error message is only visible to WordPress admins Error: API requests are being delayed for this account. New posts will not be retrieved. Log in as an administrator and view the Instagram Feed settings page for more details. Quick Links About Blog Our Clients Contact © Janice AND Robin"
153094,20200724,janiceandrobin.com,https://janiceandrobin.com/?s={search_term_string},text/html,text/html,en,"You searched for {search_term_string} | Janice and Robin <img height=""1"" width=""1"" style=""display:none"" alt=""fbpx"" src=""https://www.facebook.com/tr?id=1660523330888829&amp;ev=PageView&amp;noscript=1""> Home About Our Clients Featured Client Work Blog Book a Free Consultation Nothing Found Sorry, no search results were found for ""{search_term_string}"" Contact Janice and Robin Phone: 905.684.9393 Email: janice@janiceandrobin.com Janice and Robin on IG Thanks so much Third Age Learning Niagara for havi We're very excited about the launch of the AgriTec This error message is only visible to WordPress admins Error: API requests are being delayed for this account. New posts will not be retrieved. Log in as an administrator and view the Instagram Feed settings page for more details. Quick Links About Blog Our Clients Contact © Janice AND Robin"
222951,20200904,janiceandrobin.com,https://janiceandrobin.com/,text/html,text/html,en,"Janice and Robin | Janice and Robin <img height=""1"" width=""1"" style=""display:none"" alt=""fbpx"" src=""https://www.facebook.com/tr?id=1660523330888829&amp;ev=PageView&amp;noscript=1""> Home About Our Clients Featured Client Work Blog Book a Free Consultation CUT THROUGH THE NOISE WITH A SUPERCHARGED ONLINE MARKETING STRATEGY We use the power of storytelling to design winning websites, social media and digital communications Connect with Janice and Robin Today! BRAND STORYTELLING IS THE KEY TO DRIVING SALES It’s a busy world and most businesses struggle to grab customers’ attention. Janice and Robin help businesses like yours create a clear, simple brand story that cuts through the noise, connects you with your customers and increases your business. We use our Storytelling Framework to help you clarify your branding and marketing message so it’s easy for customers to understand what you offer and how you will solve their problem. Customers will want to engage with you and your business will grow. We design and build websites, write content and develop strategies for social media, video and print marketing. Book a Free Consultation Today! What We Do A lot of organizations spend too much money on beautifully designed websites and digital communications and get little engagement because there’s no story. People usually buy based on emotion and that’s why we begin by working with your organization to develop the “story” using our proven Brand Storytelling Framework. We create a clear brand message that is used across all digital and print marketing materials. The story is particularly powerful on websites and social media. You’ll find examples in our Featured Clients section of businesses and organizations who have built new awareness, attracted new customers and are reaching their goals by focusing on their brand’s story. Brand Storytelling We take you through our Brand Storytelling Framework to clarify your brand message. Your customer is always the hero of the story who has a problem. You show how your brand solves their problem and what their life looks like when they succeed. Social Media An engaging social media marketing and advertising strategy is essential to driving sales. Social media has never been more fluid so your strategy must be flexible and ready to pivot as technology and people’s preferences change. Websites Websites are based on the results of your brand storeytelling. The site will have a clean and creative design with a compelling story, powerful images and clear calls to action that engage your customers and invite them into your story. Content Creation We believe that simplicity trumps cleverness. All your content will be written with clarity so that you will rise above the noise in the digital world. Your customer’s will identify their need, see your solution and imagine their success. Digital Marketing Success in 3 Easy Steps 1. Find Your Story We help you discover your brand story by listening and talking to you about the challenges you face in your business marketing, especially in the digital world. 2. Create an Action Plan Our approach is customer focused. We create a unique plan for each client to ensure that business objectives are met and success is achieved. 3. Implement the Plan & Watch Your Business Grow. We work together to implement a strong, focused strategy so that your business grows and thrives. Book a Free Consultation Today! From the Desks of Janice and Robin Clarity Beats Cute and Clever Every Time June 5, 2019 Customer language March 11, 2019 We can give our customers lots of facts about our business and products. But when it comes to getting a customer to take action, it's going to be how they feel and what they believe about your business or product that will drive them. What do your customers believe? Facts vs Feelings March 7, 2019 We create a unique process for each client to ensure that business objectives are met and success is achieved. I have worked with Janice and Robin since 2007 in my capacity as Chief Executive Officer of the Ontario Soccer Association and more recently as Managing Partner of The OCP Group. During the period of engagement I have found Janice and Robin to be attentive, creative, innovative, and aware of the most recent trends in social media. Most importantly as a client, Janice and Robin have been committed to my needs. Guy Bradbury, Managing Partner at The OCP Group I was looking to refresh my brand, story and image but was having trouble getting myself out of the way and trying to be everything to everyone. I was feeling the need to explain 'everything' we do, instead of creating a polished and powerful statement. Working with Janice using the Story Branding process and help with design and communications to my market resulted in a creative and fresh approach to linking all my digital platforms and having a marketing and content strategy developed. We now have a powerful website, branding and clear communications strategy moving forward. Neil Thornton The Thornton Group I have been a client of Janice and Robin's for over 7 years and they are amazing at developing a business brand that you can be proud of and helps to grow your business. They work with and through your team to help you build a brand that you can be proud of and your customers cannot resist. Dino Miele Chief Information Officer at District School Board of Niagara Janice took us through the StoryBrand process and it clarified and simplified the message for Seaway Mall. Staff in different departments realized that one consistent message worked for all parts of mall management. It made it easier to coordinate marketing for events, social media and customer service. Mike Belcastro Mike Belcastro - President at Doral Holdings Limited I wanted to use social media in my campaign because I knew it was one of the best ways to reach voters. Janice and Robin were part of my core campaign team. They ran a creative and innovative social media campaign that made the difference in me being elected Mayor. Walter Sendzik Mayor City of St.Catharines Janice and Robin have been critical in the execution of the complete social media marketing plan for the Shannon Passero retail division, and with their help we have been able to directly increase sales because of their efforts. I feel this is critical in the business climate of today (especially Niagara) to see immediate results and quantifiable sales and this has been achieved with great success. Shannon Passero The Post Office Book a Free Consultation Today! RobinJanice and Robin09.21.2017 Contact Janice and Robin Phone: 905.684.9393 Email: janice@janiceandrobin.com Janice and Robin on IG Thanks so much Third Age Learning Niagara for havi We're very excited about the launch of the AgriTec This error message is only visible to WordPress admins Error: API requests are being delayed for this account. New posts will not be retrieved. Log in as an administrator and view the Instagram Feed settings page for more details. Quick Links About Blog Our Clients Contact © Janice AND Robin"
222991,20200904,janiceandrobin.com,https://janiceandrobin.com/?s={search_term_string},text/html,text/html,en,"You searched for {search_term_string} | Janice and Robin <img height=""1"" width=""1"" style=""display:none"" alt=""fbpx"" src=""https://www.facebook.com/tr?id=1660523330888829&amp;ev=PageView&amp;noscript=1""> Home About Our Clients Featured Client Work Blog Book a Free Consultation Nothing Found Sorry, no search results were found for ""{search_term_string}"" Contact Janice and Robin Phone: 905.684.9393 Email: janice@janiceandrobin.com Janice and Robin on IG Thanks so much Third Age Learning Niagara for havi We're very excited about the launch of the AgriTec This error message is only visible to WordPress admins Error: API requests are being delayed for this account. New posts will not be retrieved. Log in as an administrator and view the Instagram Feed settings page for more details. Quick Links About Blog Our Clients Contact © Janice AND Robin"
