,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
157442,20200724,jobgym.com,https://www.jobgym.com/,text/html,text/html,en,Job Gym Employment Services – The BEST Jobs in Niagara!
157459,20200724,jobgym.com,https://www.jobgym.com/covid-19-resources/,text/html,text/html,en,COVID-19 Resources – Job Gym Employment Services
168501,20200731,jobgym.com,https://www.jobgym.com/,text/html,text/html,en,Job Gym Employment Services – The BEST Jobs in Niagara!
168610,20200731,jobgym.com,https://www.jobgym.com/covid-19-resources/,text/html,text/html,en,COVID-19 Resources – Job Gym Employment Services
179449,20200807,jobgym.com,https://www.jobgym.com/,text/html,,,
179481,20200807,jobgym.com,https://www.jobgym.com/covid-19-resources/,text/html,,,
190461,20200814,jobgym.com,https://www.jobgym.com/,text/html,text/html,en,Job Gym Employment Services – The BEST Jobs in Niagara!
190590,20200814,jobgym.com,https://www.jobgym.com/covid-19-resources/,text/html,text/html,en,COVID-19 Resources – Job Gym Employment Services
203252,20200821,jobgym.com,https://www.jobgym.com/,text/html,text/html,en,Job Gym Employment Services – The BEST Jobs in Niagara!
203341,20200821,jobgym.com,https://www.jobgym.com/covid-19-resources/,text/html,text/html,en,COVID-19 Resources – Job Gym Employment Services
215126,20200828,jobgym.com,https://www.jobgym.com/,text/html,text/html,en,Job Gym Employment Services – The BEST Jobs in Niagara!
215142,20200828,jobgym.com,https://www.jobgym.com/covid-19-resources/,text/html,text/html,en,COVID-19 Resources – Job Gym Employment Services
227493,20200904,jobgym.com,https://www.jobgym.com/,text/html,text/html,en,Job Gym Employment Services – The BEST Jobs in Niagara!
227499,20200904,jobgym.com,https://www.jobgym.com/covid-19-resources/,text/html,text/html,en,COVID-19 Resources – Job Gym Employment Services
240222,20200911,jobgym.com,https://www.jobgym.com/,text/html,,,
240253,20200911,jobgym.com,https://www.jobgym.com/covid-19-resources/,text/html,,,
251103,20200918,jobgym.com,https://www.jobgym.com/,text/html,text/html,en,Job Gym Employment Services – The BEST Jobs in Niagara!
251117,20200918,jobgym.com,https://www.jobgym.com/covid-19-resources/,text/html,text/html,en,COVID-19 Resources – Job Gym Employment Services
263609,20200925,jobgym.com,https://www.jobgym.com/,text/html,,,
263655,20200925,jobgym.com,https://www.jobgym.com/covid-19-resources/,text/html,,,
275510,20201002,jobgym.com,https://www.jobgym.com/,text/html,,,
275576,20201002,jobgym.com,https://www.jobgym.com/covid-19-resources/,text/html,,,
287588,20201009,jobgym.com,https://www.jobgym.com/,text/html,text/html,en,Job Gym Employment Services – The BEST Jobs in Niagara!
287649,20201009,jobgym.com,https://www.jobgym.com/covid-19-resources/,text/html,text/html,en,COVID-19 Resources – Job Gym Employment Services
299686,20201016,jobgym.com,https://www.jobgym.com/,text/html,,,
299704,20201016,jobgym.com,https://www.jobgym.com/covid-19-resources/,text/html,,,
311489,20201023,jobgym.com,https://www.jobgym.com/,text/html,text/html,en,Job Gym Employment Services – The BEST Jobs in Niagara!
311578,20201023,jobgym.com,https://www.jobgym.com/covid-19-resources/,text/html,text/html,en,COVID-19 Resources – Job Gym Employment Services
323378,20201030,jobgym.com,https://www.jobgym.com/,text/html,text/html,en,Job Gym Employment Services – The BEST Jobs in Niagara!
323426,20201030,jobgym.com,https://www.jobgym.com/covid-19-resources/,text/html,text/html,en,COVID-19 Resources – Job Gym Employment Services
334262,20201106,jobgym.com,https://www.jobgym.com/,text/html,text/html,en,Job Gym Employment Services – The BEST Jobs in Niagara!
334330,20201106,jobgym.com,https://www.jobgym.com/covid-19-resources/,text/html,text/html,en,COVID-19 Resources – Job Gym Employment Services
346004,20201113,jobgym.com,https://www.jobgym.com/,text/html,,,
346018,20201113,jobgym.com,https://www.jobgym.com/covid-19-resources/,text/html,,,
356613,20201120,jobgym.com,https://www.jobgym.com/,text/html,text/html,en,Job Gym Employment Services – The BEST Jobs in Niagara!
356678,20201120,jobgym.com,https://www.jobgym.com/covid-19-resources/,text/html,text/html,en,COVID-19 Resources – Job Gym Employment Services
368254,20201127,jobgym.com,https://www.jobgym.com/,text/html,,,
368277,20201127,jobgym.com,https://www.jobgym.com/covid-19-resources/,text/html,,,
379101,20201204,jobgym.com,https://www.jobgym.com/,text/html,,,
379123,20201204,jobgym.com,https://www.jobgym.com/covid-19-resources/,text/html,,,
389060,20201211,jobgym.com,https://www.jobgym.com/,text/html,text/html,en,Job Gym Employment Services – The BEST Jobs in Niagara!
389070,20201211,jobgym.com,https://www.jobgym.com/covid-19-resources/,text/html,text/html,en,COVID-19 Resources – Job Gym Employment Services
398415,20201218,jobgym.com,https://www.jobgym.com/,text/html,text/html,en,Job Gym Employment Services – The BEST Jobs in Niagara!
398441,20201218,jobgym.com,https://www.jobgym.com/covid-19-resources/,text/html,text/html,en,COVID-19 Resources – Job Gym Employment Services
407539,20201225,jobgym.com,https://www.jobgym.com/,text/html,text/html,en,Job Gym Employment Services – The BEST Jobs in Niagara!
407555,20201225,jobgym.com,https://www.jobgym.com/covid-19-resources/,text/html,text/html,en,COVID-19 Resources – Job Gym Employment Services
416781,20210101,jobgym.com,https://www.jobgym.com/,text/html,,,
416798,20210101,jobgym.com,https://www.jobgym.com/covid-19-resources/,text/html,,,
425968,20210108,jobgym.com,https://www.jobgym.com/,text/html,text/html,en,Job Gym Employment Services – The BEST Jobs in Niagara!
425976,20210108,jobgym.com,https://www.jobgym.com/covid-19-resources/,text/html,text/html,en,COVID-19 Resources – Job Gym Employment Services
435326,20210115,jobgym.com,https://www.jobgym.com/,text/html,text/html,en,Job Gym Employment Services – The BEST Jobs in Niagara!
435342,20210115,jobgym.com,https://www.jobgym.com/covid-19-resources/,text/html,text/html,en,COVID-19 Resources – Job Gym Employment Services
435420,20210115,jobgym.com,https://www.jobgym.com/wp-content/plugins/popup-maker/,text/html,,,
444531,20210122,jobgym.com,https://www.jobgym.com/,text/html,,,
444596,20210122,jobgym.com,https://www.jobgym.com/covid-19-resources/,text/html,,,
444638,20210122,jobgym.com,https://www.jobgym.com/wp-content/plugins/popup-maker/,text/html,,,
454570,20210129,jobgym.com,https://www.jobgym.com/,text/html,text/html,en,Job Gym Employment Services – The BEST Jobs in Niagara!
454665,20210129,jobgym.com,https://www.jobgym.com/covid-19-resources/,text/html,text/html,en,COVID-19 Resources – Job Gym Employment Services
454788,20210129,jobgym.com,https://www.jobgym.com/wp-content/plugins/popup-maker/,text/html,,,
464698,20210205,jobgym.com,https://www.jobgym.com/,text/html,text/html,en,Job Gym Employment Services – The BEST Jobs in Niagara!
464748,20210205,jobgym.com,https://www.jobgym.com/covid-19-resources/,text/html,text/html,en,COVID-19 Resources – Job Gym Employment Services
464945,20210205,jobgym.com,https://www.jobgym.com/wp-content/plugins/popup-maker/,text/html,,,
474944,20210212,jobgym.com,https://www.jobgym.com/,text/html,,,
474967,20210212,jobgym.com,https://www.jobgym.com/covid-19-resources/,text/html,,,
475091,20210212,jobgym.com,https://www.jobgym.com/wp-content/plugins/popup-maker/,text/html,,,
485097,20210219,jobgym.com,https://www.jobgym.com/,text/html,text/html,en,Job Gym Employment Services – The BEST Jobs in Niagara!
485139,20210219,jobgym.com,https://www.jobgym.com/covid-19-resources/,text/html,text/html,en,COVID-19 Resources – Job Gym Employment Services
485312,20210219,jobgym.com,https://www.jobgym.com/wp-content/plugins/popup-maker/,text/html,,,
495349,20210226,jobgym.com,https://www.jobgym.com/,text/html,text/html,en,Job Gym Employment Services – The BEST Jobs in Niagara!
495380,20210226,jobgym.com,https://www.jobgym.com/covid-19-resources/,text/html,text/html,en,COVID-19 Resources – Job Gym Employment Services
495521,20210226,jobgym.com,https://www.jobgym.com/wp-content/plugins/popup-maker/,text/html,,,
505716,20210305,jobgym.com,https://www.jobgym.com/,text/html,,,
505718,20210305,jobgym.com,https://www.jobgym.com/covid-19-resources/,text/html,,,
505852,20210305,jobgym.com,https://www.jobgym.com/wp-content/plugins/popup-maker/,text/html,,,
515903,20210312,jobgym.com,https://www.jobgym.com/,text/html,text/html,en,Job Gym Employment Services – The BEST Jobs in Niagara!
515928,20210312,jobgym.com,https://www.jobgym.com/covid-19-resources/,text/html,text/html,en,COVID-19 Resources – Job Gym Employment Services
515992,20210312,jobgym.com,https://www.jobgym.com/wp-content/plugins/popup-maker/,text/html,,,
525881,20210319,jobgym.com,https://www.jobgym.com/,text/html,text/html,en,Job Gym Employment Services – The BEST Jobs in Niagara!
525901,20210319,jobgym.com,https://www.jobgym.com/covid-19-resources/,text/html,text/html,en,COVID-19 Resources – Job Gym Employment Services
534916,20210326,jobgym.com,https://www.jobgym.com/,text/html,text/html,en,Job Gym Employment Services – The BEST Jobs in Niagara!
534948,20210326,jobgym.com,https://www.jobgym.com/covid-19-resources/,text/html,text/html,en,COVID-19 Resources – Job Gym Employment Services
545535,20210402,jobgym.com,https://www.jobgym.com/,text/html,text/html,en,Job Gym Employment Services – The BEST Jobs in Niagara!
545572,20210402,jobgym.com,https://www.jobgym.com/covid-19-resources/,text/html,text/html,en,COVID-19 Resources – Job Gym Employment Services
556154,20210409,jobgym.com,https://www.jobgym.com/,text/html,text/html,en,Job Gym Employment Services – The BEST Jobs in Niagara!
556219,20210409,jobgym.com,https://www.jobgym.com/covid-19-resources/,text/html,,,
566361,20210416,jobgym.com,https://www.jobgym.com/,text/html,text/html,en,Job Gym Employment Services – The BEST Jobs in Niagara!
566418,20210416,jobgym.com,https://www.jobgym.com/covid-19-resources/,text/html,,,
576651,20210423,jobgym.com,https://www.jobgym.com/,text/html,text/html,en,Job Gym Employment Services – The BEST Jobs in Niagara!
576690,20210423,jobgym.com,https://www.jobgym.com/covid-19-resources/,text/html,text/html,en,COVID-19 Resources – Job Gym Employment Services
587038,20210430,jobgym.com,https://www.jobgym.com/,text/html,,,
587044,20210430,jobgym.com,https://www.jobgym.com/covid-19-resources/,text/html,,,
597751,20210507,jobgym.com,https://www.jobgym.com/,text/html,text/html,en,Job Gym Employment Services – The BEST Jobs in Niagara!
