,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
8021,20200417,kfc.co.th,https://www.kfc.co.th/menu/promotions,text/html,text/html,en,"โปรโมชั่น | เคเอฟซี เดลิเวอรี่ 3 × Terms and conditions of KFC x RoV campaign. 1. Period of giveaway KFC x ROV prize cards is during January 30, 2020 at 10.00 am until February 26, 2020 at 23.59, limit to only 1.5 million prize cards. 2. KFC x RoV card is included in The Box purchasing from KFC channels. 1 The Box will receive 1 KFCxRoV Card. KFC does not involve in any activity including buy or sell KFC x ROV card which is given with a purchase of The Box or any reward from KFC or ROV received from card redemption. KFC reserves the right not to take any responsibility, damage or lost that might occur from buying or selling activity which includes defective card, redeemed card, etc. 3. Customers must check the condition of the card before receiving 4. KFC reserves the right to refuse a refund or exchange after customers have received the card, and to change terms and conditions without prior notice. 5. One prize is per one card, prizes are listed below: 5.1 Prizes from KFC: - Fried chicken pillow worth 800 baht, 12,000 total prizes and total value worth 9,600,000 baht - KFC x ROV T-shirt worth 900 baht, 8,000 total prizes and total value worth 7,200,000 baht - KFC x ROV blanket worth 990 baht, 5000 total prizes and total value worth 4,950,000 baht - Fried Chicken worth 37 baht, 130,000 total prizes and total value worth 4,810,000 baht - Wingz Zabb worth 34 baht, 160,000 total prizes and total value worth 5,440,000 baht - Pepsi Refill worth 45 baht, 130,000 total prizes and total value worth 5,850,000 baht - Free Delivery worth 40 baht, 30,000 total prizes and total value worth 1,200,000 baht 5.2 prizes from ROV: - Col. Sanders Ormarr skin worth 470 baht, 450,000 total prizes and total value worth 211,500,000 baht - Warp Effect Col. Sanders worth 50 baht, 185,000 total prizes and total value worth 9,250,000 baht - Kill Effect Col. Sanders worth 50 baht, 185,000 total prizes and total value worth 9,250,000 baht - Run Effect Col. Sanders worth 50 baht, 185,000 total prizes and total value worth 9,250,000 baht - Magic Crystal worth 30 baht, 20,000 total prizes and total value worth 600,000 baht 5.3 Prizes are allocated via system in order once the customer redeems the code, in total of 1,500,000 prizes. Prize allocations are separate into rounds, every rounds include all the prizes. In total of 3,000 rounds and 265 prizes per round. Each round includes 55 skins, 37 warp effects, 37 kill effects, 37 run effects, 4 magic Crystals, 6 free kfc.co.th website delivery prizes, 26 Pepsi refills, 26 KFC free fried chicken, 32 Wingz Zaab, 2 t-shirts, 2 chicken pillows and 2 blankets, in order respectively. After 3001st round, 265 prizes will be given, each round includes 55 skins, 37 warp effects, 37 kill effects, 37 run effects, 4 magic Crystals, 6 free KFC.co.th website delivery prizes, 26 Pepsi refills, 26 KFC free fried chicken, 32 Wingz Zaab, 1 t-shirts, 3 chicken pillows and 2 blankets, in order respectively. 6. All prizes are not transferable, non-refundable and non-exchangeable. 7. Receiving policy for each prize follows terms and conditions below 8. KFC reserves the right to cancel or amend the contest or Terms and Conditions at any time without prior notice. KFC reserves the absolute right to disqualify entries that are incomplete, and/or illegible. 9 . Prize card is not available in Indra Pratunam, Dreamworld, Royal Garden Pattaya, Jangsealon Phuket, Donmueng Airport, U-Tapao Airport and Impact Muangthongthani. Instruction to redeem prizes from card 1. Scratch QR Code 2. Scan QR Code with a smartphone application 3. QR Code will direct to www.kfc.co.th login page 4. KFC reserves the right to redeem prize for registered account who log in through kfc.co.th only. A non-registered account cannot redeem the prize. 5. Please read terms and conditions to redeem prizes before accepting. 6. The system will reveal the prize with terms and conditions. 7. The received prize cannot be transferred between accounts. 8. Duration to redeem prizes is mentioned on terms and conditions on each coupon. 9. All the prizes received can be checked in the ‘Promo Code’ section on kfc.co.th website (top right of the page). Remark: QR code can be redeemed one time. KFC will not be held liable for damaged or lost QR code. Detail of prizes and terms and conditions of its use Prizes are in three categories: Type 1: Item prizes in RoV application · Code can be redeemed during January 30, 2020 at 10:00 until February 26, 2020 at 23:59. · 1 code can redeem 1 item. · Code on coupon for RoV can be redeemed through RoV application only. · Any problem from code for RoV or any enquiry please contact https://support.garena.in.th/new/games/faqs/1/garena-rov · Terms and conditions to redeem items are according to Garena Online (Thailand) Co., Ltd. · Please keep the code a secret, KFC reserves the right to deny generating any new code. Type 2: Premium prizes · Customers receive prizes according to what appears on the coupon. Prizes cannot be exchanged or changed to other prizes. · Premium prizes will be sent to address the customer fills in within 14 days · Name and address cannot be changed in any circumstance. · Code can be redeemed, and address can be entered during January 30, 2020 at 10:00 until February 26, 2020 at 23:59. · If do not receive your premium prize after 14 days, please contact 1150 for status. Type 3: Food and drink from KFC · Coupon can redeem within 31 March 2020 , 10:00 PM · Customers receive prizes according to what appears on the coupon. Prizes cannot be exchanged, changed to other prizes. · Cannot use with other promotion or pre-order purchase. · Customers must show the coupon to KFC staff at the store before ordering. · KFC reserves the right to deny coupon from a screen capture or an image. · Redeemed coupon prizes cannot be exchanged, changed or returned once customers want to change or cancel the order. Condition to use food and drink coupon Condition to redeem a Wingz Zabb or a Fried Chicken coupon · Can be redeemed in every channel except through KFC 1150, Grab and Foodpanda · Branches that cannot redeem are Indra Pratunam, Dreamworld, Royal Garden Pattaya, Jangsealon Phuket, Donmueng Airport, U-Tapao Airport and Impact Muangthongthani. · To redeem free food must purchase with minimum 130.- baht per receipt, exclude 40.- baht delivery fee if order through kfc.co.th. · Recommended for immediate consumption. KFC reserves the right to select chicken pieces and to change terms and conditions without prior notice. Condition to redeem a Pepsi refill coupon · Can be redeemed only at refill stores. · To redeem free food must purchase with minimum 130.- baht per receipt. · Branches that cannot redeem are Indra Pratunam, Dreamworld, Royal Garden Pattaya, Jangsealon Phuket, Donmueng Airport, U-Tapao Airport and Impact Muangthongthani. Condition to a redeem free delivery coupon · Can be redeemed through www.kfc.co.th only · To redeem free delivery must purchase with minimum 299.- baht per receipt. เพื่อใช้งานต่อ ฉันได้อ่านและยอมรับ ข้อกำหนดการใช้งาน และ นโยบายความเป็นส่วนตัวของเคเอฟซีประเทศไทยแล้ว. ลุ้นรางวัลเลย ลุ้นรางวัลเลย เข้าสู่ระบบ EN | Delivery Click & Collect Delivery Click & Collect โปรโมชั่น ชุดสุดคุ้ม เมนูเพิ่มเติม 0 ฿0.00 เริ่มสั่งอาหาร เริ่มสั่งอาหาร เพิ่มที่อยู่ใหม่ ยกเลิก สวัสดี! เว็บไซต์ใหม่ของ KFC ยินดีต้อนรับสู่การสั่งความอร่อย เพื่อความปลอดภัย กรุณาใส่รหัสผ่าน เข้าสู่ระบบ หรือ สมัครสมาชิก ที่นี่ ดำเนินการต่อโดยไม่สมัครสมาชิก ดำเนินการต่อโดยไม่สมัครสมาชิก Get OTP New to KFC? สมัครสมาชิก here. ส่ง OTP ไปที่ เบอร์โทรศัพท์ อีเมล ส่ง OTP กรุณาใส่ตัวเลข 4 หลัก ที่คุณได้รับ ส่ง OTP ใหม่ ยืนยัน Open modal บริการลูกค้า คำถามที่พบบ่อย ติดตามคำสั่งซื้อ นโยบาย เงื่อนไขการใช้บริการ นโยบายความเป็นส่วนตัว ©KFC Yum! 2020 เข้าสู่ระบบ English Thai MENU HOT DEALS FOR SHARING For 2 - 4 For 5 or more FOR ONE CHICKEN BOXES A LA CARTE CHICKEN BURGER/WRAPS RICE BUCKETS SIDES DRINKS ORDER TRACKER PROMOCODE & REWARDS LOCATE US CONTACT US PRIVACY POLICY TERMS OF USE Our website is designed to work in portrait mode. Kindly rotate your device."
13785,20200424,kfc.co.th,https://www.kfc.co.th/menu/promotions,text/html,text/html,th,โปรโมชั่น | เคเอฟซี เดลิเวอรี่ 4 เข้าสู่ระบบ EN | Delivery Click & Collect Delivery Click & Collect โปรโมชั่น ชุดสุดคุ้ม เมนูเพิ่มเติม 0 ฿0.00 เริ่มสั่งอาหาร เริ่มสั่งอาหาร เพิ่มที่อยู่ใหม่ ยกเลิก สวัสดี! เว็บไซต์ใหม่ของ KFC ยินดีต้อนรับสู่การสั่งความอร่อย เพื่อความปลอดภัย กรุณาใส่รหัสผ่าน เข้าสู่ระบบ หรือ สมัครสมาชิก ที่นี่ ดำเนินการต่อโดยไม่สมัครสมาชิก ดำเนินการต่อโดยไม่สมัครสมาชิก Get OTP New to KFC? สมัครสมาชิก here. ส่ง OTP ไปที่ เบอร์โทรศัพท์ อีเมล ส่ง OTP กรุณาใส่ตัวเลข 4 หลัก ที่คุณได้รับ ส่ง OTP ใหม่ ยืนยัน Open modal บริการลูกค้า คำถามที่พบบ่อย ติดตามคำสั่งซื้อ นโยบาย เงื่อนไขการใช้บริการ นโยบายความเป็นส่วนตัว ©KFC Yum! 2020 เข้าสู่ระบบ English Thai MENU HOT DEALS FOR SHARING For 2 - 4 For 5 or more FOR ONE CHICKEN BOXES A LA CARTE CHICKEN BURGER/WRAPS RICE BUCKETS SIDES DRINKS ORDER TRACKER PROMOCODE & REWARDS LOCATE US CONTACT US PRIVACY POLICY TERMS OF USE Our website is designed to work in portrait mode. Kindly rotate your device.
22364,20200515,kfc.co.th,https://www.kfc.co.th/menu/promotions,text/html,text/html,th,โปรโมชั่น | เคเอฟซี เดลิเวอรี่ 1 เข้าสู่ระบบ EN | Delivery Click & Collect Delivery Click & Collect โปรโมชั่น ชุดสุดคุ้ม เมนูเพิ่มเติม 0 ฿0.00 เริ่มสั่งอาหาร เริ่มสั่งอาหาร เพิ่มที่อยู่ใหม่ ยกเลิก สวัสดี! เว็บไซต์ใหม่ของ KFC ยินดีต้อนรับสู่การสั่งความอร่อย เพื่อความปลอดภัย กรุณาใส่รหัสผ่าน เข้าสู่ระบบ หรือ สมัครสมาชิก ที่นี่ ดำเนินการต่อโดยไม่สมัครสมาชิก Get OTP New to KFC? สมัครสมาชิก here. ส่ง OTP ไปที่ เบอร์โทรศัพท์ อีเมล ส่ง OTP กรุณาใส่ตัวเลข 4 หลัก ที่คุณได้รับ ส่ง OTP ใหม่ ยืนยัน Open modal บริการลูกค้า คำถามที่พบบ่อย ติดตามคำสั่งซื้อ นโยบาย เงื่อนไขการใช้บริการ นโยบายความเป็นส่วนตัว ©KFC Yum! 2020 เข้าสู่ระบบ English Thai MENU HOT DEALS FOR SHARING For 2 - 4 For 5 or more FOR ONE CHICKEN BOXES A LA CARTE CHICKEN BURGER/WRAPS RICE BUCKETS SIDES DRINKS ORDER TRACKER PROMOCODE & REWARDS LOCATE US CONTACT US PRIVACY POLICY TERMS OF USE Our website is designed to work in portrait mode. Kindly rotate your device.
62920,20200522,kfc.co.th,https://www.kfc.co.th/menu/promotions,text/html,text/html,th,โปรโมชั่น | เคเอฟซี เดลิเวอรี่ 1 เข้าสู่ระบบ EN | Delivery Click & Collect Delivery Click & Collect โปรโมชั่น ชุดสุดคุ้ม เมนูเพิ่มเติม 0 ฿0.00 เริ่มสั่งอาหาร เริ่มสั่งอาหาร เพิ่มที่อยู่ใหม่ ยกเลิก สวัสดี! เว็บไซต์ใหม่ของ KFC ยินดีต้อนรับสู่การสั่งความอร่อย เพื่อความปลอดภัย กรุณาใส่รหัสผ่าน เข้าสู่ระบบ หรือ สมัครสมาชิก ที่นี่ ดำเนินการต่อโดยไม่สมัครสมาชิก Get OTP New to KFC? สมัครสมาชิก here. ส่ง OTP ไปที่ เบอร์โทรศัพท์ อีเมล ส่ง OTP กรุณาใส่ตัวเลข 4 หลัก ที่คุณได้รับ ส่ง OTP ใหม่ ยืนยัน Open modal บริการลูกค้า คำถามที่พบบ่อย ติดตามคำสั่งซื้อ นโยบาย เงื่อนไขการใช้บริการ นโยบายความเป็นส่วนตัว ©KFC Yum! 2020 เข้าสู่ระบบ English Thai MENU HOT DEALS FOR SHARING For 2 - 4 For 5 or more FOR ONE CHICKEN BOXES A LA CARTE CHICKEN BURGER/WRAPS RICE BUCKETS SIDES DRINKS ORDER TRACKER PROMOCODE & REWARDS LOCATE US CONTACT US PRIVACY POLICY TERMS OF USE Our website is designed to work in portrait mode. Kindly rotate your device.
63492,20200529,kfc.co.th,https://www.kfc.co.th/menu/promotions,text/html,text/html,th,โปรโมชั่น | เคเอฟซี เดลิเวอรี่ 1 เข้าสู่ระบบ EN | เดลิเวอรี รับที่ร้าน เดลิเวอรี รับที่ร้าน โปรโมชั่น ชุดสุดคุ้ม เมนูเพิ่มเติม 0 ฿0.00 เริ่มสั่งอาหาร เริ่มสั่งอาหาร เพิ่มที่อยู่ใหม่ ยกเลิก สวัสดี! เว็บไซต์ใหม่ของ KFC ยินดีต้อนรับสู่การสั่งความอร่อย เพื่อความปลอดภัย กรุณาใส่รหัสผ่าน เข้าสู่ระบบ หรือ สมัครสมาชิก ที่นี่ ดำเนินการต่อโดยไม่สมัครสมาชิก Get OTP New to KFC? สมัครสมาชิก here. ส่ง OTP ไปที่ เบอร์โทรศัพท์ อีเมล ส่ง OTP กรุณาใส่ตัวเลข 4 หลัก ที่คุณได้รับ ส่ง OTP ใหม่ ยืนยัน Open modal บริการลูกค้า คำถามที่พบบ่อย ติดตามคำสั่งซื้อ นโยบาย เงื่อนไขการใช้บริการ นโยบายความเป็นส่วนตัว ©KFC Yum! 2020 เข้าสู่ระบบ English Thai MENU HOT DEALS FOR SHARING For 2 - 4 For 5 or more FOR ONE CHICKEN BOXES A LA CARTE CHICKEN BURGER/WRAPS RICE BUCKETS SIDES DRINKS ORDER TRACKER PROMOCODE & REWARDS LOCATE US CONTACT US PRIVACY POLICY TERMS OF USE Our website is designed to work in portrait mode. Kindly rotate your device.
72425,20200529,kfc.co.th,https://www.kfc.co.th/menu/promotions,text/html,text/html,th,โปรโมชั่น | เคเอฟซี เดลิเวอรี่ 1 เข้าสู่ระบบ EN | เดลิเวอรี รับที่ร้าน เดลิเวอรี รับที่ร้าน โปรโมชั่น ชุดสุดคุ้ม เมนูเพิ่มเติม 0 ฿0.00 เริ่มสั่งอาหาร เริ่มสั่งอาหาร เพิ่มที่อยู่ใหม่ ยกเลิก สวัสดี! เว็บไซต์ใหม่ของ KFC ยินดีต้อนรับสู่การสั่งความอร่อย เพื่อความปลอดภัย กรุณาใส่รหัสผ่าน เข้าสู่ระบบ หรือ สมัครสมาชิก ที่นี่ ดำเนินการต่อโดยไม่สมัครสมาชิก Get OTP New to KFC? สมัครสมาชิก here. ส่ง OTP ไปที่ เบอร์โทรศัพท์ อีเมล ส่ง OTP กรุณาใส่ตัวเลข 4 หลัก ที่คุณได้รับ ส่ง OTP ใหม่ ยืนยัน Open modal บริการลูกค้า คำถามที่พบบ่อย ติดตามคำสั่งซื้อ นโยบาย เงื่อนไขการใช้บริการ นโยบายความเป็นส่วนตัว ©KFC Yum! 2020 เข้าสู่ระบบ English Thai MENU HOT DEALS FOR SHARING For 2 - 4 For 5 or more FOR ONE CHICKEN BOXES A LA CARTE CHICKEN BURGER/WRAPS RICE BUCKETS SIDES DRINKS ORDER TRACKER PROMOCODE & REWARDS LOCATE US CONTACT US PRIVACY POLICY TERMS OF USE Our website is designed to work in portrait mode. Kindly rotate your device.
81729,20200605,kfc.co.th,https://www.kfc.co.th/menu/promotions,text/html,text/html,th,โปรโมชั่น | เคเอฟซี เดลิเวอรี่ 1 เข้าสู่ระบบ EN | เดลิเวอรี รับที่ร้าน เดลิเวอรี รับที่ร้าน โปรโมชั่น ชุดสุดคุ้ม เมนูเพิ่มเติม 0 ฿0.00 เริ่มสั่งอาหาร เริ่มสั่งอาหาร เพิ่มที่อยู่ใหม่ ยกเลิก สวัสดี! เว็บไซต์ใหม่ของ KFC ยินดีต้อนรับสู่การสั่งความอร่อย เพื่อความปลอดภัย กรุณาใส่รหัสผ่าน เข้าสู่ระบบ หรือ สมัครสมาชิก ที่นี่ ดำเนินการต่อโดยไม่สมัครสมาชิก Get OTP New to KFC? สมัครสมาชิก here. ส่ง OTP ไปที่ เบอร์โทรศัพท์ อีเมล ส่ง OTP กรุณาใส่ตัวเลข 4 หลัก ที่คุณได้รับ ส่ง OTP ใหม่ ยืนยัน Open modal บริการลูกค้า คำถามที่พบบ่อย ติดตามคำสั่งซื้อ นโยบาย เงื่อนไขการใช้บริการ คำชี้แจงความเป็นส่วนบุคคล ©KFC Yum! 2020 เข้าสู่ระบบ English Thai MENU HOT DEALS FOR SHARING For 2 - 4 For 5 or more FOR ONE CHICKEN BOXES A LA CARTE CHICKEN BURGER/WRAPS RICE BUCKETS SIDES DRINKS ORDER TRACKER PROMOCODE & REWARDS LOCATE US CONTACT US PRIVACY POLICY TERMS OF USE Our website is designed to work in portrait mode. Kindly rotate your device.
92037,20200612,kfc.co.th,https://www.kfc.co.th/menu/promotions,text/html,text/html,th,โปรโมชั่น | เคเอฟซี เดลิเวอรี่ 1 เข้าสู่ระบบ EN | เดลิเวอรี รับที่ร้าน เดลิเวอรี รับที่ร้าน โปรโมชั่น ชุดสุดคุ้ม เมนูเพิ่มเติม 0 ฿0.00 เริ่มสั่งอาหาร เริ่มสั่งอาหาร เพิ่มที่อยู่ใหม่ ยกเลิก สวัสดี! เว็บไซต์ใหม่ของ KFC ยินดีต้อนรับสู่การสั่งความอร่อย เพื่อความปลอดภัย กรุณาใส่รหัสผ่าน เข้าสู่ระบบ หรือ สมัครสมาชิก ที่นี่ ดำเนินการต่อโดยไม่สมัครสมาชิก Get OTP New to KFC? สมัครสมาชิก here. ส่ง OTP ไปที่ เบอร์โทรศัพท์ อีเมล ส่ง OTP กรุณาใส่ตัวเลข 4 หลัก ที่คุณได้รับ ส่ง OTP ใหม่ ยืนยัน Open modal บริการลูกค้า คำถามที่พบบ่อย ติดตามคำสั่งซื้อ ติดต่อเรา นโยบาย เงื่อนไขการใช้บริการ คำชี้แจงความเป็นส่วนบุคคล ©KFC Yum! 2020 เข้าสู่ระบบ English Thai MENU HOT DEALS FOR SHARING For 2 - 4 For 5 or more FOR ONE CHICKEN BOXES A LA CARTE CHICKEN BURGER/WRAPS RICE BUCKETS SIDES DRINKS ORDER TRACKER PROMOCODE & REWARDS LOCATE US CONTACT US PRIVACY POLICY TERMS OF USE Our website is designed to work in portrait mode. Kindly rotate your device.
103244,20200619,kfc.co.th,https://www.kfc.co.th/menu/promotions,text/html,text/html,th,โปรโมชั่น | เคเอฟซี เดลิเวอรี่ 1 เข้าสู่ระบบ EN | เดลิเวอรี รับที่ร้าน เดลิเวอรี รับที่ร้าน โปรโมชั่น ชุดสุดคุ้ม เมนูเพิ่มเติม 0 ฿0.00 เริ่มสั่งอาหาร เริ่มสั่งอาหาร เพิ่มที่อยู่ใหม่ ยกเลิก สวัสดี! เว็บไซต์ใหม่ของ KFC ยินดีต้อนรับสู่การสั่งความอร่อย เพื่อความปลอดภัย กรุณาใส่รหัสผ่าน เข้าสู่ระบบ หรือ สมัครสมาชิก ที่นี่ ดำเนินการต่อโดยไม่สมัครสมาชิก Get OTP New to KFC? สมัครสมาชิก here. ส่ง OTP ไปที่ เบอร์โทรศัพท์ อีเมล ส่ง OTP กรุณาใส่ตัวเลข 4 หลัก ที่คุณได้รับ ส่ง OTP ใหม่ ยืนยัน Open modal บริการลูกค้า คำถามที่พบบ่อย ติดตามคำสั่งซื้อ ติดต่อเรา นโยบาย เงื่อนไขการใช้บริการ คำชี้แจงความเป็นส่วนบุคคล ©KFC Yum! 2020 เข้าสู่ระบบ English Thai MENU HOT DEALS FOR SHARING For 2 - 4 For 5 or more FOR ONE CHICKEN BOXES A LA CARTE CHICKEN BURGER/WRAPS RICE BUCKETS SIDES DRINKS ORDER TRACKER PROMOCODE & REWARDS LOCATE US CONTACT US PRIVACY POLICY TERMS OF USE Our website is designed to work in portrait mode. Kindly rotate your device.
113233,20200626,kfc.co.th,https://www.kfc.co.th/menu/promotions,text/html,text/html,th,โปรโมชั่น | เคเอฟซี เดลิเวอรี่ 1 เข้าสู่ระบบ EN | เดลิเวอรี รับที่ร้าน เดลิเวอรี รับที่ร้าน โปรโมชั่น ชุดสุดคุ้ม เมนูเพิ่มเติม 0 ฿0.00 เริ่มสั่งอาหาร เริ่มสั่งอาหาร เพิ่มที่อยู่ใหม่ ยกเลิก สวัสดี! เว็บไซต์ใหม่ของ KFC ยินดีต้อนรับสู่การสั่งความอร่อย เพื่อความปลอดภัย กรุณาใส่รหัสผ่าน เข้าสู่ระบบ หรือ สมัครสมาชิก ที่นี่ ดำเนินการต่อโดยไม่สมัครสมาชิก Get OTP New to KFC? สมัครสมาชิก here. ส่ง OTP ไปที่ เบอร์โทรศัพท์ อีเมล ส่ง OTP กรุณาใส่ตัวเลข 4 หลัก ที่คุณได้รับ ส่ง OTP ใหม่ ยืนยัน Open modal บริการลูกค้า คำถามที่พบบ่อย ติดตามคำสั่งซื้อ ติดต่อเรา นโยบาย เงื่อนไขการใช้บริการ คำชี้แจงความเป็นส่วนบุคคล ©KFC Yum! 2020 เข้าสู่ระบบ English Thai MENU HOT DEALS FOR SHARING For 2 - 4 For 5 or more FOR ONE CHICKEN BOXES A LA CARTE CHICKEN BURGER/WRAPS RICE BUCKETS SIDES DRINKS ORDER TRACKER PROMOCODE & REWARDS LOCATE US CONTACT US PRIVACY POLICY TERMS OF USE Our website is designed to work in portrait mode. Kindly rotate your device.
