,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
8017,20200417,landmarkshops.in,http://www.landmarkshops.in/,text/html,text/html,en,"LandmarkShops.in | Buy Women's, Men's & Kid's Wear Online A Message To Our Customers Dear Customers, At the Landmark Group, we are always thinking of new ways to deliver superior shopping experiences for you. By superior, we mean better in every way, so think simpler, more useful, more user-friendly and more delightful. With these aspirations in mind, and after a year of building LandmarkShops.in as your go-to shopping destination, we have decided to let you shop online directly from these leading brands: MaxFashion.com LifestyleStores.com Shopping multiple brands in a single online experience has always been a key and convenient reason to shop with us, which is why you can continue to enjoy a single checkout experience across all our participating brands with just one account. If you already have a LandmarkShops account, you’re all set. Your account details, order history, preferences and more stay the same. Just login to any of our new brand sites with your existing username and password and shop away. Any pending orders on LandmarkShops will be fulfilled as promised. Learn more about these changes from here. So go forth and explore your favourite brand sites! Download their apps from Google Play and the App Store, and enjoy shopping on-the-go with a variety of thoughtful and convenient features like earning and spending Landmark Rewards points, Cash on Delivery, 1-click shopping with FastPay and much more! Happy shopping, Savitar Jagtiani Business Head E-commerce,Landmark Group Savitar Jagtiani, Business Head E-commerce, Landmark Group © Landmark Online India Private Limited."
13781,20200424,landmarkshops.in,http://www.landmarkshops.in/,text/html,,,
22324,20200515,landmarkshops.in,http://www.landmarkshops.in/,text/html,,,
62916,20200522,landmarkshops.in,http://www.landmarkshops.in/,text/html,text/html,en,"LandmarkShops.in | Buy Women's, Men's & Kid's Wear Online A Message To Our Customers Dear Customers, At the Landmark Group, we are always thinking of new ways to deliver superior shopping experiences for you. By superior, we mean better in every way, so think simpler, more useful, more user-friendly and more delightful. With these aspirations in mind, and after a year of building LandmarkShops.in as your go-to shopping destination, we have decided to let you shop online directly from these leading brands: MaxFashion.com LifestyleStores.com Shopping multiple brands in a single online experience has always been a key and convenient reason to shop with us, which is why you can continue to enjoy a single checkout experience across all our participating brands with just one account. If you already have a LandmarkShops account, you’re all set. Your account details, order history, preferences and more stay the same. Just login to any of our new brand sites with your existing username and password and shop away. Any pending orders on LandmarkShops will be fulfilled as promised. Learn more about these changes from here. So go forth and explore your favourite brand sites! Download their apps from Google Play and the App Store, and enjoy shopping on-the-go with a variety of thoughtful and convenient features like earning and spending Landmark Rewards points, Cash on Delivery, 1-click shopping with FastPay and much more! Happy shopping, Savitar Jagtiani Business Head E-commerce,Landmark Group Savitar Jagtiani, Business Head E-commerce, Landmark Group © Landmark Online India Private Limited."
63484,20200529,landmarkshops.in,http://www.landmarkshops.in/,text/html,,,
72424,20200529,landmarkshops.in,http://www.landmarkshops.in/,text/html,,,
81714,20200605,landmarkshops.in,http://www.landmarkshops.in/,text/html,,,
92015,20200612,landmarkshops.in,http://www.landmarkshops.in/,text/html,,,
103242,20200619,landmarkshops.in,http://www.landmarkshops.in/,text/html,,,
113229,20200626,landmarkshops.in,http://www.landmarkshops.in/,text/html,,,
123721,20200703,landmarkshops.in,http://www.landmarkshops.in/,text/html,,,
133936,20200710,landmarkshops.in,http://www.landmarkshops.in/,text/html,,,
144414,20200717,landmarkshops.in,http://www.landmarkshops.in/,text/html,,,
154927,20200724,landmarkshops.in,http://www.landmarkshops.in/,text/html,text/html,en,"LandmarkShops.in | Buy Women's, Men's & Kid's Wear Online A Message To Our Customers Dear Customers, At the Landmark Group, we are always thinking of new ways to deliver superior shopping experiences for you. By superior, we mean better in every way, so think simpler, more useful, more user-friendly and more delightful. With these aspirations in mind, and after a year of building LandmarkShops.in as your go-to shopping destination, we have decided to let you shop online directly from these leading brands: MaxFashion.com LifestyleStores.com Shopping multiple brands in a single online experience has always been a key and convenient reason to shop with us, which is why you can continue to enjoy a single checkout experience across all our participating brands with just one account. If you already have a LandmarkShops account, you’re all set. Your account details, order history, preferences and more stay the same. Just login to any of our new brand sites with your existing username and password and shop away. Any pending orders on LandmarkShops will be fulfilled as promised. Learn more about these changes from here. So go forth and explore your favourite brand sites! Download their apps from Google Play and the App Store, and enjoy shopping on-the-go with a variety of thoughtful and convenient features like earning and spending Landmark Rewards points, Cash on Delivery, 1-click shopping with FastPay and much more! Happy shopping, Savitar Jagtiani Business Head E-commerce,Landmark Group Savitar Jagtiani, Business Head E-commerce, Landmark Group © Landmark Online India Private Limited."
165792,20200731,landmarkshops.in,http://www.landmarkshops.in/,text/html,,,
176791,20200807,landmarkshops.in,http://www.landmarkshops.in/,text/html,,,
187676,20200814,landmarkshops.in,http://www.landmarkshops.in/,text/html,,,
200531,20200821,landmarkshops.in,http://www.landmarkshops.in/,text/html,,,
212429,20200828,landmarkshops.in,http://www.landmarkshops.in/,text/html,,,
224665,20200904,landmarkshops.in,http://www.landmarkshops.in/,text/html,,,
238115,20200911,landmarkshops.in,http://www.landmarkshops.in/,text/html,,,
261694,20200925,landmarkshops.in,http://www.landmarkshops.in/,text/html,text/html,en,"LandmarkShops.in | Buy Women's, Men's & Kid's Wear Online A Message To Our Customers Dear Customers, At the Landmark Group, we are always thinking of new ways to deliver superior shopping experiences for you. By superior, we mean better in every way, so think simpler, more useful, more user-friendly and more delightful. With these aspirations in mind, and after a year of building LandmarkShops.in as your go-to shopping destination, we have decided to let you shop online directly from these leading brands: MaxFashion.com LifestyleStores.com Shopping multiple brands in a single online experience has always been a key and convenient reason to shop with us, which is why you can continue to enjoy a single checkout experience across all our participating brands with just one account. If you already have a LandmarkShops account, you’re all set. Your account details, order history, preferences and more stay the same. Just login to any of our new brand sites with your existing username and password and shop away. Any pending orders on LandmarkShops will be fulfilled as promised. Learn more about these changes from here. So go forth and explore your favourite brand sites! Download their apps from Google Play and the App Store, and enjoy shopping on-the-go with a variety of thoughtful and convenient features like earning and spending Landmark Rewards points, Cash on Delivery, 1-click shopping with FastPay and much more! Happy shopping, Savitar Jagtiani Business Head E-commerce,Landmark Group Savitar Jagtiani, Business Head E-commerce, Landmark Group © Landmark Online India Private Limited."
272714,20201002,landmarkshops.in,http://www.landmarkshops.in/,text/html,text/html,en,"LandmarkShops.in | Buy Women's, Men's & Kid's Wear Online A Message To Our Customers Dear Customers, At the Landmark Group, we are always thinking of new ways to deliver superior shopping experiences for you. By superior, we mean better in every way, so think simpler, more useful, more user-friendly and more delightful. With these aspirations in mind, and after a year of building LandmarkShops.in as your go-to shopping destination, we have decided to let you shop online directly from these leading brands: MaxFashion.com LifestyleStores.com Shopping multiple brands in a single online experience has always been a key and convenient reason to shop with us, which is why you can continue to enjoy a single checkout experience across all our participating brands with just one account. If you already have a LandmarkShops account, you’re all set. Your account details, order history, preferences and more stay the same. Just login to any of our new brand sites with your existing username and password and shop away. Any pending orders on LandmarkShops will be fulfilled as promised. Learn more about these changes from here. So go forth and explore your favourite brand sites! Download their apps from Google Play and the App Store, and enjoy shopping on-the-go with a variety of thoughtful and convenient features like earning and spending Landmark Rewards points, Cash on Delivery, 1-click shopping with FastPay and much more! Happy shopping, Savitar Jagtiani Business Head E-commerce,Landmark Group Savitar Jagtiani, Business Head E-commerce, Landmark Group © Landmark Online India Private Limited."
285090,20201009,landmarkshops.in,http://www.landmarkshops.in/,text/html,,,
