,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
376,20200408,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LPzMIdF,text/html,text/html,en,"Signup Form Sign up for the Badgers Roundup Welcome to the Badgers Roundup, a weekly newsletter that captures your Brock University Badgers player and team news. * Email This is a required field. First Name Last Name Sign Up By submitting this form, you are consenting to receive marketing emails from: Brock University, 1812 Sir Sir Isaac Brock Way, St. Catharines, ON L2S 3A1, CA You can revoke your consent to receive emails at any time by using the SafeUnsubscribe® link, found at the bottom of every email. Emails are serviced by Constant Contact"
2586,20200417,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LPzMIdF,text/html,,,
9891,20200424,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LPzMIdF,text/html,text/html,en,"Signup Form Sign up for the Badgers Roundup Welcome to the Badgers Roundup, a weekly newsletter that captures your Brock University Badgers player and team news. * Email This is a required field. First Name Last Name Sign Up By submitting this form, you are consenting to receive marketing emails from: Brock University, 1812 Sir Sir Isaac Brock Way, St. Catharines, ON L2S 3A1, CA You can revoke your consent to receive emails at any time by using the SafeUnsubscribe® link, found at the bottom of every email. Emails are serviced by Constant Contact"
15559,20200504,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LPzMIdF,text/html,text/html,en,"Signup Form Sign up for the Badgers Roundup Welcome to the Badgers Roundup, a weekly newsletter that captures your Brock University Badgers player and team news. * Email This is a required field. First Name Last Name Sign Up By submitting this form, you are consenting to receive marketing emails from: Brock University, 1812 Sir Sir Isaac Brock Way, St. Catharines, ON L2S 3A1, CA You can revoke your consent to receive emails at any time by using the SafeUnsubscribe® link, found at the bottom of every email. Emails are serviced by Constant Contact"
20495,20200516,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LPzMIdF,text/html,,,
49015,20200522,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LPzMIdF,text/html,,,
52678,20200529,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LPzMIdF,text/html,,,
67238,20200530,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LPzMIdF,text/html,,,
74534,20200605,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LPzMIdF,text/html,,,
83965,20200612,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LPzMIdF,text/html,text/html,en,"Signup Form Sign up for the Badgers Roundup Welcome to the Badgers Roundup, a weekly newsletter that captures your Brock University Badgers player and team news. * Email This is a required field. First Name Last Name Sign Up By submitting this form, you are consenting to receive marketing emails from: Brock University, 1812 Sir Sir Isaac Brock Way, St. Catharines, ON L2S 3A1, CA You can revoke your consent to receive emails at any time by using the SafeUnsubscribe® link, found at the bottom of every email. Emails are serviced by Constant Contact"
94394,20200619,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LPzMIdF,text/html,,,
105658,20200627,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LPzMIdF,text/html,,,
116167,20200703,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LPzMIdF,text/html,,,
126393,20200710,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LPzMIdF,text/html,,,
136826,20200717,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LPzMIdF,text/html,,,
147287,20200725,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LPzMIdF,text/html,,,
158165,20200731,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LPzMIdF,text/html,text/html,en,"Signup Form Sign up for the Badgers Roundup Welcome to the Badgers Roundup, a weekly newsletter that captures your Brock University Badgers player and team news. * Email This is a required field. First Name Last Name Sign Up By submitting this form, you are consenting to receive marketing emails from: Brock University, 1812 Sir Sir Isaac Brock Way, St. Catharines, ON L2S 3A1, CA You can revoke your consent to receive emails at any time by using the SafeUnsubscribe® link, found at the bottom of every email. Emails are serviced by Constant Contact"
169231,20200807,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LPzMIdF,text/html,,,
180116,20200814,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LPzMIdF,text/html,,,
191233,20200822,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LPzMIdF,text/html,,,
203987,20200828,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LPzMIdF,text/html,,,
215932,20200904,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LPzMIdF,text/html,,,
228270,20200912,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LPzMIdF,text/html,text/html,en,"Signup Form Sign up for the Badgers Roundup Welcome to the Badgers Roundup, a weekly newsletter that captures your Brock University Badgers player and team news. * Email This is a required field. First Name Last Name Sign Up By submitting this form, you are consenting to receive marketing emails from: Brock University, 1812 Sir Sir Isaac Brock Way, St. Catharines, ON L2S 3A1, CA You can revoke your consent to receive emails at any time by using the SafeUnsubscribe® link, found at the bottom of every email. Emails are serviced by Constant Contact"
240968,20200918,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LPzMIdF,text/html,,,
251974,20200925,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LPzMIdF,text/html,,,
264540,20201003,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LPzMIdF,text/html,,,
276255,20201009,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LPzMIdF,text/html,,,
288391,20201016,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LPzMIdF,text/html,,,
300358,20201024,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LPzMIdF,text/html,,,
312445,20201030,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LPzMIdF,text/html,,,
318526,20201030,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LLSS7Xa/NHUpdates,text/html,text/html,en,"Signup Form Sign up for email updates Get the latest news from Niagara Health. * Email This is a required field. * First Name Sign Up By submitting this form, you are consenting to receive marketing emails from: Niagara Health, 1200 Fourth Avenue, St. Catharines, ON L2S 0A9, CA, http://www.niagarahealth.on.ca You can revoke your consent to receive emails at any time by using the SafeUnsubscribe® link, found at the bottom of every email. Emails are serviced by Constant Contact"
324120,20201106,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LPzMIdF,text/html,,,
331333,20201106,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LLSS7Xa/NHUpdates,text/html,,,
335024,20201113,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LPzMIdF,text/html,,,
341352,20201113,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LLSS7Xa/NHUpdates,text/html,,,
346758,20201120,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LPzMIdF,text/html,,,
352089,20201120,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LLSS7Xa/NHUpdates,text/html,,,
357379,20201127,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LPzMIdF,text/html,,,
363664,20201127,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LLSS7Xa/NHUpdates,text/html,,,
368958,20201204,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LPzMIdF,text/html,,,
374978,20201204,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LLSS7Xa/NHUpdates,text/html,,,
379827,20201211,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LPzMIdF,text/html,,,
385799,20201211,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LLSS7Xa/NHUpdates,text/html,,,
389792,20201218,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LPzMIdF,text/html,,,
394826,20201218,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LLSS7Xa/NHUpdates,text/html,,,
399028,20201225,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LPzMIdF,text/html,,,
404114,20201225,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LLSS7Xa/NHUpdates,text/html,,,
408172,20210101,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LPzMIdF,text/html,,,
413235,20210101,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LLSS7Xa/NHUpdates,text/html,,,
422468,20210108,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LLSS7Xa/NHUpdates,text/html,,,
431925,20210115,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LLSS7Xa/NHUpdates,text/html,,,
441085,20210122,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LLSS7Xa/NHUpdates,text/html,,,
450305,20210129,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LLSS7Xa/NHUpdates,text/html,,,
460425,20210205,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LLSS7Xa/NHUpdates,text/html,,,
470600,20210212,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LLSS7Xa/NHUpdates,text/html,,,
480790,20210219,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LLSS7Xa/NHUpdates,text/html,,,
491196,20210226,lp.constantcontactpages.com,https://lp.constantcontactpages.com/su/LLSS7Xa/NHUpdates,text/html,,,
