,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
31985,20210205,m.youtube.com,https://m.youtube.com/channel/UCcAzUYgemMC1igVHQwyw4uA,text/html,text/html,en,YouTube St. Catharines Standard - YouTube
236084,20200914,m.youtube.com,https://m.youtube.com/watch?v=nfrniGI3xQM,text/html,text/html,ht,YouTube
248355,20200921,m.youtube.com,https://m.youtube.com/watch?v=Oz-7XhOu1OA,text/html,text/html,ht,YouTube
270722,20201005,m.youtube.com,https://m.youtube.com/watch?v=RLA_a2qNfYs,text/html,text/html,ht,YouTube
282378,20201011,m.youtube.com,https://m.youtube.com/watch?v=aOeOMHQP-Bg,text/html,text/html,ht,YouTube
282976,20201012,m.youtube.com,https://m.youtube.com/watch?v=oMTmMzljfoc,text/html,text/html,ht,YouTube
294868,20201019,m.youtube.com,https://m.youtube.com/watch?v=GRulPasCJ14,text/html,text/html,ht,YouTube
317549,20201031,m.youtube.com,https://m.youtube.com/watch?v=-XEI6RdyO20,text/html,text/html,ht,YouTube
318348,20201030,m.youtube.com,https://m.youtube.com/watch?v=B0-pKtmWhNk,text/html,text/html,ht,YouTube
321178,20201031,m.youtube.com,https://m.youtube.com/watch?v=ASqw66QPhhM&list=PLtT63gh7tNlAhuj_kob_FeigZAoTAXKJ0&index=26,text/html,text/html,ht,YouTube
321412,20201031,m.youtube.com,https://m.youtube.com/watch?v=1snRp1daA3A,text/html,text/html,ht,YouTube
327968,20201108,m.youtube.com,https://m.youtube.com/watch?v=9-9-zufQs80,text/html,text/html,ht,YouTube
328290,20201106,m.youtube.com,https://m.youtube.com/watch?v=yNP2WRnjNOY,text/html,text/html,ht,YouTube
329679,20201107,m.youtube.com,https://m.youtube.com/watch?v=ZyetqMr3bfg,text/html,text/html,ht,YouTube
330440,20201108,m.youtube.com,https://m.youtube.com/playlist?list=PLt1ZEcybbg8uX22tIOXnYiT7dv7ize_5A,text/html,text/html,ht,YouTube
330496,20201108,m.youtube.com,https://m.youtube.com/c/Claimwizard,text/html,text/html,en,YouTube ClaimWizard - YouTube
330582,20201108,m.youtube.com,https://m.youtube.com/watch?v=pZ--w0E2DEc,text/html,text/html,ht,YouTube
330590,20201108,m.youtube.com,https://m.youtube.com/watch?v=idBiMRsdITk,text/html,text/html,ht,YouTube
330646,20201108,m.youtube.com,https://m.youtube.com/watch?v=rDhmhWKjhSA,text/html,text/html,ht,YouTube
330764,20201108,m.youtube.com,https://m.youtube.com/watch?v=zJitOscOB4c,text/html,text/html,ht,YouTube
330805,20201108,m.youtube.com,https://m.youtube.com/c/HillhurstUnitedChurch,text/html,text/html,en,YouTube Hillhurst United Church - YouTube
330893,20201108,m.youtube.com,https://m.youtube.com/c/DanCroitor,text/html,text/html,en,YouTube Dan Croitor - YouTube
330998,20201109,m.youtube.com,https://m.youtube.com/watch?v=GFxJmr1URiU,text/html,text/html,ht,YouTube
331049,20201109,m.youtube.com,https://m.youtube.com/watch?v=AoLqAz6kmkk,text/html,text/html,ht,YouTube
331133,20201109,m.youtube.com,https://m.youtube.com/watch?v=gKDglReAbdg,text/html,text/html,ht,YouTube
331787,20201106,m.youtube.com,https://m.youtube.com/channel/UCrvqj9XJGX3A5WNr7iollYQ,text/html,text/html,en,YouTube Greater Niagara Chamber of Commerce - YouTube
332339,20201107,m.youtube.com,https://m.youtube.com/watch?v=l69sYzldWsM,text/html,text/html,ht,YouTube
332455,20201107,m.youtube.com,https://m.youtube.com/watch?v=EkZuVHw8FXc,text/html,text/html,ht,YouTube
340467,20201114,m.youtube.com,https://m.youtube.com/user/cityofportcolborne/discussion,text/html,text/html,en,YouTube City of Port Colborne - YouTube
340499,20201114,m.youtube.com,https://m.youtube.com/user/cityofportcolborne/channels?view_as=subscriber,text/html,text/html,en,YouTube City of Port Colborne - YouTube
340848,20201114,m.youtube.com,https://m.youtube.com/channel/UCbiniBiGBhu8cn6DrELZi1Q,text/html,text/html,en,YouTube City of Thorold - YouTube
340867,20201114,m.youtube.com,https://m.youtube.com/channel/UCbiniBiGBhu8cn6DrELZi1Q/playlists,text/html,text/html,en,YouTube City of Thorold - YouTube
341001,20201113,m.youtube.com,https://m.youtube.com/watch?v=hXiRqZXbqw8&feature=applinks,text/html,text/html,ht,YouTube
341016,20201113,m.youtube.com,https://m.youtube.com/channel/UCNTcfEZ1Wdyy6pO9NM2s3dQ,text/html,text/html,en,YouTube Inspiritory - YouTube
341035,20201113,m.youtube.com,https://m.youtube.com/watch?v=WaIKnkvZdqQ,text/html,text/html,ht,YouTube
341637,20201114,m.youtube.com,https://m.youtube.com/watch?v=HKaP5CCOH_w,text/html,text/html,ht,YouTube
342899,20201114,m.youtube.com,https://m.youtube.com/watch?v=NYF5pV3IKA0,text/html,text/html,ht,YouTube
343929,20201114,m.youtube.com,https://m.youtube.com/watch?v=LFse6t6Had4,text/html,text/html,ht,YouTube
343948,20201114,m.youtube.com,https://m.youtube.com/watch?v=R1nMfadCuTo,text/html,text/html,ht,YouTube
344131,20201114,m.youtube.com,https://m.youtube.com/watch?v=4pY5Bw3VP2Y,text/html,text/html,ht,YouTube
344179,20201114,m.youtube.com,https://m.youtube.com/watch?v=W3swQC4TN8k&list=PLtT63gh7tNlAhuj_kob_FeigZAoTAXKJ0&index=20,text/html,text/html,ht,YouTube
346641,20201120,m.youtube.com,https://m.youtube.com/channel/UCSVnrEfc5poR7qGYAjXcINQ,text/html,text/html,br,YouTube brockuvideo - YouTube
349924,20201121,m.youtube.com,https://m.youtube.com/channel/UCxYDHIlwD6fAGwgSNvBaaxA,text/html,text/html,en,YouTube Niagara Region - YouTube
351178,20201120,m.youtube.com,https://m.youtube.com/user/cityofportcolborne,text/html,text/html,en,YouTube City of Port Colborne - YouTube
351182,20201120,m.youtube.com,https://m.youtube.com/channel/UCURxsqUJYXvu4-gqqebkFDw?feature=applinks,text/html,text/html,en,YouTube City of Port Colborne - YouTube
352535,20201120,m.youtube.com,https://m.youtube.com/channel/UCrvqj9XJGX3A5WNr7iollYQ,text/html,text/html,en,YouTube Greater Niagara Chamber of Commerce - YouTube
354307,20201120,m.youtube.com,https://m.youtube.com/playlist?list=PLtT63gh7tNlAhuj_kob_FeigZAoTAXKJ0,text/html,text/html,ht,YouTube
354327,20201120,m.youtube.com,https://m.youtube.com/watch?v=jyZIyeqp8OU&list=PLtT63gh7tNlAhuj_kob_FeigZAoTAXKJ0&index=8,text/html,text/html,ht,YouTube
354445,20201120,m.youtube.com,https://m.youtube.com/watch?v=LFyrzl4NT-c,text/html,text/html,ht,YouTube
354455,20201120,m.youtube.com,https://m.youtube.com/premium?ybp=Eg9GRXdoYXRfdG9fd2F0Y2gqEmRtZWEtYWNxLWMtZWdzbzE4ZDoaCAYYASoUChJkbWVhLWFjcS1jLWVnc28xOGQ%253D,text/html,text/html,ht,YouTube
356777,20201120,m.youtube.com,https://m.youtube.com/watch?v=atIVTE4ZerQ,text/html,text/html,ht,YouTube
366331,20201128,m.youtube.com,https://m.youtube.com/playlist?list=PLtT63gh7tNlAhuj_kob_FeigZAoTAXKJ0,text/html,text/html,ht,YouTube
366425,20201128,m.youtube.com,https://m.youtube.com/watch?index=3&list=PL_SpMoonSLzTHfdBYQJbjdcp6oRQD7mSH&v=_XCm3geqnA4,text/html,text/html,ht,YouTube
368933,20201204,m.youtube.com,https://m.youtube.com/watch?v=6tdOWlQ_or4,text/html,text/html,ht,YouTube
368945,20201204,m.youtube.com,https://m.youtube.com/user/brockuvideo,text/html,text/html,br,YouTube brockuvideo - YouTube
369330,20201205,m.youtube.com,https://m.youtube.com/watch?v=m0PIIG6S9SU,text/html,text/html,ht,YouTube
369332,20201205,m.youtube.com,https://m.youtube.com/watch?v=TB2vIVSd6Uo,text/html,text/html,ht,YouTube
369381,20201205,m.youtube.com,https://m.youtube.com/watch?v=Zz6gjy5wvSw,text/html,text/html,ht,YouTube
369404,20201205,m.youtube.com,https://m.youtube.com/watch?v=X3v_YUJ3nK0,text/html,text/html,ht,YouTube
369405,20201205,m.youtube.com,https://m.youtube.com/watch?v=SGswvr6M3zg,text/html,text/html,ht,YouTube
369406,20201205,m.youtube.com,https://m.youtube.com/watch?v=ymSkmuUl3XI,text/html,text/html,ht,YouTube
369407,20201205,m.youtube.com,https://m.youtube.com/watch?v=QVTOIIsFDAI,text/html,text/html,ht,YouTube
369408,20201205,m.youtube.com,https://m.youtube.com/watch?v=CQcCwH2nYCA,text/html,text/html,ht,YouTube
372881,20201207,m.youtube.com,https://m.youtube.com/watch?v=8kisu_Cm5yI,text/html,text/html,ht,YouTube
373019,20201205,m.youtube.com,https://m.youtube.com/user/NiagaraRegionCA,text/html,text/html,en,YouTube Niagara Region - YouTube
373021,20201205,m.youtube.com,https://m.youtube.com/watch?v=gV_YpWPxg1k,text/html,text/html,ht,YouTube
373022,20201205,m.youtube.com,https://m.youtube.com/watch?v=y6bQB-OI4Sk,text/html,text/html,ht,YouTube
373300,20201205,m.youtube.com,https://m.youtube.com/watch?v=YvvVc2EnfNI,text/html,text/html,ht,YouTube
373302,20201205,m.youtube.com,https://m.youtube.com/watch?v=8gV0fA2Y-rs,text/html,text/html,ht,YouTube
373304,20201205,m.youtube.com,https://m.youtube.com/watch?v=M1_pRYH3MaY,text/html,text/html,ht,YouTube
373305,20201205,m.youtube.com,https://m.youtube.com/watch?v=Qav2gyB8jSY,text/html,text/html,ht,YouTube
373307,20201205,m.youtube.com,https://m.youtube.com/watch?v=G3FQssC-TFA,text/html,text/html,ht,YouTube
373309,20201205,m.youtube.com,https://m.youtube.com/watch?v=bh8b0Z6cK1A,text/html,text/html,ht,YouTube
373311,20201205,m.youtube.com,https://m.youtube.com/watch?v=26BSPl3SYis,text/html,text/html,ht,YouTube
373312,20201205,m.youtube.com,https://m.youtube.com/watch?v=NTaBZM1cbNs,text/html,text/html,ht,YouTube
373314,20201205,m.youtube.com,https://m.youtube.com/watch?v=6JqjD0leXE8,text/html,text/html,ht,YouTube
373316,20201205,m.youtube.com,https://m.youtube.com/watch?v=5azm7lHL1PI,text/html,text/html,ht,YouTube
373318,20201205,m.youtube.com,https://m.youtube.com/watch?v=3yVTGHxNSqI,text/html,text/html,ht,YouTube
373319,20201205,m.youtube.com,https://m.youtube.com/watch?v=K_TgnZLEzBc,text/html,text/html,ht,YouTube
373321,20201205,m.youtube.com,https://m.youtube.com/watch?v=pyWVEEvxwD4,text/html,text/html,ht,YouTube
373323,20201205,m.youtube.com,https://m.youtube.com/watch?v=_UfZjapdY2I,text/html,text/html,ht,YouTube
373327,20201205,m.youtube.com,https://m.youtube.com/watch?v=eu6pq26Rpo4,text/html,text/html,ht,YouTube
373866,20201204,m.youtube.com,https://m.youtube.com/user/cityofportcolborne,text/html,text/html,en,YouTube City of Port Colborne - YouTube
374041,20201205,m.youtube.com,https://m.youtube.com/channel/UCURxsqUJYXvu4-gqqebkFDw?view_as=subscriber,text/html,text/html,en,YouTube City of Port Colborne - YouTube
374518,20201205,m.youtube.com,https://m.youtube.com/channel/UCURxsqUJYXvu4-gqqebkFDw,text/html,text/html,en,YouTube City of Port Colborne - YouTube
374519,20201205,m.youtube.com,https://m.youtube.com/channel/UCURxsqUJYXvu4-gqqebkFDw?feature=applinks,text/html,text/html,en,YouTube City of Port Colborne - YouTube
374520,20201205,m.youtube.com,https://m.youtube.com/watch?v=U15Fwo9tbJ4,text/html,text/html,ht,YouTube
374522,20201205,m.youtube.com,https://m.youtube.com/watch?v=PsT5ElwmSCI,text/html,text/html,ht,YouTube
374523,20201205,m.youtube.com,https://m.youtube.com/watch?v=xipTI_4T440,text/html,text/html,ht,YouTube
374525,20201205,m.youtube.com,https://m.youtube.com/watch?v=5PloluW5keg,text/html,text/html,ht,YouTube
374527,20201205,m.youtube.com,https://m.youtube.com/watch?v=C7XCMMmRE3k,text/html,text/html,ht,YouTube
374528,20201205,m.youtube.com,https://m.youtube.com/watch?v=4tm2-2JCdZE,text/html,text/html,ht,YouTube
374529,20201205,m.youtube.com,https://m.youtube.com/watch?v=-XEI6RdyO20,text/html,text/html,ht,YouTube
