,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
13392,20200424,magnet.whoplusyou.com,https://magnet.whoplusyou.com/lp/gncc/employers,text/html,text/html,en,"Greater Niagara Chamber of Commerce (GNCC) Employers Partners Blog About Contact ☰ English Français Advancing Careers, Businessess, and Communities English Français Technical Support Back Employer Signup Connect to talent quickly and easily Sign up using an email address: We noticed you are coming in through a screen reader. We're committed to providing you with an excellent accessible experience. We welcome your feedback so we can continue to improve your experience. Organization Name (Required) First Name (Required) Last Name (Required) Email (Required) Confirm Email (Required) Password (Required) Passwords must be at least 8 characters long, include at least 1 number and both upper and lower case letters. Select Account Type (Required) Account Type Select ""Employer"" if you represent and/or are hiring for your own organization. Select ""Recruiter"" if you represent an organization that manages hiring and staffing for other organizations. Select Account Type Employer Recruiter Sign Up By Signing up I agree to the WhoPlusYou User Agreement for Organizations and Privacy Policy Employers| Partners| Blog| About| Contact User Agreement for Organizations Privacy Policy Accessibility Powered by WhoPlusYou Close × Join as a Job Seeker Employer Close × Accounts in the EU are not supported We've noticed that you are currently located in the European Union (EU). According to our account terms, we do not offer accounts to individuals or organizations in the EU. If you proceed, you will not be able to complete your profile or access account services with an EU address. Continue Cancel"
13394,20200424,magnet.whoplusyou.com,https://magnet.whoplusyou.com/lp/gncc,text/html,text/html,en,"Greater Niagara Chamber of Commerce (GNCC) Employers Partners Blog About Contact ☰ English Français Advancing Careers, Businessess, and Communities English Français Technical Support The Greater Niagara Chamber of Commerce (GNCC) Community on Magnet Powered By Magnet Login via social media Login using your email Email Password Login Forgot Password? Remember Me Are you a new user? CREATE AN ACCOUNT Learn How It Works How It Works Job Seeker Employer Getting Started Create a profile that's used to showcase your skills and qualifications. Getting Started Create a profile that's used to showcase your skills and qualifications. Get Matched Set your job preferences and get notified when your profile is matched to a job opportunity. Get Matched Set your job preferences and get notified when your profile is matched to a job opportunity. Review Job Invites Review Job Invites You can review all job opportunities that you're matched to and apply to the jobs you're interested in. (Your profile will remain private until you apply.) Get Notified Receive notifications after an employer views your profile and decides to connect with you. Get Notified Receive notifications after an employer views your profile and decides to connect with you. Getting Started Create an account that's used to connect to Job Seekers and describes your organization. Create an account that's used to connect to Job Seekers and describes your organization. Post Your Jobs Create job postings that instantly match to candidates based on the qualifications you require for the positions. Post Your Jobs Create job postings that instantly match to candidates based on the qualifications you require for the positions. Review Qualified Candidates Review the profiles of candidates who have applied for your positions. Review Qualified Candidates Review the profiles of candidates who have applied for your positions. Connect With Candidates Connect With Candidates Choose to connect with one or more candidates you're interested in. Pricing Student Postings FREE Connect with students across multiple schools for your targeted programs and your preferred institutions. Unlimited Postings Review All Applicants For Free Talent Pool: Students Only Requirements: Limited (Job Experience) Workplace Postings FREE Fast and accurate way of reaching the candidates who have the education and/or work experience you need. Unlimited Postings Review and Connect To All Applicants For Free Talent Pool: All Job Seekers Requirements:: Full (Educational Background, Specific Schools, Job Experience) Specific Requirements: Industry Experience Marketing Experience Management Experience Multimedia in Listings Use Photos, Videos & more to Promote Your Listing Employers| Partners| Blog| About| Contact Magnet Founding Sponsors Privacy Policy Accessibility Powered by WhoPlusYou Close × Join as a Job Seeker Employer Close × Accounts in the EU are not supported We've noticed that you are currently located in the European Union (EU). According to our account terms, we do not offer accounts to individuals or organizations in the EU. If you proceed, you will not be able to complete your profile or access account services with an EU address. Continue Cancel"
18008,20200504,magnet.whoplusyou.com,https://magnet.whoplusyou.com/lp/gncc/employers,text/html,text/html,en,"Greater Niagara Chamber of Commerce (GNCC) Employers Partners Blog About Contact ☰ English Français Advancing Careers, Businessess, and Communities English Français Technical Support Back Employer Signup Connect to talent quickly and easily Sign up using an email address: We noticed you are coming in through a screen reader. We're committed to providing you with an excellent accessible experience. We welcome your feedback so we can continue to improve your experience. Organization Name (Required) First Name (Required) Last Name (Required) Email (Required) Confirm Email (Required) Password (Required) Passwords must be at least 8 characters long, include at least 1 number and both upper and lower case letters. Select Account Type (Required) Account Type Select ""Employer"" if you represent and/or are hiring for your own organization. Select ""Recruiter"" if you represent an organization that manages hiring and staffing for other organizations. Select Account Type Employer Recruiter Sign Up By Signing up I agree to the WhoPlusYou User Agreement for Organizations and Privacy Policy Employers| Partners| Blog| About| Contact User Agreement for Organizations Privacy Policy Accessibility Powered by WhoPlusYou Close × Join as a Job Seeker Employer Close × Accounts in the EU are not supported We've noticed that you are currently located in the European Union (EU). According to our account terms, we do not offer accounts to individuals or organizations in the EU. If you proceed, you will not be able to complete your profile or access account services with an EU address. Continue Cancel"
18011,20200504,magnet.whoplusyou.com,https://magnet.whoplusyou.com/lp/gncc,text/html,text/html,en,"Greater Niagara Chamber of Commerce (GNCC) Employers Partners Blog About Contact ☰ English Français Advancing Careers, Businessess, and Communities English Français Technical Support The Greater Niagara Chamber of Commerce (GNCC) Community on Magnet Powered By Magnet Login via social media Login using your email Email Password Login Forgot Password? Remember Me Are you a new user? CREATE AN ACCOUNT Learn How It Works How It Works Job Seeker Employer Getting Started Create a profile that's used to showcase your skills and qualifications. Getting Started Create a profile that's used to showcase your skills and qualifications. Get Matched Set your job preferences and get notified when your profile is matched to a job opportunity. Get Matched Set your job preferences and get notified when your profile is matched to a job opportunity. Review Job Invites Review Job Invites You can review all job opportunities that you're matched to and apply to the jobs you're interested in. (Your profile will remain private until you apply.) Get Notified Receive notifications after an employer views your profile and decides to connect with you. Get Notified Receive notifications after an employer views your profile and decides to connect with you. Getting Started Create an account that's used to connect to Job Seekers and describes your organization. Create an account that's used to connect to Job Seekers and describes your organization. Post Your Jobs Create job postings that instantly match to candidates based on the qualifications you require for the positions. Post Your Jobs Create job postings that instantly match to candidates based on the qualifications you require for the positions. Review Qualified Candidates Review the profiles of candidates who have applied for your positions. Review Qualified Candidates Review the profiles of candidates who have applied for your positions. Connect With Candidates Connect With Candidates Choose to connect with one or more candidates you're interested in. Pricing Student Postings FREE Connect with students across multiple schools for your targeted programs and your preferred institutions. Unlimited Postings Review All Applicants For Free Talent Pool: Students Only Requirements: Limited (Job Experience) Workplace Postings FREE Fast and accurate way of reaching the candidates who have the education and/or work experience you need. Unlimited Postings Review and Connect To All Applicants For Free Talent Pool: All Job Seekers Requirements:: Full (Educational Background, Specific Schools, Job Experience) Specific Requirements: Industry Experience Marketing Experience Management Experience Multimedia in Listings Use Photos, Videos & more to Promote Your Listing Employers| Partners| Blog| About| Contact Magnet Founding Sponsors Privacy Policy Accessibility Powered by WhoPlusYou Close × Join as a Job Seeker Employer Close × Accounts in the EU are not supported We've noticed that you are currently located in the European Union (EU). According to our account terms, we do not offer accounts to individuals or organizations in the EU. If you proceed, you will not be able to complete your profile or access account services with an EU address. Continue Cancel"
142610,20200717,magnet.whoplusyou.com,https://magnet.whoplusyou.com/lp/gncc/employers,text/html,text/html,en,"Greater Niagara Chamber of Commerce (GNCC) Back EN| FR Organization Name (Required) First Name (Required) Last Name (Required) Email (Required) Confirm Email (Required) Password (Required) Passwords must be at least 8 characters long, include at least 1 number and both upper and lower case letters. Sign Up By Signing up I agree to the WhoPlusYou User Agreement for Organizations and Privacy Policy Close × Accounts in the EU are not supported We've noticed that you are currently located in the European Union (EU). According to our account terms, we do not offer accounts to individuals or organizations in the EU. If you proceed, you will not be able to complete your profile or access account services with an EU address. Continue Cancel"
142622,20200717,magnet.whoplusyou.com,https://magnet.whoplusyou.com/lp/gncc,text/html,text/html,en,"Greater Niagara Chamber of Commerce (GNCC) Back EN| FR Email Password Remember Me Sign In Forgot Password? Sign in with Social Media Are you a new user? Create an account Join as a Employer Job Seeker Recruiter Privacy Policy Accessibility POWERED BY MAGNET Magnet technology platform provided by WhoPlusYou Inc. Close × Accounts in the EU are not supported We've noticed that you are currently located in the European Union (EU). According to our account terms, we do not offer accounts to individuals or organizations in the EU. If you proceed, you will not be able to complete your profile or access account services with an EU address. Continue Cancel"
308272,20201023,magnet.whoplusyou.com,https://magnet.whoplusyou.com/lp/gncc/employers,text/html,text/html,en,"Greater Niagara Chamber of Commerce (GNCC) Back EN| FR Organization Name (Required) First Name (Required) Last Name (Required) Email (Required) Confirm Email (Required) Password (Required) Passwords must be at least 8 characters long, include at least 1 number and both upper and lower case letters. Sign Up By Signing up I agree to the WhoPlusYou User Agreement for Organizations and Privacy Policy Close × Accounts in the EU are not supported We've noticed that you are currently located in the European Union (EU). According to our account terms, we do not offer accounts to individuals or organizations in the EU. If you proceed, you will not be able to complete your profile or access account services with an EU address. Continue Cancel"
308305,20201023,magnet.whoplusyou.com,https://magnet.whoplusyou.com/lp/gncc,text/html,text/html,en,"Greater Niagara Chamber of Commerce (GNCC) Back EN| FR Email Password Remember Me Sign In Forgot Password? Sign in with Social Media Are you a new user? Create an account Join as a Employer Job Seeker Recruiter Privacy Policy Accessibility POWERED BY MAGNET Magnet technology platform provided by WhoPlusYou Inc. Close × Accounts in the EU are not supported We've noticed that you are currently located in the European Union (EU). According to our account terms, we do not offer accounts to individuals or organizations in the EU. If you proceed, you will not be able to complete your profile or access account services with an EU address. Continue Cancel"
341684,20201113,magnet.whoplusyou.com,https://magnet.whoplusyou.com/lp/gncc/employers,text/html,text/html,en,"Greater Niagara Chamber of Commerce (GNCC) Back EN| FR Organization Name (Required) First Name (Required) Last Name (Required) Email (Required) Confirm Email (Required) Password (Required) Passwords must be at least 8 characters long, include at least 1 number and both upper and lower case letters. Sign Up By Signing up I agree to the WhoPlusYou User Agreement for Organizations and Privacy Policy Close × Accounts in the EU are not supported We've noticed that you are currently located in the European Union (EU). According to our account terms, we do not offer accounts to individuals or organizations in the EU. If you proceed, you will not be able to complete your profile or access account services with an EU address. Continue Cancel"
341687,20201113,magnet.whoplusyou.com,https://magnet.whoplusyou.com/lp/gncc,text/html,text/html,en,"Greater Niagara Chamber of Commerce (GNCC) Back EN| FR Email Password Remember Me Sign In Forgot Password? Sign in with Social Media Are you a new user? Create an account Join as a Employer Organization Job Seeker Recruiter Privacy Policy Accessibility POWERED BY MAGNET Magnet technology platform provided by WhoPlusYou Inc. Close × Accounts in the EU are not supported We've noticed that you are currently located in the European Union (EU). According to our account terms, we do not offer accounts to individuals or organizations in the EU. If you proceed, you will not be able to complete your profile or access account services with an EU address. Continue Cancel"
