,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
6602,20200417,media.telstra.com.au,http://media.telstra.com.au/home.html,text/html,text/html,en,"Telstra Media - Video, Sport, Music and Entertainment tmedia Skip to main content Telstra.com Personal Small Business Business & Enterprise Health About Us Contact Us My Account Webmail Telstra Media Web Web Mail My Account AFL NRL Netball Telstra TV Foxtel Movies Apple Music My Telstra Callertones AFL NRL Netball Telstra TV Foxtel Movies Apple Music My Telstra Callertones Main content Telstra Media - Video, Sport, Music and Entertainment Advertisement News 'We're going to face further waves'17/47/2020 A leading expert says that Britain likely has the highest coronavirus death rate in Europe due to ""system errors"". Top Stories Ex-partner charged with mum's 'horrible, violent' murder Kim Jong Un not seen on North Korea's most important holiday 'Kind, empathetic,' victim of Melbourne stabbing rampage mourned More fines as people ignore police warnings over social distancing Judge calls murder case with 345 witnesses 'unacceptable' Account Log in now Webmail Check your email Advertisement Entertainment What to stream on Telstra TV What to stream on Telstra TV New movies and TV this week. Advertisement Sport Crawford reveals Clarko's testy Hawks entrance17/11/2020 There is nothing but love between Shane Crawford and Alastair Clarkson now, but it wasn't always the case. Gus reveals greatest Blues star in Origin history Curnow dealt another blow to troublesome knee CA's staggering staff stand downs revealed Crows youngster caught in drink-driving incident AFL boss hits back at quarantine hub criticisms AFL Fixture Throwback: Who were Friday's stat stars? Season likely over for star Blue after another knee setback Young Crow caught drink driving in unregistered vehicle Fixture Throwback from 6.20pm AEST: Which game will it be? Swans' shutdown report card: Weapons, downfall, more UPDATE: Dog facing charges after allegedly leaving crash with teammate Will there be a crowd at the GF? AFL not ruling it out just yet Tech News Every way we can help during COVID-19 Every way we can help during COVID-19 Assistance for Telstra customers, small businesses, and more. Telstra and COVID-19: we can help Extra data on mobile and broadband, and more. Advertisement Advice 8 tips to improve your Wi-Fi 8 tips to improve your Wi-Fi So you can work from home better. COVID-19 scams and malware Key things to look out for to stay safe online. Advertisement Web My Contact Us Online Security Telstra Media Privacy Terms of Use Copyright & Trademark Telstra Media"
13449,20200424,media.telstra.com.au,http://media.telstra.com.au/home.html,text/html,text/html,en,"Telstra Media - Video, Sport, Music and Entertainment tmedia Skip to main content Telstra.com Personal Small Business Business & Enterprise Health About Us Contact Us My Account Webmail Telstra Media Web Web Mail My Account AFL NRL Netball Telstra TV Foxtel Movies Apple Music My Telstra Callertones AFL NRL Netball Telstra TV Foxtel Movies Apple Music My Telstra Callertones Main content Telstra Media - Video, Sport, Music and Entertainment Advertisement News Anzac Day driveway dawn services25/26/2020 Today is set to be an Anzac Day like no other, after public commemorations were cancelled over fears of coronavirus transmission. Top Stories Another US Navy warship reports a coronavirus outbreak US official touting 'temperature' coronavirus treatment not a scientist US woman's unexpected response to loves ones' coronavirus deaths Best and worst ways nations have handled coronavirus Trump says disinfectant comments were sarcasm Account Log in now Webmail Check your email Advertisement Entertainment What to stream on Telstra TV What to stream on Telstra TV New movies and TV this week. Advertisement Sport Why ATP would crush the WTA Tour in a merger24/07/2020 Social media has gone a bit crazy after Roger Federer asked if the men's ATP and women's WTA Tour should join up as a single body. South Sydney lock in Mitchell for 2021 How Gus convinced Blues to 'love each other' Nervous NRL clubs forced to wait for biosecurity measures Johns urges NRL to reduce the interchange rule Players to get say on NRL season structure AFL Vote breakdown revealed: The Anzac Day games the fans really want to see Who is your club's best forward of the 21st century? A lone bugler's eerie but 'marvellous' Last Post experience Fixture Throwback: Watch the highlights from old classics When will footy return? AFL delays big reveal Giants running machine trains with Demon and Hawk 'It has been taxing': The coach who's training like his players Tech News Every way we can help during COVID-19 Every way we can help during COVID-19 Assistance for Telstra customers, small businesses, and more. Telstra and COVID-19: we can help Extra data on mobile and broadband, and more. Advertisement Advice 8 tips to improve your Wi-Fi 8 tips to improve your Wi-Fi So you can work from home better. COVID-19 scams and malware Key things to look out for to stay safe online. Advertisement Web My Contact Us Online Security Telstra Media Privacy Terms of Use Copyright & Trademark Telstra Media"
18046,20200504,media.telstra.com.au,http://media.telstra.com.au/home.html,text/html,text/html,en,"Telstra Media - Video, Sport, Music and Entertainment tmedia Skip to main content Telstra.com Personal Small Business Business & Enterprise Health About Us Contact Us My Account Webmail Telstra Media Web Web Mail My Account AFL NRL Netball Telstra TV Foxtel Movies Apple Music My Telstra Callertones AFL NRL Netball Telstra TV Foxtel Movies Apple Music My Telstra Callertones Main content Telstra Media - Video, Sport, Music and Entertainment Advertisement News Huge fines, jail for COVIDSafe breaches04/01/2020 The draft legislation for the government's new COVIDSafe App has been released, threatening major punishments for individuals or businesses that break the rules. Top Stories Party house hit with $33k of fines after lockdown laws ease Monkey on motorbike tries to steal toddler COVIDSafe App: Prison time for hackers who mis-use personal data Body found in Swedish river identified as exiled journalist How your state or territory is dealing with schooling for term two Account Log in now Webmail Check your email Advertisement Entertainment What to stream on Telstra TV What to stream on Telstra TV New movies and TV this week. Advertisement Sport Clarke blasts radio listener over Katich stoush 04/15/2020 Former Australian captain Michael Clarke has opened up on the fallout and axing of his nemesis, Simon Katich. Slater backs Suncorp to host 2020 Grand Final Mitchell sent home due to coronavirus scare Jordan's gambling battle laid bare in new doco Titans anti-vaxxer rejects mandatory NRL shot Perry's perfect response to Indian star's dinner remark AFL Who will they pick? AFL's super draft LIVE at 1pm AEST, Tuesday When will this Hawthorn jet return from his ACL? LISTEN: The Traders do the 'pick one player from one club' challenge LISTEN: When will McKenna and the AFL's Irish players return? 'Unlawful': Police officer suspended over Laidley photo leak Eastern seaboard second-tier comp on radar, concerns for NEAFL Watch and vote: Mark of the Year, R7 Throwback Tech News Every way we can help during COVID-19 Every way we can help during COVID-19 Assistance for Telstra customers, small businesses, and more. Telstra and COVID-19: we can help Extra data on mobile and broadband, and more. Advertisement Advice 8 tips to improve your Wi-Fi 8 tips to improve your Wi-Fi So you can work from home better. COVID-19 scams and malware Key things to look out for to stay safe online. Advertisement Web My Contact Us Online Security Telstra Media Privacy Terms of Use Copyright & Trademark Telstra Media"
21852,20200515,media.telstra.com.au,http://media.telstra.com.au/home.html,text/html,text/html,en,"Telstra Media - Video, Sport, Music and Entertainment tmedia Skip to main content Telstra.com Personal Small Business Business & Enterprise Health About Us Contact Us My Account Webmail Telstra Media Web Web Mail My Account AFL NRL Netball Telstra TV Foxtel Movies Apple Music My Telstra Callertones AFL NRL Netball Telstra TV Foxtel Movies Apple Music My Telstra Callertones Main content Telstra Media - Video, Sport, Music and Entertainment Advertisement News Coronavirus restrictions ease in Queensland16/40/2020 Queensland will begin Stage 1 of easing restrictions today, meaning people can gather in groups of ten outdoors and are allowed to take regional day-trips in the car but must continue to social distance. Top Stories Indonesia to impose tax on internet giants like Netflix and Spotify Coronavirus health officials vanish from US national TV interviews Store owner crams 12,000 plants into home amid coronavirus Iconic Las Vegas casino retools gambling for COVID-19 How Peter Hitchener is keeping busy in shutdown Account Log in now Webmail Check your email Advertisement Entertainment What to stream on Telstra TV What to stream on Telstra TV Mega Movie Week, plus the latest shows to watch right now. Advertisement Sport Bulldogs coach wants complete NRL restart15/33/2020 The NRL's controversial rule changes has prompted one coach to say all teams should restart the season on zero points. Warne takes shot at Waugh's run-out misery India pushing for Adelaide to host entire Test series Goodes, Johns team up to mentor young guns Socceroos stars return to European action Rugby Australia receives multi-million dollar boost AFL Tigers sack coach after winless debut year Fixture Throwback: Watch the highlights from old classics Housemates could be regularly tested under risk assessments REVEALED: AFL's first day back, full-contact training, more COVID tests Son of a superboot lands punting contract in USA Suns hoping to benefit from Gold Coast hub We want double: Compo for poached state league players must increase Tech News Every way we can help during COVID-19 Every way we can help during COVID-19 Assistance for Telstra customers, small businesses, and more. Telstra and COVID-19: we can help Extra data on mobile and broadband, and more. Advertisement Advice 8 tips to improve your Wi-Fi 8 tips to improve your Wi-Fi So you can work from home better. COVID-19 scams and malware Key things to look out for to stay safe online. Advertisement Web My Contact Us Online Security Telstra Media Privacy Terms of Use Copyright & Trademark Telstra Media"
60350,20200522,media.telstra.com.au,http://media.telstra.com.au/home.html,text/html,text/html,en,"Telstra Media - Video, Sport, Music and Entertainment tmedia Skip to main content Telstra.com Personal Small Business Business & Enterprise Health About Us Contact Us My Account Webmail Telstra Media Web Web Mail My Account AFL NRL Netball Telstra TV Foxtel Movies Apple Music My Telstra Callertones AFL NRL Netball Telstra TV Foxtel Movies Apple Music My Telstra Callertones Main content Telstra Media - Video, Sport, Music and Entertainment Advertisement News Pakistan flight crashes with 98 on board23/58/2020 A jetliner carrying 98 people has crashed in a crowded neighbourhood near the airport in Karachi after an apparent engine failure during landing. Top Stories Trump calls to reopen house of worship Lawyer drops Biden sexual assault accuser client Dozens of Sydney residents evacuated after large factory fire breaks out Khashoggi's sons forgive Saudi killers, sparing five from execution Dozens of mammoth bones found at Mexico airport Account Log in now Webmail Check your email Advertisement Entertainment New to stream this week New to stream this week New comedy, drama and more available now on Telstra TV. Advertisement Sport Walker cops ban, club fined over street fight22/18/2020 South Sydney Rabbitohs star Cody Walker has been hit with a two match suspension for his involvement in a street fight. NRL and the referees' union end their dispute NRL clubs support Warriors' bid for loan players What Longley really thinks of Michael Jordan Raiders star gains permission to meet rival clubs Aussie tennis legend Ashley Cooper dies aged 83 AFL Your club's best draft smokey of the 21st century 'You're dealing with super high-quality people': The tough calls clubs are making Fixture Throwback: Watch the highlights from old classics Sliding Doors: IF the Joe-to-Swans project in 2019 was full of lies ... THEN Surf's off, golf unlikely: AFL finalising protocols for teams on the Gold Coast Umps set for 14-day isolation as R2 Showdown looms Members in the stands? Pies float cardboard cutout idea Tech News Every way we can help during COVID-19 Every way we can help during COVID-19 Assistance for Telstra customers, small businesses, and more. Telstra and COVID-19: we can help Extra data on mobile and broadband, and more. Advertisement Advice 8 tips to improve your Wi-Fi 8 tips to improve your Wi-Fi So you can work from home better. COVID-19 scams and malware Key things to look out for to stay safe online. Advertisement Web My Contact Us Online Security Telstra Media Privacy Terms of Use Copyright & Trademark Telstra Media"
61497,20200529,media.telstra.com.au,http://media.telstra.com.au/home.html,text/html,text/html,en,"Telstra Media - Video, Sport, Music and Entertainment tmedia Skip to main content Telstra.com Personal Small Business Business & Enterprise Health About Us Contact Us My Account Webmail Telstra Media Web Web Mail My Account AFL NRL Netball Telstra TV Foxtel Movies Apple Music My Telstra Callertones AFL NRL Netball Telstra TV Foxtel Movies Apple Music My Telstra Callertones Main content Telstra Media - Video, Sport, Music and Entertainment Advertisement News Police officer charged with murder in death of George Floyd30/22/2020 A Minnesota prosecutor has charged a police officer Derek Chauvin with third-degree murder and manslaughter in the restraint death of George Floyd. Top Stories Coronavirus: WA to allow gatherings of up to 100 people QLD town sewage tested for coronavirus source Trump revoking Hong Kong's special trading status Obama slams 'normalisation' of black death in custody Rich Latin Americans 'spread' coronavirus to poor Account Log in now Webmail Check your email Advertisement Entertainment Stream these tonight on Telstra TV Stream these tonight on Telstra TV Australia’s newest streaming service, footy fever, feelgood movies or new comedy series. Binge, new on Telstra TV Binge, new on Telstra TV 10,000+ hours of the best local and international drama and movies. Advertisement Sport Sharks star on track to return against Tigers 29/08/2020 Sharks fullback Matt Moylan is a good chance to make his NRL return against the Wests Tigers at Bankwest Stadium on Saturday. Roosters spoil Latrell's revenge party Roosters star pays tribute to Bronson Xerri Legends clash over Inglis Origin return Titans slump to new low in brutal defeat Kyrgios set for tennis return amid COVID-19 AFL Swan hits the books as 'part-time teacher' during iso Who missed the R1 cut, and will they make it back? Fixture Throwback: Watch the highlights from old classics Guess who's just joined: AFL stars to ride 'Big Freeze' slide NAB League eyes late-season return Forgotten defender back on track, but two fresh concerns for Pies Will he or won't he? Flag Eagle still weighing up move to hub Tech News Keeping the world online during COVID-19 Keeping the world online during COVID-19 With our international subsea cables. Telstra 5G Wi-Fi Pro Meet our best 5G mobile broadband device yet. Advertisement Advice A new affordable home broadband discount A new affordable home broadband discount For low-income families with school-aged kids.. Opportunities post-COVID 5 key areas with significant opportunities. Advertisement Web My Contact Us Online Security Telstra Media Privacy Terms of Use Copyright & Trademark Telstra Media"
71052,20200529,media.telstra.com.au,http://media.telstra.com.au/home.html,text/html,text/html,en,"Telstra Media - Video, Sport, Music and Entertainment tmedia Skip to main content Telstra.com Personal Small Business Business & Enterprise Health About Us Contact Us My Account Webmail Telstra Media Web Web Mail My Account AFL NRL Netball Telstra TV Foxtel Movies Apple Music My Telstra Callertones AFL NRL Netball Telstra TV Foxtel Movies Apple Music My Telstra Callertones Main content Telstra Media - Video, Sport, Music and Entertainment Advertisement News Police officer charged with murder in death of George Floyd30/22/2020 A Minnesota prosecutor has charged a police officer Derek Chauvin with third-degree murder and manslaughter in the restraint death of George Floyd. Top Stories US 'terminates' relationship with WHO QLD town sewage tested for coronavirus source Trump revoking Hong Kong's special trading status Obama slams 'normalisation' of black death in custody Rich Latin Americans 'spread' coronavirus to poor Account Log in now Webmail Check your email Advertisement Entertainment Stream these tonight on Telstra TV Stream these tonight on Telstra TV Australia’s newest streaming service, footy fever, feelgood movies or new comedy series. Binge, new on Telstra TV Binge, new on Telstra TV 10,000+ hours of the best local and international drama and movies. Advertisement Sport Sharks star on track to return against Tigers 29/08/2020 Sharks fullback Matt Moylan is a good chance to make his NRL return against the Wests Tigers at Bankwest Stadium on Saturday. Roosters spoil Latrell's revenge party Roosters star pays tribute to Bronson Xerri Legends clash over Inglis Origin return Titans slump to new low in brutal defeat Kyrgios set for tennis return amid COVID-19 AFL Swan hits the books as 'part-time teacher' during iso Who missed the R1 cut, and will they make it back? Fixture Throwback: Watch the highlights from old classics Guess who's just joined: AFL stars to ride 'Big Freeze' slide NAB League eyes late-season return Forgotten defender back on track, but two fresh concerns for Pies Will he or won't he? Flag Eagle still weighing up move to hub Tech News Keeping the world online during COVID-19 Keeping the world online during COVID-19 With our international subsea cables. Telstra 5G Wi-Fi Pro Meet our best 5G mobile broadband device yet. Advertisement Advice A new affordable home broadband discount A new affordable home broadband discount For low-income families with school-aged kids.. Opportunities post-COVID 5 key areas with significant opportunities. Advertisement Web My Contact Us Online Security Telstra Media Privacy Terms of Use Copyright & Trademark Telstra Media"
80219,20200605,media.telstra.com.au,http://media.telstra.com.au/home.html,text/html,text/html,en,"Telstra Media - Video, Sport, Music and Entertainment tmedia Skip to main content Telstra.com Personal Small Business Business & Enterprise Health About Us Contact Us My Account Webmail Telstra Media Web Web Mail My Account AFL NRL Netball Telstra TV Foxtel Movies Apple Music My Telstra Callertones AFL NRL Netball Telstra TV Foxtel Movies Apple Music My Telstra Callertones Main content Telstra Media - Video, Sport, Music and Entertainment Advertisement News Trump invokes Floyd's name as he boasts of jobs report06/32/2020 US president sparks anger by saying the man whose death has sparked riots would be ""looking down right now and saying this is a great thing for our country"". Top Stories Trump putting words in George Floyd's mouth is 'despicable': Biden George Floyd's friend describes his last moments Entire Swedish spa village on sale for $10 million US billionaires collect $811 billion as average Americans struggle 'No progress' in latest Brexit talks Account Log in now Webmail Check your email Advertisement Entertainment Nominate an inspirational music teacher Nominate an inspirational music teacher For the 2020 Telstra ARIA Music Teacher Award. What to watch tonight What to watch tonight Action-packed blockbusters, romantic comedies, and mysterious dramas - all on Telstra TV. Advertisement Sport McCarthy returns to training after shock collapse05/20/2020 Two days after collapsing during a non-contact training session, Fremantle forward Cam McCarthy has returned to the track with his AFL teammates. 'You should be glad you didn't play in the 80's, Gal' Legend heaps praise on Latrell's big game Storm punish error-ridden South Sydney Panthers claim top spot after Warriors rout UFC 250 Ultimate guide: Everything you need to know AFL Fixture Throwback: Watch the highlights from round one AFL, ASADA agree to alter protocols around testing Ban lifted: Draftee interviews back on Switch to Mitch? Hawks undecided on forward set-up for Cats 'I love the thought of a full Grand Final': McLachlan LISTEN: Round two Fantasy Q&A Docker back at training after scary collapse Tech News Our IoT networks are joining the 5G family Our IoT networks are joining the 5G family Future-proofing for years to come. Delivering 5G ahead of schedule 47 Australian cities are now enjoying Telstra 5G. Advertisement Advice #NRW2020 – supporting Indigenous communities #NRW2020 – supporting Indigenous communities There is a lot more to do and Telstra is determined to play a role in creating a fairer, more equal Australia. A new affordable home broadband discount For low-income families with school-aged kids. Advertisement Web My Contact Us Online Security Telstra Media Privacy Terms of Use Copyright & Trademark Telstra Media"
90516,20200612,media.telstra.com.au,http://media.telstra.com.au/home.html,text/html,text/html,en,"Telstra Media - Video, Sport, Music and Entertainment tmedia Skip to main content Telstra.com Personal Small Business Business & Enterprise Health About Us Contact Us My Account Webmail Telstra Media Web Web Mail My Account AFL NRL Netball Telstra TV Foxtel Movies Apple Music My Telstra Callertones AFL NRL Netball Telstra TV Foxtel Movies Apple Music My Telstra Callertones Main content Telstra Media - Video, Sport, Music and Entertainment Advertisement News Police surround Captain Cook statue as they move on banned protesters12/17/2020 Police have surrounded a statue of Captain James Cook in a Sydney park as they continue to disperse protesters who gathered for a Black Lives Matter rally. Top Stories Experts puzzled after ancient Indian lake turns pink Polio vaccine could help protect against coronavirus: experts Mark Zuckerberg 'disgusted' by Trump's comments Governor's statue spray-painted in Perth ahead of protest Boarding up UK Churchill statue 'shameful' Account Log in now Webmail Check your email Advertisement Entertainment The Footy is back in 2020, again! The Footy is back in 2020, again! Two great offers to get you back into the game. What to watch on Telstra TV What to watch on Telstra TV Stream the latest movies, drama and live sport available right now. Advertisement Sport 'The kid's got skill': Cowboys prodigy impresses on debut12/34/2020 Hamiso Tabuai-Fidow had huge expectations upon him ahead of his debut against the Warriors, and the teen freak didn't disappoint. Hawks star in strife following sling tackle Cats veterans shine in Hawks thrashing Parramatta burn Penrith with second-half blitz Eels and Panthers take a knee in support of BLM Three more Formula One races cancelled AFL ON DEMAND NOW: It's not tanking. Royalty's new stand. Lloydy's List Clarko slams his 'fourth-rate' midfield brigade BLOG RECAP: Geelong v Hawthorn as it happened Cats celebrate Paddy party with big win over old rivals Young Demons forwards suspended for breaching COVID-19 protocols PM approves crowds of 10,000 from July, but there's a catch TEAMS: Star Bombers confirmed, Dogs swing five changes Tech News What’s new in the My Telstra App What’s new in the My Telstra App New features to make it even easier for you to manage your Telstra services – and even nab a few rewards along the way. The Oppo Find X2 Pro Hands-on with this eye-popping beauty. Advertisement Advice How to pivot your business How to pivot your business Innovating during challenging times. How to set up the best multi-screen sport experience Sports are back! Advertisement Web My Contact Us Online Security Telstra Media Privacy Terms of Use Copyright & Trademark Telstra Media"
101707,20200619,media.telstra.com.au,http://media.telstra.com.au/home.html,text/html,text/html,en,"Telstra Media - Video, Sport, Music and Entertainment tmedia Skip to main content Telstra.com Personal Small Business Business & Enterprise Health About Us Contact Us My Account Webmail Telstra Media Web Web Mail My Account AFL NRL Netball Telstra TV Foxtel Movies Apple Music My Telstra Callertones AFL NRL Netball Telstra TV Foxtel Movies Apple Music My Telstra Callertones Main content Telstra Media - Video, Sport, Music and Entertainment Advertisement News Man charged with murder of Auckland cop20/31/2020 A man has been charged with murder after the fatal shooting of a police officer in New Zealand. Top Stories Trump threatens protesters ahead of Tulsa rally Officer involved in Breonna Taylor shooting to be fired Trudeau: 'Disappointed' with China spying charges Italy 'may have had COVID-19 as early as December 2019' Statues torn down as US marks Juneteenth Account Log in now Webmail Check your email Advertisement Entertainment What to watch on Telstra TV What to watch on Telstra TV Stream the latest movies, drama and live sport available right now. More sports, more screens More sports, more screens How to set up the best multi-screen sport experience. Advertisement Sport Mitchell cops backlash over try-saving hit19/10/2020 Latrell Mitchell might have something to answer for after appearing to catch David Fusitu'a with a high shot. Smith filthy with Storm over 'soft' Kikau winner Panthers see off Storm in Friday night thriller Dogs get revenge as fiery brawl erupts Warrior in strife over potential Mitchell eye gauge Footage emerges of emotional Latrell AFL 'It was peculiar ... it was strange': Bevo bemused at controversial coin toss Gun Giant concussed after heavy hit in spiteful clash Biting back: Giants fall victim to Dog attack UPDATE: Border rules may change SA clubs' hub stay, Eagles demand clarity Gym accident unlikely to derail Hogan's Freo return Giants lose star midfielder for clash with Dogs TEAMS: Dees axe former skipper, big Docker back Tech News Telstra weeks away from carbon neutral Telstra weeks away from carbon neutral How all businesses can lead change. The Oppo Find X2 Neo Premium features for less, only on Telstra. Advertisement Advice Supporting youth mental health Supporting youth mental health A $2M mental health relief package to support ReachOut and Orygen programs. The new leadership style How to lead change and innovation. Advertisement Web My Contact Us Online Security Telstra Media Privacy Terms of Use Copyright & Trademark Telstra Media"
