,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
6677,20200417,metacafe.com,https://www.metacafe.com/embed/$1/?ap=1,text/html,text/html,en,/ Embed Player This content is temporarily not available. Please come back later 0:14 Great Khali's Video Message Gets Interrupted By His Daughter Random Stuffs 17 Apr 2020 30 0:09 Exactly Why Kids Shouldn't Drive Forklifts Trending Web 17 Apr 2020 13 0:09 Exactly Why Kids Shouldn't Drive Forklifts Trending Web 17 Apr 2020 13 0:27 Indian Cops Can Be Really Stupid popular content 17 Apr 2020 17 0:26 Cutest Doggo Father And Child Daily Dosage 17 Apr 2020 17 0:10 Catto Does A Nice Drift engage time 17 Apr 2020 18
13719,20200424,metacafe.com,https://www.metacafe.com/embed/$1/?ap=1,text/html,text/html,en,/ Embed Player This content is temporarily not available. Please come back later 0:12 Cute Newborn Puppy Finally Opens It's Eyes! popular content 24 Apr 2020 171 0:15 Don't Tell Me There's No Magic! engage time 24 Apr 2020 216 0:15 Don't Tell Me There's No Magic! engage time 24 Apr 2020 216 0:16 Stupid Guys Trying Motorcycle Stunts discoverweb 24 Apr 2020 195 0:16 Stupid Guys Trying Motorcycle Stunts discoverweb 24 Apr 2020 195 0:16 Stupid Guys Trying Motorcycle Stunts discoverweb 24 Apr 2020 195
18136,20200504,metacafe.com,https://www.metacafe.com/embed/$1/?ap=1,text/html,text/html,en,/ Embed Player This content is temporarily not available. Please come back later 0:11 People Doing Weird Stuff In Quarantine Trending Web 4 May 2020 95 0:20 Satisfying Solar Panel Cleaning contentguru 4 May 2020 37 0:53 Kid Practicing Driving At Home Funny Contents 4 May 2020 44 0:41 Are Not Dogs Suppose To Brave? Random Stuffs 4 May 2020 35 0:24 Avalanche At A Swiss Army Base viralposts 4 May 2020 30 0:08 It That A Bear Or Just A Dog? discoverweb 4 May 2020 50
23921,20200515,metacafe.com,https://www.metacafe.com/embed/$1/?ap=1,text/html,text/html,en,/ Embed Player This content is temporarily not available. Please come back later 0:38 Oldman Feeding Water To A Street Dog Funny Contents 15 May 2020 2 0:38 Oldman Feeding Water To A Street Dog Funny Contents 15 May 2020 2 0:19 When Risk-Taking Goes Wrong Life On Internet 15 May 2020 4 0:13 Going Shopping With A Possum popular content 15 May 2020 2 0:15 A Bored Cat In Quarantine discoverweb 15 May 2020 6 0:09 A Different Kind Of Ball Game Trending Web 15 May 2020 0
23924,20200515,metacafe.com,https://www.metacafe.com/fplayer/,text/html,text/html,en,"'Channel 'fplayer' is temporarily not available' 			 Home Latest Popular Trending Categories Art Animation Comedy Cool Commercials Cooking Entertainment How To Music & Dance News & Events People & Stories Pets & Animals Science & Tech Sports Travel & Outdoors Video Games Wheels & Wings Other 18+ Only Fashion Log in / Sign up Latest Popular Trending Categories Art Animation Comedy Cool Commercials Cooking Entertainment How To Music & Dance News & Events People & Stories Pets & Animals Science & Tech Sports Travel & Outdoors Video Games Wheels & Wings Other 18+ Only Fashion Latest Popular Trending Channel is temporarily not available 10 000 posts 100 000 subscribers 10 M views This channel ""fplayer"" is temporarily not available. Please come back later Most Popular VIDEOS GALLERIES 0:14 A Fun Waste Of Champagne Daily Dosage Subscribe Unsubscribe 589 16 Apr 2019 2 401 837 Share Video Tweet Share on Facebook HTML-code: Copy 0:35 Even The Horse Showed It's Sympathy For The Girl Who Just Couldn't Climb Up Random Stuffs Subscribe Unsubscribe 550 12 Jun 2017 416 897 Share Video Tweet Share on Facebook HTML-code: Copy 1:06 ""Dress Like A Woman, They Won't Notice"" Spicy Entertainer Subscribe Unsubscribe 1800 11 Aug 2019 1 306 903 Share Video Tweet Share on Facebook HTML-code: Copy 0:12 Back With The Tiktok Stupidity contentguru Subscribe Unsubscribe 2781 8 Apr 2020 89 404 Share Video Tweet Share on Facebook HTML-code: Copy 0:20 That Moment When Your Girlfriend Turns Out To Be A Boxer contentguru Subscribe Unsubscribe 2781 25 Oct 2019 379 368 Share Video Tweet Share on Facebook HTML-code: Copy 0:46 Fish Caught By The Hair Random Stuffs Subscribe Unsubscribe 550 1 Jan 2019 99 947 Share Video Tweet Share on Facebook HTML-code: Copy 0:27 This Guy's Level Of Confidence In Dancing Is Outstanding! discoverweb Subscribe Unsubscribe 617 2 Mar 2020 23 222 Share Video Tweet Share on Facebook HTML-code: Copy 0:13 That One Friend Who Leaves You After Getting A Girl Daily Dosage Subscribe Unsubscribe 589 29 Jan 2020 21 453 Share Video Tweet Share on Facebook HTML-code: Copy 0:10 Damn, That's A Long Tongue! Trending Web Subscribe Unsubscribe 413 30 Apr 2020 9 494 Share Video Tweet Share on Facebook HTML-code: Copy 0:43 Beware Of Pickpocketers Like This popular content Subscribe Unsubscribe 476 30 Nov 2019 38 138 Share Video Tweet Share on Facebook HTML-code: Copy 27 photos If You Look Once, You'll Miss Out On Stuff Daily Dosage 5 Nov 2019 516 016 Share Gallery Tweet Share on Facebook 25 photos Just Let These Pictures Do The Explaining! Funny Contents 20 Feb 2020 251 171 Share Gallery Tweet Share on Facebook 27 photos Wait A Minute, What Even Is Going On Here!? Random Stuffs 28 Mar 2020 199 043 Share Gallery Tweet Share on Facebook 27 photos Hold Up, What The Hell Is Going On!? Daily Dosage 24 Mar 2020 196 629 Share Gallery Tweet Share on Facebook 22 photos Facts That Will Make Your Showers Filled With Knowledge! Spicy Entertainer 23 Mar 2020 176 006 Share Gallery Tweet Share on Facebook 27 photos These People Have Unlocked The Highest Level Of Life Hacks! mixtures zone 27 Feb 2020 240 493 Share Gallery Tweet Share on Facebook 25 photos Oops Won't Be Enough For These Mistakes Daily Dosage 4 May 2020 45 887 Share Gallery Tweet Share on Facebook 18 photos What They Show You Online Vs What You Get popular content 29 Mar 2020 167 795 Share Gallery Tweet Share on Facebook 26 photos There Is Crazy, There Is Uber Crazy And Then There Is This Life On Internet 2 Apr 2020 162 942 Share Gallery Tweet Share on Facebook 26 photos Do You Think You Are Having A Bad Day? Think Again! engage time 7 Apr 2020 169 582 Share Gallery Tweet Share on Facebook Recommended Channels 0:22 Trying To Get Back To Routine After A Weekend Funny Contents Subscribe Unsubscribe 432 Share channel Tweet Share on Facebook 0:10 Damn, That's A Long Tongue! Trending Web Subscribe Unsubscribe 413 Share channel Tweet Share on Facebook 0:27 Shaving Hair Looks Satisfying! discoverweb Subscribe Unsubscribe 617 Share channel Tweet Share on Facebook 0:10 Sometimes The Stairs Are Unhealthy mixtures zone Subscribe Unsubscribe 565 Share channel Tweet Share on Facebook 0:30 No Gear? Check, Stupidity? Check viralposts Subscribe Unsubscribe 1371 Share channel Tweet Share on Facebook 0:28 Passing The Flour Is The Latest Game contentguru Subscribe Unsubscribe 2781 Share channel Tweet Share on Facebook All Rights Reserved. © 2020 Metacafe, LLC. Your Account Playlists Subscriptions Location: US Policy & Terms Terms Privacy Policy Behavioral Targeting Submission Rules Metacafe House Rules Do Not Sell My Personal Information Work With Us Advertisers Contact Us About Us"
60268,20200522,metacafe.com,https://www.metacafe.com/embed/$1/?ap=1,text/html,text/html,en,/ Embed Player This content is temporarily not available. Please come back later 0:26 Most Entertaining Seesawing Ever contentguru 22 May 2020 0 0:07 Bottle Flipping Challenge By A Freaky Girl popular content 22 May 2020 183 0:14 A Modern Microscopic Camera discoverweb 22 May 2020 148 0:17 Chimpanzee Checking Out A Lion Cub Daily Dosage 22 May 2020 141 0:11 A Painting To Impress Anybody engage time 22 May 2020 69 0:04 Never Try A Flip Jump With A Heavy Head Trending Web 22 May 2020 113
61537,20200529,metacafe.com,https://www.metacafe.com/embed/$1/?ap=1,text/html,text/html,en,"/ Embed Player This content is temporarily not available. Please come back later 0:45 Leopard, Humans, And Dogs mixtures zone 29 May 2020 6 0:45 Leopard, Humans, And Dogs mixtures zone 29 May 2020 6 0:39 Remember The Balancing Dolls? Spicy Entertainer 29 May 2020 9 0:10 A Cow That Loves Selfies Random Stuffs 29 May 2020 4 0:06 How A Bulldog Likes To Drink viralposts 29 May 2020 3 0:06 How A Bulldog Likes To Drink viralposts 29 May 2020 3"
71077,20200529,metacafe.com,https://www.metacafe.com/embed/$1/?ap=1,text/html,text/html,en,"/ Embed Player This content is temporarily not available. Please come back later 0:45 Leopard, Humans, And Dogs mixtures zone 29 May 2020 14 0:45 Leopard, Humans, And Dogs mixtures zone 29 May 2020 14 0:39 Remember The Balancing Dolls? Spicy Entertainer 29 May 2020 20 0:10 A Cow That Loves Selfies Random Stuffs 29 May 2020 21 0:06 How A Bulldog Likes To Drink viralposts 29 May 2020 19 0:06 How A Bulldog Likes To Drink viralposts 29 May 2020 19"
80202,20200605,metacafe.com,https://www.metacafe.com/embed/$1/?ap=1,text/html,text/html,en,"/ Embed Player This content is temporarily not available. Please come back later 0:53 It’s National Doughnut Day! LifeMinute 5 Jun 2020 31 0:44 A Cat Goalkeeper mixtures zone 5 Jun 2020 165 0:09 Shaolin Movie Stunt In Real Life engage time 5 Jun 2020 167 0:07 Norway, A Mesmerizing Hiking Place viralposts 5 Jun 2020 80 0:30 Old Wrestler Is Still The Best Daily Dosage 5 Jun 2020 124 0:11 Dad Loves To Laugh Out Loud Random Stuffs 5 Jun 2020 155"
90587,20200612,metacafe.com,https://www.metacafe.com/embed/$1/?ap=1,text/html,text/html,en,/ Embed Player This content is temporarily not available. Please come back later 0:15 Baby Orangutan Relaxing In The Bath Daily Dosage 12 Jun 2020 306 0:15 Baby Orangutan Relaxing In The Bath Daily Dosage 12 Jun 2020 306 0:47 Ever Seen A Steam-Powered Bike? popular content 12 Jun 2020 190 0:47 Ever Seen A Steam-Powered Bike? popular content 12 Jun 2020 190 0:22 How To Punish Your Cat contentguru 12 Jun 2020 245 0:22 How To Punish Your Cat contentguru 12 Jun 2020 245
