,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
2355,20200408,music.youtube.com,https://music.youtube.com/,text/html,text/html,en,"Your browser is deprecated. Please upgrade. Sorry, YouTube Music is not optimized for your browser. Check for updates or try Google Chrome. Get Chrome"
13011,20200424,music.youtube.com,https://music.youtube.com/,text/html,text/html,en,"Your browser is deprecated. Please upgrade. Sorry, YouTube Music is not optimized for your browser. Check for updates or try Google Chrome. Get Chrome"
51597,20200523,music.youtube.com,https://music.youtube.com/,text/html,text/html,en,"Your browser is deprecated. Please upgrade. Sorry, YouTube Music is not optimized for your browser. Check for updates or try Google Chrome. Get Chrome"
56262,20200530,music.youtube.com,https://music.youtube.com/,text/html,text/html,en,"Your browser is deprecated. Please upgrade. Sorry, YouTube Music is not optimized for your browser. Check for updates or try Google Chrome. Get Chrome"
82569,20200605,music.youtube.com,https://music.youtube.com/,text/html,text/html,en,"Your browser is deprecated. Please upgrade. Sorry, YouTube Music is not optimized for your browser. Check for updates or try Google Chrome. Get Chrome"
91984,20200612,music.youtube.com,https://music.youtube.com/,text/html,text/html,en,"Your browser is deprecated. Please upgrade. Sorry, YouTube Music is not optimized for your browser. Check for updates or try Google Chrome. Get Chrome"
103278,20200619,music.youtube.com,https://music.youtube.com/,text/html,text/html,en,"Your browser is deprecated. Please upgrade. Sorry, YouTube Music is not optimized for your browser. Check for updates or try Google Chrome. Get Chrome"
105587,20200626,music.youtube.com,https://music.youtube.com/,text/html,text/html,en,"Your browser is deprecated. Please upgrade. Sorry, YouTube Music is not optimized for your browser. Check for updates or try Google Chrome. Get Chrome"
123634,20200703,music.youtube.com,https://music.youtube.com/,text/html,text/html,en,"Your browser is deprecated. Please upgrade. Sorry, YouTube Music is not optimized for your browser. Check for updates or try Google Chrome. Get Chrome"
134895,20200710,music.youtube.com,https://music.youtube.com/,text/html,text/html,en,"Your browser is deprecated. Please upgrade. Sorry, YouTube Music is not optimized for your browser. Check for updates or try Google Chrome. Get Chrome"
144422,20200717,music.youtube.com,https://music.youtube.com/,text/html,text/html,en,"Your browser is deprecated. Please upgrade. Sorry, YouTube Music is not optimized for your browser. Check for updates or try Google Chrome. Get Chrome"
154879,20200724,music.youtube.com,https://music.youtube.com/,text/html,text/html,en,"Your browser is deprecated. Please upgrade. Sorry, YouTube Music is not optimized for your browser. Check for updates or try Google Chrome. Get Chrome"
165787,20200731,music.youtube.com,https://music.youtube.com/,text/html,,,
176715,20200807,music.youtube.com,https://music.youtube.com/,text/html,text/html,en,"Your browser is deprecated. Please upgrade. Sorry, YouTube Music is not optimized for your browser. Check for updates or try Google Chrome. Get Chrome"
187664,20200814,music.youtube.com,https://music.youtube.com/,text/html,,,
200461,20200821,music.youtube.com,https://music.youtube.com/,text/html,text/html,en,"Your browser is deprecated. Please upgrade. Sorry, YouTube Music is not optimized for your browser. Check for updates or try Google Chrome. Get Chrome"
212363,20200828,music.youtube.com,https://music.youtube.com/,text/html,,,
224737,20200904,music.youtube.com,https://music.youtube.com/,text/html,text/html,en,"Your browser is deprecated. Please upgrade. Sorry, YouTube Music is not optimized for your browser. Check for updates or try Google Chrome. Get Chrome"
238044,20200911,music.youtube.com,https://music.youtube.com/,text/html,,,
249366,20200918,music.youtube.com,https://music.youtube.com/,text/html,text/html,en,"Your browser is deprecated. Please upgrade. Sorry, YouTube Music is not optimized for your browser. Check for updates or try Google Chrome. Get Chrome"
261790,20200925,music.youtube.com,https://music.youtube.com/,text/html,text/html,en,"Your browser is deprecated. Please upgrade. Sorry, YouTube Music is not optimized for your browser. Check for updates or try Google Chrome. Get Chrome"
272756,20201002,music.youtube.com,https://music.youtube.com/,text/html,,,
285041,20201009,music.youtube.com,https://music.youtube.com/,text/html,,,
296878,20201016,music.youtube.com,https://music.youtube.com/,text/html,,,
308604,20201023,music.youtube.com,https://music.youtube.com/,text/html,text/html,en,"Your browser is deprecated. Please upgrade. Sorry, YouTube Music is not optimized for your browser. Check for updates or try Google Chrome. Get Chrome"
320760,20201030,music.youtube.com,https://music.youtube.com/,text/html,,,
331866,20201106,music.youtube.com,https://music.youtube.com/,text/html,text/html,en,"YouTube Music | Open the world of music Your browser is deprecated. Please upgrade. Sorry, YouTube Music is not optimized for your browser. Check for updates or try Google Chrome. Get Chrome"
343576,20201113,music.youtube.com,https://music.youtube.com/,text/html,,,
354258,20201120,music.youtube.com,https://music.youtube.com/,text/html,text/html,en,"YouTube Music | Open the world of music Your browser is deprecated. Please upgrade. Sorry, YouTube Music is not optimized for your browser. Check for updates or try Google Chrome. Get Chrome"
365960,20201127,music.youtube.com,https://music.youtube.com/,text/html,text/html,en,"YouTube Music | Open the world of music Your browser is deprecated. Please upgrade. Sorry, YouTube Music is not optimized for your browser. Check for updates or try Google Chrome. Get Chrome"
375461,20201204,music.youtube.com,https://music.youtube.com/,text/html,text/html,en,"YouTube Music | Open the world of music Your browser is deprecated. Please upgrade. Sorry, YouTube Music is not optimized for your browser. Check for updates or try Google Chrome. Get Chrome"
521767,20210319,music.youtube.com,https://music.youtube.com/,text/html,text/html,en,"Your browser is deprecated. Please upgrade. Sorry, YouTube Music is not optimized for your browser. Check for updates or try Google Chrome. Get Chrome"
531883,20210326,music.youtube.com,https://music.youtube.com/,text/html,text/html,en,"Your browser is deprecated. Please upgrade. Sorry, YouTube Music is not optimized for your browser. Check for updates or try Google Chrome. Get Chrome"
541124,20210402,music.youtube.com,https://music.youtube.com/,text/html,text/html,en,"Your browser is deprecated. Please upgrade. Sorry, YouTube Music is not optimized for your browser. Check for updates or try Google Chrome. Get Chrome"
