,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
64760,20200527,my.nicheacademy.com,https://my.nicheacademy.com/favicon.ico,text/html,,,
64761,20200527,my.nicheacademy.com,https://my.nicheacademy.com/,text/html,,,
64775,20200529,my.nicheacademy.com,https://my.nicheacademy.com/favicon.ico,text/html,,,
64777,20200529,my.nicheacademy.com,https://my.nicheacademy.com/,text/html,,,
73187,20200529,my.nicheacademy.com,https://my.nicheacademy.com/favicon.ico,text/html,,,
73190,20200529,my.nicheacademy.com,https://my.nicheacademy.com/,text/html,,,
82445,20200605,my.nicheacademy.com,https://my.nicheacademy.com/favicon.ico,text/html,,,
82456,20200605,my.nicheacademy.com,https://my.nicheacademy.com/,text/html,,,
92723,20200612,my.nicheacademy.com,https://my.nicheacademy.com/favicon.ico,text/html,,,
92724,20200612,my.nicheacademy.com,https://my.nicheacademy.com/,text/html,,,
103935,20200619,my.nicheacademy.com,https://my.nicheacademy.com/favicon.ico,text/html,,,
103936,20200619,my.nicheacademy.com,https://my.nicheacademy.com/,text/html,,,
114164,20200626,my.nicheacademy.com,https://my.nicheacademy.com/favicon.ico,text/html,,,
114166,20200626,my.nicheacademy.com,https://my.nicheacademy.com/,text/html,,,
124627,20200703,my.nicheacademy.com,https://my.nicheacademy.com/favicon.ico,text/html,,,
124628,20200703,my.nicheacademy.com,https://my.nicheacademy.com/,text/html,,,
134882,20200710,my.nicheacademy.com,https://my.nicheacademy.com/favicon.ico,text/html,,,
134883,20200710,my.nicheacademy.com,https://my.nicheacademy.com/,text/html,,,
145406,20200717,my.nicheacademy.com,https://my.nicheacademy.com/favicon.ico,text/html,,,
145407,20200717,my.nicheacademy.com,https://my.nicheacademy.com/,text/html,,,
155893,20200724,my.nicheacademy.com,https://my.nicheacademy.com/favicon.ico,text/html,,,
155894,20200724,my.nicheacademy.com,https://my.nicheacademy.com/,text/html,,,
166837,20200731,my.nicheacademy.com,https://my.nicheacademy.com/favicon.ico,text/html,,,
166838,20200731,my.nicheacademy.com,https://my.nicheacademy.com/,text/html,,,
177767,20200807,my.nicheacademy.com,https://my.nicheacademy.com/favicon.ico,text/html,,,
177768,20200807,my.nicheacademy.com,https://my.nicheacademy.com/,text/html,,,
188650,20200814,my.nicheacademy.com,https://my.nicheacademy.com/favicon.ico,text/html,,,
188651,20200814,my.nicheacademy.com,https://my.nicheacademy.com/,text/html,,,
201457,20200821,my.nicheacademy.com,https://my.nicheacademy.com/favicon.ico,text/html,,,
201461,20200821,my.nicheacademy.com,https://my.nicheacademy.com/,text/html,,,
213387,20200828,my.nicheacademy.com,https://my.nicheacademy.com/favicon.ico,text/html,,,
213388,20200828,my.nicheacademy.com,https://my.nicheacademy.com/,text/html,,,
225669,20200904,my.nicheacademy.com,https://my.nicheacademy.com/favicon.ico,text/html,,,
225671,20200904,my.nicheacademy.com,https://my.nicheacademy.com/,text/html,,,
238769,20200911,my.nicheacademy.com,https://my.nicheacademy.com/favicon.ico,text/html,,,
238786,20200911,my.nicheacademy.com,https://my.nicheacademy.com/,text/html,,,
249655,20200918,my.nicheacademy.com,https://my.nicheacademy.com/favicon.ico,text/html,,,
249656,20200918,my.nicheacademy.com,https://my.nicheacademy.com/,text/html,,,
262072,20200925,my.nicheacademy.com,https://my.nicheacademy.com/favicon.ico,text/html,,,
262075,20200925,my.nicheacademy.com,https://my.nicheacademy.com/,text/html,,,
273587,20201002,my.nicheacademy.com,https://my.nicheacademy.com/favicon.ico,text/html,,,
273588,20201002,my.nicheacademy.com,https://my.nicheacademy.com/,text/html,,,
286021,20201009,my.nicheacademy.com,https://my.nicheacademy.com/favicon.ico,text/html,,,
286022,20201009,my.nicheacademy.com,https://my.nicheacademy.com/,text/html,,,
297799,20201016,my.nicheacademy.com,https://my.nicheacademy.com/favicon.ico,text/html,,,
297800,20201016,my.nicheacademy.com,https://my.nicheacademy.com/,text/html,,,
309514,20201023,my.nicheacademy.com,https://my.nicheacademy.com/favicon.ico,text/html,,,
309516,20201023,my.nicheacademy.com,https://my.nicheacademy.com/,text/html,,,
321711,20201030,my.nicheacademy.com,https://my.nicheacademy.com/favicon.ico,text/html,,,
321714,20201030,my.nicheacademy.com,https://my.nicheacademy.com/,text/html,,,
