,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
6237,20200417,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,text/html,,
13226,20200424,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
17867,20200504,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
21608,20200515,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
59269,20200522,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
59896,20200529,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
70741,20200529,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
79377,20200605,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
90205,20200612,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
101419,20200619,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
111233,20200626,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
121609,20200703,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
131837,20200710,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
142320,20200717,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
152780,20200724,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
163662,20200731,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
174735,20200807,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
185647,20200814,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
198491,20200821,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
209509,20200828,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
221459,20200904,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
234008,20200911,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
246611,20200918,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
257561,20200925,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
270219,20201002,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
281965,20201009,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
294175,20201016,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
306144,20201023,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
318212,20201030,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
330094,20201106,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
340981,20201113,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
351838,20201120,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
363282,20201127,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
374789,20201204,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
385662,20201211,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
394670,20201218,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
403958,20201225,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
413071,20210101,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
422311,20210108,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
431696,20210115,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
440928,20210122,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
450136,20210129,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
460277,20210205,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
470439,20210212,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
480637,20210219,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
491126,20210226,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
501012,20210305,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
511521,20210312,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
521553,20210319,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
531706,20210326,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
540925,20210402,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
551554,20210409,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
562056,20210416,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
572148,20210423,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
582538,20210430,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
592942,20210507,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
603570,20210514,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
613975,20210521,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
624564,20210529,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
634971,20210604,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
645585,20210611,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
656361,20210618,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
662211,20210625,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
667985,20210702,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
673941,20210709,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
679903,20210716,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
685854,20210723,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
691791,20210730,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
697486,20210806,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
703350,20210813,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
709862,20210820,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
716593,20210827,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
722945,20210903,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
728642,20210910,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
734346,20210917,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
740102,20210924,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
745860,20211001,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
751980,20211008,mycareer.niagaracollege.ca,https://mycareer.niagaracollege.ca/,text/html,,,
