,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
6239,20200417,ncteachingdistillery.ca,https://www.ncteachingdistillery.ca/,text/html,text/html,en,"Niagara College Teaching Distillery Skip to main content Toggle navigation NC Teaching Distillery Home Head Distiller Small Batch Spirits Study Here Contact Introducing Niagara College’s new Teaching Distillery in Niagara-on-the-Lake, Ontario. Our brand new, state-of-the-art 2,500 sq ft facility located at the Niagara-on-the-Lake campus features five stills, four mash tins and ten fermenters that will allow for on-site production of a wide variety of distilled products. The Artisan Distilling program at Niagara College provides students with an in-depth understanding of the scientific, technological and business aspects of distilling and fermentation. With space for just 20 students, the program is extremely competitive. Students will gain relevant skills, knowledge and experiences in the production cycle of distilled spirits, including production, testing/analysis, and packaging/merchandising. Our spirits are available in limited quantities and sold exclusively at the Wine Visitor + Education Centre. Distillery News The Distillery is closed until further notice. March 16, 2020 Dear Customers, please be advised that out of abundance of precaution against the COVID-19 outbreak we are CLOSING our retail operations until further notice. All tours and experiences booked during this time will be rescheduled once we reopen. Follow us on Instagram and Facebook for the latest updates (@nctbrewery). In case you require any further […] Niagara College Teaching Distillery unveils its first product January 24, 2019 School spirit is so strong at Niagara College, you can now find it in a bottle. On January 16, the College’s Teaching Distillery made history by releasing its inaugural product: Eau-de-vie de Fruits, Fruit Spirit. Its release marks many ‘firsts’ for the pre-emptive College, which launched Canada’s first postsecondary Artisan Distilling program in September 2018 […] Cocktail Club Content goes here. Sign Up Note: After clicking ""Sign Up"" you will be sent to our NC Teaching Winery site to purchase your Cocktail Club subscription. Something is wrong. Instagram token error. Load More About the Distillery Our Teaching Distillery located at the Niagara College Niagara-on-the-Lake campus. Students of our Artisan Distilling program have access to five stills, four mash tins and ten fermenters that allow for on-site production of a wide variety of distilled products. Where to buy Our first spirits will be launching late Fall 2018 and will be available to purchase at the Wine Visitor + Education Centre. Contact us Chetan Chandratre, Events Coordinator Phone—905 641-2252 ext. 4071 Email—[email protected] Please note that the Distillery is not open to the public. Follow us on Twitter Follow us on Instagram Email Us © Niagara College Canada. All Rights Reserved."
13228,20200424,ncteachingdistillery.ca,https://www.ncteachingdistillery.ca/,text/html,text/html,en,"Niagara College Teaching Distillery Skip to main content Toggle navigation NC Teaching Distillery Home Head Distiller Small Batch Spirits Study Here Contact Introducing Niagara College’s new Teaching Distillery in Niagara-on-the-Lake, Ontario. Our brand new, state-of-the-art 2,500 sq ft facility located at the Niagara-on-the-Lake campus features five stills, four mash tins and ten fermenters that will allow for on-site production of a wide variety of distilled products. The Artisan Distilling program at Niagara College provides students with an in-depth understanding of the scientific, technological and business aspects of distilling and fermentation. With space for just 20 students, the program is extremely competitive. Students will gain relevant skills, knowledge and experiences in the production cycle of distilled spirits, including production, testing/analysis, and packaging/merchandising. Our spirits are available in limited quantities and sold exclusively at the Wine Visitor + Education Centre. Distillery News The Distillery is closed until further notice. March 16, 2020 Dear Customers, please be advised that out of abundance of precaution against the COVID-19 outbreak we are CLOSING our retail operations until further notice. All tours and experiences booked during this time will be rescheduled once we reopen. Follow us on Instagram and Facebook for the latest updates (@nctbrewery). In case you require any further […] Niagara College Teaching Distillery unveils its first product January 24, 2019 School spirit is so strong at Niagara College, you can now find it in a bottle. On January 16, the College’s Teaching Distillery made history by releasing its inaugural product: Eau-de-vie de Fruits, Fruit Spirit. Its release marks many ‘firsts’ for the pre-emptive College, which launched Canada’s first postsecondary Artisan Distilling program in September 2018 […] Cocktail Club Content goes here. Sign Up Note: After clicking ""Sign Up"" you will be sent to our NC Teaching Winery site to purchase your Cocktail Club subscription. Something is wrong. Instagram token error. Load More About the Distillery Our Teaching Distillery located at the Niagara College Niagara-on-the-Lake campus. Students of our Artisan Distilling program have access to five stills, four mash tins and ten fermenters that allow for on-site production of a wide variety of distilled products. Where to buy Our first spirits will be launching late Fall 2018 and will be available to purchase at the Wine Visitor + Education Centre. Contact us Chetan Chandratre, Events Coordinator Phone—905 641-2252 ext. 4071 Email—[email protected] Please note that the Distillery is not open to the public. Follow us on Twitter Follow us on Instagram Email Us © Niagara College Canada. All Rights Reserved."
17874,20200504,ncteachingdistillery.ca,https://www.ncteachingdistillery.ca/,text/html,text/html,en,"Niagara College Teaching Distillery Skip to main content Toggle navigation NC Teaching Distillery Home Head Distiller Small Batch Spirits Study Here Contact Introducing Niagara College’s new Teaching Distillery in Niagara-on-the-Lake, Ontario. Our brand new, state-of-the-art 2,500 sq ft facility located at the Niagara-on-the-Lake campus features five stills, four mash tins and ten fermenters that will allow for on-site production of a wide variety of distilled products. The Artisan Distilling program at Niagara College provides students with an in-depth understanding of the scientific, technological and business aspects of distilling and fermentation. With space for just 20 students, the program is extremely competitive. Students will gain relevant skills, knowledge and experiences in the production cycle of distilled spirits, including production, testing/analysis, and packaging/merchandising. Our spirits are available in limited quantities and sold exclusively at the Wine Visitor + Education Centre. Distillery News The Distillery is closed until further notice. March 16, 2020 Dear Customers, please be advised that out of abundance of precaution against the COVID-19 outbreak we are CLOSING our retail operations until further notice. All tours and experiences booked during this time will be rescheduled once we reopen. Follow us on Instagram and Facebook for the latest updates (@nctbrewery). In case you require any further […] Niagara College Teaching Distillery unveils its first product January 24, 2019 School spirit is so strong at Niagara College, you can now find it in a bottle. On January 16, the College’s Teaching Distillery made history by releasing its inaugural product: Eau-de-vie de Fruits, Fruit Spirit. Its release marks many ‘firsts’ for the pre-emptive College, which launched Canada’s first postsecondary Artisan Distilling program in September 2018 […] Cocktail Club Content goes here. Sign Up Note: After clicking ""Sign Up"" you will be sent to our NC Teaching Winery site to purchase your Cocktail Club subscription. Something is wrong. Instagram token error. Load More About the Distillery Our Teaching Distillery located at the Niagara College Niagara-on-the-Lake campus. Students of our Artisan Distilling program have access to five stills, four mash tins and ten fermenters that allow for on-site production of a wide variety of distilled products. Where to buy Our first spirits will be launching late Fall 2018 and will be available to purchase at the Wine Visitor + Education Centre. Contact us Chetan Chandratre, Events Coordinator Phone—905 641-2252 ext. 4071 Email—[email protected] Please note that the Distillery is not open to the public. Follow us on Twitter Follow us on Instagram Email Us © Niagara College Canada. All Rights Reserved."
21602,20200515,ncteachingdistillery.ca,https://www.ncteachingdistillery.ca/,text/html,text/html,en,"Niagara College Teaching Distillery Skip to main content Toggle navigation NC Teaching Distillery Home Head Distiller Small Batch Spirits Study Here Contact Introducing Niagara College’s new Teaching Distillery in Niagara-on-the-Lake, Ontario. Our brand new, state-of-the-art 2,500 sq ft facility located at the Niagara-on-the-Lake campus features five stills, four mash tins and ten fermenters that will allow for on-site production of a wide variety of distilled products. The Artisan Distilling program at Niagara College provides students with an in-depth understanding of the scientific, technological and business aspects of distilling and fermentation. With space for just 20 students, the program is extremely competitive. Students will gain relevant skills, knowledge and experiences in the production cycle of distilled spirits, including production, testing/analysis, and packaging/merchandising. Our spirits are available in limited quantities and sold exclusively at the Wine Visitor + Education Centre. Distillery News The Distillery is closed until further notice. March 16, 2020 Dear Customers, please be advised that out of abundance of precaution against the COVID-19 outbreak we are CLOSING our retail operations until further notice. All tours and experiences booked during this time will be rescheduled once we reopen. Follow us on Instagram and Facebook for the latest updates (@nctbrewery). In case you require any further […] Niagara College Teaching Distillery unveils its first product January 24, 2019 School spirit is so strong at Niagara College, you can now find it in a bottle. On January 16, the College’s Teaching Distillery made history by releasing its inaugural product: Eau-de-vie de Fruits, Fruit Spirit. Its release marks many ‘firsts’ for the pre-emptive College, which launched Canada’s first postsecondary Artisan Distilling program in September 2018 […] Cocktail Club Content goes here. Sign Up Note: After clicking ""Sign Up"" you will be sent to our NC Teaching Winery site to purchase your Cocktail Club subscription. Something is wrong. Instagram token error. Load More About the Distillery Our Teaching Distillery located at the Niagara College Niagara-on-the-Lake campus. Students of our Artisan Distilling program have access to five stills, four mash tins and ten fermenters that allow for on-site production of a wide variety of distilled products. Where to buy Our first spirits will be launching late Fall 2018 and will be available to purchase at the Wine Visitor + Education Centre. Contact us Chetan Chandratre, Events Coordinator Phone—905 641-2252 ext. 4071 Email—[email protected] Please note that the Distillery is not open to the public. Follow us on Twitter Follow us on Instagram Email Us © Niagara College Canada. All Rights Reserved."
59270,20200522,ncteachingdistillery.ca,https://www.ncteachingdistillery.ca/,text/html,text/html,en,"Niagara College Teaching Distillery Skip to main content Toggle navigation NC Teaching Distillery Home Head Distiller Small Batch Spirits Study Here Contact Introducing Niagara College’s new Teaching Distillery in Niagara-on-the-Lake, Ontario. Our brand new, state-of-the-art 2,500 sq ft facility located at the Niagara-on-the-Lake campus features five stills, four mash tins and ten fermenters that will allow for on-site production of a wide variety of distilled products. The Artisan Distilling program at Niagara College provides students with an in-depth understanding of the scientific, technological and business aspects of distilling and fermentation. With space for just 20 students, the program is extremely competitive. Students will gain relevant skills, knowledge and experiences in the production cycle of distilled spirits, including production, testing/analysis, and packaging/merchandising. Our spirits are available in limited quantities and sold exclusively at the Wine Visitor + Education Centre. Distillery News The Distillery is closed until further notice. March 16, 2020 Dear Customers, please be advised that out of abundance of precaution against the COVID-19 outbreak we are CLOSING our retail operations until further notice. All tours and experiences booked during this time will be rescheduled once we reopen. Follow us on Instagram and Facebook for the latest updates (@nctbrewery). In case you require any further […] Niagara College Teaching Distillery unveils its first product January 24, 2019 School spirit is so strong at Niagara College, you can now find it in a bottle. On January 16, the College’s Teaching Distillery made history by releasing its inaugural product: Eau-de-vie de Fruits, Fruit Spirit. Its release marks many ‘firsts’ for the pre-emptive College, which launched Canada’s first postsecondary Artisan Distilling program in September 2018 […] Cocktail Club Content goes here. Sign Up Note: After clicking ""Sign Up"" you will be sent to our NC Teaching Winery site to purchase your Cocktail Club subscription. Something is wrong. Instagram token error. Load More About the Distillery Our Teaching Distillery located at the Niagara College Niagara-on-the-Lake campus. Students of our Artisan Distilling program have access to five stills, four mash tins and ten fermenters that allow for on-site production of a wide variety of distilled products. Where to buy Our first spirits will be launching late Fall 2018 and will be available to purchase at the Wine Visitor + Education Centre. Contact us Chetan Chandratre, Events Coordinator Phone—905 641-2252 ext. 4071 Email—[email protected] Please note that the Distillery is not open to the public. Follow us on Twitter Follow us on Instagram Email Us © Niagara College Canada. All Rights Reserved."
59906,20200529,ncteachingdistillery.ca,https://www.ncteachingdistillery.ca/,text/html,text/html,en,"Niagara College Teaching Distillery Skip to main content Toggle navigation NC Teaching Distillery Home Head Distiller Small Batch Spirits Study Here Contact Introducing Niagara College’s new Teaching Distillery in Niagara-on-the-Lake, Ontario. Our brand new, state-of-the-art 2,500 sq ft facility located at the Niagara-on-the-Lake campus features five stills, four mash tins and ten fermenters that will allow for on-site production of a wide variety of distilled products. The Artisan Distilling program at Niagara College provides students with an in-depth understanding of the scientific, technological and business aspects of distilling and fermentation. With space for just 20 students, the program is extremely competitive. Students will gain relevant skills, knowledge and experiences in the production cycle of distilled spirits, including production, testing/analysis, and packaging/merchandising. Our spirits are available in limited quantities and sold exclusively at the Wine Visitor + Education Centre. Distillery News The Distillery is closed until further notice. March 16, 2020 Dear Customers, please be advised that out of abundance of precaution against the COVID-19 outbreak we are CLOSING our retail operations until further notice. All tours and experiences booked during this time will be rescheduled once we reopen. Follow us on Instagram and Facebook for the latest updates (@nctbrewery). In case you require any further […] Niagara College Teaching Distillery unveils its first product January 24, 2019 School spirit is so strong at Niagara College, you can now find it in a bottle. On January 16, the College’s Teaching Distillery made history by releasing its inaugural product: Eau-de-vie de Fruits, Fruit Spirit. Its release marks many ‘firsts’ for the pre-emptive College, which launched Canada’s first postsecondary Artisan Distilling program in September 2018 […] Cocktail Club Content goes here. Sign Up Note: After clicking ""Sign Up"" you will be sent to our NC Teaching Winery site to purchase your Cocktail Club subscription. Something is wrong. Instagram token error. Load More About the Distillery Our Teaching Distillery located at the Niagara College Niagara-on-the-Lake campus. Students of our Artisan Distilling program have access to five stills, four mash tins and ten fermenters that allow for on-site production of a wide variety of distilled products. Where to buy Our first spirits will be launching late Fall 2018 and will be available to purchase at the Wine Visitor + Education Centre. Contact us Chetan Chandratre, Events Coordinator Phone—905 641-2252 ext. 4071 Email—[email protected] Please note that the Distillery is not open to the public. Follow us on Twitter Follow us on Instagram Email Us © Niagara College Canada. All Rights Reserved."
70758,20200529,ncteachingdistillery.ca,https://www.ncteachingdistillery.ca/,text/html,text/html,en,"Niagara College Teaching Distillery Skip to main content Toggle navigation NC Teaching Distillery Home Head Distiller Small Batch Spirits Study Here Contact Introducing Niagara College’s new Teaching Distillery in Niagara-on-the-Lake, Ontario. Our brand new, state-of-the-art 2,500 sq ft facility located at the Niagara-on-the-Lake campus features five stills, four mash tins and ten fermenters that will allow for on-site production of a wide variety of distilled products. The Artisan Distilling program at Niagara College provides students with an in-depth understanding of the scientific, technological and business aspects of distilling and fermentation. With space for just 20 students, the program is extremely competitive. Students will gain relevant skills, knowledge and experiences in the production cycle of distilled spirits, including production, testing/analysis, and packaging/merchandising. Our spirits are available in limited quantities and sold exclusively at the Wine Visitor + Education Centre. Distillery News The Distillery is closed until further notice. March 16, 2020 Dear Customers, please be advised that out of abundance of precaution against the COVID-19 outbreak we are CLOSING our retail operations until further notice. All tours and experiences booked during this time will be rescheduled once we reopen. Follow us on Instagram and Facebook for the latest updates (@nctbrewery). In case you require any further […] Niagara College Teaching Distillery unveils its first product January 24, 2019 School spirit is so strong at Niagara College, you can now find it in a bottle. On January 16, the College’s Teaching Distillery made history by releasing its inaugural product: Eau-de-vie de Fruits, Fruit Spirit. Its release marks many ‘firsts’ for the pre-emptive College, which launched Canada’s first postsecondary Artisan Distilling program in September 2018 […] Cocktail Club Content goes here. Sign Up Note: After clicking ""Sign Up"" you will be sent to our NC Teaching Winery site to purchase your Cocktail Club subscription. Something is wrong. Instagram token error. Load More About the Distillery Our Teaching Distillery located at the Niagara College Niagara-on-the-Lake campus. Students of our Artisan Distilling program have access to five stills, four mash tins and ten fermenters that allow for on-site production of a wide variety of distilled products. Where to buy Our first spirits will be launching late Fall 2018 and will be available to purchase at the Wine Visitor + Education Centre. Contact us Chetan Chandratre, Events Coordinator Phone—905 641-2252 ext. 4071 Email—[email protected] Please note that the Distillery is not open to the public. Follow us on Twitter Follow us on Instagram Email Us © Niagara College Canada. All Rights Reserved."
79380,20200605,ncteachingdistillery.ca,https://www.ncteachingdistillery.ca/,text/html,text/html,en,"Niagara College Teaching Distillery Skip to main content Toggle navigation NC Teaching Distillery Home Head Distiller Small Batch Spirits Study Here Contact Introducing Niagara College’s new Teaching Distillery in Niagara-on-the-Lake, Ontario. Our brand new, state-of-the-art 2,500 sq ft facility located at the Niagara-on-the-Lake campus features five stills, four mash tins and ten fermenters that will allow for on-site production of a wide variety of distilled products. The Artisan Distilling program at Niagara College provides students with an in-depth understanding of the scientific, technological and business aspects of distilling and fermentation. With space for just 20 students, the program is extremely competitive. Students will gain relevant skills, knowledge and experiences in the production cycle of distilled spirits, including production, testing/analysis, and packaging/merchandising. Our spirits are available in limited quantities and sold exclusively at the Wine Visitor + Education Centre. Distillery News The Distillery is closed until further notice. March 16, 2020 Dear Customers, please be advised that out of abundance of precaution against the COVID-19 outbreak we are CLOSING our retail operations until further notice. All tours and experiences booked during this time will be rescheduled once we reopen. Follow us on Instagram and Facebook for the latest updates (@nctbrewery). In case you require any further […] Niagara College Teaching Distillery unveils its first product January 24, 2019 School spirit is so strong at Niagara College, you can now find it in a bottle. On January 16, the College’s Teaching Distillery made history by releasing its inaugural product: Eau-de-vie de Fruits, Fruit Spirit. Its release marks many ‘firsts’ for the pre-emptive College, which launched Canada’s first postsecondary Artisan Distilling program in September 2018 […] Cocktail Club Content goes here. Sign Up Note: After clicking ""Sign Up"" you will be sent to our NC Teaching Winery site to purchase your Cocktail Club subscription. Something is wrong. Instagram token error. Load More About the Distillery Our Teaching Distillery located at the Niagara College Niagara-on-the-Lake campus. Students of our Artisan Distilling program have access to five stills, four mash tins and ten fermenters that allow for on-site production of a wide variety of distilled products. Where to buy Our first spirits will be launching late Fall 2018 and will be available to purchase at the Wine Visitor + Education Centre. Contact us Chetan Chandratre, Events Coordinator Phone—905 641-2252 ext. 4071 Email—[email protected] Please note that the Distillery is not open to the public. Follow us on Twitter Follow us on Instagram Email Us © Niagara College Canada. All Rights Reserved."
90206,20200612,ncteachingdistillery.ca,https://www.ncteachingdistillery.ca/,text/html,text/html,en,"Niagara College Teaching Distillery Skip to main content Toggle navigation NC Teaching Distillery Home Head Distiller Small Batch Spirits Study Here Contact Introducing Niagara College’s new Teaching Distillery in Niagara-on-the-Lake, Ontario. Our brand new, state-of-the-art 2,500 sq ft facility located at the Niagara-on-the-Lake campus features five stills, four mash tins and ten fermenters that will allow for on-site production of a wide variety of distilled products. The Artisan Distilling program at Niagara College provides students with an in-depth understanding of the scientific, technological and business aspects of distilling and fermentation. With space for just 20 students, the program is extremely competitive. Students will gain relevant skills, knowledge and experiences in the production cycle of distilled spirits, including production, testing/analysis, and packaging/merchandising. Our spirits are available in limited quantities and sold exclusively at the Wine Visitor + Education Centre. Distillery News The Distillery is closed until further notice. March 16, 2020 Dear Customers, please be advised that out of abundance of precaution against the COVID-19 outbreak we are CLOSING our retail operations until further notice. All tours and experiences booked during this time will be rescheduled once we reopen. Follow us on Instagram and Facebook for the latest updates (@nctbrewery). In case you require any further […] Niagara College Teaching Distillery unveils its first product January 24, 2019 School spirit is so strong at Niagara College, you can now find it in a bottle. On January 16, the College’s Teaching Distillery made history by releasing its inaugural product: Eau-de-vie de Fruits, Fruit Spirit. Its release marks many ‘firsts’ for the pre-emptive College, which launched Canada’s first postsecondary Artisan Distilling program in September 2018 […] Cocktail Club Content goes here. Sign Up Note: After clicking ""Sign Up"" you will be sent to our NC Teaching Winery site to purchase your Cocktail Club subscription. Something is wrong. Instagram token error. Load More About the Distillery Our Teaching Distillery located at the Niagara College Niagara-on-the-Lake campus. Students of our Artisan Distilling program have access to five stills, four mash tins and ten fermenters that allow for on-site production of a wide variety of distilled products. Where to buy Our first spirits will be launching late Fall 2018 and will be available to purchase at the Wine Visitor + Education Centre. Contact us Chetan Chandratre, Events Coordinator Phone—905 641-2252 ext. 4071 Email—[email protected] Please note that the Distillery is not open to the public. Follow us on Twitter Follow us on Instagram Email Us © Niagara College Canada. All Rights Reserved."
101420,20200619,ncteachingdistillery.ca,https://www.ncteachingdistillery.ca/,text/html,text/html,en,"Niagara College Teaching Distillery Skip to main content Toggle navigation NC Teaching Distillery Home Head Distiller Small Batch Spirits Study Here Contact Introducing Niagara College’s new Teaching Distillery in Niagara-on-the-Lake, Ontario. Our brand new, state-of-the-art 2,500 sq ft facility located at the Niagara-on-the-Lake campus features five stills, four mash tins and ten fermenters that will allow for on-site production of a wide variety of distilled products. The Artisan Distilling program at Niagara College provides students with an in-depth understanding of the scientific, technological and business aspects of distilling and fermentation. With space for just 20 students, the program is extremely competitive. Students will gain relevant skills, knowledge and experiences in the production cycle of distilled spirits, including production, testing/analysis, and packaging/merchandising. Our spirits are available in limited quantities and sold exclusively at the Wine Visitor + Education Centre. Distillery News The Distillery is closed until further notice. March 16, 2020 Dear Customers, please be advised that out of abundance of precaution against the COVID-19 outbreak we are CLOSING our retail operations until further notice. All tours and experiences booked during this time will be rescheduled once we reopen. Follow us on Instagram and Facebook for the latest updates (@nctbrewery). In case you require any further […] Niagara College Teaching Distillery unveils its first product January 24, 2019 School spirit is so strong at Niagara College, you can now find it in a bottle. On January 16, the College’s Teaching Distillery made history by releasing its inaugural product: Eau-de-vie de Fruits, Fruit Spirit. Its release marks many ‘firsts’ for the pre-emptive College, which launched Canada’s first postsecondary Artisan Distilling program in September 2018 […] Cocktail Club Content goes here. Sign Up Note: After clicking ""Sign Up"" you will be sent to our NC Teaching Winery site to purchase your Cocktail Club subscription. Something is wrong. Instagram token error. Load More About the Distillery Our Teaching Distillery located at the Niagara College Niagara-on-the-Lake campus. Students of our Artisan Distilling program have access to five stills, four mash tins and ten fermenters that allow for on-site production of a wide variety of distilled products. Where to buy Our first spirits will be launching late Fall 2018 and will be available to purchase at the Wine Visitor + Education Centre. Contact us Chetan Chandratre, Events Coordinator Phone—905 641-2252 ext. 4071 Email—[email protected] Please note that the Distillery is not open to the public. Follow us on Twitter Follow us on Instagram Email Us © Niagara College Canada. All Rights Reserved."
