,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
340984,20201113,ncteachingwinery.ca,https://ncteachingwinery.ca/,text/html,text/html,en,"Niagara College Teaching Winery, Cidery, Brewery and Distillery   Welcome By clicking Enter Store, you declare that you are at least 19 years of age. Enter Store or Browse Programs Skip to content Search Home Shop Online Buy Wine Buy Beer Buy Spirits Buy Cider Social Clubs Wine Club Beer Growler Club Experiences & Packages News Contact Us Account Site navigation Search Search Cart Menu Site navigation Home Shop Online Buy Wine Buy Beer Buy Spirits Buy Cider Social Clubs Wine Club Beer Growler Club Experiences & Packages News Contact Us Account Item added to cart. View cart and check out. Close Close 1/4 Pause slideshow Play slideshow Previous slide Next slide Niagara College Learning Enterprises Niagara College Teaching Winery Centre for wine education in the Niagara Peninsula and is the only fully licensed teaching winery in Canada. With the focus on quality education, we believe in preparing students for work in the ""real"" world. Our graduates then enter an exciting career with a wine industry employer in winery operations, viticulture, sales/marketing and wine business management. Niagara College Teaching Brewery Our open-concept state-of-the-art 1,500 sq. ft. teaching micro-brewery facility offers students of Canada’s first Brewmaster and Brewery Operations Management program extensive hands on training in the on-site Brewery to prepare them for employment in the expanding brewery, microbrewery and brewpub industries. Niagara College Teaching Distillery Our brand new, state-of-the-art 2,500 sq ft facility located at the Daniel J Patterson Campus in Niagara-on-the-Lake features five stills, four mash tins and ten fermenters that will allow for on-site production of a wide variety of distilled products. Winemaker Winemaker Brewmaster Brewmaster Head Distiller Head Distiller Red Wines View all Red Wines View all White Wines View all White Wines View all Speciality Wines View all Speciality Wines View all Beers View all Beers View all School Spirits View all School Spirits View all Ciders View all Ciders View all Our Story Our Story Contact Us Contact Us Wine Visitor+ Education Center Wine Visitor+ Education Center 135 Taylor Road Niagara-on-the-Lake, ON, Canada Open daily : 11 am - 5 pm Tastings, Shopping, Tours, Events and Experiences 905 641 2252 ext. 4070 Directions Stay in Touch Click on our Social Media links below: @nctwinery @nctbrewery @distillery Follow us Facebook Twitter Instagram Be in the know Promotions, events, invitations, new products, sales and much more. Directly to your inbox. Subscribe © 2020, Niagara College Teaching Winery. Powered by Shopify Payment methods American Express Mastercard Visa Choosing a selection results in a full page refresh. Press the space key then arrow keys to make a selection. Use left/right arrows to navigate the slideshow or swipe left/right if using a mobile device"
351839,20201120,ncteachingwinery.ca,https://ncteachingwinery.ca/,text/html,text/html,en,"Niagara College Teaching Winery, Cidery, Brewery and Distillery   Welcome By clicking Enter Store, you declare that you are at least 19 years of age. Enter Store or Browse Programs Skip to content Search Home Shop Online Buy Wine Buy Beer Buy Spirits Buy Cider Social Clubs Wine Club Beer Growler Club Experiences & Packages News Contact Us Account Site navigation Search Search Cart Menu Site navigation Home Shop Online Buy Wine Buy Beer Buy Spirits Buy Cider Social Clubs Wine Club Beer Growler Club Experiences & Packages News Contact Us Account Item added to cart. View cart and check out. Close Close 1/4 Pause slideshow Play slideshow Previous slide Next slide Niagara College Learning Enterprises Niagara College Teaching Winery Centre for wine education in the Niagara Peninsula and is the only fully licensed teaching winery in Canada. With the focus on quality education, we believe in preparing students for work in the ""real"" world. Our graduates then enter an exciting career with a wine industry employer in winery operations, viticulture, sales/marketing and wine business management. Niagara College Teaching Brewery Our open-concept state-of-the-art 1,500 sq. ft. teaching micro-brewery facility offers students of Canada’s first Brewmaster and Brewery Operations Management program extensive hands on training in the on-site Brewery to prepare them for employment in the expanding brewery, microbrewery and brewpub industries. Niagara College Teaching Distillery Our brand new, state-of-the-art 2,500 sq ft facility located at the Daniel J Patterson Campus in Niagara-on-the-Lake features five stills, four mash tins and ten fermenters that will allow for on-site production of a wide variety of distilled products. Winemaker Winemaker Brewmaster Brewmaster Head Distiller Head Distiller Red Wines View all Red Wines View all White Wines View all White Wines View all Speciality Wines View all Speciality Wines View all Beers View all Beers View all School Spirits View all School Spirits View all Ciders View all Ciders View all Our Story Our Story Contact Us Contact Us Wine Visitor+ Education Center Wine Visitor+ Education Center 135 Taylor Road Niagara-on-the-Lake, ON, Canada Open daily : 11 am - 5 pm Tastings, Shopping, Tours, Events and Experiences 905 641 2252 ext. 4070 Directions Stay in Touch Click on our Social Media links below: @nctwinery @nctbrewery @distillery Follow us Facebook Twitter Instagram Be in the know Promotions, events, invitations, new products, sales and much more. Directly to your inbox. Subscribe © 2020, Niagara College Teaching Winery. Powered by Shopify Payment methods American Express Apple Pay Google Pay Mastercard Visa Choosing a selection results in a full page refresh. Press the space key then arrow keys to make a selection. Use left/right arrows to navigate the slideshow or swipe left/right if using a mobile device"
363280,20201127,ncteachingwinery.ca,https://ncteachingwinery.ca/,text/html,text/html,en,"Niagara College Teaching Winery, Cidery, Brewery and Distillery   Welcome By clicking Enter Store, you declare that you are at least 19 years of age. Enter Store or Browse Programs Skip to content Search Home Shop Online Buy Wine Buy Beer Buy Spirits Buy Cider Social Clubs Wine Club Beer Growler Club Experiences & Packages News Contact Us Account Site navigation Search Search Cart Menu Site navigation Home Shop Online Buy Wine Buy Beer Buy Spirits Buy Cider Social Clubs Wine Club Beer Growler Club Experiences & Packages News Contact Us Account Item added to cart. View cart and check out. Close Close 1/4 Pause slideshow Play slideshow Previous slide Next slide Niagara College Learning Enterprises Niagara College Teaching Winery Centre for wine education in the Niagara Peninsula and is the only fully licensed teaching winery in Canada. With the focus on quality education, we believe in preparing students for work in the ""real"" world. Our graduates then enter an exciting career with a wine industry employer in winery operations, viticulture, sales/marketing and wine business management. Niagara College Teaching Brewery Our open-concept state-of-the-art 1,500 sq. ft. teaching micro-brewery facility offers students of Canada’s first Brewmaster and Brewery Operations Management program extensive hands on training in the on-site Brewery to prepare them for employment in the expanding brewery, microbrewery and brewpub industries. Niagara College Teaching Distillery Our brand new, state-of-the-art 2,500 sq ft facility located at the Daniel J Patterson Campus in Niagara-on-the-Lake features five stills, four mash tins and ten fermenters that will allow for on-site production of a wide variety of distilled products. Winemaker Winemaker Brewmaster Brewmaster Head Distiller Head Distiller Red Wines View all Red Wines View all White Wines View all White Wines View all Speciality Wines View all Speciality Wines View all Beers View all Beers View all School Spirits View all School Spirits View all Ciders View all Ciders View all Our Story Our Story Contact Us Contact Us Wine Visitor+ Education Center Wine Visitor+ Education Center 135 Taylor Road Niagara-on-the-Lake, ON, Canada Open daily : 11 am - 5 pm Tastings, Shopping, Tours, Events and Experiences 905 641 2252 ext. 4070 Directions Stay in Touch Click on our Social Media links below: @nctwinery @nctbrewery @distillery Follow us Facebook Twitter Instagram Be in the know Promotions, events, invitations, new products, sales and much more. Directly to your inbox. Subscribe © 2020, Niagara College Teaching Winery. Powered by Shopify Payment methods American Express Apple Pay Google Pay Mastercard Visa Choosing a selection results in a full page refresh. Press the space key then arrow keys to make a selection. Use left/right arrows to navigate the slideshow or swipe left/right if using a mobile device"
374799,20201204,ncteachingwinery.ca,https://ncteachingwinery.ca/,text/html,text/html,en,"Niagara College Teaching Winery, Cidery, Brewery and Distillery   Welcome By clicking Enter Store, you declare that you are at least 19 years of age. Enter Store or Browse Programs Skip to content Search Home Shop Online Buy Wine Buy Beer Buy Spirits Buy Cider Experiences Gifts & Packages Social Clubs Wine Club Beer Growler Club News Account Site navigation Search Search Cart Menu Site navigation Home Shop Online Buy Wine Buy Beer Buy Spirits Buy Cider Experiences Gifts & Packages Social Clubs Wine Club Beer Growler Club News Account Item added to cart. View cart and check out. Close Close 1/4 Pause slideshow Play slideshow Previous slide Next slide Niagara College Learning Enterprises Niagara College Teaching Winery Centre for wine education in the Niagara Peninsula and is the only fully licensed teaching winery in Canada. With the focus on quality education, we believe in preparing students for work in the ""real"" world. Our graduates then enter an exciting career with a wine industry employer in winery operations, viticulture, sales/marketing and wine business management. Niagara College Teaching Brewery Our open-concept state-of-the-art 1,500 sq. ft. teaching micro-brewery facility offers students of Canada’s first Brewmaster and Brewery Operations Management program extensive hands on training in the on-site Brewery to prepare them for employment in the expanding brewery, microbrewery and brewpub industries. Niagara College Teaching Distillery Our brand new, state-of-the-art 2,500 sq ft facility located at the Daniel J Patterson Campus in Niagara-on-the-Lake features five stills, four mash tins and ten fermenters that will allow for on-site production of a wide variety of distilled products. Winemaker Winemaker Brewmaster Brewmaster Head Distiller Head Distiller Red Wines View all Red Wines View all White Wines View all White Wines View all Speciality Wines View all Speciality Wines View all Beers View all Beers View all School Spirits View all School Spirits View all Ciders View all Ciders View all Our Story Our Story Contact Us Contact Us Wine Visitor+ Education Center Wine Visitor+ Education Center 135 Taylor Road Niagara-on-the-Lake, ON, Canada Open daily : 11 am - 5 pm Tastings, Shopping, Tours, Events and Experiences 905 641 2252 ext. 4070 Directions Footer menu Search Home page Shop Contact Us Terms of service Refund policy Stay in Touch Social Media links below: @nctwinery @nctbrewery @distillery Be in the know Promotions, events, invitations, new products, sales and much more. Directly to your inbox. Subscribe © 2020, Niagara College Teaching Winery. Powered by Shopify Payment methods American Express Apple Pay Google Pay Mastercard Visa Choosing a selection results in a full page refresh. Press the space key then arrow keys to make a selection. Use left/right arrows to navigate the slideshow or swipe left/right if using a mobile device"
385669,20201211,ncteachingwinery.ca,https://ncteachingwinery.ca/,text/html,text/html,en,"Niagara College Teaching Winery, Cidery, Brewery and Distillery   Welcome By clicking Enter Store, you declare that you are at least 19 years of age. Enter Store or Browse Programs Skip to content Search Home Shop Online Buy Wine Buy Beer Buy Spirits Buy Cider Experiences Gifts & Packages Social Clubs Wine Club Beer Growler Club News Account Site navigation Search Search Cart Menu Site navigation Home Shop Online Buy Wine Buy Beer Buy Spirits Buy Cider Experiences Gifts & Packages Social Clubs Wine Club Beer Growler Club News Account Item added to cart. View cart and check out. Close Close 1/4 Pause slideshow Play slideshow Previous slide Next slide Niagara College Learning Enterprises Niagara College Teaching Winery Centre for wine education in the Niagara Peninsula and is the only fully licensed teaching winery in Canada. With the focus on quality education, we believe in preparing students for work in the ""real"" world. Our graduates then enter an exciting career with a wine industry employer in winery operations, viticulture, sales/marketing and wine business management. Niagara College Teaching Brewery Our open-concept state-of-the-art 1,500 sq. ft. teaching micro-brewery facility offers students of Canada’s first Brewmaster and Brewery Operations Management program extensive hands on training in the on-site Brewery to prepare them for employment in the expanding brewery, microbrewery and brewpub industries. Niagara College Teaching Distillery Our brand new, state-of-the-art 2,500 sq ft facility located at the Daniel J Patterson Campus in Niagara-on-the-Lake features five stills, four mash tins and ten fermenters that will allow for on-site production of a wide variety of distilled products. Winemaker Winemaker Brewmaster Brewmaster Head Distiller Head Distiller Red Wines View all Red Wines View all White Wines View all White Wines View all Speciality Wines View all Speciality Wines View all Beers View all Beers View all School Spirits View all School Spirits View all Ciders View all Ciders View all Our Story Our Story Contact Us Contact Us Wine Visitor+ Education Center Wine Visitor+ Education Center 135 Taylor Road Niagara-on-the-Lake, ON, Canada Open daily : 11 am - 5 pm Tastings, Shopping, Tours, Events and Experiences 905 641 2252 ext. 4070 Directions Footer menu Search Home page Shop Contact Us Terms of service Refund policy Stay in Touch Social Media links below: @nctwinery @nctbrewery @distillery Be in the know Promotions, events, invitations, new products, sales and much more. Directly to your inbox. Subscribe © 2020, Niagara College Teaching Winery. Powered by Shopify Payment methods American Express Apple Pay Google Pay Mastercard Visa Choosing a selection results in a full page refresh. Press the space key then arrow keys to make a selection. Use left/right arrows to navigate the slideshow or swipe left/right if using a mobile device"
394683,20201218,ncteachingwinery.ca,https://ncteachingwinery.ca/,text/html,text/html,en,"Niagara College Teaching Winery, Cidery, Brewery and Distillery   Welcome By clicking Enter Store, you declare that you are at least 19 years of age. Enter Store or Browse Programs Skip to content Search Home Shop Online Buy Wine Buy Beer Buy Spirits Buy Cider Experiences Gifts & Packages Social Clubs Wine Club Beer Growler Club News Account Site navigation Search Search Cart Menu Site navigation Home Shop Online Buy Wine Buy Beer Buy Spirits Buy Cider Experiences Gifts & Packages Social Clubs Wine Club Beer Growler Club News Account Item added to cart. View cart and check out. Close Close 1/4 Pause slideshow Play slideshow Previous slide Next slide Niagara College Learning Enterprises Niagara College Teaching Winery Centre for wine education in the Niagara Peninsula and is the only fully licensed teaching winery in Canada. With the focus on quality education, we believe in preparing students for work in the ""real"" world. Our graduates then enter an exciting career with a wine industry employer in winery operations, viticulture, sales/marketing and wine business management. Niagara College Teaching Brewery Our open-concept state-of-the-art 1,500 sq. ft. teaching micro-brewery facility offers students of Canada’s first Brewmaster and Brewery Operations Management program extensive hands on training in the on-site Brewery to prepare them for employment in the expanding brewery, microbrewery and brewpub industries. Niagara College Teaching Distillery Our brand new, state-of-the-art 2,500 sq ft facility located at the Daniel J Patterson Campus in Niagara-on-the-Lake features five stills, four mash tins and ten fermenters that will allow for on-site production of a wide variety of distilled products. Winemaker Winemaker Brewmaster Brewmaster Head Distiller Head Distiller Red Wines View all Red Wines View all White Wines View all White Wines View all Speciality Wines View all Speciality Wines View all Beers View all Beers View all School Spirits View all School Spirits View all Ciders View all Ciders View all Our Story Our Story Contact Us Contact Us Wine Visitor+ Education Center Wine Visitor+ Education Center 135 Taylor Road Niagara-on-the-Lake, ON, Canada Open daily : 11 am - 5 pm Tastings, Shopping, Tours, Events and Experiences 905 641 2252 ext. 4070 Directions Footer menu Search Home page Shop Contact Us Terms of service Refund policy Stay in Touch Social Media links below: @nctwinery @nctbrewery @distillery Be in the know Promotions, events, invitations, new products, sales and much more. Directly to your inbox. Subscribe © 2020, Niagara College Teaching Winery. Powered by Shopify Payment methods American Express Apple Pay Google Pay Mastercard Visa Choosing a selection results in a full page refresh. Press the space key then arrow keys to make a selection. Use left/right arrows to navigate the slideshow or swipe left/right if using a mobile device"
403973,20201225,ncteachingwinery.ca,https://ncteachingwinery.ca/,text/html,text/html,en,"Niagara College Teaching Winery, Cidery, Brewery and Distillery   Welcome By clicking Enter Store, you declare that you are at least 19 years of age. Enter Store or Browse Programs Skip to content Search Home Shop Online Buy Wine Buy Beer Buy Spirits Buy Cider Experiences Gifts & Packages Social Clubs Wine Club Beer Growler Club News Account Site navigation Search Search Cart Menu Site navigation Home Shop Online Buy Wine Buy Beer Buy Spirits Buy Cider Experiences Gifts & Packages Social Clubs Wine Club Beer Growler Club News Account Item added to cart. View cart and check out. Close Close 1/4 Pause slideshow Play slideshow Previous slide Next slide Niagara College Learning Enterprises Niagara College Teaching Winery Centre for wine education in the Niagara Peninsula and is the only fully licensed teaching winery in Canada. With the focus on quality education, we believe in preparing students for work in the ""real"" world. Our graduates then enter an exciting career with a wine industry employer in winery operations, viticulture, sales/marketing and wine business management. Niagara College Teaching Brewery Our open-concept state-of-the-art 1,500 sq. ft. teaching micro-brewery facility offers students of Canada’s first Brewmaster and Brewery Operations Management program extensive hands on training in the on-site Brewery to prepare them for employment in the expanding brewery, microbrewery and brewpub industries. Niagara College Teaching Distillery Our brand new, state-of-the-art 2,500 sq ft facility located at the Daniel J Patterson Campus in Niagara-on-the-Lake features five stills, four mash tins and ten fermenters that will allow for on-site production of a wide variety of distilled products. Winemaker Winemaker Brewmaster Brewmaster Head Distiller Head Distiller Red Wines View all Red Wines View all White Wines View all White Wines View all Speciality Wines View all Speciality Wines View all Beers View all Beers View all School Spirits View all School Spirits View all Ciders View all Ciders View all Our Story Our Story Contact Us Contact Us Wine Visitor+ Education Center Wine Visitor+ Education Center 135 Taylor Road Niagara-on-the-Lake, ON, Canada Open daily : 11 am - 5 pm Tastings, Shopping, Tours, Events and Experiences 905 641 2252 ext. 4070 Directions Footer menu Search Home page Shop Contact Us Terms of service Refund policy Stay in Touch Social Media links below: @nctwinery @nctbrewery @distillery Be in the know Promotions, events, invitations, new products, sales and much more. Directly to your inbox. Subscribe © 2020, Niagara College Teaching Winery. Powered by Shopify Payment methods American Express Apple Pay Google Pay Mastercard Visa Choosing a selection results in a full page refresh. Press the space key then arrow keys to make a selection. Use left/right arrows to navigate the slideshow or swipe left/right if using a mobile device"
413081,20210101,ncteachingwinery.ca,https://ncteachingwinery.ca/,text/html,text/html,en,"Niagara College Teaching Winery, Cidery, Brewery and Distillery   Welcome By clicking Enter Store, you declare that you are at least 19 years of age. Enter Store or Browse Programs Skip to content Search Home Shop Online Buy Wine Buy Beer Buy Spirits Buy Cider Experiences Gifts & Packages Social Clubs Wine Club Beer Growler Club News Account Site navigation Search Search Cart Menu Site navigation Home Shop Online Buy Wine Buy Beer Buy Spirits Buy Cider Experiences Gifts & Packages Social Clubs Wine Club Beer Growler Club News Account Item added to cart. View cart and check out. Close Close 1/4 Pause slideshow Play slideshow Previous slide Next slide Niagara College Learning Enterprises Niagara College Teaching Winery Centre for wine education in the Niagara Peninsula and is the only fully licensed teaching winery in Canada. With the focus on quality education, we believe in preparing students for work in the ""real"" world. Our graduates then enter an exciting career with a wine industry employer in winery operations, viticulture, sales/marketing and wine business management. Niagara College Teaching Brewery Our open-concept state-of-the-art 1,500 sq. ft. teaching micro-brewery facility offers students of Canada’s first Brewmaster and Brewery Operations Management program extensive hands on training in the on-site Brewery to prepare them for employment in the expanding brewery, microbrewery and brewpub industries. Niagara College Teaching Distillery Our brand new, state-of-the-art 2,500 sq ft facility located at the Daniel J Patterson Campus in Niagara-on-the-Lake features five stills, four mash tins and ten fermenters that will allow for on-site production of a wide variety of distilled products. Winemaker Winemaker Brewmaster Brewmaster Head Distiller Head Distiller Red Wines View all Red Wines View all White Wines View all White Wines View all Speciality Wines View all Speciality Wines View all Beers View all Beers View all School Spirits View all School Spirits View all Ciders View all Ciders View all Our Story Our Story Contact Us Contact Us Wine Visitor+ Education Center Wine Visitor+ Education Center 135 Taylor Road Niagara-on-the-Lake, ON, Canada Open daily : 11 am - 5 pm Tastings, Shopping, Tours, Events and Experiences 905 641 2252 ext. 4070 Directions Footer menu Search Home page Shop Contact Us Terms of service Refund policy Stay in Touch Social Media links below: @nctwinery @nctbrewery @distillery Be in the know Promotions, events, invitations, new products, sales and much more. Directly to your inbox. Subscribe © 2021, Niagara College Teaching Winery. Powered by Shopify Payment methods American Express Apple Pay Google Pay Mastercard Visa Choosing a selection results in a full page refresh. Press the space key then arrow keys to make a selection. Use left/right arrows to navigate the slideshow or swipe left/right if using a mobile device"
422322,20210108,ncteachingwinery.ca,https://ncteachingwinery.ca/,text/html,text/html,en,"Niagara College Teaching Winery, Cidery, Brewery and Distillery   Welcome By clicking Enter Store, you declare that you are at least 19 years of age. Enter Store or Browse Programs Skip to content Search Home Shop Online Buy Wine Buy Beer Buy Spirits Buy Cider Buy Fruit Wine Buy Food & Merch. Experiences Gifts & Packages Social Clubs Wine Club Beer Growler Club News Account Site navigation Search Search Cart Menu Site navigation Home Shop Online Buy Wine Buy Beer Buy Spirits Buy Cider Buy Fruit Wine Buy Food & Merch. Experiences Gifts & Packages Social Clubs Wine Club Beer Growler Club News Account Item added to cart. View cart and check out. Close Close 1/4 Pause slideshow Play slideshow Previous slide Next slide Niagara College Learning Enterprises Niagara College Teaching Winery Centre for wine education in the Niagara Peninsula and is the only fully licensed teaching winery in Canada. With the focus on quality education, we believe in preparing students for work in the ""real"" world. Our graduates then enter an exciting career with a wine industry employer in winery operations, viticulture, sales/marketing and wine business management. Niagara College Teaching Brewery Our open-concept state-of-the-art 1,500 sq. ft. teaching micro-brewery facility offers students of Canada’s first Brewmaster and Brewery Operations Management program extensive hands on training in the on-site Brewery to prepare them for employment in the expanding brewery, microbrewery and brewpub industries. Niagara College Teaching Distillery Our brand new, state-of-the-art 2,500 sq ft facility located at the Daniel J Patterson Campus in Niagara-on-the-Lake features five stills, four mash tins and ten fermenters that will allow for on-site production of a wide variety of distilled products. Winemaker Winemaker Brewmaster Brewmaster Head Distiller Head Distiller Red Wines View all Red Wines View all White Wines View all White Wines View all Speciality Wines View all Speciality Wines View all Beers View all Beers View all School Spirits View all School Spirits View all Ciders, Perrys and Meads View all Ciders, Perrys and Meads View all Our Story Our Story Contact Us Contact Us Wine Visitor+ Education Center Wine Visitor+ Education Center 135 Taylor Road Niagara-on-the-Lake, ON, Canada Open daily : 11 am - 5 pm Tastings, Shopping, Tours, Events and Experiences 905 641 2252 ext. 4070 Directions Footer menu Search Home page Shop Contact Us Terms of service Refund policy Stay in Touch Social Media links below: @nctwinery @nctbrewery @distillery Be in the know Promotions, events, invitations, new products, sales and much more. Directly to your inbox. Subscribe © 2021, Niagara College Teaching Winery. Powered by Shopify Payment methods American Express Apple Pay Google Pay Mastercard Visa Choosing a selection results in a full page refresh. Press the space key then arrow keys to make a selection. Use left/right arrows to navigate the slideshow or swipe left/right if using a mobile device"
431705,20210115,ncteachingwinery.ca,https://ncteachingwinery.ca/,text/html,text/html,en,"Niagara College Teaching Winery, Cidery, Brewery and Distillery   Welcome By clicking Enter Store, you declare that you are at least 19 years of age. Enter Store or Browse Programs Skip to content Search Home Shop Online Buy Wine Buy Beer Buy Spirits Buy Cider Buy Fruit Wine Buy Food & Merch. Experiences Gifts & Packages Social Clubs Wine Club Beer Growler Club News Account Site navigation Search Search Cart Menu Site navigation Home Shop Online Buy Wine Buy Beer Buy Spirits Buy Cider Buy Fruit Wine Buy Food & Merch. Experiences Gifts & Packages Social Clubs Wine Club Beer Growler Club News Account Item added to cart. View cart and check out. Close Close 1/4 Pause slideshow Play slideshow Previous slide Next slide Niagara College Learning Enterprises Niagara College Teaching Winery Centre for wine education in the Niagara Peninsula and is the only fully licensed teaching winery in Canada. With the focus on quality education, we believe in preparing students for work in the ""real"" world. Our graduates then enter an exciting career with a wine industry employer in winery operations, viticulture, sales/marketing and wine business management. Niagara College Teaching Brewery Our open-concept state-of-the-art 1,500 sq. ft. teaching micro-brewery facility offers students of Canada’s first Brewmaster and Brewery Operations Management program extensive hands on training in the on-site Brewery to prepare them for employment in the expanding brewery, microbrewery and brewpub industries. Niagara College Teaching Distillery Our brand new, state-of-the-art 2,500 sq ft facility located at the Daniel J Patterson Campus in Niagara-on-the-Lake features five stills, four mash tins and ten fermenters that will allow for on-site production of a wide variety of distilled products. Winemaker Winemaker Brewmaster Brewmaster Head Distiller Head Distiller Red Wines View all Red Wines View all White Wines View all White Wines View all Speciality Wines View all Speciality Wines View all Beers View all Beers View all School Spirits View all School Spirits View all Ciders, Perrys and Meads View all Ciders, Perrys and Meads View all Our Story Our Story Contact Us Contact Us Wine Visitor+ Education Center Wine Visitor+ Education Center 135 Taylor Road Niagara-on-the-Lake, ON, Canada Open daily : 11 am - 5 pm Tastings, Shopping, Tours, Events and Experiences 905 641 2252 ext. 4070 Directions Footer menu Search Home page Shop Contact Us Terms of service Refund policy Stay in Touch Social Media links below: @nctwinery @nctbrewery @distillery Be in the know Promotions, events, invitations, new products, sales and much more. Directly to your inbox. Subscribe © 2021, Niagara College Teaching Winery. Powered by Shopify Payment methods American Express Apple Pay Diners Club Discover Google Pay Mastercard Visa Choosing a selection results in a full page refresh. Press the space key then arrow keys to make a selection. Use left/right arrows to navigate the slideshow or swipe left/right if using a mobile device"
