,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
6236,20200417,niagaracollegewine.ca,https://www.niagaracollegewine.ca/,text/html,text/html,en,"' Niagara College - Home My Account | Check Out | visit | contact Home History & Education Wines & Store Cider 101 Beer 101 Experiences Red Wines White Wines Gift Wrapping Awards Tours Public Tours Sensory Tasting Lesson Teaching Winery Tour and Tasting Journey of the Senses Bachelorette Experience Events Onsite Events Schedule Your Visit: TravelZoo, Groupon, Wagjag & Buytopia Deals Only Niagara College Spirits Awards Wine Club Join Wine Club Wine Club Details Newsletter Winemaker Shop the store wine club Current Events Current Events Blind Tasting Challenge! HOLIDAY OPEN HOUSE AND SALE New Pod Tzoo Groupon and WagJag button - homepage The hub for wine education in Niagara and the first commercial teaching winery in Canada. WINTER HOURS (Nov - Apr): Sunday to Friday - 11 am to 5 pm Saturday - 10 am to 5 pm NC Teaching Distillery NC Teaching Distillery has officially opened! Check out the website and social media pages for updates: www.ncteachingdistillery.ca Twitter, Instagram and facebook: @nctdistillery For information on Canada's only Artisan Distilling program, please CLICK HERE *NEW SINGLE BATCH CIDERS* Our Single Batch Ciders, launched in December 2017 are available now in-store at the Wine Visitor + Education Centre! Available in 750 ml bottles starting at $15.15, drop by to see what exciting new flavour profiles we have in stock! HOME OF THE AWARD-WINNING CIDER 101 Available EXCLUSIVELY at NCT Winery, our award-winning Cider 101: Lesson in a Can 2018 U.S. Open Cider Championship - GOLD medal Heritage Ciders Category, and Modern Ciders Category 2017 U.S. Open Cider Championship - GOLD medal New World Cider Category 2016 U.S. Open Cider Championship- GOLD medal New World Cider category 2016 Ontario Cider Awards- BRONZE medal Traditional Apple Category CLICK HERE for more details and a full list of Member Perks! LEARN MORE ABOUT OUR AWARD-WINNING PORTFOLIO HAVE YOU VISITED OUR CRAFT BREWERY? The first commercial teaching brewery in Canada Tasting Room and Brewery Featuring classic Beer 101: Lesson in a Can styles Unique, handcrafted Student Small Batch Brews. Head over to www.ncteachingbrewery.ca for more details on our Brewery and Programs, and visit us in-store! Business Inquiries: Anyone interested in doing business with Niagara College Teaching Winery please contact: Steve Gill sgill@niagaracollege.ca Click Here for a copy of our Procurement Policy - Copyright 2020 Niagara College Teaching Winery. Proceeds of sales support student learning. Powered by vinSUITE"
13236,20200424,niagaracollegewine.ca,https://www.niagaracollegewine.ca/,text/html,text/html,en,"' Niagara College - Home My Account | Check Out | visit | contact Home History & Education Wines & Store Cider 101 Beer 101 Experiences Red Wines White Wines Gift Wrapping Awards Tours Public Tours Sensory Tasting Lesson Teaching Winery Tour and Tasting Journey of the Senses Bachelorette Experience Events Onsite Events Schedule Your Visit: TravelZoo, Groupon, Wagjag & Buytopia Deals Only Niagara College Spirits Awards Wine Club Join Wine Club Wine Club Details Newsletter Winemaker Shop the store wine club Current Events Current Events Blind Tasting Challenge! HOLIDAY OPEN HOUSE AND SALE New Pod Tzoo Groupon and WagJag button - homepage The hub for wine education in Niagara and the first commercial teaching winery in Canada. WINTER HOURS (Nov - Apr): Sunday to Friday - 11 am to 5 pm Saturday - 10 am to 5 pm NC Teaching Distillery NC Teaching Distillery has officially opened! Check out the website and social media pages for updates: www.ncteachingdistillery.ca Twitter, Instagram and facebook: @nctdistillery For information on Canada's only Artisan Distilling program, please CLICK HERE *NEW SINGLE BATCH CIDERS* Our Single Batch Ciders, launched in December 2017 are available now in-store at the Wine Visitor + Education Centre! Available in 750 ml bottles starting at $15.15, drop by to see what exciting new flavour profiles we have in stock! HOME OF THE AWARD-WINNING CIDER 101 Available EXCLUSIVELY at NCT Winery, our award-winning Cider 101: Lesson in a Can 2018 U.S. Open Cider Championship - GOLD medal Heritage Ciders Category, and Modern Ciders Category 2017 U.S. Open Cider Championship - GOLD medal New World Cider Category 2016 U.S. Open Cider Championship- GOLD medal New World Cider category 2016 Ontario Cider Awards- BRONZE medal Traditional Apple Category CLICK HERE for more details and a full list of Member Perks! LEARN MORE ABOUT OUR AWARD-WINNING PORTFOLIO HAVE YOU VISITED OUR CRAFT BREWERY? The first commercial teaching brewery in Canada Tasting Room and Brewery Featuring classic Beer 101: Lesson in a Can styles Unique, handcrafted Student Small Batch Brews. Head over to www.ncteachingbrewery.ca for more details on our Brewery and Programs, and visit us in-store! Business Inquiries: Anyone interested in doing business with Niagara College Teaching Winery please contact: Steve Gill sgill@niagaracollege.ca Click Here for a copy of our Procurement Policy - Copyright 2020 Niagara College Teaching Winery. Proceeds of sales support student learning. Powered by vinSUITE"
17866,20200504,niagaracollegewine.ca,https://www.niagaracollegewine.ca/,text/html,text/html,en,"' Niagara College - Home My Account | Check Out | visit | contact Home History & Education Wines & Store Cider 101 Beer 101 Gifts & Experiences Merchandise Red Wines White Wines Gift Wrapping Awards Tours Public Tours Sensory Tasting Lesson Teaching Winery Tour and Tasting Journey of the Senses Bachelorette Experience Events Onsite Events Schedule Your Visit: TravelZoo, Groupon, Wagjag & Buytopia Deals Only Niagara College Spirits Awards Wine Club Join Wine Club Wine Club Details Newsletter Winemaker Shop the store wine club Current Events Current Events Blind Tasting Challenge! HOLIDAY OPEN HOUSE AND SALE New Pod Tzoo Groupon and WagJag button - homepage The hub for wine education in Niagara and the first commercial teaching winery in Canada. WINTER HOURS (Nov - Apr): Sunday to Friday - 11 am to 5 pm Saturday - 10 am to 5 pm NC Teaching Distillery NC Teaching Distillery has officially opened! Check out the website and social media pages for updates: www.ncteachingdistillery.ca Twitter, Instagram and facebook: @nctdistillery For information on Canada's only Artisan Distilling program, please CLICK HERE *NEW SINGLE BATCH CIDERS* Our Single Batch Ciders, launched in December 2017 are available now in-store at the Wine Visitor + Education Centre! Available in 750 ml bottles starting at $15.15, drop by to see what exciting new flavour profiles we have in stock! HOME OF THE AWARD-WINNING CIDER 101 Available EXCLUSIVELY at NCT Winery, our award-winning Cider 101: Lesson in a Can 2018 U.S. Open Cider Championship - GOLD medal Heritage Ciders Category, and Modern Ciders Category 2017 U.S. Open Cider Championship - GOLD medal New World Cider Category 2016 U.S. Open Cider Championship- GOLD medal New World Cider category 2016 Ontario Cider Awards- BRONZE medal Traditional Apple Category CLICK HERE for more details and a full list of Member Perks! LEARN MORE ABOUT OUR AWARD-WINNING PORTFOLIO HAVE YOU VISITED OUR CRAFT BREWERY? The first commercial teaching brewery in Canada Tasting Room and Brewery Featuring classic Beer 101: Lesson in a Can styles Unique, handcrafted Student Small Batch Brews. Head over to www.ncteachingbrewery.ca for more details on our Brewery and Programs, and visit us in-store! Business Inquiries: Anyone interested in doing business with Niagara College Teaching Winery please contact: Steve Gill sgill@niagaracollege.ca Click Here for a copy of our Procurement Policy - Copyright 2020 Niagara College Teaching Winery. Proceeds of sales support student learning. Powered by vinSUITE"
21616,20200515,niagaracollegewine.ca,https://www.niagaracollegewine.ca/,text/html,text/html,en,"' Niagara College - Home My Account | Check Out | visit | contact Home History & Education Wines & Store Cider 101 Beer 101 Gifts & Experiences Merchandise Red Wines White Wines Gift Wrapping Awards Tours Public Tours Sensory Tasting Lesson Teaching Winery Tour and Tasting Journey of the Senses Bachelorette Experience Events Onsite Events Schedule Your Visit: TravelZoo, Groupon, Wagjag & Buytopia Deals Only Niagara College Spirits Awards Wine Club Join Wine Club Wine Club Details Newsletter Winemaker Shop the store wine club Current Events Current Events Online Events New Pod Tzoo Groupon and WagJag button - homepage The hub for wine education in Niagara and the first commercial teaching winery in Canada Click here to Sign up Receive updates on Niagara College Teaching Winery + Brewery and exclusive offers, special promotions, sales and events! CURRENT HOURS: Daily: 10 am to 5 pm (Curbside pickup) NC Teaching Distillery NC Teaching Distillery has officially opened! Check out the website and social media pages for updates: www.ncteachingdistillery.ca Twitter, Instagram and facebook: @nctdistillery For information on Canada's only Artisan Distilling program, please CLICK HERE *NEW SINGLE BATCH CIDERS* Our Single Batch Ciders, launched in December 2017 are available now in-store at the Wine Visitor + Education Centre! Available in 750 ml bottles starting at $15.15, drop by to see what exciting new flavour profiles we have in stock! HOME OF THE AWARD-WINNING CIDER 101 Available EXCLUSIVELY at NCT Winery, our award-winning Cider 101: Lesson in a Can 2018 U.S. Open Cider Championship - GOLD medal Heritage Ciders Category, and Modern Ciders Category 2017 U.S. Open Cider Championship - GOLD medal New World Cider Category 2016 U.S. Open Cider Championship- GOLD medal New World Cider category 2016 Ontario Cider Awards- BRONZE medal Traditional Apple Category CLICK HERE for more details and a full list of Member Perks! LEARN MORE ABOUT OUR AWARD-WINNING PORTFOLIO HAVE YOU VISITED OUR CRAFT BREWERY? The first commercial teaching brewery in Canada Tasting Room and Brewery Featuring classic Beer 101: Lesson in a Can styles Unique, handcrafted Student Small Batch Brews. Head over to www.ncteachingbrewery.ca for more details on our Brewery and Programs, and visit us in-store! Business Inquiries: Anyone interested in doing business with Niagara College Teaching Winery please contact: Steve Gill sgill@niagaracollege.ca Click Here for a copy of our Procurement Policy - Copyright 2020 Niagara College Teaching Winery. Proceeds of sales support student learning. Powered by vinSUITE"
59281,20200522,niagaracollegewine.ca,https://www.niagaracollegewine.ca/,text/html,text/html,en,"' Niagara College - Home My Account | Check Out | visit | contact Home History & Education Wines & Store Cider 101 Beer 101 Gifts & Experiences Merchandise Red Wines White Wines Gift Wrapping Awards Tours Public Tours Sensory Tasting Lesson Teaching Winery Tour and Tasting Journey of the Senses Bachelorette Experience Events Onsite Events Schedule Your Visit: TravelZoo, Groupon, Wagjag & Buytopia Deals Only Niagara College Spirits Awards Wine Club Join Wine Club Wine Club Details Newsletter Winemaker Shop the store wine club Current Events Current Events Online Events New Pod Tzoo Groupon and WagJag button - homepage The hub for wine education in Niagara and the first commercial teaching winery in Canada Click here to Sign up Receive updates on Niagara College Teaching Winery + Brewery and exclusive offers, special promotions, sales and events! CURRENT HOURS: Daily: 10 am to 5 pm (Curbside pickup) NC Teaching Distillery NC Teaching Distillery has officially opened! Check out the website and social media pages for updates: www.ncteachingdistillery.ca Twitter, Instagram and facebook: @nctdistillery For information on Canada's only Artisan Distilling program, please CLICK HERE *NEW SINGLE BATCH CIDERS* Our Single Batch Ciders, launched in December 2017 are available now in-store at the Wine Visitor + Education Centre! Available in 750 ml bottles starting at $15.15, drop by to see what exciting new flavour profiles we have in stock! HOME OF THE AWARD-WINNING CIDER 101 Available EXCLUSIVELY at NCT Winery, our award-winning Cider 101: Lesson in a Can 2018 U.S. Open Cider Championship - GOLD medal Heritage Ciders Category, and Modern Ciders Category 2017 U.S. Open Cider Championship - GOLD medal New World Cider Category 2016 U.S. Open Cider Championship- GOLD medal New World Cider category 2016 Ontario Cider Awards- BRONZE medal Traditional Apple Category CLICK HERE for more details and a full list of Member Perks! LEARN MORE ABOUT OUR AWARD-WINNING PORTFOLIO HAVE YOU VISITED OUR CRAFT BREWERY? The first commercial teaching brewery in Canada Tasting Room and Brewery Featuring classic Beer 101: Lesson in a Can styles Unique, handcrafted Student Small Batch Brews. Head over to www.ncteachingbrewery.ca for more details on our Brewery and Programs, and visit us in-store! Business Inquiries: Anyone interested in doing business with Niagara College Teaching Winery please contact: Steve Gill sgill@niagaracollege.ca Click Here for a copy of our Procurement Policy Copyright 2020 Niagara College Teaching Winery. Proceeds of sales support student learning. Powered by vinSUITE"
59907,20200529,niagaracollegewine.ca,https://www.niagaracollegewine.ca/,text/html,text/html,en,"' Niagara College - Home My Account | Check Out | visit | contact Home History & Education Wines & Store Cider 101 Beer 101 Gifts & Experiences Merchandise Red Wines White Wines Gift Wrapping Awards Tours Public Tours Sensory Tasting Lesson Teaching Winery Tour and Tasting Journey of the Senses Bachelorette Experience Events Onsite Events Schedule Your Visit: TravelZoo, Groupon, Wagjag & Buytopia Deals Only Niagara College Spirits Awards Wine Club Join Wine Club Wine Club Details Newsletter Winemaker Shop the store wine club Current Events Current Events Online Events New Pod Tzoo Groupon and WagJag button - homepage The hub for wine education in Niagara and the first commercial teaching winery in Canada Click here to Sign up Receive updates on Niagara College Teaching Winery + Brewery and exclusive offers, special promotions, sales and events! CURRENT HOURS: Daily: 10 am to 5 pm (Curbside pickup) NC Teaching Distillery NC Teaching Distillery has officially opened! Check out the website and social media pages for updates: www.ncteachingdistillery.ca Twitter, Instagram and facebook: @nctdistillery For information on Canada's only Artisan Distilling program, please CLICK HERE *NEW SINGLE BATCH CIDERS* Our Single Batch Ciders, launched in December 2017 are available now in-store at the Wine Visitor + Education Centre! Available in 750 ml bottles starting at $15.15, drop by to see what exciting new flavour profiles we have in stock! HOME OF THE AWARD-WINNING CIDER 101 Available EXCLUSIVELY at NCT Winery, our award-winning Cider 101: Lesson in a Can 2018 U.S. Open Cider Championship - GOLD medal Heritage Ciders Category, and Modern Ciders Category 2017 U.S. Open Cider Championship - GOLD medal New World Cider Category 2016 U.S. Open Cider Championship- GOLD medal New World Cider category 2016 Ontario Cider Awards- BRONZE medal Traditional Apple Category CLICK HERE for more details and a full list of Member Perks! LEARN MORE ABOUT OUR AWARD-WINNING PORTFOLIO HAVE YOU VISITED OUR CRAFT BREWERY? The first commercial teaching brewery in Canada Tasting Room and Brewery Featuring classic Beer 101: Lesson in a Can styles Unique, handcrafted Student Small Batch Brews. Head over to www.ncteachingbrewery.ca for more details on our Brewery and Programs, and visit us in-store! Business Inquiries: Anyone interested in doing business with Niagara College Teaching Winery please contact: Steve Gill sgill@niagaracollege.ca Click Here for a copy of our Procurement Policy Copyright 2020 Niagara College Teaching Winery. Proceeds of sales support student learning. Powered by vinSUITE"
70745,20200529,niagaracollegewine.ca,https://www.niagaracollegewine.ca/,text/html,,,
79388,20200605,niagaracollegewine.ca,https://www.niagaracollegewine.ca/,text/html,,,
90202,20200612,niagaracollegewine.ca,https://www.niagaracollegewine.ca/,text/html,,,
101416,20200619,niagaracollegewine.ca,https://www.niagaracollegewine.ca/,text/html,,,
