,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
534995,20210326,nucleus.church,https://www.nucleus.church/,text/html,,,
545571,20210402,nucleus.church,https://www.nucleus.church/,text/html,,,
556215,20210409,nucleus.church,https://www.nucleus.church/,text/html,,,
566401,20210416,nucleus.church,https://www.nucleus.church/,text/html,,,
576702,20210423,nucleus.church,https://www.nucleus.church/,text/html,,,
587068,20210430,nucleus.church,https://www.nucleus.church/,text/html,,,
597793,20210507,nucleus.church,https://www.nucleus.church/,text/html,,,
608208,20210514,nucleus.church,https://www.nucleus.church/,text/html,,,
618749,20210521,nucleus.church,https://www.nucleus.church/,text/html,,,
629208,20210528,nucleus.church,https://www.nucleus.church/,text/html,text/html,en,You need to enable JavaScript to run this app.
639778,20210604,nucleus.church,https://www.nucleus.church/,text/html,text/html,en,You need to enable JavaScript to run this app.
650319,20210611,nucleus.church,https://www.nucleus.church/,text/html,,,
660137,20210618,nucleus.church,https://www.nucleus.church/,text/html,,,
665903,20210625,nucleus.church,https://www.nucleus.church/,text/html,,,
671884,20210702,nucleus.church,https://www.nucleus.church/,text/html,,,
677833,20210709,nucleus.church,https://www.nucleus.church/,text/html,,,
683751,20210716,nucleus.church,https://www.nucleus.church/,text/html,,,
689746,20210723,nucleus.church,https://www.nucleus.church/,text/html,,,
695345,20210730,nucleus.church,https://www.nucleus.church/,text/html,,,
701263,20210806,nucleus.church,https://www.nucleus.church/,text/html,,,
707829,20210813,nucleus.church,https://www.nucleus.church/,text/html,,,
714320,20210820,nucleus.church,https://www.nucleus.church/,text/html,,,
720879,20210827,nucleus.church,https://www.nucleus.church/,text/html,,,
726568,20210903,nucleus.church,https://www.nucleus.church/,text/html,,,
732310,20210910,nucleus.church,https://www.nucleus.church/,text/html,,,
738034,20210917,nucleus.church,https://www.nucleus.church/,text/html,,,
743820,20210924,nucleus.church,https://www.nucleus.church/,text/html,,,
749731,20211001,nucleus.church,https://www.nucleus.church/,text/html,text/html,en,You need to enable JavaScript to run this app.
755559,20211008,nucleus.church,https://www.nucleus.church/,text/html,text/html,en,You need to enable JavaScript to run this app.
