,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
5384,20200417,ondpcaucus25.nationbuilder.com,https://ondpcaucus25.nationbuilder.com/channel.html,text/html,text/plain,,
12300,20200424,ondpcaucus25.nationbuilder.com,https://ondpcaucus25.nationbuilder.com/channel.html,text/html,,,
16491,20200504,ondpcaucus25.nationbuilder.com,https://ondpcaucus25.nationbuilder.com/channel.html,text/html,,,
21066,20200515,ondpcaucus25.nationbuilder.com,https://ondpcaucus25.nationbuilder.com/channel.html,text/html,,,
56550,20200522,ondpcaucus25.nationbuilder.com,https://ondpcaucus25.nationbuilder.com/channel.html,text/html,,,
57542,20200529,ondpcaucus25.nationbuilder.com,https://ondpcaucus25.nationbuilder.com/channel.html,text/html,,,
69915,20200529,ondpcaucus25.nationbuilder.com,https://ondpcaucus25.nationbuilder.com/channel.html,text/html,,,
77994,20200605,ondpcaucus25.nationbuilder.com,https://ondpcaucus25.nationbuilder.com/channel.html,text/html,,,
88802,20200612,ondpcaucus25.nationbuilder.com,https://ondpcaucus25.nationbuilder.com/channel.html,text/html,,,
99048,20200619,ondpcaucus25.nationbuilder.com,https://ondpcaucus25.nationbuilder.com/channel.html,text/html,,,
109815,20200626,ondpcaucus25.nationbuilder.com,https://ondpcaucus25.nationbuilder.com/channel.html,text/html,,,
120178,20200703,ondpcaucus25.nationbuilder.com,https://ondpcaucus25.nationbuilder.com/channel.html,text/html,,,
130588,20200710,ondpcaucus25.nationbuilder.com,https://ondpcaucus25.nationbuilder.com/channel.html,text/html,,,
140914,20200717,ondpcaucus25.nationbuilder.com,https://ondpcaucus25.nationbuilder.com/channel.html,text/html,,,
151469,20200724,ondpcaucus25.nationbuilder.com,https://ondpcaucus25.nationbuilder.com/channel.html,text/html,,,
162264,20200731,ondpcaucus25.nationbuilder.com,https://ondpcaucus25.nationbuilder.com/channel.html,text/html,,,
173349,20200807,ondpcaucus25.nationbuilder.com,https://ondpcaucus25.nationbuilder.com/channel.html,text/html,,,
184203,20200814,ondpcaucus25.nationbuilder.com,https://ondpcaucus25.nationbuilder.com/channel.html,text/html,,,
197266,20200821,ondpcaucus25.nationbuilder.com,https://ondpcaucus25.nationbuilder.com/channel.html,text/html,,,
208119,20200828,ondpcaucus25.nationbuilder.com,https://ondpcaucus25.nationbuilder.com/channel.html,text/html,,,
220215,20200904,ondpcaucus25.nationbuilder.com,https://ondpcaucus25.nationbuilder.com/channel.html,text/html,,,
232654,20200911,ondpcaucus25.nationbuilder.com,https://ondpcaucus25.nationbuilder.com/channel.html,text/html,,,
245325,20200918,ondpcaucus25.nationbuilder.com,https://ondpcaucus25.nationbuilder.com/channel.html,text/html,,,
256331,20200925,ondpcaucus25.nationbuilder.com,https://ondpcaucus25.nationbuilder.com/channel.html,text/html,,,
268943,20201002,ondpcaucus25.nationbuilder.com,https://ondpcaucus25.nationbuilder.com/channel.html,text/html,,,
280732,20201009,ondpcaucus25.nationbuilder.com,https://ondpcaucus25.nationbuilder.com/channel.html,text/html,,,
292875,20201016,ondpcaucus25.nationbuilder.com,https://ondpcaucus25.nationbuilder.com/channel.html,text/html,,,
304831,20201023,ondpcaucus25.nationbuilder.com,https://ondpcaucus25.nationbuilder.com/channel.html,text/html,,,
316839,20201030,ondpcaucus25.nationbuilder.com,https://ondpcaucus25.nationbuilder.com/channel.html,text/html,,,
328549,20201106,ondpcaucus25.nationbuilder.com,https://ondpcaucus25.nationbuilder.com/channel.html,text/html,,,
339531,20201113,ondpcaucus25.nationbuilder.com,https://ondpcaucus25.nationbuilder.com/channel.html,text/html,,,
350405,20201120,ondpcaucus25.nationbuilder.com,https://ondpcaucus25.nationbuilder.com/channel.html,text/html,,,
361818,20201127,ondpcaucus25.nationbuilder.com,https://ondpcaucus25.nationbuilder.com/channel.html,text/html,,,
373459,20201204,ondpcaucus25.nationbuilder.com,https://ondpcaucus25.nationbuilder.com/channel.html,text/html,,,
384298,20201211,ondpcaucus25.nationbuilder.com,https://ondpcaucus25.nationbuilder.com/channel.html,text/html,,,
