,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
310079,20201023,open.spotify.com,https://open.spotify.com/,text/html,text/html,en,"Spotify - Web Player: Music for everyone We and our partners use cookies to personalize your experience, to show you ads based on your interests, and for measurement and analytics purposes. By using our website and our services, you agree to our use of cookies as described in our Cookie Policy. × This browser doesn't support Spotify Web Player. Switch browsers or download Spotify for your desktop. View on Spotify It's Friday night New Music Friday Teen Party Channel X Internet People Baila Reggaeton Country Cookout Most Necessary Ultimate Indie Genres & Moods Hip Hop Play Your Part Halloween Pop RADAR Shows with music Country Workout View on Spotify Legal Privacy Cookies About Ads To play this content, you'll need the Spotify app. Get Spotify Open Spotify You look like someone who appreciates good music. Listen to all your favourite artists on any device for free or try the Premium trial.Play on Spotify"
321977,20201030,open.spotify.com,https://open.spotify.com/,text/html,text/html,en,"Spotify - Web Player: Music for everyone We and our partners use cookies to personalize your experience, to show you ads based on your interests, and for measurement and analytics purposes. By using our website and our services, you agree to our use of cookies as described in our Cookie Policy. × This browser doesn't support Spotify Web Player. Switch browsers or download Spotify for your desktop. View on Spotify It's Friday night New Music Friday Teen Party Channel X Internet People Baila Reggaeton Country Cookout Most Necessary Ultimate Indie Genres & Moods Halloween Hip Hop Play Your Part Pop RADAR Shows with music Country Workout View on Spotify Legal Privacy Cookies About Ads To play this content, you'll need the Spotify app. Get Spotify Open Spotify You look like someone who appreciates good music. Listen to all your favourite artists on any device for free or try the Premium trial.Play on Spotify"
334308,20201106,open.spotify.com,https://open.spotify.com/,text/html,text/html,en,"Spotify - Web Player: Music for everyone We and our partners use cookies to personalize your experience, to show you ads based on your interests, and for measurement and analytics purposes. By using our website and our services, you agree to our use of cookies as described in our Cookie Policy. × This browser doesn't support Spotify Web Player. Switch browsers or download Spotify for your desktop. View on Spotify It's Friday night New Music Friday Teen Party Channel X Internet People Baila Reggaeton Country Cookout Most Necessary Ultimate Indie Genres & Moods Hip Hop Pop Country Workout Rock Latin Shows with music Mood View on Spotify Legal Privacy Cookies About Ads To play this content, you'll need the Spotify app. Get Spotify Open Spotify You look like someone who appreciates good music. Listen to all your favourite artists on any device for free or try the Premium trial.Play on Spotify"
344545,20201113,open.spotify.com,https://open.spotify.com/,text/html,text/html,en,"Spotify - Web Player: Music for everyone We and our partners use cookies to personalize your experience, to show you ads based on your interests, and for measurement and analytics purposes. By using our website and our services, you agree to our use of cookies as described in our Cookie Policy. × This browser doesn't support Spotify Web Player. Switch browsers or download Spotify for your desktop. View on Spotify It's Friday night New Music Friday Teen Party Channel X Internet People Baila Reggaeton Country Cookout Most Necessary Ultimate Indie Genres & Moods Hip Hop Pop Country Workout Rock Latin Shows with music Mood View on Spotify Legal Privacy Cookies About Ads To play this content, you'll need the Spotify app. Get Spotify Open Spotify You look like someone who appreciates good music. Listen to all your favourite artists on any device for free or try the Premium trial.Play on Spotify"
356649,20201120,open.spotify.com,https://open.spotify.com/,text/html,text/html,en,"Spotify - Web Player: Music for everyone We and our partners use cookies to personalize your experience, to show you ads based on your interests, and for measurement and analytics purposes. By using our website and our services, you agree to our use of cookies as described in our Cookie Policy. × This browser doesn't support Spotify Web Player. Switch browsers or download Spotify for your desktop. View on Spotify It's Friday night New Music Friday Release Radar Teen Party Channel X Internet People Baila Reggaeton Country Cookout Most Necessary Genres & Moods Hip Hop Pop Country Workout Rock Latin Happy Holidays Mood View on Spotify Legal Privacy Cookies About Ads To play this content, you'll need the Spotify app. Get Spotify Open Spotify You look like someone who appreciates good music. Listen to all your favourite artists on any device for free or try the Premium trial.Play on Spotify"
366938,20201127,open.spotify.com,https://open.spotify.com/,text/html,text/html,en,"Spotify - Web Player: Music for everyone We and our partners use cookies to personalize your experience, to show you ads based on your interests, and for measurement and analytics purposes. By using our website and our services, you agree to our use of cookies as described in our Cookie Policy. × This browser doesn't support Spotify Web Player. Switch browsers or download Spotify for your desktop. View on Spotify It's Friday night New Music Friday Teen Party Channel X Internet People Baila Reggaeton Country Cookout Most Necessary Ultimate Indie Genres & Moods Hip Hop Pop Country Workout Rock Latin Happy Holidays Mood View on Spotify Legal Privacy Cookies About Ads To play this content, you'll need the Spotify app. Get Spotify Open Spotify You look like someone who appreciates good music. Listen to all your favourite artists on any device for free or try the Premium trial.Play on Spotify"
377711,20201204,open.spotify.com,https://open.spotify.com/,text/html,text/html,en,"Spotify - Web Player: Music for everyone We and our partners use cookies to personalize your experience, to show you ads based on your interests, and for measurement and analytics purposes. By using our website and our services, you agree to our use of cookies as described in our Cookie Policy. × This browser doesn't support Spotify Web Player. Switch browsers or download Spotify for your desktop. View on Spotify It's Friday night New Music Friday Teen Party Channel X Internet People Baila Reggaeton Country Cookout Most Necessary Ultimate Indie Genres & Moods 2020 Wrapped Hip Hop Pop Happy Holidays Country Workout Rock Latin View on Spotify Legal Privacy Cookies About Ads To play this content, you'll need the Spotify app. Get Spotify Open Spotify You look like someone who appreciates good music. Listen to all your favourite artists on any device for free or try the Premium trial.Play on Spotify"
389112,20201211,open.spotify.com,https://open.spotify.com/,text/html,text/html,en,"Spotify - Web Player: Music for everyone We and our partners use cookies to personalize your experience, to show you ads based on your interests, and for measurement and analytics purposes. By using our website and our services, you agree to our use of cookies as described in our Cookie Policy. × This browser doesn't support Spotify Web Player. Switch browsers or download Spotify for your desktop. View on Spotify It's Friday night New Music Friday Teen Party Channel X Internet People Baila Reggaeton Country Cookout Most Necessary Ultimate Indie Genres & Moods 2020 Wrapped Happy Holidays Hip Hop Pop Country Workout Rock Latin View on Spotify Legal Privacy Cookies About Ads To play this content, you'll need the Spotify app. Get Spotify Open Spotify You look like someone who appreciates good music. Listen to all your favourite artists on any device for free or try the Premium trial.Play on Spotify"
396939,20201218,open.spotify.com,https://open.spotify.com/,text/html,text/html,en,"Spotify - Web Player: Music for everyone We and our partners use cookies to personalize your experience, to show you ads based on your interests, and for measurement and analytics purposes. By using our website and our services, you agree to our use of cookies as described in our Cookie Policy. × This browser doesn't support Spotify Web Player. Switch browsers or download Spotify for your desktop. View on Spotify It's Friday night New Music Friday Teen Party Channel X Internet People Baila Reggaeton Country Cookout Most Necessary Ultimate Indie Genres & Moods 2020 Wrapped Happy Holidays Hip Hop Pop Country Workout At Home Rock View on Spotify Legal Privacy Cookies About Ads To play this content, you'll need the Spotify app. Get Spotify Open Spotify You look like someone who appreciates good music. Listen to all your favourite artists on any device for free or try the Premium trial.Play on Spotify"
406150,20201225,open.spotify.com,https://open.spotify.com/,text/html,text/html,en,"Spotify - Web Player: Music for everyone We and our partners use cookies to personalize your experience, to show you ads based on your interests, and for measurement and analytics purposes. By using our website and our services, you agree to our use of cookies as described in our Cookie Policy. × This browser doesn't support Spotify Web Player. Switch browsers or download Spotify for your desktop. View on Spotify It's Friday night New Music Friday Teen Party Channel X Internet People Baila Reggaeton Country Cookout Most Necessary Ultimate Indie Genres & Moods 2020 Wrapped Happy Holidays Hip Hop Pop Country Workout At Home Rock View on Spotify Legal Privacy Cookies About Ads To play this content, you'll need the Spotify app. Get Spotify Open Spotify You look like someone who appreciates good music. Listen to all your favourite artists on any device for free or try the Premium trial.Play on Spotify"
