,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
24469,20200706,origami.secure.ownlocal.com,https://origami.secure.ownlocal.com/origami_unit/index.html,text/html,text/html,de,AdForge Ad Unit
24583,20200706,origami.secure.ownlocal.com,https://origami.secure.ownlocal.com/origami_unit/index.html,text/html,text/html,de,AdForge Ad Unit
24603,20200706,origami.secure.ownlocal.com,https://origami.secure.ownlocal.com/origami_unit/index.html,text/html,text/html,de,AdForge Ad Unit
24622,20200706,origami.secure.ownlocal.com,https://origami.secure.ownlocal.com/origami_unit/index.html,text/html,text/html,de,AdForge Ad Unit
24641,20200706,origami.secure.ownlocal.com,https://origami.secure.ownlocal.com/origami_unit/index.html,text/html,text/html,de,AdForge Ad Unit
24663,20200706,origami.secure.ownlocal.com,https://origami.secure.ownlocal.com/origami_unit/index.html,text/html,text/html,de,AdForge Ad Unit
24678,20200706,origami.secure.ownlocal.com,https://origami.secure.ownlocal.com/origami_unit/index.html,text/html,text/html,de,AdForge Ad Unit
24697,20200706,origami.secure.ownlocal.com,https://origami.secure.ownlocal.com/origami_unit/index.html,text/html,text/html,de,AdForge Ad Unit
24718,20200706,origami.secure.ownlocal.com,https://origami.secure.ownlocal.com/origami_unit/index.html,text/html,text/html,de,AdForge Ad Unit
24736,20200706,origami.secure.ownlocal.com,https://origami.secure.ownlocal.com/origami_unit/index.html,text/html,text/html,de,AdForge Ad Unit
24751,20200706,origami.secure.ownlocal.com,https://origami.secure.ownlocal.com/origami_unit/index.html,text/html,text/html,de,AdForge Ad Unit
24770,20200706,origami.secure.ownlocal.com,https://origami.secure.ownlocal.com/origami_unit/index.html,text/html,text/html,de,AdForge Ad Unit
24786,20200706,origami.secure.ownlocal.com,https://origami.secure.ownlocal.com/origami_unit/index.html,text/html,text/html,de,AdForge Ad Unit
24805,20200706,origami.secure.ownlocal.com,https://origami.secure.ownlocal.com/origami_unit/index.html,text/html,text/html,de,AdForge Ad Unit
24823,20200706,origami.secure.ownlocal.com,https://origami.secure.ownlocal.com/origami_unit/index.html,text/html,text/html,de,AdForge Ad Unit
24840,20200706,origami.secure.ownlocal.com,https://origami.secure.ownlocal.com/origami_unit/index.html,text/html,text/html,de,AdForge Ad Unit
24859,20200706,origami.secure.ownlocal.com,https://origami.secure.ownlocal.com/origami_unit/index.html,text/html,text/html,de,AdForge Ad Unit
24874,20200706,origami.secure.ownlocal.com,https://origami.secure.ownlocal.com/origami_unit/index.html,text/html,text/html,de,AdForge Ad Unit
24889,20200706,origami.secure.ownlocal.com,https://origami.secure.ownlocal.com/origami_unit/index.html,text/html,text/html,de,AdForge Ad Unit
24906,20200706,origami.secure.ownlocal.com,https://origami.secure.ownlocal.com/origami_unit/index.html,text/html,text/html,de,AdForge Ad Unit
24920,20200706,origami.secure.ownlocal.com,https://origami.secure.ownlocal.com/origami_unit/index.html,text/html,text/html,de,AdForge Ad Unit
24935,20200706,origami.secure.ownlocal.com,https://origami.secure.ownlocal.com/origami_unit/index.html,text/html,text/html,de,AdForge Ad Unit
