,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
9069,20200417,pelhamon.rbdigital.com,https://pelhamon.rbdigital.com/,text/html,text/html,so,LOADING...
9071,20200417,pelhamon.rbdigital.com,https://pelhamon.rbdigital.com/help,text/html,text/html,so,LOADING...
14605,20200424,pelhamon.rbdigital.com,https://pelhamon.rbdigital.com/,text/html,text/html,so,LOADING...
14608,20200424,pelhamon.rbdigital.com,https://pelhamon.rbdigital.com/help,text/html,text/html,so,LOADING...
19493,20200504,pelhamon.rbdigital.com,https://pelhamon.rbdigital.com/,text/html,text/html,so,LOADING...
19496,20200504,pelhamon.rbdigital.com,https://pelhamon.rbdigital.com/help,text/html,text/html,so,LOADING...
23019,20200515,pelhamon.rbdigital.com,https://pelhamon.rbdigital.com/,text/html,text/html,so,LOADING...
23020,20200515,pelhamon.rbdigital.com,https://pelhamon.rbdigital.com/help,text/html,text/html,so,LOADING...
65142,20200522,pelhamon.rbdigital.com,https://pelhamon.rbdigital.com/,text/html,text/html,so,LOADING...
65145,20200522,pelhamon.rbdigital.com,https://pelhamon.rbdigital.com/help,text/html,text/html,so,LOADING...
65393,20200529,pelhamon.rbdigital.com,https://pelhamon.rbdigital.com/,text/html,text/html,so,LOADING...
65394,20200529,pelhamon.rbdigital.com,https://pelhamon.rbdigital.com/help,text/html,text/html,so,LOADING...
73528,20200529,pelhamon.rbdigital.com,https://pelhamon.rbdigital.com/,text/html,text/html,so,LOADING...
73529,20200529,pelhamon.rbdigital.com,https://pelhamon.rbdigital.com/help,text/html,text/html,so,LOADING...
82895,20200605,pelhamon.rbdigital.com,https://pelhamon.rbdigital.com/,text/html,text/html,so,LOADING...
82897,20200605,pelhamon.rbdigital.com,https://pelhamon.rbdigital.com/help,text/html,text/html,so,LOADING...
93248,20200612,pelhamon.rbdigital.com,https://pelhamon.rbdigital.com/,text/html,text/html,so,LOADING...
93250,20200612,pelhamon.rbdigital.com,https://pelhamon.rbdigital.com/help,text/html,text/html,so,LOADING...
104482,20200619,pelhamon.rbdigital.com,https://pelhamon.rbdigital.com/,text/html,text/html,so,LOADING...
104484,20200619,pelhamon.rbdigital.com,https://pelhamon.rbdigital.com/help,text/html,text/html,so,LOADING...
115002,20200626,pelhamon.rbdigital.com,https://pelhamon.rbdigital.com/,text/html,text/html,so,LOADING...
115003,20200626,pelhamon.rbdigital.com,https://pelhamon.rbdigital.com/help,text/html,text/html,so,LOADING...
125250,20200703,pelhamon.rbdigital.com,https://pelhamon.rbdigital.com/,text/html,text/html,so,LOADING...
125251,20200703,pelhamon.rbdigital.com,https://pelhamon.rbdigital.com/help,text/html,text/html,so,LOADING...
135663,20200710,pelhamon.rbdigital.com,https://pelhamon.rbdigital.com/,text/html,text/html,so,LOADING...
135664,20200710,pelhamon.rbdigital.com,https://pelhamon.rbdigital.com/help,text/html,text/html,so,LOADING...
146102,20200717,pelhamon.rbdigital.com,https://pelhamon.rbdigital.com/,text/html,text/html,so,LOADING...
146104,20200717,pelhamon.rbdigital.com,https://pelhamon.rbdigital.com/help,text/html,text/html,so,LOADING...
