,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
8751,20200417,pinterest.co.kr,https://www.pinterest.co.kr/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
9024,20200417,pinterest.co.kr,https://www.pinterest.co.kr/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
14294,20200424,pinterest.co.kr,https://www.pinterest.co.kr/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
14577,20200424,pinterest.co.kr,https://www.pinterest.co.kr/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
19222,20200504,pinterest.co.kr,https://www.pinterest.co.kr/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest Here come more ideas! Oh no! Pinterest doesn't work unless you turn on JavaScript.
19474,20200504,pinterest.co.kr,https://www.pinterest.co.kr/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest Pulling up ideas just for you Oh no! Pinterest doesn't work unless you turn on JavaScript.
22700,20200515,pinterest.co.kr,https://www.pinterest.co.kr/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
22957,20200515,pinterest.co.kr,https://www.pinterest.co.kr/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
64542,20200522,pinterest.co.kr,https://www.pinterest.co.kr/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
64832,20200529,pinterest.co.kr,https://www.pinterest.co.kr/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
65078,20200522,pinterest.co.kr,https://www.pinterest.co.kr/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
65380,20200529,pinterest.co.kr,https://www.pinterest.co.kr/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
73251,20200529,pinterest.co.kr,https://www.pinterest.co.kr/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
73470,20200529,pinterest.co.kr,https://www.pinterest.co.kr/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
82942,20200605,pinterest.co.kr,https://www.pinterest.co.kr/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
93203,20200612,pinterest.co.kr,https://www.pinterest.co.kr/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
157505,20200724,pinterest.co.kr,https://www.pinterest.co.kr/,text/html,text/html,de,Pinterest - 핀터레스트
168533,20200731,pinterest.co.kr,https://www.pinterest.co.kr/,text/html,text/html,de,Pinterest - 핀터레스트
190509,20200814,pinterest.co.kr,https://www.pinterest.co.kr/,text/html,text/html,de,Pinterest - 핀터레스트
203299,20200821,pinterest.co.kr,https://www.pinterest.co.kr/,text/html,text/html,de,Pinterest - 핀터레스트
240270,20200911,pinterest.co.kr,https://www.pinterest.co.kr/,text/html,text/html,de,Pinterest - 핀터레스트
275539,20201002,pinterest.co.kr,https://www.pinterest.co.kr/,text/html,text/html,de,Pinterest - 핀터레스트
287645,20201009,pinterest.co.kr,https://www.pinterest.co.kr/,text/html,text/html,de,Pinterest - 핀터레스트
334319,20201106,pinterest.co.kr,https://www.pinterest.co.kr/,text/html,text/html,de,Pinterest - 핀터레스트
356663,20201120,pinterest.co.kr,https://www.pinterest.co.kr/,text/html,text/html,de,Pinterest - 핀터레스트
389145,20201211,pinterest.co.kr,https://www.pinterest.co.kr/,text/html,text/html,de,Pinterest - 핀터레스트
454653,20210129,pinterest.co.kr,https://www.pinterest.co.kr/,text/html,text/html,de,Pinterest - 핀터레스트
464757,20210205,pinterest.co.kr,https://www.pinterest.co.kr/,text/html,text/html,de,Pinterest - 핀터레스트
485130,20210219,pinterest.co.kr,https://www.pinterest.co.kr/,text/html,text/html,de,Pinterest - 핀터레스트
495410,20210226,pinterest.co.kr,https://www.pinterest.co.kr/,text/html,text/html,de,Pinterest - 핀터레스트
505743,20210305,pinterest.co.kr,https://www.pinterest.co.kr/,text/html,text/html,de,Pinterest - 핀터레스트
525969,20210319,pinterest.co.kr,https://www.pinterest.co.kr/,text/html,text/html,de,Pinterest - 핀터레스트
534963,20210326,pinterest.co.kr,https://www.pinterest.co.kr/,text/html,text/html,de,Pinterest - 핀터레스트
556177,20210409,pinterest.co.kr,https://www.pinterest.co.kr/pin/create/button/,text/html,text/html,de,Pinterest - 핀터레스트
566488,20210416,pinterest.co.kr,https://www.pinterest.co.kr/pin/create/button/,text/html,text/html,en,Pinterest - 핀터레스트 Pinterest Today Explore Log in Sign up Privacy
576679,20210423,pinterest.co.kr,https://www.pinterest.co.kr/pin/create/button/,text/html,text/html,en,Pinterest - 핀터레스트 Pinterest Today Explore Log in Sign up Pin Builder Privacy
587272,20210430,pinterest.co.kr,https://www.pinterest.co.kr/pin/create/button/,text/html,text/html,en,Pinterest - 핀터레스트 Pinterest Today Explore Log in Sign up Pin Builder Privacy
597988,20210507,pinterest.co.kr,https://www.pinterest.co.kr/pin/create/button/,text/html,text/html,en,Pinterest - 핀터레스트 Pinterest Today Explore Log in Sign up Pin Builder Privacy
608369,20210514,pinterest.co.kr,https://www.pinterest.co.kr/pin/create/button/,text/html,text/html,en,Pinterest - 핀터레스트 Pinterest Today Explore Log in Sign up Pin Builder Privacy
