,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
8742,20200417,pinterest.de,https://www.pinterest.de/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
9015,20200417,pinterest.de,https://www.pinterest.de/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
14284,20200424,pinterest.de,https://www.pinterest.de/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
14568,20200424,pinterest.de,https://www.pinterest.de/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
19211,20200504,pinterest.de,https://www.pinterest.de/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest Oh no! Pinterest doesn't work unless you turn on JavaScript.
19466,20200504,pinterest.de,https://www.pinterest.de/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest Oh no! Pinterest doesn't work unless you turn on JavaScript.
22685,20200515,pinterest.de,https://www.pinterest.de/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
22950,20200515,pinterest.de,https://www.pinterest.de/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
64529,20200522,pinterest.de,https://www.pinterest.de/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
64791,20200529,pinterest.de,https://www.pinterest.de/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
65070,20200522,pinterest.de,https://www.pinterest.de/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
65368,20200529,pinterest.de,https://www.pinterest.de/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
73209,20200529,pinterest.de,https://www.pinterest.de/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
73495,20200529,pinterest.de,https://www.pinterest.de/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
82905,20200605,pinterest.de,https://www.pinterest.de/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
93191,20200612,pinterest.de,https://www.pinterest.de/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
157462,20200724,pinterest.de,https://www.pinterest.de/,text/html,text/html,de,Pinterest - Deutschland
168521,20200731,pinterest.de,https://www.pinterest.de/,text/html,text/html,de,Pinterest - Deutschland
190497,20200814,pinterest.de,https://www.pinterest.de/,text/html,text/html,de,Pinterest - Deutschland
203291,20200821,pinterest.de,https://www.pinterest.de/,text/html,text/html,de,Pinterest - Deutschland
240265,20200911,pinterest.de,https://www.pinterest.de/,text/html,text/html,de,Pinterest - Deutschland
275532,20201002,pinterest.de,https://www.pinterest.de/,text/html,text/html,de,Pinterest - Deutschland
287636,20201009,pinterest.de,https://www.pinterest.de/,text/html,text/html,de,Pinterest - Deutschland
334301,20201106,pinterest.de,https://www.pinterest.de/,text/html,text/html,de,Pinterest - Deutschland
356625,20201120,pinterest.de,https://www.pinterest.de/,text/html,text/html,de,Pinterest - Deutschland
389087,20201211,pinterest.de,https://www.pinterest.de/,text/html,text/html,de,Pinterest - Deutschland
454691,20210129,pinterest.de,https://www.pinterest.de/,text/html,text/html,de,Pinterest - Deutschland
464726,20210205,pinterest.de,https://www.pinterest.de/,text/html,text/html,de,Pinterest - Deutschland
485127,20210219,pinterest.de,https://www.pinterest.de/,text/html,text/html,de,Pinterest - Deutschland
495398,20210226,pinterest.de,https://www.pinterest.de/,text/html,text/html,de,Pinterest - Deutschland
505731,20210305,pinterest.de,https://www.pinterest.de/,text/html,text/html,de,Pinterest - Deutschland
525914,20210319,pinterest.de,https://www.pinterest.de/,text/html,text/html,de,Pinterest - Deutschland
534952,20210326,pinterest.de,https://www.pinterest.de/,text/html,text/html,de,Pinterest - Deutschland
556238,20210409,pinterest.de,https://www.pinterest.de/pin/create/button/,text/html,text/html,de,Pinterest - Deutschland
566474,20210416,pinterest.de,https://www.pinterest.de/pin/create/button/,text/html,text/html,de,Pinterest - Deutschland Pinterest Today Explore Log in Sign up Privacy
576675,20210423,pinterest.de,https://www.pinterest.de/pin/create/button/,text/html,text/html,de,Pinterest - Deutschland Pinterest Today Explore Log in Sign up Pin Builder Privacy
587261,20210430,pinterest.de,https://www.pinterest.de/pin/create/button/,text/html,text/html,de,Pinterest - Deutschland Pinterest Today Explore Log in Sign up Pin Builder Privacy
597978,20210507,pinterest.de,https://www.pinterest.de/pin/create/button/,text/html,text/html,de,Pinterest - Deutschland Pinterest Today Explore Log in Sign up Pin Builder Privacy
608359,20210514,pinterest.de,https://www.pinterest.de/pin/create/button/,text/html,text/html,de,Pinterest - Deutschland Pinterest Today Explore Log in Sign up Pin Builder Privacy
618961,20210521,pinterest.de,https://www.pinterest.de/pin/create/button/,text/html,text/html,de,Pinterest - Deutschland Pinterest Today Explore Log in Sign up Pin Builder Privacy
629181,20210528,pinterest.de,https://www.pinterest.de/pin/create/button/,text/html,text/html,en,"Pinterest - Deutschland Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
639893,20210604,pinterest.de,https://www.pinterest.de/pin/create/button/,text/html,text/html,en,"Pinterest - Deutschland Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
650286,20210611,pinterest.de,https://www.pinterest.de/pin/create/button/,text/html,text/html,en,"Pinterest - Deutschland Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
660036,20210618,pinterest.de,https://www.pinterest.de/pin/create/button/,text/html,text/html,en,"Pinterest - Deutschland Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
665992,20210625,pinterest.de,https://www.pinterest.de/pin/create/button/,text/html,text/html,en,"Pinterest - Deutschland Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
671827,20210702,pinterest.de,https://www.pinterest.de/pin/create/button/,text/html,text/html,en,"Pinterest - Deutschland Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
677787,20210709,pinterest.de,https://www.pinterest.de/pin/create/button/,text/html,text/html,en,"Pinterest - Deutschland Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
683694,20210716,pinterest.de,https://www.pinterest.de/pin/create/button/,text/html,text/html,en,"Pinterest - Deutschland Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
689845,20210723,pinterest.de,https://www.pinterest.de/pin/create/button/,text/html,text/html,en,"Pinterest - Deutschland Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
695324,20210730,pinterest.de,https://www.pinterest.de/pin/create/button/,text/html,text/html,en,"Pinterest - Deutschland Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
701235,20210806,pinterest.de,https://www.pinterest.de/pin/create/button/,text/html,text/html,en,"Pinterest - Deutschland Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
707868,20210813,pinterest.de,https://www.pinterest.de/pin/create/button/,text/html,text/html,en,"Pinterest - Deutschland Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
714515,20210820,pinterest.de,https://www.pinterest.de/pin/create/button/,text/html,text/html,en,"Pinterest - Deutschland Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
720862,20210827,pinterest.de,https://www.pinterest.de/pin/create/button/,text/html,text/html,en,"Pinterest - Deutschland Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
726628,20210903,pinterest.de,https://www.pinterest.de/pin/create/button/,text/html,text/html,en,"Pinterest - Deutschland Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
732268,20210910,pinterest.de,https://www.pinterest.de/pin/create/button/,text/html,text/html,en,"Pinterest - Deutschland Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
738125,20210917,pinterest.de,https://www.pinterest.de/pin/create/button/,text/html,text/html,en,"Pinterest - Deutschland Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
743768,20210924,pinterest.de,https://www.pinterest.de/pin/create/button/,text/html,text/html,en,"Pinterest - Deutschland Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Welcome to Pinterest! Get unlimited access to fresh ideas with an account Sign up Pin Builder Privacy"
749699,20211001,pinterest.de,https://www.pinterest.de/pin/create/button/,text/html,text/html,en,"Pinterest - Deutschland Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
755570,20211008,pinterest.de,https://www.pinterest.de/pin/create/button/,text/html,text/html,en,"Pinterest - Deutschland Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
