,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
8770,20200417,pinterest.es,https://www.pinterest.es/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
9039,20200417,pinterest.es,https://www.pinterest.es/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
14282,20200424,pinterest.es,https://www.pinterest.es/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
14567,20200424,pinterest.es,https://www.pinterest.es/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
19212,20200504,pinterest.es,https://www.pinterest.es/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest Oh no! Pinterest doesn't work unless you turn on JavaScript.
19468,20200504,pinterest.es,https://www.pinterest.es/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest Oh no! Pinterest doesn't work unless you turn on JavaScript.
22691,20200515,pinterest.es,https://www.pinterest.es/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
22947,20200515,pinterest.es,https://www.pinterest.es/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
64533,20200522,pinterest.es,https://www.pinterest.es/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
64793,20200529,pinterest.es,https://www.pinterest.es/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
65084,20200522,pinterest.es,https://www.pinterest.es/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
65372,20200529,pinterest.es,https://www.pinterest.es/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
73215,20200529,pinterest.es,https://www.pinterest.es/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
73500,20200529,pinterest.es,https://www.pinterest.es/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
82907,20200605,pinterest.es,https://www.pinterest.es/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
93193,20200612,pinterest.es,https://www.pinterest.es/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
157510,20200724,pinterest.es,https://www.pinterest.es/,text/html,text/html,es,Pinterest - España
168522,20200731,pinterest.es,https://www.pinterest.es/,text/html,text/html,es,Pinterest - España
190498,20200814,pinterest.es,https://www.pinterest.es/,text/html,text/html,es,Pinterest - España
203293,20200821,pinterest.es,https://www.pinterest.es/,text/html,text/html,es,Pinterest - España
240273,20200911,pinterest.es,https://www.pinterest.es/,text/html,text/html,es,Pinterest - España
275533,20201002,pinterest.es,https://www.pinterest.es/,text/html,text/html,es,Pinterest - España
287610,20201009,pinterest.es,https://www.pinterest.es/,text/html,text/html,es,Pinterest - España
334284,20201106,pinterest.es,https://www.pinterest.es/,text/html,text/html,es,Pinterest - España
356624,20201120,pinterest.es,https://www.pinterest.es/,text/html,text/html,es,Pinterest - España
389089,20201211,pinterest.es,https://www.pinterest.es/,text/html,text/html,es,Pinterest - España
454690,20210129,pinterest.es,https://www.pinterest.es/,text/html,text/html,es,Pinterest - España
464736,20210205,pinterest.es,https://www.pinterest.es/,text/html,text/html,es,Pinterest - España
485146,20210219,pinterest.es,https://www.pinterest.es/,text/html,text/html,es,Pinterest - España
495397,20210226,pinterest.es,https://www.pinterest.es/,text/html,text/html,es,Pinterest - España
505728,20210305,pinterest.es,https://www.pinterest.es/,text/html,text/html,es,Pinterest - España
525913,20210319,pinterest.es,https://www.pinterest.es/,text/html,text/html,es,Pinterest - España
534953,20210326,pinterest.es,https://www.pinterest.es/,text/html,text/html,es,Pinterest - España
556227,20210409,pinterest.es,https://www.pinterest.es/pin/create/button/,text/html,text/html,es,Pinterest - España
566476,20210416,pinterest.es,https://www.pinterest.es/pin/create/button/,text/html,text/html,es,Pinterest - España Pinterest Today Explore Log in Sign up Privacy
576668,20210423,pinterest.es,https://www.pinterest.es/pin/create/button/,text/html,text/html,en,Pinterest - España Pinterest Today Explore Log in Sign up Pin Builder Privacy
587258,20210430,pinterest.es,https://www.pinterest.es/pin/create/button/,text/html,text/html,en,Pinterest - España Pinterest Today Explore Log in Sign up Pin Builder Privacy
597974,20210507,pinterest.es,https://www.pinterest.es/pin/create/button/,text/html,text/html,en,Pinterest - España Pinterest Today Explore Log in Sign up Pin Builder Privacy
608362,20210514,pinterest.es,https://www.pinterest.es/pin/create/button/,text/html,text/html,en,Pinterest - España Pinterest Today Explore Log in Sign up Pin Builder Privacy
618962,20210521,pinterest.es,https://www.pinterest.es/pin/create/button/,text/html,text/html,en,Pinterest - España Pinterest Today Explore Log in Sign up Pin Builder Privacy
629177,20210528,pinterest.es,https://www.pinterest.es/pin/create/button/,text/html,text/html,en,"Pinterest - España Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
639878,20210604,pinterest.es,https://www.pinterest.es/pin/create/button/,text/html,text/html,en,"Pinterest - España Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
650288,20210611,pinterest.es,https://www.pinterest.es/pin/create/button/,text/html,text/html,en,"Pinterest - España Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
660038,20210618,pinterest.es,https://www.pinterest.es/pin/create/button/,text/html,text/html,en,"Pinterest - España Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
