,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
8779,20200417,pinterest.ru,https://www.pinterest.ru/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
9050,20200417,pinterest.ru,https://www.pinterest.ru/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
14329,20200424,pinterest.ru,https://www.pinterest.ru/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
14597,20200424,pinterest.ru,https://www.pinterest.ru/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
19239,20200504,pinterest.ru,https://www.pinterest.ru/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
19508,20200504,pinterest.ru,https://www.pinterest.ru/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest Getting more ideas ready for you Oh no! Pinterest doesn't work unless you turn on JavaScript.
22724,20200515,pinterest.ru,https://www.pinterest.ru/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
22976,20200515,pinterest.ru,https://www.pinterest.ru/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
64569,20200522,pinterest.ru,https://www.pinterest.ru/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
64834,20200529,pinterest.ru,https://www.pinterest.ru/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
65134,20200522,pinterest.ru,https://www.pinterest.ru/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
65397,20200529,pinterest.ru,https://www.pinterest.ru/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
73254,20200529,pinterest.ru,https://www.pinterest.ru/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
73522,20200529,pinterest.ru,https://www.pinterest.ru/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
82962,20200605,pinterest.ru,https://www.pinterest.ru/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
93227,20200612,pinterest.ru,https://www.pinterest.ru/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
157539,20200724,pinterest.ru,https://www.pinterest.ru/,text/html,text/html,bg,Pinterest – Пинтерест
168573,20200731,pinterest.ru,https://www.pinterest.ru/,text/html,text/html,bg,Pinterest – Пинтерест
190576,20200814,pinterest.ru,https://www.pinterest.ru/,text/html,text/html,bg,Pinterest – Пинтерест
203357,20200821,pinterest.ru,https://www.pinterest.ru/,text/html,text/html,bg,Pinterest – Пинтерест
240305,20200911,pinterest.ru,https://www.pinterest.ru/,text/html,text/html,bg,Pinterest – Пинтерест
275569,20201002,pinterest.ru,https://www.pinterest.ru/,text/html,text/html,bg,Pinterest – Пинтерест
287648,20201009,pinterest.ru,https://www.pinterest.ru/,text/html,text/html,bg,Pinterest – Пинтерест
334323,20201106,pinterest.ru,https://www.pinterest.ru/,text/html,text/html,bg,Pinterest – Пинтерест
356665,20201120,pinterest.ru,https://www.pinterest.ru/,text/html,text/html,bg,Pinterest – Пинтерест
389147,20201211,pinterest.ru,https://www.pinterest.ru/,text/html,text/html,bg,Pinterest – Пинтерест
454698,20210129,pinterest.ru,https://www.pinterest.ru/,text/html,text/html,bg,Pinterest – Пинтерест
464763,20210205,pinterest.ru,https://www.pinterest.ru/,text/html,text/html,bg,Pinterest – Пинтерест
485211,20210219,pinterest.ru,https://www.pinterest.ru/,text/html,text/html,bg,Pinterest – Пинтерест
495431,20210226,pinterest.ru,https://www.pinterest.ru/,text/html,text/html,bg,Pinterest – Пинтерест
505787,20210305,pinterest.ru,https://www.pinterest.ru/,text/html,text/html,bg,Pinterest – Пинтерест
525972,20210319,pinterest.ru,https://www.pinterest.ru/,text/html,text/html,bg,Pinterest – Пинтерест
535032,20210326,pinterest.ru,https://www.pinterest.ru/,text/html,text/html,bg,Pinterest – Пинтерест
556244,20210409,pinterest.ru,https://www.pinterest.ru/pin/create/button/,text/html,text/html,bg,Pinterest – Пинтерест
566501,20210416,pinterest.ru,https://www.pinterest.ru/pin/create/button/,text/html,text/html,en,Pinterest – Пинтерест Pinterest Today Explore Log in Sign up Privacy
576709,20210423,pinterest.ru,https://www.pinterest.ru/pin/create/button/,text/html,text/html,en,Pinterest – Пинтерест Pinterest Today Explore Log in Sign up Pin Builder Privacy
587285,20210430,pinterest.ru,https://www.pinterest.ru/pin/create/button/,text/html,text/html,en,Pinterest – Пинтерест Pinterest Today Explore Log in Sign up Pin Builder Privacy
598001,20210507,pinterest.ru,https://www.pinterest.ru/pin/create/button/,text/html,text/html,en,Pinterest – Пинтерест Pinterest Today Explore Log in Sign up Pin Builder Privacy
608388,20210514,pinterest.ru,https://www.pinterest.ru/pin/create/button/,text/html,text/html,en,Pinterest – Пинтерест Pinterest Today Explore Log in Sign up Pin Builder Privacy
618983,20210521,pinterest.ru,https://www.pinterest.ru/pin/create/button/,text/html,text/html,en,Pinterest – Пинтерест Pinterest Today Explore Log in Sign up Pin Builder Privacy
629223,20210528,pinterest.ru,https://www.pinterest.ru/pin/create/button/,text/html,text/html,en,"Pinterest – Пинтерест Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
639904,20210604,pinterest.ru,https://www.pinterest.ru/pin/create/button/,text/html,text/html,en,"Pinterest – Пинтерест Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
650345,20210611,pinterest.ru,https://www.pinterest.ru/pin/create/button/,text/html,text/html,en,"Pinterest – Пинтерест Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
660083,20210618,pinterest.ru,https://www.pinterest.ru/pin/create/button/,text/html,text/html,en,"Pinterest – Пинтерест Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
666020,20210625,pinterest.ru,https://www.pinterest.ru/pin/create/button/,text/html,text/html,en,"Pinterest – Пинтерест Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
671957,20210702,pinterest.ru,https://www.pinterest.ru/pin/create/button/,text/html,text/html,en,"Pinterest – Пинтерест Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
677849,20210709,pinterest.ru,https://www.pinterest.ru/pin/create/button/,text/html,text/html,en,"Pinterest – Пинтерест Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
683754,20210716,pinterest.ru,https://www.pinterest.ru/pin/create/button/,text/html,text/html,en,"Pinterest – Пинтерест Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
689869,20210723,pinterest.ru,https://www.pinterest.ru/pin/create/button/,text/html,text/html,en,"Pinterest – Пинтерест Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
695363,20210730,pinterest.ru,https://www.pinterest.ru/pin/create/button/,text/html,text/html,en,"Pinterest – Пинтерест Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
701276,20210806,pinterest.ru,https://www.pinterest.ru/pin/create/button/,text/html,text/html,en,"Pinterest – Пинтерест Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
707904,20210813,pinterest.ru,https://www.pinterest.ru/pin/create/button/,text/html,text/html,en,"Pinterest – Пинтерест Pinterest Today Explore When autocomplete results are available use up and down arrows to review and enter to select. Touch device users, explore by touch or with swipe gestures. Log in Sign up Pin Builder Privacy"
