,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
5415,20200417,player.vimeo.com,https://player.vimeo.com/video/73896719?title=0&byline=0&portrait=0&color=ffffff,text/html,text/html,en,Your Niagara Public Library from Electric Dreams Video on Vimeo
5743,20200417,player.vimeo.com,https://player.vimeo.com/video/136304132?title=0&byline=0&portrait=0,text/html,text/html,en,Sugarloaf Marina from Lifestyle Integrated Inc on Vimeo
5992,20200417,player.vimeo.com,https://player.vimeo.com/video/63522168,text/html,text/html,en,Poop Talk - It's All About The Water from Sticks and Stones Productions on Vimeo
8462,20200417,player.vimeo.com,https://player.vimeo.com/video/397628849,text/html,text/html,en,Coronavirus Update NWC from Niagara Worship Centre on Vimeo
8463,20200417,player.vimeo.com,https://player.vimeo.com/video/397628849,text/html,text/html,en,Coronavirus Update NWC from Niagara Worship Centre on Vimeo
12330,20200424,player.vimeo.com,https://player.vimeo.com/video/73896719?title=0&byline=0&portrait=0&color=ffffff,text/html,text/html,en,Your Niagara Public Library from Electric Dreams Video on Vimeo
12681,20200425,player.vimeo.com,https://player.vimeo.com/video/136304132?title=0&byline=0&portrait=0,text/html,text/html,en,Sugarloaf Marina from Lifestyle Integrated Inc on Vimeo
13054,20200424,player.vimeo.com,https://player.vimeo.com/video/63522168,text/html,text/html,en,Poop Talk - It's All About The Water from Sticks and Stones Productions on Vimeo
14002,20200424,player.vimeo.com,https://player.vimeo.com/video/397628849,text/html,text/html,en,Coronavirus Update NWC from Niagara Worship Centre on Vimeo
14003,20200424,player.vimeo.com,https://player.vimeo.com/video/397628849,text/html,text/html,en,Coronavirus Update NWC from Niagara Worship Centre on Vimeo
16505,20200504,player.vimeo.com,https://player.vimeo.com/video/73896719?title=0&byline=0&portrait=0&color=ffffff,text/html,text/html,en,Your Niagara Public Library from Electric Dreams Video on Vimeo
16849,20200504,player.vimeo.com,https://player.vimeo.com/video/136304132?title=0&byline=0&portrait=0,text/html,text/html,en,Sugarloaf Marina from Lifestyle Integrated Inc on Vimeo
17527,20200504,player.vimeo.com,https://player.vimeo.com/video/63522168,text/html,text/html,en,Poop Talk - It's All About The Water from Sticks and Stones Productions on Vimeo
18959,20200504,player.vimeo.com,https://player.vimeo.com/video/397628849,text/html,text/html,en,Coronavirus Update NWC from Niagara Worship Centre on Vimeo
21062,20200515,player.vimeo.com,https://player.vimeo.com/video/73896719?title=0&byline=0&portrait=0&color=ffffff,text/html,text/html,en,Your Niagara Public Library from Electric Dreams Video on Vimeo
21480,20200516,player.vimeo.com,https://player.vimeo.com/video/63522168,text/html,text/html,en,Poop Talk - It's All About The Water from Sticks and Stones Productions on Vimeo
22276,20200515,player.vimeo.com,https://player.vimeo.com/video/414381592?start&end&wmode=opaque&loop=0&controls=1&mute=0&rel=0&modestbranding=0,text/html,text/html,en,One Family in Mission. An invitation from The Anglican Church of Canada on Vimeo
22385,20200515,player.vimeo.com,https://player.vimeo.com/video/397628849,text/html,text/html,en,Coronavirus Update NWC from Niagara Worship Centre on Vimeo
