,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
24480,20200706,polarcdn-terrax.com,https://polarcdn-terrax.com/privacy/v1.0.0/html/optout/readwrite/,text/html,text/html,en,"Polar Tracking Opt-Out Polar Tracking Opt-Out For more information, see Polar's Interest-Based Advertising Preference Opt-Out Tool"
24590,20200706,polarcdn-terrax.com,https://polarcdn-terrax.com/privacy/v1.0.0/html/optout/readwrite/,text/html,text/html,en,"Polar Tracking Opt-Out Polar Tracking Opt-Out For more information, see Polar's Interest-Based Advertising Preference Opt-Out Tool"
24611,20200706,polarcdn-terrax.com,https://polarcdn-terrax.com/privacy/v1.0.0/html/optout/readwrite/,text/html,text/html,en,"Polar Tracking Opt-Out Polar Tracking Opt-Out For more information, see Polar's Interest-Based Advertising Preference Opt-Out Tool"
24630,20200706,polarcdn-terrax.com,https://polarcdn-terrax.com/privacy/v1.0.0/html/optout/readwrite/,text/html,text/html,en,"Polar Tracking Opt-Out Polar Tracking Opt-Out For more information, see Polar's Interest-Based Advertising Preference Opt-Out Tool"
24647,20200706,polarcdn-terrax.com,https://polarcdn-terrax.com/privacy/v1.0.0/html/optout/readwrite/,text/html,text/html,en,"Polar Tracking Opt-Out Polar Tracking Opt-Out For more information, see Polar's Interest-Based Advertising Preference Opt-Out Tool"
24666,20200706,polarcdn-terrax.com,https://polarcdn-terrax.com/privacy/v1.0.0/html/optout/readwrite/,text/html,text/html,en,"Polar Tracking Opt-Out Polar Tracking Opt-Out For more information, see Polar's Interest-Based Advertising Preference Opt-Out Tool"
24684,20200706,polarcdn-terrax.com,https://polarcdn-terrax.com/privacy/v1.0.0/html/optout/readwrite/,text/html,text/html,en,"Polar Tracking Opt-Out Polar Tracking Opt-Out For more information, see Polar's Interest-Based Advertising Preference Opt-Out Tool"
24702,20200706,polarcdn-terrax.com,https://polarcdn-terrax.com/privacy/v1.0.0/html/optout/readwrite/,text/html,text/html,en,"Polar Tracking Opt-Out Polar Tracking Opt-Out For more information, see Polar's Interest-Based Advertising Preference Opt-Out Tool"
24722,20200706,polarcdn-terrax.com,https://polarcdn-terrax.com/privacy/v1.0.0/html/optout/readwrite/,text/html,text/html,en,"Polar Tracking Opt-Out Polar Tracking Opt-Out For more information, see Polar's Interest-Based Advertising Preference Opt-Out Tool"
24740,20200706,polarcdn-terrax.com,https://polarcdn-terrax.com/privacy/v1.0.0/html/optout/readwrite/,text/html,text/html,en,"Polar Tracking Opt-Out Polar Tracking Opt-Out For more information, see Polar's Interest-Based Advertising Preference Opt-Out Tool"
24755,20200706,polarcdn-terrax.com,https://polarcdn-terrax.com/privacy/v1.0.0/html/optout/readwrite/,text/html,text/html,en,"Polar Tracking Opt-Out Polar Tracking Opt-Out For more information, see Polar's Interest-Based Advertising Preference Opt-Out Tool"
24774,20200706,polarcdn-terrax.com,https://polarcdn-terrax.com/privacy/v1.0.0/html/optout/readwrite/,text/html,text/html,en,"Polar Tracking Opt-Out Polar Tracking Opt-Out For more information, see Polar's Interest-Based Advertising Preference Opt-Out Tool"
24789,20200706,polarcdn-terrax.com,https://polarcdn-terrax.com/privacy/v1.0.0/html/optout/readwrite/,text/html,text/html,en,"Polar Tracking Opt-Out Polar Tracking Opt-Out For more information, see Polar's Interest-Based Advertising Preference Opt-Out Tool"
24808,20200706,polarcdn-terrax.com,https://polarcdn-terrax.com/privacy/v1.0.0/html/optout/readwrite/,text/html,text/html,en,"Polar Tracking Opt-Out Polar Tracking Opt-Out For more information, see Polar's Interest-Based Advertising Preference Opt-Out Tool"
24829,20200706,polarcdn-terrax.com,https://polarcdn-terrax.com/privacy/v1.0.0/html/optout/readwrite/,text/html,text/html,en,"Polar Tracking Opt-Out Polar Tracking Opt-Out For more information, see Polar's Interest-Based Advertising Preference Opt-Out Tool"
24845,20200706,polarcdn-terrax.com,https://polarcdn-terrax.com/privacy/v1.0.0/html/optout/readwrite/,text/html,text/html,en,"Polar Tracking Opt-Out Polar Tracking Opt-Out For more information, see Polar's Interest-Based Advertising Preference Opt-Out Tool"
24863,20200706,polarcdn-terrax.com,https://polarcdn-terrax.com/privacy/v1.0.0/html/optout/readwrite/,text/html,text/html,en,"Polar Tracking Opt-Out Polar Tracking Opt-Out For more information, see Polar's Interest-Based Advertising Preference Opt-Out Tool"
24878,20200706,polarcdn-terrax.com,https://polarcdn-terrax.com/privacy/v1.0.0/html/optout/readwrite/,text/html,text/html,en,"Polar Tracking Opt-Out Polar Tracking Opt-Out For more information, see Polar's Interest-Based Advertising Preference Opt-Out Tool"
24896,20200706,polarcdn-terrax.com,https://polarcdn-terrax.com/privacy/v1.0.0/html/optout/readwrite/,text/html,text/html,en,"Polar Tracking Opt-Out Polar Tracking Opt-Out For more information, see Polar's Interest-Based Advertising Preference Opt-Out Tool"
24911,20200706,polarcdn-terrax.com,https://polarcdn-terrax.com/privacy/v1.0.0/html/optout/readwrite/,text/html,text/html,en,"Polar Tracking Opt-Out Polar Tracking Opt-Out For more information, see Polar's Interest-Based Advertising Preference Opt-Out Tool"
24923,20200706,polarcdn-terrax.com,https://polarcdn-terrax.com/privacy/v1.0.0/html/optout/readwrite/,text/html,text/html,en,"Polar Tracking Opt-Out Polar Tracking Opt-Out For more information, see Polar's Interest-Based Advertising Preference Opt-Out Tool"
24941,20200706,polarcdn-terrax.com,https://polarcdn-terrax.com/privacy/v1.0.0/html/optout/readwrite/,text/html,text/html,en,"Polar Tracking Opt-Out Polar Tracking Opt-Out For more information, see Polar's Interest-Based Advertising Preference Opt-Out Tool"
24957,20200706,polarcdn-terrax.com,https://polarcdn-terrax.com/privacy/v1.0.0/html/optout/readwrite/,text/html,text/html,en,"Polar Tracking Opt-Out Polar Tracking Opt-Out For more information, see Polar's Interest-Based Advertising Preference Opt-Out Tool"
24973,20200706,polarcdn-terrax.com,https://polarcdn-terrax.com/privacy/v1.0.0/html/optout/readwrite/,text/html,text/html,en,"Polar Tracking Opt-Out Polar Tracking Opt-Out For more information, see Polar's Interest-Based Advertising Preference Opt-Out Tool"
24994,20200706,polarcdn-terrax.com,https://polarcdn-terrax.com/privacy/v1.0.0/html/optout/readwrite/,text/html,text/html,en,"Polar Tracking Opt-Out Polar Tracking Opt-Out For more information, see Polar's Interest-Based Advertising Preference Opt-Out Tool"
25011,20200706,polarcdn-terrax.com,https://polarcdn-terrax.com/privacy/v1.0.0/html/optout/readwrite/,text/html,text/html,en,"Polar Tracking Opt-Out Polar Tracking Opt-Out For more information, see Polar's Interest-Based Advertising Preference Opt-Out Tool"
25027,20200706,polarcdn-terrax.com,https://polarcdn-terrax.com/privacy/v1.0.0/html/optout/readwrite/,text/html,text/html,en,"Polar Tracking Opt-Out Polar Tracking Opt-Out For more information, see Polar's Interest-Based Advertising Preference Opt-Out Tool"
25041,20200706,polarcdn-terrax.com,https://polarcdn-terrax.com/privacy/v1.0.0/html/optout/readwrite/,text/html,text/html,en,"Polar Tracking Opt-Out Polar Tracking Opt-Out For more information, see Polar's Interest-Based Advertising Preference Opt-Out Tool"
25061,20200706,polarcdn-terrax.com,https://polarcdn-terrax.com/privacy/v1.0.0/html/optout/readwrite/,text/html,text/html,en,"Polar Tracking Opt-Out Polar Tracking Opt-Out For more information, see Polar's Interest-Based Advertising Preference Opt-Out Tool"
25081,20200706,polarcdn-terrax.com,https://polarcdn-terrax.com/privacy/v1.0.0/html/optout/readwrite/,text/html,text/html,en,"Polar Tracking Opt-Out Polar Tracking Opt-Out For more information, see Polar's Interest-Based Advertising Preference Opt-Out Tool"
25096,20200706,polarcdn-terrax.com,https://polarcdn-terrax.com/privacy/v1.0.0/html/optout/readwrite/,text/html,text/html,en,"Polar Tracking Opt-Out Polar Tracking Opt-Out For more information, see Polar's Interest-Based Advertising Preference Opt-Out Tool"
25114,20200706,polarcdn-terrax.com,https://polarcdn-terrax.com/privacy/v1.0.0/html/optout/readwrite/,text/html,text/html,en,"Polar Tracking Opt-Out Polar Tracking Opt-Out For more information, see Polar's Interest-Based Advertising Preference Opt-Out Tool"
25127,20200706,polarcdn-terrax.com,https://polarcdn-terrax.com/privacy/v1.0.0/html/optout/readwrite/,text/html,,,
25144,20200706,polarcdn-terrax.com,https://polarcdn-terrax.com/privacy/v1.0.0/html/optout/readwrite/,text/html,text/html,en,"Polar Tracking Opt-Out Polar Tracking Opt-Out For more information, see Polar's Interest-Based Advertising Preference Opt-Out Tool"
25159,20200706,polarcdn-terrax.com,https://polarcdn-terrax.com/privacy/v1.0.0/html/optout/readwrite/,text/html,text/html,en,"Polar Tracking Opt-Out Polar Tracking Opt-Out For more information, see Polar's Interest-Based Advertising Preference Opt-Out Tool"
25174,20200706,polarcdn-terrax.com,https://polarcdn-terrax.com/privacy/v1.0.0/html/optout/readwrite/,text/html,text/html,en,"Polar Tracking Opt-Out Polar Tracking Opt-Out For more information, see Polar's Interest-Based Advertising Preference Opt-Out Tool"
25189,20200706,polarcdn-terrax.com,https://polarcdn-terrax.com/privacy/v1.0.0/html/optout/readwrite/,text/html,text/html,en,"Polar Tracking Opt-Out Polar Tracking Opt-Out For more information, see Polar's Interest-Based Advertising Preference Opt-Out Tool"
25205,20200706,polarcdn-terrax.com,https://polarcdn-terrax.com/privacy/v1.0.0/html/optout/readwrite/,text/html,text/html,en,"Polar Tracking Opt-Out Polar Tracking Opt-Out For more information, see Polar's Interest-Based Advertising Preference Opt-Out Tool"
25225,20200706,polarcdn-terrax.com,https://polarcdn-terrax.com/privacy/v1.0.0/html/optout/readwrite/,text/html,text/html,en,"Polar Tracking Opt-Out Polar Tracking Opt-Out For more information, see Polar's Interest-Based Advertising Preference Opt-Out Tool"
25241,20200706,polarcdn-terrax.com,https://polarcdn-terrax.com/privacy/v1.0.0/html/optout/readwrite/,text/html,text/html,en,"Polar Tracking Opt-Out Polar Tracking Opt-Out For more information, see Polar's Interest-Based Advertising Preference Opt-Out Tool"
25262,20200706,polarcdn-terrax.com,https://polarcdn-terrax.com/privacy/v1.0.0/html/optout/readwrite/,text/html,text/html,en,"Polar Tracking Opt-Out Polar Tracking Opt-Out For more information, see Polar's Interest-Based Advertising Preference Opt-Out Tool"
25278,20200706,polarcdn-terrax.com,https://polarcdn-terrax.com/privacy/v1.0.0/html/optout/readwrite/,text/html,text/html,en,"Polar Tracking Opt-Out Polar Tracking Opt-Out For more information, see Polar's Interest-Based Advertising Preference Opt-Out Tool"
25297,20200706,polarcdn-terrax.com,https://polarcdn-terrax.com/privacy/v1.0.0/html/optout/readwrite/,text/html,text/html,en,"Polar Tracking Opt-Out Polar Tracking Opt-Out For more information, see Polar's Interest-Based Advertising Preference Opt-Out Tool"
25313,20200706,polarcdn-terrax.com,https://polarcdn-terrax.com/privacy/v1.0.0/html/optout/readwrite/,text/html,text/html,en,"Polar Tracking Opt-Out Polar Tracking Opt-Out For more information, see Polar's Interest-Based Advertising Preference Opt-Out Tool"
25328,20200706,polarcdn-terrax.com,https://polarcdn-terrax.com/privacy/v1.0.0/html/optout/readwrite/,text/html,text/html,en,"Polar Tracking Opt-Out Polar Tracking Opt-Out For more information, see Polar's Interest-Based Advertising Preference Opt-Out Tool"
25347,20200706,polarcdn-terrax.com,https://polarcdn-terrax.com/privacy/v1.0.0/html/optout/readwrite/,text/html,text/html,en,"Polar Tracking Opt-Out Polar Tracking Opt-Out For more information, see Polar's Interest-Based Advertising Preference Opt-Out Tool"
25363,20200706,polarcdn-terrax.com,https://polarcdn-terrax.com/privacy/v1.0.0/html/optout/readwrite/,text/html,text/html,en,"Polar Tracking Opt-Out Polar Tracking Opt-Out For more information, see Polar's Interest-Based Advertising Preference Opt-Out Tool"
25376,20200706,polarcdn-terrax.com,https://polarcdn-terrax.com/privacy/v1.0.0/html/optout/readwrite/,text/html,,,
25397,20200706,polarcdn-terrax.com,https://polarcdn-terrax.com/privacy/v1.0.0/html/optout/readwrite/,text/html,text/html,en,"Polar Tracking Opt-Out Polar Tracking Opt-Out For more information, see Polar's Interest-Based Advertising Preference Opt-Out Tool"
25414,20200706,polarcdn-terrax.com,https://polarcdn-terrax.com/privacy/v1.0.0/html/optout/readwrite/,text/html,text/html,en,"Polar Tracking Opt-Out Polar Tracking Opt-Out For more information, see Polar's Interest-Based Advertising Preference Opt-Out Tool"
25429,20200706,polarcdn-terrax.com,https://polarcdn-terrax.com/privacy/v1.0.0/html/optout/readwrite/,text/html,text/html,en,"Polar Tracking Opt-Out Polar Tracking Opt-Out For more information, see Polar's Interest-Based Advertising Preference Opt-Out Tool"
25443,20200706,polarcdn-terrax.com,https://polarcdn-terrax.com/privacy/v1.0.0/html/optout/readwrite/,text/html,,,
25457,20200706,polarcdn-terrax.com,https://polarcdn-terrax.com/privacy/v1.0.0/html/optout/readwrite/,text/html,text/html,en,"Polar Tracking Opt-Out Polar Tracking Opt-Out For more information, see Polar's Interest-Based Advertising Preference Opt-Out Tool"
