,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
506338,20210312,popcard.unibuddy.co,https://popcard.unibuddy.co/,text/html,text/html,en,Unibuddy - Chat with Current Students
516394,20210319,popcard.unibuddy.co,https://popcard.unibuddy.co/,text/html,text/html,en,Unibuddy - Chat with Current Students
526520,20210326,popcard.unibuddy.co,https://popcard.unibuddy.co/,text/html,,,
535530,20210402,popcard.unibuddy.co,https://popcard.unibuddy.co/,text/html,,,
546192,20210409,popcard.unibuddy.co,https://popcard.unibuddy.co/,text/html,text/html,en,Unibuddy - Chat with Current Students
556771,20210416,popcard.unibuddy.co,https://popcard.unibuddy.co/,text/html,text/html,en,Unibuddy - Chat with Current Students
566943,20210423,popcard.unibuddy.co,https://popcard.unibuddy.co/,text/html,text/html,en,Unibuddy - Chat with Current Students
577246,20210430,popcard.unibuddy.co,https://popcard.unibuddy.co/,text/html,,,
587645,20210507,popcard.unibuddy.co,https://popcard.unibuddy.co/,text/html,text/html,en,Unibuddy - Chat with Current Students
598352,20210514,popcard.unibuddy.co,https://popcard.unibuddy.co/,text/html,text/html,en,Unibuddy - Chat with Current Students
608793,20210521,popcard.unibuddy.co,https://popcard.unibuddy.co/,text/html,text/html,en,Unibuddy - Chat with Current Students
619307,20210528,popcard.unibuddy.co,https://popcard.unibuddy.co/,text/html,text/html,en,Unibuddy - Chat with Current Students
629697,20210604,popcard.unibuddy.co,https://popcard.unibuddy.co/,text/html,,,
640310,20210611,popcard.unibuddy.co,https://popcard.unibuddy.co/,text/html,text/html,en,Unibuddy - Chat with Current Students
650911,20210618,popcard.unibuddy.co,https://popcard.unibuddy.co/,text/html,text/html,en,Unibuddy - Chat with Current Students
660667,20210625,popcard.unibuddy.co,https://popcard.unibuddy.co/,text/html,,,
666476,20210702,popcard.unibuddy.co,https://popcard.unibuddy.co/,text/html,,,
672440,20210709,popcard.unibuddy.co,https://popcard.unibuddy.co/,text/html,,,
678375,20210716,popcard.unibuddy.co,https://popcard.unibuddy.co/,text/html,,,
684327,20210723,popcard.unibuddy.co,https://popcard.unibuddy.co/,text/html,,,
690311,20210730,popcard.unibuddy.co,https://popcard.unibuddy.co/,text/html,text/html,en,Unibuddy - Chat with Current Students
695955,20210806,popcard.unibuddy.co,https://popcard.unibuddy.co/,text/html,,,
701831,20210813,popcard.unibuddy.co,https://popcard.unibuddy.co/,text/html,,,
708338,20210820,popcard.unibuddy.co,https://popcard.unibuddy.co/,text/html,,,
715090,20210827,popcard.unibuddy.co,https://popcard.unibuddy.co/,text/html,text/html,en,Unibuddy - Chat with Current Students
721380,20210903,popcard.unibuddy.co,https://popcard.unibuddy.co/,text/html,text/html,en,Unibuddy - Chat with Current Students
727102,20210910,popcard.unibuddy.co,https://popcard.unibuddy.co/,text/html,text/html,en,Unibuddy - Chat with Current Students
732826,20210917,popcard.unibuddy.co,https://popcard.unibuddy.co/,text/html,text/html,en,Unibuddy - Chat with Current Students
738616,20210924,popcard.unibuddy.co,https://popcard.unibuddy.co/,text/html,text/html,en,Unibuddy - Chat with Current Students
744354,20211001,popcard.unibuddy.co,https://popcard.unibuddy.co/,text/html,,,
750285,20211008,popcard.unibuddy.co,https://popcard.unibuddy.co/,text/html,,,
