,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
188450,20200814,progallery.wixapps.net,https://progallery.wixapps.net/gallery.html,text/html,text/html,en,Wix Pro Gallery
201250,20200821,progallery.wixapps.net,https://progallery.wixapps.net/gallery.html,text/html,text/html,en,Wix Pro Gallery
213172,20200828,progallery.wixapps.net,https://progallery.wixapps.net/gallery.html,text/html,text/html,en,Wix Pro Gallery
225448,20200904,progallery.wixapps.net,https://progallery.wixapps.net/gallery.html,text/html,text/html,en,Wix Pro Gallery
225452,20200904,progallery.wixapps.net,https://progallery.wixapps.net/fullscreen,text/html,text/html,en,Wix Pro Gallery
238561,20200911,progallery.wixapps.net,https://progallery.wixapps.net/gallery.html,text/html,text/html,en,Wix Pro Gallery
238564,20200911,progallery.wixapps.net,https://progallery.wixapps.net/fullscreen,text/html,text/html,en,Wix Pro Gallery
249441,20200918,progallery.wixapps.net,https://progallery.wixapps.net/gallery.html,text/html,text/html,en,Wix Pro Gallery
249448,20200918,progallery.wixapps.net,https://progallery.wixapps.net/fullscreen,text/html,text/html,en,Wix Pro Gallery
261878,20200925,progallery.wixapps.net,https://progallery.wixapps.net/gallery.html,text/html,text/html,en,Wix Pro Gallery
261880,20200925,progallery.wixapps.net,https://progallery.wixapps.net/fullscreen,text/html,text/html,en,Wix Pro Gallery
273387,20201002,progallery.wixapps.net,https://progallery.wixapps.net/gallery.html,text/html,text/html,en,Wix Pro Gallery
273389,20201002,progallery.wixapps.net,https://progallery.wixapps.net/fullscreen,text/html,text/html,en,Wix Pro Gallery
285819,20201009,progallery.wixapps.net,https://progallery.wixapps.net/gallery.html,text/html,text/html,en,Wix Pro Gallery
285820,20201009,progallery.wixapps.net,https://progallery.wixapps.net/fullscreen,text/html,text/html,en,Wix Pro Gallery
297587,20201016,progallery.wixapps.net,https://progallery.wixapps.net/gallery.html,text/html,text/html,en,Wix Pro Gallery
297594,20201016,progallery.wixapps.net,https://progallery.wixapps.net/fullscreen,text/html,text/html,en,Wix Pro Gallery
309312,20201023,progallery.wixapps.net,https://progallery.wixapps.net/gallery.html,text/html,text/html,en,Wix Pro Gallery
309321,20201023,progallery.wixapps.net,https://progallery.wixapps.net/fullscreen,text/html,text/html,en,Wix Pro Gallery
