,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
30341,20201005,r1.visualwebsiteoptimizer.com,https://r1.visualwebsiteoptimizer.com/analyze?_a=354908&_u=https%3A%2F%2Fwww.stcatharinesstandard.ca%2Fnews%2Fniagara-region%2F2020%2F09%2F21%2Feastdale-high-school-reports-second-covid-19-case.html,image/gif,,,
30342,20201005,r1.visualwebsiteoptimizer.com,https://r1.visualwebsiteoptimizer.com/analyze?_a=354908&_u=https%3A%2F%2Fwww.stcatharinesstandard.ca%2Fnews%2Fniagara-region%2F2020%2F09%2F21%2Feastdale-high-school-reports-second-covid-19-case.html,image/gif,,,
30348,20201005,r1.visualwebsiteoptimizer.com,https://r1.visualwebsiteoptimizer.com/analyze?_a=354908&_u=https%3A%2F%2Fwww.stcatharinesstandard.ca%2Fnews%2Fniagara-region%2F2020%2F09%2F21%2Feastdale-high-school-reports-second-covid-19-case.html,image/gif,,,
30349,20201005,r1.visualwebsiteoptimizer.com,https://r1.visualwebsiteoptimizer.com/analyze?_a=354908&_u=https%3A%2F%2Fwww.stcatharinesstandard.ca%2Fnews%2Fniagara-region%2F2020%2F09%2F21%2Feastdale-high-school-reports-second-covid-19-case.html,image/gif,,,
30350,20201005,r1.visualwebsiteoptimizer.com,https://r1.visualwebsiteoptimizer.com/analyze?_a=354908&_u=https%3A%2F%2Fwww.stcatharinesstandard.ca%2Fnews%2Fniagara-region%2F2020%2F09%2F21%2Feastdale-high-school-reports-second-covid-19-case.html,image/gif,,,
30351,20201005,r1.visualwebsiteoptimizer.com,https://r1.visualwebsiteoptimizer.com/analyze?_a=354908&_u=https%3A%2F%2Fwww.stcatharinesstandard.ca%2Fnews%2Fniagara-region%2F2020%2F09%2F21%2Feastdale-high-school-reports-second-covid-19-case.html,image/gif,,,
30353,20201005,r1.visualwebsiteoptimizer.com,https://r1.visualwebsiteoptimizer.com/analyze?_a=354908&_u=https%3A%2F%2Fwww.stcatharinesstandard.ca%2Fnews%2Fniagara-region%2F2020%2F09%2F21%2Feastdale-high-school-reports-second-covid-19-case.html,image/gif,,,
30354,20201005,r1.visualwebsiteoptimizer.com,https://r1.visualwebsiteoptimizer.com/analyze?_a=354908&_u=https%3A%2F%2Fwww.stcatharinesstandard.ca%2Fnews%2Fniagara-region%2F2020%2F09%2F21%2Feastdale-high-school-reports-second-covid-19-case.html,image/gif,,,
30355,20201005,r1.visualwebsiteoptimizer.com,https://r1.visualwebsiteoptimizer.com/analyze?_a=354908&_u=https%3A%2F%2Fwww.stcatharinesstandard.ca%2Fnews%2Fniagara-region%2F2020%2F09%2F21%2Feastdale-high-school-reports-second-covid-19-case.html,image/gif,,,
30356,20201005,r1.visualwebsiteoptimizer.com,https://r1.visualwebsiteoptimizer.com/analyze?_a=354908&_u=https%3A%2F%2Fwww.stcatharinesstandard.ca%2Fnews%2Fniagara-region%2F2020%2F09%2F21%2Feastdale-high-school-reports-second-covid-19-case.html,image/gif,,,
30357,20201005,r1.visualwebsiteoptimizer.com,https://r1.visualwebsiteoptimizer.com/analyze?_a=354908&_u=https%3A%2F%2Fwww.stcatharinesstandard.ca%2Fnews%2Fniagara-region%2F2020%2F09%2F21%2Feastdale-high-school-reports-second-covid-19-case.html,image/gif,,,
