,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
8774,20200417,ro.pinterest.com,https://ro.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
9045,20200417,ro.pinterest.com,https://ro.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
14301,20200424,ro.pinterest.com,https://ro.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
14582,20200424,ro.pinterest.com,https://ro.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
19232,20200504,ro.pinterest.com,https://ro.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest Pulling up ideas just for you Oh no! Pinterest doesn't work unless you turn on JavaScript.
19451,20200504,ro.pinterest.com,https://ro.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest Here come more ideas! Oh no! Pinterest doesn't work unless you turn on JavaScript.
22709,20200515,ro.pinterest.com,https://ro.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
22921,20200515,ro.pinterest.com,https://ro.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
64550,20200522,ro.pinterest.com,https://ro.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
64807,20200529,ro.pinterest.com,https://ro.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
65088,20200522,ro.pinterest.com,https://ro.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
65389,20200529,ro.pinterest.com,https://ro.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
73228,20200529,ro.pinterest.com,https://ro.pinterest.com/nfpl/,text/html,text/html,en,Niagara Falls Public Library (Ontario) (nfpl) on Pinterest
73502,20200529,ro.pinterest.com,https://ro.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
82945,20200605,ro.pinterest.com,https://ro.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
93208,20200612,ro.pinterest.com,https://ro.pinterest.com/pelhamlibrary/,text/html,text/html,en,Pelham Public Library (pelhamlibrary) on Pinterest
157475,20200724,ro.pinterest.com,https://ro.pinterest.com/,text/html,text/html,ro,Pinterest - România
168538,20200731,ro.pinterest.com,https://ro.pinterest.com/,text/html,text/html,ro,Pinterest - România
190571,20200814,ro.pinterest.com,https://ro.pinterest.com/,text/html,text/html,ro,Pinterest - România
203333,20200821,ro.pinterest.com,https://ro.pinterest.com/,text/html,text/html,ro,Pinterest - România
240260,20200911,ro.pinterest.com,https://ro.pinterest.com/,text/html,text/html,ro,Pinterest - România
275546,20201002,ro.pinterest.com,https://ro.pinterest.com/,text/html,text/html,ro,Pinterest - România
287612,20201009,ro.pinterest.com,https://ro.pinterest.com/,text/html,text/html,ro,Pinterest - România
334305,20201106,ro.pinterest.com,https://ro.pinterest.com/,text/html,text/html,ro,Pinterest - România
356642,20201120,ro.pinterest.com,https://ro.pinterest.com/,text/html,text/html,ro,Pinterest - România
389106,20201211,ro.pinterest.com,https://ro.pinterest.com/,text/html,text/html,ro,Pinterest - România
454656,20210129,ro.pinterest.com,https://ro.pinterest.com/,text/html,text/html,ro,Pinterest - România
464761,20210205,ro.pinterest.com,https://ro.pinterest.com/,text/html,text/html,ro,Pinterest - România
485154,20210219,ro.pinterest.com,https://ro.pinterest.com/,text/html,text/html,ro,Pinterest - România
495412,20210226,ro.pinterest.com,https://ro.pinterest.com/,text/html,text/html,ro,Pinterest - România
505750,20210305,ro.pinterest.com,https://ro.pinterest.com/,text/html,text/html,ro,Pinterest - România
525930,20210319,ro.pinterest.com,https://ro.pinterest.com/,text/html,text/html,ro,Pinterest - România
534996,20210326,ro.pinterest.com,https://ro.pinterest.com/,text/html,text/html,ro,Pinterest - România
556181,20210409,ro.pinterest.com,https://ro.pinterest.com/pin/create/button/,text/html,text/html,ro,Pinterest - România
566490,20210416,ro.pinterest.com,https://ro.pinterest.com/pin/create/button/,text/html,text/html,ro,Pinterest - România Pinterest Today Explore Log in Sign up Privacy
576706,20210423,ro.pinterest.com,https://ro.pinterest.com/pin/create/button/,text/html,text/html,ro,Pinterest - România Pinterest Today Explore Log in Sign up Pin Builder Privacy
