,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
6585,20200417,rogers.com,https://www.rogers.com/home,text/html,text/html,en,"Rogers: Wireless, Internet, TV, Home Monitoring, and Home phone Please enable JavaScript to continue using this application. Skip to main content Skip to site map Skip to accessibility services Personal Business ON Select a Province Alberta British Columbia Manitoba New Brunswick Newfoundland and Labrador Northwest Territories Nova Scotia Nunavut Ontario Prince Edward Island Quebec Saskatchewan Yukon FR Find a Store Sign in Shop Wireless TV Bundles Internet Home Phone Wireless Home Phone Home Monitoring Rogers Mastercard Promotions Why Choose Rogers MyRogers Support Search Quick links View Your Bill View Usage Roam Like Home Skip to main content Skip to site map Skip to accessibility services Search Quick links View Your Bill View Usage Roam Like Home Sign in Find a Store Shop Wireless TV Bundles Internet Home Phone Wireless Home Phone Home Monitoring Rogers Mastercard Promotions Why Choose Rogers MyRogers Support Ontario Alberta British Columbia Manitoba New Brunswick Newfoundland and Labrador Northwest Territories Nova Scotia Nunavut Ontario Prince Edward Island Quebec Saskatchewan Yukon Français Business Previous Helping keep you connected You can manage or make changes to your account online or on the MyRogers app. Learn more Sign in Ignite Self-Install Safe, contactless home delivery and easy installation for your Ignite TV and Ignite Internet services. Learn more Get a phone in hours With Rogers Pro On-the-GoTM Contactless delivery, with remote set-up support. Available in GTA. Browse phones Get Crave and save! 50% off Crave + Movies + HBO for 4 months Watch Hollywood’s biggest movies, plus shows from HBO, Showtime and Crave Originals! Learn more Next Pause Go to slide 1 Go to slide 2 Go to slide 3 Go to slide 4 Wireless Bundles Internet Home Monitoring Infinite data. No overages. Staying connected with loved ones is more important than ever. Add a family member to your Rogers InfiniteTM plan starting at $65/mo and share infinite data. Learn more Get iPhone XS in hours An amazing phone when you need it the most. Get iPhone XS 64 GB for $0 down and 0% interest with financing. Plus, we will deliver it to your door with Rogers Pro-on- the-GoTM. Learn more Online learning made easy Make these days at home a time for new learning experiences. Get a tablet with 3 GB of shareable data for 24 months for only $10/mo with financing when you add it to a Rogers InfiniteTM plan. Learn more View all offers Stay connected globally We understand how critical it is to stay connected to your family and friends across the world at this time. Check out our options for US & International Preferred rates. Learn more More reasons to choose Rogers Unlimited data plans With 5G-ready Rogers InfiniteTM plans, you’ll never have to worry about overages, and the more devices you add, the more data to share. 5G access is included with Rogers Infinite plans at no extra charge until March 2021. Learn more Affordable devices With financing and Upfront EdgeTM, we’ve made your favourite devices more affordable, today and every day. Learn more Our network Stream all the content you want on Canada’s most trusted network.* *Based on total wireless subscribers. Learn more WiFi you can count on Ignite WiFiTM Hub lets you control, protect and optimize your home network from anywhere. Learn more My Account, On the Go. Manage your account, check your usage or upgrade your device anytime, anywhere. Contact Us Find a store Investor Relations Corporate Social Responsibility Community Investment About Rogers Security Privacy, CRTC & Consumer Codes Ad Choices Careers Accessibility Services Rogers Mastercard Terms & Conditions Site Map Media Contact Unsubscribe Community Forums Contact Us Find a store © 1995 - 2020 Rogers Communications© 1995 - 2020Rogers Communications"
13662,20200424,rogers.com,https://www.rogers.com/home,text/html,text/html,en,"Rogers: Wireless, Internet, TV, Home Monitoring, and Home phone Please enable JavaScript to continue using this application. Skip to main content Skip to site map Skip to accessibility services Personal Business BC Select a Province Alberta British Columbia Manitoba New Brunswick Newfoundland and Labrador Northwest Territories Nova Scotia Nunavut Ontario Prince Edward Island Quebec Saskatchewan Yukon FR Find a Store Sign in Shop Wireless Mobile Internet Wireless Home Phone Home Monitoring Rogers Mastercard Promotions Why Choose Rogers MyRogers Support Search Quick links View Your Bill View Usage Roam Like Home Skip to main content Skip to site map Skip to accessibility services Search Quick links View Your Bill View Usage Roam Like Home Sign in Find a Store Shop Wireless Mobile Internet Wireless Home Phone Home Monitoring Rogers Mastercard Promotions Why Choose Rogers MyRogers Support British Columbia Alberta British Columbia Manitoba New Brunswick Newfoundland and Labrador Northwest Territories Nova Scotia Nunavut Ontario Prince Edward Island Quebec Saskatchewan Yukon Français Business Previous Helping keep you connected You can manage or make changes to your account online or on the MyRogers app. Learn more Sign in Get a phone in hours With Rogers Pro On-the-GoTM Contactless delivery, with remote set-up support. In Greater Vancouver! Browse phones Infinite data. No overages Get 20GB of max speed data for only $75/mo. For a limited time. Learn more Next Pause Go to slide 1 Go to slide 2 Go to slide 3 Wireless Home Monitoring Infinite data. No overages. Staying connected with loved ones is more important than ever. Add a family member to your Rogers InfiniteTM plan starting at $65/mo and share infinite data. Learn more Lots to love. Less to spend Take advantage of a powerful and affordable phone when you need it the most. Get iPhone SE for $0 down, 0% interest with financing. Plus, get it delivered to your door in hours with Rogers Pro On-the-GoTM. Learn more Online learning made easy Make these days at home a time for new learning experiences. Get a tablet with 3 GB of shareable data for 24 months for only $10/mo with financing when you add it to a Rogers InfiniteTM plan. Learn more View all offers Stay connected globally We understand how critical it is to stay connected to your family and friends across the world at this time. Check out our options for US & International Preferred rates. Learn more More reasons to choose Rogers Unlimited data plans With 5G-ready Rogers InfiniteTM plans, you’ll never have to worry about overages, and the more devices you add, the more data to share. 5G access is included with Rogers Infinite plans at no extra charge until March 2021. Learn more Affordable devices With financing and Upfront EdgeTM, we’ve made your favourite devices more affordable, today and every day. Learn more Our network Stream all the content you want on Canada’s most trusted network.* *Based on total wireless subscribers. Learn more Roam Like HomeTM Use your phone's plan just like you do at home in over 180 destinations. Now with Rogers InfiniteTM plans. Learn more My Account, On the Go. Manage your account, check your usage or upgrade your device anytime, anywhere. Contact Us Find a store Investor Relations Corporate Social Responsibility Community Investment About Rogers Security Privacy, CRTC & Consumer Codes Ad Choices Careers Accessibility Services Rogers Mastercard Terms & Conditions Site Map Media Contact Unsubscribe Community Forums Contact Us Find a store © 1995 - 2020 Rogers Communications© 1995 - 2020Rogers Communications"
18026,20200504,rogers.com,https://www.rogers.com/home,text/html,text/html,en,"Rogers: Wireless, Internet, TV, Home Monitoring, and Home phone Please enable JavaScript to continue using this application. Skip to main content Skip to site map Skip to accessibility services Personal Business ON Select a Province Alberta British Columbia Manitoba New Brunswick Newfoundland and Labrador Northwest Territories Nova Scotia Nunavut Ontario Prince Edward Island Quebec Saskatchewan Yukon FR Find a Store Sign out Shop Wireless TV Bundles Internet Home Phone Wireless Home Phone Home Monitoring Rogers Mastercard Promotions Why Choose Rogers MyRogers Support Search Quick links View Your Bill View Usage Roam Like Home Skip to main content Skip to site map Skip to accessibility services Search Quick links View Your Bill View Usage Roam Like Home Sign out Find a Store Shop Wireless TV Bundles Internet Home Phone Wireless Home Phone Home Monitoring Rogers Mastercard Promotions Why Choose Rogers MyRogers Support Ontario Alberta British Columbia Manitoba New Brunswick Newfoundland and Labrador Northwest Territories Nova Scotia Nunavut Ontario Prince Edward Island Quebec Saskatchewan Yukon Français Business Previous Mom deserves something extra special this year! Find the perfect gift and upgrade her to the latest tech. Learn more Ignite Self-Install Safe, contactless home delivery and easy installation for your Ignite TV and Ignite Internet services. Learn more Get a phone in hours With Rogers Pro On-the-GoTM Contactless delivery, with remote set-up support. Available in GTA. Browse phones Helping keep you connected You can manage or make changes to your account online or on the MyRogers app. Learn more Sign in Next Pause Go to slide 1 Go to slide 2 Go to slide 3 Go to slide 4 Wireless Bundles Internet Home Monitoring Infinite data. No overages. Get 20GB of max speed data for only $75/mo. for a limited time with Rogers InfiniteTM so you can stream all the music and content you want without any data overages. Learn more Lots to love. Less to spend Take advantage of a powerful and affordable phone when you need it the most. Get iPhone SE for $0 down, 0% interest with financing. Plus, get it delivered to your door in hours with Rogers Pro On-the-GoTM. Learn more Enjoy 6 months free! Online learning made easy Make learning at home easier. Add a tablet plan to your Rogers InfiniteTM plan and get it FREE for 6 months ($10/mo thereafter) with any tablet with financing. Learn more View all offers #1 Wireless Network Quality in Ontario Highest Wireless Network Quality, ranked by J.D. Power. Tied in 2020. For J.D. Power award information, visit jdpower.com/awards Learn more More reasons to choose Rogers Unlimited data plans With 5G-ready Rogers InfiniteTM plans, you’ll never have to worry about overages, and the more devices you add, the more data to share. 5G access is included with Rogers Infinite plans at no extra charge until March 2021. Learn more Affordable devices With financing and Upfront EdgeTM, we’ve made your favourite devices more affordable, today and every day. Learn more Our network Stream all the content you want on Canada’s most trusted network.* *Based on total wireless subscribers. Learn more WiFi you can count on Ignite WiFiTM Hub lets you control, protect and optimize your home network from anywhere. Learn more My Account, On the Go. Manage your account, check your usage or upgrade your device anytime, anywhere. Contact Us Find a store Investor Relations Corporate Social Responsibility Community Investment About Rogers Security Privacy, CRTC & Consumer Codes Ad Choices Careers Accessibility Services Rogers Mastercard Terms & Conditions Site Map Media Contact Unsubscribe Community Forums Contact Us Find a store © 1995 - 2020 Rogers Communications© 1995 - 2020Rogers Communications"
21831,20200515,rogers.com,https://www.rogers.com/home,text/html,text/html,en,"Rogers: Wireless, Internet, TV, Home Monitoring, and Home phone Please enable JavaScript to continue using this application. Skip to main content Skip to site map Skip to accessibility services Personal Business ON Select a Province Alberta British Columbia Manitoba New Brunswick Newfoundland and Labrador Northwest Territories Nova Scotia Nunavut Ontario Prince Edward Island Quebec Saskatchewan Yukon FR Find a Store Sign in Shop Wireless TV Bundles Internet Home Phone Wireless Home Phone Home Monitoring Rogers Mastercard Promotions Why Choose Rogers MyRogers Support Search Quick links View Your Bill View Usage Roam Like Home Skip to main content Skip to site map Skip to accessibility services Search Quick links View Your Bill View Usage Roam Like Home Sign in Find a Store Shop Wireless TV Bundles Internet Home Phone Wireless Home Phone Home Monitoring Rogers Mastercard Promotions Why Choose Rogers MyRogers Support Ontario Alberta British Columbia Manitoba New Brunswick Newfoundland and Labrador Northwest Territories Nova Scotia Nunavut Ontario Prince Edward Island Quebec Saskatchewan Yukon Français Business Previous Win 1 year of free Wireless service! When you switch to convenient automatic payments for your Rogers Wireless bill today Register online or on the MyRogers app Learn more Sign in Ignite Self-Install Safe, contactless home delivery and easy installation for your Ignite TV and Ignite Internet services. Learn more Get a phone in hours With Rogers Pro On-the-GoTM Contactless delivery, with remote set-up support. Available in GTA. Browse phones Helping keep you connected You can manage or make changes to your account online or on the MyRogers app. Learn more Sign in Next Pause Go to slide 1 Go to slide 2 Go to slide 3 Go to slide 4 Wireless Bundles Internet Home Monitoring Limited time only! 20GB for only $75/mo. Infinite data with no overages. Get 20GB of max speed data for only $75/mo. for a limited time with Rogers InfiniteTM. Plus, save additional $10/mo. when you add a line. Learn more Lots to love. Less to spend Take advantage of a powerful and affordable phone when you need it the most. Get iPhone SE for $0 down, 0% interest with financing. Plus, get it delivered to your door in hours with Rogers Pro On-the-GoTM. Learn more Enjoy 6 months free! Online learning made easy Make learning at home easier. Add a tablet plan to your Rogers InfiniteTM plan and get it FREE for 6 months ($10/mo thereafter) with any tablet with financing. Learn more View all offers #1 Wireless Network Quality in Ontario and the West Highest Wireless Network Quality, ranked by J.D. Power. Tied in 2020. For J.D. Power award information, visit jdpower.com/awards Learn more More reasons to choose Rogers Unlimited data plans With 5G-ready Rogers InfiniteTM plans, you’ll never have to worry about overages, and the more devices you add, the more data to share. 5G access is included with Rogers Infinite plans at no extra charge until March 2021. Learn more Affordable devices With financing and Upfront EdgeTM, we’ve made your favourite devices more affordable, today and every day. Learn more Our network Stream all the content you want on Canada’s most trusted network.* *Based on total wireless subscribers. Learn more WiFi you can count on Ignite WiFiTM Hub lets you control, protect and optimize your home network from anywhere. Learn more My Account, On the Go. Manage your account, check your usage or upgrade your device anytime, anywhere. Contact Us Find a store Investor Relations Corporate Social Responsibility Community Investment About Rogers Security Privacy, CRTC & Consumer Codes Ad Choices Careers Accessibility Services Rogers Mastercard Terms & Conditions Site Map Media Contact Unsubscribe Community Forums Contact Us Find a store © 1995 - 2020 Rogers Communications© 1995 - 2020Rogers Communications"
60427,20200522,rogers.com,https://www.rogers.com/home,text/html,text/html,en,"Rogers: Wireless, Internet, TV, Home Monitoring, and Home phone Please enable JavaScript to continue using this application. Skip to main content Skip to site map Skip to accessibility services Personal Business AB Select a Province Alberta British Columbia Manitoba New Brunswick Newfoundland and Labrador Northwest Territories Nova Scotia Nunavut Ontario Prince Edward Island Quebec Saskatchewan Yukon FR Find a Store Sign out Shop Wireless Mobile Internet Wireless Home Phone Home Monitoring Rogers Mastercard Promotions Why Choose Rogers MyRogers Support Search Quick links View Your Bill View Usage Roam Like Home Skip to main content Skip to site map Skip to accessibility services Search Quick links View Your Bill View Usage Roam Like Home Sign out Find a Store Shop Wireless Mobile Internet Wireless Home Phone Home Monitoring Rogers Mastercard Promotions Why Choose Rogers MyRogers Support Alberta Alberta British Columbia Manitoba New Brunswick Newfoundland and Labrador Northwest Territories Nova Scotia Nunavut Ontario Prince Edward Island Quebec Saskatchewan Yukon Français Business Previous Buy a phone. Get a tablet on us! And enjoy 3 GB of data for 24 months! Available only for Android. With financing on a Rogers InfiniteTM plan. Learn more Win 1 year of free Wireless service! When you switch to convenient automatic payments for your Rogers Wireless bill today Register online or on the MyRogers app Learn more Sign in Helping keep you connected You can manage or make changes to your account online or on the MyRogers app. Learn more Sign in Next Pause Go to slide 1 Go to slide 2 Go to slide 3 Wireless Home Monitoring Limited time only! 20GB for only $75/mo. Infinite data with no overages. Get 20GB of max speed data for only $75/mo. for a limited time with Rogers InfiniteTM. Plus, save additional $10/mo. when you add a line. Learn more Lots to love. Less to spend Take advantage of a powerful and affordable phone when you need it the most. Get iPhone SE 64 GB for $0 down, 0% interest for only $25.62/mo with financing. Full price $615.00. Learn more Get three months free wireless service! Get three months of free wireless service for your small business when activating a phone on a Rogers Infinite.TM plan with financing (from $75/mo. thereafter) Learn more View all offers #1 Wireless Network Quality in Ontario and the West Highest Wireless Network Quality, ranked by J.D. Power. Tied for 2020 in Ontario. Won in the West for 2020. For J.D. Power 2020 award information, visit jdpower.com/awards Learn more More reasons to choose Rogers Unlimited data plans With 5G-ready Rogers InfiniteTM plans, you’ll never have to worry about overages, and the more devices you add, the more data to share. 5G access is included with Rogers Infinite plans at no extra charge until March 2021. Learn more Affordable devices With financing and Upfront EdgeTM, we’ve made your favourite devices more affordable, today and every day. Learn more Our network Stream all the content you want on Canada’s most trusted network.* *Based on total wireless subscribers. Learn more Roam Like HomeTM Use your phone's plan just like you do at home in over 180 destinations. Now with Rogers InfiniteTM plans. Learn more My Account, On the Go. Manage your account, check your usage or upgrade your device anytime, anywhere. Contact Us Find a store Investor Relations Corporate Social Responsibility Community Investment About Rogers Security Privacy, CRTC & Consumer Codes Ad Choices Careers Accessibility Services Rogers Mastercard Terms & Conditions Site Map Media Contact Unsubscribe Community Forums Contact Us Find a store © 1995 - 2020 Rogers Communications© 1995 - 2020Rogers Communications"
61432,20200529,rogers.com,https://www.rogers.com/home,text/html,text/html,en,"Rogers: Wireless, Internet, TV, Home Monitoring, and Home phone Please enable JavaScript to continue using this application. Skip to main content Skip to site map Skip to accessibility services Personal Business ON Select a Province Alberta British Columbia Manitoba New Brunswick Newfoundland and Labrador Northwest Territories Nova Scotia Nunavut Ontario Prince Edward Island Quebec Saskatchewan Yukon FR Find a Store Sign in Shop Wireless TV Bundles Internet Home Phone Wireless Home Phone Home Monitoring Rogers Mastercard Promotions Why Choose Rogers MyRogers Support Search Quick links View Your Bill View Usage Roam Like Home Skip to main content Skip to site map Skip to accessibility services Search Quick links View Your Bill View Usage Roam Like Home Sign in Find a Store Shop Wireless TV Bundles Internet Home Phone Wireless Home Phone Home Monitoring Rogers Mastercard Promotions Why Choose Rogers MyRogers Support Ontario Alberta British Columbia Manitoba New Brunswick Newfoundland and Labrador Northwest Territories Nova Scotia Nunavut Ontario Prince Edward Island Quebec Saskatchewan Yukon Français Business Previous Buy a phone. Get a tablet on us! And enjoy 3 GB of data for 24 months! Available only for Android. With financing on a Rogers InfiniteTM plan. Limited time only. Plus fast delivery with Rogers Pro On-The-GoTM. Learn more Ignite Self-Install Safe, contactless home delivery and easy installation for your Ignite TV and Ignite Internet services. Learn more Win 1 year of free Wireless service! When you switch to convenient automatic payments for your Rogers Wireless bill today Register online or on the MyRogers app Learn more Sign in Get a phone in hours With Rogers Pro On-the-GoTM Contactless delivery with remote set-up support in the GTA, Ottawa, and southwestern Ontario. Browse phones Next Pause Go to slide 1 Go to slide 2 Go to slide 3 Go to slide 4 Wireless Bundles Internet Home Monitoring Offer ends June 1, 2020 20GB for only $75/mo. Infinite data with no overages. Get 20GB of max speed data for only $75/mo. for a limited time with Rogers InfiniteTM. Plus, save additional $10/mo. when you add a line. Learn more Limited time offer! Galaxy S20 5G for only $25/mo. Get Galaxy S20 5G 128GB for only $48.75 $25.00/mo (after bill credit, plus taxes) for 24 months, $0 down and 0% interest with Upfront EdgeTM on financing when you return your device in 2 years. Full price $1,650.00. Learn more Small business offer! Get three months free wireless service! Get three months of free wireless service for your small business when activating a phone on a Rogers Infinite.TM plan with financing (from $75/mo. thereafter) Learn more View all offers #1 Wireless Network Quality in Ontario and the West Highest Wireless Network Quality, ranked by J.D. Power. Won in the West for 2020. Tied for 2020 in Ontario. For J.D. Power 2020 award information, visit jdpower.com/awards Learn more More reasons to choose Rogers Unlimited data plans With 5G-ready Rogers InfiniteTM plans, you’ll never have to worry about overages, and the more devices you add, the more data to share. 5G access is included with Rogers Infinite plans at no extra charge until March 2021. Learn more Affordable devices With financing and Upfront EdgeTM, we’ve made your favourite devices more affordable, today and every day. Learn more Our network Stream all the content you want on Canada’s most trusted network.* *Based on total wireless subscribers. Learn more WiFi you can count on Ignite WiFiTM Hub lets you control, protect and optimize your home network from anywhere. Learn more My Account, On the Go. Manage your account, check your usage or upgrade your device anytime, anywhere. Contact Us Find a store Investor Relations Corporate Social Responsibility Community Investment About Rogers Security Privacy, CRTC & Consumer Codes Ad Choices Careers Accessibility Services Rogers Mastercard Terms & Conditions Site Map Media Contact Unsubscribe Community Forums Contact Us Find a store © 1995 - 2020 Rogers Communications© 1995 - 2020Rogers Communications"
71032,20200529,rogers.com,https://www.rogers.com/home,text/html,,,
80208,20200605,rogers.com,https://www.rogers.com/home,text/html,text/html,en,"Rogers: Wireless, Internet, TV, Home Monitoring, and Home phone Please enable JavaScript to continue using this application. Skip to main content Skip to site map Skip to accessibility services Personal Business MB Select a Province Alberta British Columbia Manitoba New Brunswick Newfoundland and Labrador Northwest Territories Nova Scotia Nunavut Ontario Prince Edward Island Quebec Saskatchewan Yukon FR Find a Store Sign in Shop Wireless Mobile Internet Wireless Home Phone Rogers Mastercard Promotions Why Choose Rogers MyRogers Support Search Quick links View Your Bill View Usage Roam Like Home Skip to main content Skip to site map Skip to accessibility services Search Quick links View Your Bill View Usage Roam Like Home Sign in Find a Store Shop Wireless Mobile Internet Wireless Home Phone Rogers Mastercard Promotions Why Choose Rogers MyRogers Support Manitoba Alberta British Columbia Manitoba New Brunswick Newfoundland and Labrador Northwest Territories Nova Scotia Nunavut Ontario Prince Edward Island Quebec Saskatchewan Yukon Français Business Previous Buy a phone. Get a tablet on us! And enjoy 3 GB of data for 24 months! With financing on a Rogers InfiniteTM plan. Limited time only. Learn more Win 1 year of free Wireless service! When you switch to convenient automatic payments for your Rogers Wireless bill today Register online or on the MyRogers app Learn more Sign in Helping keep you connected You can manage or make changes to your account online or on the MyRogers app. Learn more Sign in Next Pause Go to slide 1 Go to slide 2 Go to slide 3 Wireless Limited time offer! Galaxy S20 5G for only $25/mo. Get Galaxy S20 5G 128GB for only $48.75 $25.00/mo (after bill credit, plus taxes) for 24 months, $0 down and 0% interest with Upfront EdgeTM on financing when you return your device in 2 years. Full price $1,650.00. Learn more Add a line from $55/mo. Staying connected with loved ones is more important than ever. Add a family member to your Rogers InfiniteTM plan starting at $55/mo and share infinite data. Learn more Small business offer! Get three months free wireless service! Get three months of free wireless service for your small business when activating a phone on a Rogers Infinite.TM plan with financing (from $75/mo. thereafter) Learn more View all offers #1 Wireless Network Quality in Ontario and the West Highest Wireless Network Quality, ranked by J.D. Power. Won in the West for 2020. Tied for 2020 in Ontario. For J.D. Power 2020 award information, visit jdpower.com/awards Learn more More reasons to choose Rogers Unlimited data plans With 5G-ready Rogers InfiniteTM plans, you’ll never have to worry about overages, and the more devices you add, the more data to share. 5G access is included with Rogers Infinite plans at no extra charge until March 2021. Learn more Affordable devices With financing and Upfront EdgeTM, we’ve made your favourite devices more affordable, today and every day. Learn more Our network Stream all the content you want on Canada’s most trusted network.* *Based on total wireless subscribers. Learn more Roam Like HomeTM Use your phone's plan just like you do at home in over 180 destinations. Now with Rogers InfiniteTM plans. Learn more My Account, On the Go. Manage your account, check your usage or upgrade your device anytime, anywhere. Contact Us Find a store Investor Relations Corporate Social Responsibility Community Investment About Rogers Security Privacy, CRTC & Consumer Codes Ad Choices Careers Accessibility Services Rogers Mastercard Terms & Conditions Site Map Media Contact Unsubscribe Community Forums Contact Us Find a store © 1995 - 2020 Rogers Communications© 1995 - 2020Rogers Communications"
90481,20200612,rogers.com,https://www.rogers.com/home,text/html,text/html,en,"Rogers: Wireless, Internet, TV, Home Monitoring, and Home phone Please enable JavaScript to continue using this application. Skip to main content Skip to site map Skip to accessibility services Personal Business ON Select a Province Alberta British Columbia Manitoba New Brunswick Newfoundland and Labrador Northwest Territories Nova Scotia Nunavut Ontario Prince Edward Island Quebec Saskatchewan Yukon FR Find a Store Sign in Shop Wireless TV Bundles Internet Home Phone Wireless Home Phone Home Monitoring Rogers Mastercard Promotions Why Choose Rogers MyRogers Support Search Quick links View Your Bill View Usage Roam Like Home Skip to main content Skip to site map Skip to accessibility services Search Quick links View Your Bill View Usage Roam Like Home Sign in Find a Store Shop Wireless TV Bundles Internet Home Phone Wireless Home Phone Home Monitoring Rogers Mastercard Promotions Why Choose Rogers MyRogers Support Ontario Alberta British Columbia Manitoba New Brunswick Newfoundland and Labrador Northwest Territories Nova Scotia Nunavut Ontario Prince Edward Island Quebec Saskatchewan Yukon Français Business Previous Buy a phone. Get a tablet on us! And enjoy 3 GB of data for 24 months! With financing on a Rogers InfiniteTM plan. Limited time only. Learn more Ignite Self-Install Safe, contactless home delivery and easy installation for your Ignite TV and Ignite Internet services. Learn more Get a phone as soon as today With Rogers Pro On-the-GoTM Contactless delivery with remote set-up support in the GTA, Ottawa, and southwestern Ontario. Browse phones Helping keep you connected You can manage or make changes to your account online or on the MyRogers app. Learn more Sign in Next Pause Go to slide 1 Go to slide 2 Go to slide 3 Go to slide 4 Wireless Bundles Internet Home Monitoring Limited time offer! 20GB for only $75/mo. Infinite data with no overages. Get 20GB of max speed data for only $75/mo. for a limited time with Rogers InfiniteTM. Plus, save additional $10/mo. when you add a line. Learn more Limited time offer! Save big with Samsung Get a one-time $250 bill credit when you activate any Samsung Galaxy S20 series 5G device on a Rogers InfiniteTM plan with financing. Learn more Small business offer! Get three months free wireless service! Get three months of free wireless service for your small business when activating a phone on a Rogers Infinite.TM plan with financing (from $75/mo. thereafter) Learn more View all offers #1 Wireless Network Quality in Ontario and the West Highest Wireless Network Quality, ranked by J.D. Power. Won in the West for 2020. Tied for 2020 in Ontario. For J.D. Power 2020 award information, visit jdpower.com/awards Learn more More reasons to choose Rogers Unlimited data plans With 5G-ready Rogers InfiniteTM plans, you’ll never have to worry about overages, and the more devices you add, the more data to share. 5G access is included with Rogers Infinite plans at no extra charge until March 2021. Learn more Affordable devices With financing and Upfront EdgeTM, we’ve made your favourite devices more affordable, today and every day. Learn more Our network Stream all the content you want on Canada’s most trusted network.* *Based on total wireless subscribers. Learn more WiFi you can count on Ignite WiFiTM Hub lets you control, protect and optimize your home network from anywhere. Learn more My Account, On the Go. Manage your account, check your usage or upgrade your device anytime, anywhere. Contact Us Find a store Investor Relations Corporate Social Responsibility Community Investment About Rogers Security Privacy, CRTC & Consumer Codes Ad Choices Careers Accessibility Services Rogers Mastercard Terms & Conditions Site Map Media Contact Unsubscribe Community Forums Contact Us Find a store © 1995 - 2020 Rogers Communications© 1995 - 2020Rogers Communications"
101626,20200619,rogers.com,https://www.rogers.com/home,text/html,text/html,en,"Rogers: Wireless, Internet, TV, Home Monitoring, and Home phone Please enable JavaScript to continue using this application. Skip to main content Skip to site map Skip to accessibility services Personal Business BC Select a Province Alberta British Columbia Manitoba New Brunswick Newfoundland and Labrador Northwest Territories Nova Scotia Nunavut Ontario Prince Edward Island Quebec Saskatchewan Yukon FR Find a Store Sign in Shop Wireless Mobile Internet Wireless Home Phone Home Monitoring Rogers Mastercard Promotions Why Choose Rogers MyRogers Support Search Quick links View Your Bill View Usage Roam Like Home Skip to main content Skip to site map Skip to accessibility services Search Quick links View Your Bill View Usage Roam Like Home Sign in Find a Store Shop Wireless Mobile Internet Wireless Home Phone Home Monitoring Rogers Mastercard Promotions Why Choose Rogers MyRogers Support British Columbia Alberta British Columbia Manitoba New Brunswick Newfoundland and Labrador Northwest Territories Nova Scotia Nunavut Ontario Prince Edward Island Quebec Saskatchewan Yukon Français Business Previous Buy a phone. Get a tablet on us! And enjoy 3 GB of data for 24 months! With financing on a Rogers InfiniteTM plan. Limited time only. Learn more Samsung sale + free Galaxy Buds Enjoy select Samsung phones with financing at the best prices yet! Plus, have your phone delivered as soon as today with Rogers Pro On-the-GoTM Learn more Get a phone as soon as today With Rogers Pro On-the-GoTM Contactless delivery, with remote set-up support. In Greater Vancouver! Browse phones #1 Wireless Network Quality in Ontario and the West Highest Wireless Network Quality, ranked by J.D. Power. Won in the West for 2020. Tied for 2020 in Ontario. For J.D. Power 2020 award information, visit jdpower.com/awards Learn more Next Pause Go to slide 1 Go to slide 2 Go to slide 3 Go to slide 4 Wireless Home Monitoring Free Galaxy Buds! Galaxy S20 5G for only $20/mo Get a Galaxy S20 5G 128 GB for only $48.75 $20.00/mo (after bill credit, plus taxes) for 24 months, $0 down and 0% interest with Upfront EdgeTM and financing with Rogers Infinite plans when you return your device in 2 years. Full price $1,650.00. Learn more 20GB for only $85/mo. Infinite data with no overages. Get 20GB of max speed data for only $85/mo. for a limited time with Rogers InfiniteTM. Plus, save additional $10/mo. when you add a line. Learn more Small business offer! Get three months free wireless service! Get three months of free wireless service for your small business when activating a phone on a Rogers Infinite.TM plan with financing (from $75/mo. thereafter) Learn more View all offers Operation Support Local Helping small businesses get the visibility and tools they need as we move #ForwardTogether. Learn more More reasons to choose Rogers Unlimited data plans With 5G-ready Rogers InfiniteTM plans, you’ll never have to worry about overages, and the more devices you add, the more data to share. 5G access is included with Rogers Infinite plans at no extra charge until March 2021. Learn more Affordable devices With financing and Upfront EdgeTM, we’ve made your favourite devices more affordable, today and every day. Learn more Our network Stream all the content you want on Canada’s most trusted network.* *Based on total wireless subscribers. Learn more Roam Like HomeTM Use your phone's plan just like you do at home in over 180 destinations. Now with Rogers InfiniteTM plans. Learn more My Account, On the Go. Manage your account, check your usage or upgrade your device anytime, anywhere. Contact Us Find a store Investor Relations Corporate Social Responsibility Community Investment About Rogers Security Privacy, CRTC & Consumer Codes Ad Choices Careers Accessibility Services Rogers Mastercard Terms & Conditions Site Map Media Contact Unsubscribe Community Forums Contact Us Find a store © 1995 - 2020 Rogers Communications© 1995 - 2020Rogers Communications"
