,crawl_date,domain,url,mime_type_web_server,mime_type_tika,language,content
31953,20210205,s.amazon-adsystem.com,https://s.amazon-adsystem.com/iu3?cm3ppd=1&d=dtb-pub&csif=t&dl=rbd_ox-db5_an-db5&dcc=t,text/html,text/html,,
32097,20210205,s.amazon-adsystem.com,https://s.amazon-adsystem.com/iu3?cm3ppd=1&d=dtb-pub&csif=t&dl=rbd_ox-db5_an-db5&dcc=t,text/html,text/html,,
32125,20210205,s.amazon-adsystem.com,https://s.amazon-adsystem.com/iu3?cm3ppd=1&d=dtb-pub&csif=t&dl=rbd_ox-db5_an-db5&dcc=t,text/html,text/html,,
32146,20210205,s.amazon-adsystem.com,https://s.amazon-adsystem.com/iu3?cm3ppd=1&d=dtb-pub&csif=t&dl=rbd_ox-db5_an-db5&dcc=t,text/html,text/html,,
32153,20210205,s.amazon-adsystem.com,https://s.amazon-adsystem.com/iu3?cm3ppd=1&d=dtb-pub&csif=t&dl=rbd_ox-db5_an-db5&dcc=t,text/html,text/html,,
32171,20210205,s.amazon-adsystem.com,https://s.amazon-adsystem.com/iu3?cm3ppd=1&d=dtb-pub&csif=t&dl=rbd_ox-db5_an-db5&dcc=t,text/html,text/html,,
32187,20210205,s.amazon-adsystem.com,https://s.amazon-adsystem.com/iu3?cm3ppd=1&d=dtb-pub&csif=t&dl=rbd_ox-db5_an-db5&dcc=t,text/html,text/html,,
32201,20210205,s.amazon-adsystem.com,https://s.amazon-adsystem.com/iu3?cm3ppd=1&d=dtb-pub&csif=t&dl=rbd_ox-db5_an-db5&dcc=t,text/html,text/html,,
32225,20210205,s.amazon-adsystem.com,https://s.amazon-adsystem.com/iu3?cm3ppd=1&d=dtb-pub&csif=t&dl=rbd_ox-db5_an-db5&dcc=t,text/html,text/html,,
32247,20210205,s.amazon-adsystem.com,https://s.amazon-adsystem.com/iu3?cm3ppd=1&d=dtb-pub&csif=t&dl=rbd_ox-db5_an-db5&dcc=t,text/html,text/html,,
32269,20210205,s.amazon-adsystem.com,https://s.amazon-adsystem.com/iu3?cm3ppd=1&d=dtb-pub&csif=t&dl=rbd_ox-db5_an-db5&dcc=t,text/html,text/html,,
32283,20210205,s.amazon-adsystem.com,https://s.amazon-adsystem.com/iu3?cm3ppd=1&d=dtb-pub&csif=t&dl=rbd_ox-db5_an-db5&dcc=t,text/html,text/html,,
32294,20210205,s.amazon-adsystem.com,https://s.amazon-adsystem.com/iu3?cm3ppd=1&d=dtb-pub&csif=t&dl=rbd_ox-db5_an-db5&dcc=t,text/html,text/html,,
32325,20210205,s.amazon-adsystem.com,https://s.amazon-adsystem.com/iu3?cm3ppd=1&d=dtb-pub&csif=t&dl=rbd_ox-db5_an-db5&dcc=t,text/html,text/html,,
32340,20210205,s.amazon-adsystem.com,https://s.amazon-adsystem.com/iu3?cm3ppd=1&d=dtb-pub&csif=t&dl=rbd_ox-db5_an-db5&dcc=t,text/html,text/html,,
32353,20210205,s.amazon-adsystem.com,https://s.amazon-adsystem.com/iu3?cm3ppd=1&d=dtb-pub&csif=t&dl=rbd_ox-db5_an-db5&dcc=t,text/html,text/html,,
32374,20210205,s.amazon-adsystem.com,https://s.amazon-adsystem.com/iu3?cm3ppd=1&d=dtb-pub&csif=t&dl=rbd_ox-db5_an-db5&dcc=t,text/html,text/html,,
32395,20210205,s.amazon-adsystem.com,https://s.amazon-adsystem.com/iu3?cm3ppd=1&d=dtb-pub&csif=t&dl=rbd_ox-db5_an-db5&dcc=t,text/html,text/html,,
32417,20210205,s.amazon-adsystem.com,https://s.amazon-adsystem.com/iu3?cm3ppd=1&d=dtb-pub&csif=t&dl=rbd_ox-db5_an-db5&dcc=t,text/html,text/html,,
32428,20210205,s.amazon-adsystem.com,https://s.amazon-adsystem.com/iu3?cm3ppd=1&d=dtb-pub&csif=t&dl=rbd_ox-db5_an-db5&dcc=t,text/html,text/html,,
32448,20210205,s.amazon-adsystem.com,https://s.amazon-adsystem.com/iu3?cm3ppd=1&d=dtb-pub&csif=t&dl=rbd_ox-db5_an-db5&dcc=t,text/html,text/html,,
32462,20210205,s.amazon-adsystem.com,https://s.amazon-adsystem.com/iu3?cm3ppd=1&d=dtb-pub&csif=t&dl=rbd_ox-db5_an-db5&dcc=t,text/html,text/html,,
32486,20210205,s.amazon-adsystem.com,https://s.amazon-adsystem.com/iu3?cm3ppd=1&d=dtb-pub&csif=t&dl=rbd_ox-db5_an-db5&dcc=t,text/html,text/html,,
32503,20210206,s.amazon-adsystem.com,https://s.amazon-adsystem.com/iu3?cm3ppd=1&d=dtb-pub&csif=t&dl=rbd_ox-db5_an-db5&dcc=t,text/html,text/html,,
32517,20210206,s.amazon-adsystem.com,https://s.amazon-adsystem.com/iu3?cm3ppd=1&d=dtb-pub&csif=t&dl=rbd_ox-db5_an-db5&dcc=t,text/html,text/html,,
32528,20210206,s.amazon-adsystem.com,https://s.amazon-adsystem.com/iu3?cm3ppd=1&d=dtb-pub&csif=t&dl=rbd_ox-db5_an-db5&dcc=t,text/html,text/html,,
32538,20210206,s.amazon-adsystem.com,https://s.amazon-adsystem.com/iu3?cm3ppd=1&d=dtb-pub&csif=t&dl=rbd_ox-db5_an-db5&dcc=t,text/html,text/html,,
